train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.64106,0.07476,0.45213,0.6653208301347845,113.10454112291336,0.07345,0.6426,0.07724,0.44384,0.660476405620575,16.511910140514374,1713372607,,False,1,d3b1e68d,2024-04-17_18-50-07,101.17651104927063,101.17651104927063,1636,AT-MB-PC-EOS,127.0.0.1,101.17651104927063,1,256,6,0.0,0.0001
0.07743,0.83171,0.07054,0.42957,0.5029342940625022,85.49882999062538,0.07345,0.90455,0.06594,0.3988,0.41880438327789304,10.470109581947327,1713372697,,False,2,d3b1e68d,2024-04-17_18-51-37,89.5645101070404,190.74102115631104,1636,AT-MB-PC-EOS,127.0.0.1,190.74102115631104,2,256,6,0.0,0.0001
0.07743,0.91262,0.0807,0.45556,0.38589864907895816,65.60277034342289,0.07345,0.92503,0.11856,0.49462,0.3306598907709122,8.266497269272804,1713372787,,False,3,d3b1e68d,2024-04-17_18-53-07,90.28213357925415,281.0231547355652,1636,AT-MB-PC-EOS,127.0.0.1,281.0231547355652,3,256,6,0.0,0.0001
0.07743,0.91918,0.09877,0.50059,0.337461157143116,57.36839671432972,0.07345,0.92529,0.10541,0.49226,0.3051745194196701,7.629362985491753,1713372876,,False,4,d3b1e68d,2024-04-17_18-54-36,89.1501202583313,370.1732749938965,1636,AT-MB-PC-EOS,127.0.0.1,370.1732749938965,4,256,6,0.0,0.0001
0.07743,0.92077,0.12257,0.53702,0.30883174556143145,52.501396745443344,0.07345,0.92144,0.15721,0.56671,0.2915541845560074,7.288854613900185,1713372966,,False,5,d3b1e68d,2024-04-17_18-56-06,89.273353099823,459.4466280937195,1636,AT-MB-PC-EOS,127.0.0.1,459.4466280937195,5,256,6,0.0,0.0001
0.07743,0.92216,0.15246,0.56853,0.29096799308762833,49.46455882489681,0.07345,0.92571,0.15344,0.55273,0.28019427180290224,7.0048567950725555,1713373055,,False,6,d3b1e68d,2024-04-17_18-57-35,89.10426044464111,548.5508885383606,1636,AT-MB-PC-EOS,127.0.0.1,548.5508885383606,6,256,6,0.0,0.0001
0.07743,0.92082,0.15645,0.60638,0.2775381930610713,47.18149282038212,0.07345,0.92638,0.17806,0.58308,0.2687198889255524,6.717997223138809,1713373144,,False,7,d3b1e68d,2024-04-17_18-59-04,89.38397884368896,637.9348673820496,1636,AT-MB-PC-EOS,127.0.0.1,637.9348673820496,7,256,6,0.0,0.0001
0.07743,0.92332,0.187,0.62896,0.26996759018477273,45.89449033141136,0.07345,0.91905,0.22764,0.68868,0.2749361503124237,6.873403757810593,1713373234,,False,8,d3b1e68d,2024-04-17_19-00-34,89.77074575424194,727.7056131362915,1636,AT-MB-PC-EOS,127.0.0.1,727.7056131362915,8,256,6,0.0,0.0001
0.07743,0.92323,0.19506,0.6432,0.26463807654731414,44.988473013043404,0.07345,0.92803,0.19024,0.63218,0.2551174196600914,6.377935491502285,1713373323,,False,9,d3b1e68d,2024-04-17_19-02-03,88.81522226333618,816.5208353996277,1636,AT-MB-PC-EOS,127.0.0.1,816.5208353996277,9,256,6,0.0,0.0001
0.07743,0.92302,0.19926,0.648,0.25945587552645627,44.107498839497566,0.07345,0.92784,0.19237,0.62224,0.25276781618595123,6.319195404648781,1713373412,,False,10,d3b1e68d,2024-04-17_19-03-32,89.54052495956421,906.0613603591919,1636,AT-MB-PC-EOS,127.0.0.1,906.0613603591919,10,256,6,0.0,0.0001
0.07743,0.92469,0.21627,0.68023,0.2504537043326041,42.5771297365427,0.07345,0.92717,0.19425,0.62779,0.25747066617012027,6.436766654253006,1713373502,,False,11,d3b1e68d,2024-04-17_19-05-02,89.28317093849182,995.3445312976837,1636,AT-MB-PC-EOS,127.0.0.1,995.3445312976837,11,256,6,0.0,0.0001
0.07743,0.92513,0.24401,0.69085,0.24570368659846922,41.76962672173977,0.07345,0.92574,0.19655,0.66286,0.2459019696712494,6.147549241781235,1713373591,,False,12,d3b1e68d,2024-04-17_19-06-31,89.54185438156128,1084.886385679245,1636,AT-MB-PC-EOS,127.0.0.1,1084.886385679245,12,256,6,0.0,0.0001
0.07743,0.92564,0.2448,0.70739,0.2397933256100206,40.7648653537035,0.07345,0.92772,0.19354,0.62562,0.2763017112016678,6.907542780041695,1713373680,,False,13,d3b1e68d,2024-04-17_19-08-00,88.85598015785217,1173.7423658370972,1636,AT-MB-PC-EOS,127.0.0.1,1173.7423658370972,13,256,6,0.0,0.0001
0.07743,0.92674,0.25959,0.71306,0.23681094795465468,40.2578611522913,0.07345,0.92863,0.22867,0.6992,0.23576738446950912,5.894184611737728,1713373769,,False,14,d3b1e68d,2024-04-17_19-09-29,88.77482533454895,1262.5171911716461,1636,AT-MB-PC-EOS,127.0.0.1,1262.5171911716461,14,256,6,0.0,0.0001
0.07743,0.9272,0.26899,0.7203,0.23399768042213775,39.77960567176342,0.07345,0.92886,0.2461,0.70975,0.23743506371974946,5.935876592993736,1713373858,,False,15,d3b1e68d,2024-04-17_19-10-58,88.81422448158264,1351.3314156532288,1636,AT-MB-PC-EOS,127.0.0.1,1351.3314156532288,15,256,6,0.0,0.0001
0.07743,0.92776,0.29603,0.73963,0.22756685062366375,38.686364606022835,0.07345,0.92374,0.2381,0.70665,0.23937929064035415,5.984482266008854,1713373951,,False,16,d3b1e68d,2024-04-17_19-12-31,93.23345041275024,1444.564866065979,1636,AT-MB-PC-EOS,127.0.0.1,1444.564866065979,16,256,6,0.0,0.0001
0.07743,0.92802,0.29428,0.74221,0.22565837147481302,38.36192315071821,0.07345,0.92896,0.25749,0.70595,0.23548803985118866,5.8872009962797165,1713374040,,False,17,d3b1e68d,2024-04-17_19-14-00,89.35420608520508,1533.919072151184,1636,AT-MB-PC-EOS,127.0.0.1,1533.919072151184,17,256,6,0.0,0.0001
