train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.46,0.09,0.5,0.7960270843085121,135.32460433244705,0.07,0.46,0.09,0.49,0.8009631991386413,20.024079978466034,1712582008,,False,1,82d8892a,2024-04-08_15-13-28,78.08527994155884,78.08527994155884,13404,AT-MB-PC-EOS,127.0.0.1,78.08527994155884,1,128,3,0.0,0.001
0.08,0.85,0.09,0.51,0.4161603552453658,70.74726039171219,0.07,0.92,0.11,0.53,0.30283980190753934,7.570995047688484,1712582075,,False,2,82d8892a,2024-04-08_15-14-35,66.98236155509949,145.06764149665833,13404,AT-MB-PC-EOS,127.0.0.1,145.06764149665833,2,128,3,0.0,0.001
0.08,0.92,0.13,0.56,0.2992413726799628,50.87103335559368,0.07,0.93,0.13,0.57,0.29293224155902864,7.323306038975716,1712582142,,False,3,82d8892a,2024-04-08_15-15-42,66.69614720344543,211.76378870010376,13404,AT-MB-PC-EOS,127.0.0.1,211.76378870010376,3,128,3,0.0,0.001
0.08,0.92,0.15,0.59,0.28237258274765575,48.00333906710148,0.07,0.92,0.16,0.61,0.2797196567058563,6.992991417646408,1712582209,,False,4,82d8892a,2024-04-08_15-16-49,66.86766624450684,278.6314549446106,13404,AT-MB-PC-EOS,127.0.0.1,278.6314549446106,4,128,3,0.0,0.001
0.08,0.92,0.16,0.61,0.2746628607458928,46.69268632680178,0.07,0.93,0.21,0.68,0.24906026899814607,6.226506724953651,1712582276,,False,5,82d8892a,2024-04-08_15-17-56,66.8662166595459,345.4976716041565,13404,AT-MB-PC-EOS,127.0.0.1,345.4976716041565,5,128,3,0.0,0.001
0.08,0.92,0.18,0.65,0.2630445207743084,44.71756853163242,0.07,0.93,0.18,0.62,0.2558293777704239,6.395734444260597,1712582343,,False,6,82d8892a,2024-04-08_15-19-03,67.03077411651611,412.5284457206726,13404,AT-MB-PC-EOS,127.0.0.1,412.5284457206726,6,128,3,0.0,0.001
0.08,0.92,0.21,0.68,0.25295258541317545,43.00193952023983,0.07,0.93,0.18,0.6,0.2858550977706909,7.146377444267273,1712582410,,False,7,82d8892a,2024-04-08_15-20-10,67.12716364860535,479.65560936927795,13404,AT-MB-PC-EOS,127.0.0.1,479.65560936927795,7,128,3,0.0,0.001
0.08,0.92,0.21,0.68,0.24966003206722875,42.44220545142889,0.07,0.93,0.23,0.66,0.24357254147529603,6.0893135368824005,1712582479,,False,8,82d8892a,2024-04-08_15-21-19,68.65973401069641,548.3153433799744,13404,AT-MB-PC-EOS,127.0.0.1,548.3153433799744,8,128,3,0.0,0.001
0.08,0.92,0.23,0.69,0.24257526029558743,41.23779425024986,0.07,0.93,0.24,0.71,0.23524239182472229,5.881059795618057,1712582545,,False,9,82d8892a,2024-04-08_15-22-25,66.61978840827942,614.9351317882538,13404,AT-MB-PC-EOS,127.0.0.1,614.9351317882538,9,128,3,0.0,0.001
0.08,0.93,0.24,0.7,0.24304191733107847,41.31712594628334,0.07,0.93,0.2,0.68,0.24596927285194398,6.149231821298599,1712582612,,False,10,82d8892a,2024-04-08_15-23-32,66.76821088790894,681.7033426761627,13404,AT-MB-PC-EOS,127.0.0.1,681.7033426761627,10,128,3,0.0,0.001
0.08,0.92,0.23,0.71,0.23812399287434186,40.481078788638115,0.07,0.93,0.27,0.7,0.23472843766212464,5.868210941553116,1712582679,,False,11,82d8892a,2024-04-08_15-24-39,66.895920753479,748.5992634296417,13404,AT-MB-PC-EOS,127.0.0.1,748.5992634296417,11,128,3,0.0,0.001
0.08,0.92,0.24,0.72,0.23516758119358736,39.97848880290985,0.07,0.93,0.25,0.72,0.23167458802461624,5.791864700615406,1712582746,,False,12,82d8892a,2024-04-08_15-25-46,66.78742909431458,815.3866925239563,13404,AT-MB-PC-EOS,127.0.0.1,815.3866925239563,12,128,3,0.0,0.001
0.08,0.93,0.27,0.74,0.22810825687997482,38.77840366959572,0.07,0.93,0.25,0.68,0.2377318948507309,5.943297371268272,1712582813,,False,13,82d8892a,2024-04-08_15-26-53,66.76626563072205,882.1529581546783,13404,AT-MB-PC-EOS,127.0.0.1,882.1529581546783,13,128,3,0.0,0.001
0.08,0.93,0.26,0.73,0.2278498895904597,38.73448123037815,0.07,0.93,0.23,0.7,0.23541647374629973,5.885411843657494,1712582879,,False,14,82d8892a,2024-04-08_15-27-59,66.50748705863953,948.6604452133179,13404,AT-MB-PC-EOS,127.0.0.1,948.6604452133179,14,128,3,0.0,0.001
0.08,0.93,0.29,0.76,0.22158063759698587,37.6687083914876,0.07,0.93,0.27,0.74,0.2247888296842575,5.619720742106438,1712582946,,False,15,82d8892a,2024-04-08_15-29-06,67.26444673538208,1015.9248919487,13404,AT-MB-PC-EOS,127.0.0.1,1015.9248919487,15,128,3,0.0,0.001
0.08,0.93,0.3,0.76,0.21660925557508187,36.82357344776392,0.07,0.93,0.28,0.75,0.21678854316473006,5.419713579118252,1712583013,,False,16,82d8892a,2024-04-08_15-30-13,67.03775644302368,1082.9626483917236,13404,AT-MB-PC-EOS,127.0.0.1,1082.9626483917236,16,128,3,0.0,0.001
0.08,0.93,0.3,0.78,0.21487870654639077,36.52938011288643,0.07,0.93,0.28,0.75,0.22027792394161225,5.506948098540306,1712583080,,False,17,82d8892a,2024-04-08_15-31-20,66.5883674621582,1149.5510158538818,13404,AT-MB-PC-EOS,127.0.0.1,1149.5510158538818,17,128,3,0.0,0.001
0.08,0.93,0.33,0.78,0.21311795851763557,36.23005294799805,0.07,0.93,0.29,0.76,0.2259897083044052,5.64974270761013,1712583147,,False,18,82d8892a,2024-04-08_15-32-27,67.27852582931519,1216.829541683197,13404,AT-MB-PC-EOS,127.0.0.1,1216.829541683197,18,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.20969623419291833,35.648359812796116,0.07,0.93,0.29,0.77,0.21074424922466278,5.2686062306165695,1712583214,,False,19,82d8892a,2024-04-08_15-33-34,67.00327324867249,1283.8328149318695,13404,AT-MB-PC-EOS,127.0.0.1,1283.8328149318695,19,128,3,0.0,0.001
0.08,0.93,0.33,0.79,0.21075812087339513,35.82888054847717,0.07,0.93,0.33,0.77,0.20162385642528535,5.0405964106321335,1712583281,,False,20,82d8892a,2024-04-08_15-34-41,66.90252184867859,1350.735336780548,13404,AT-MB-PC-EOS,127.0.0.1,1350.735336780548,20,128,3,0.0,0.001
0.08,0.93,0.34,0.8,0.20500872012446908,34.851482421159744,0.07,0.93,0.31,0.78,0.20879708021879195,5.219927005469799,1712583349,,False,21,82d8892a,2024-04-08_15-35-49,67.46629691123962,1418.2016336917877,13404,AT-MB-PC-EOS,127.0.0.1,1418.2016336917877,21,128,3,0.0,0.001
0.08,0.93,0.34,0.8,0.20468985937974032,34.797276094555855,0.07,0.93,0.32,0.78,0.21065089166164397,5.2662722915410995,1712583416,,False,22,82d8892a,2024-04-08_15-36-56,66.90197467803955,1485.1036083698273,13404,AT-MB-PC-EOS,127.0.0.1,1485.1036083698273,22,128,3,0.0,0.001
0.08,0.93,0.36,0.81,0.2005143994355903,34.08744790405035,0.07,0.93,0.33,0.78,0.2042117178440094,5.105292946100235,1712583483,,False,23,82d8892a,2024-04-08_15-38-03,67.32987642288208,1552.4334847927094,13404,AT-MB-PC-EOS,127.0.0.1,1552.4334847927094,23,128,3,0.0,0.001
0.08,0.93,0.37,0.82,0.19824367621365716,33.701424956321716,0.07,0.93,0.34,0.79,0.20181799650192261,5.045449912548065,1712583550,,False,24,82d8892a,2024-04-08_15-39-10,67.00465106964111,1619.4381358623505,13404,AT-MB-PC-EOS,127.0.0.1,1619.4381358623505,24,128,3,0.0,0.001
0.08,0.93,0.38,0.83,0.19586095709134552,33.296362705528736,0.07,0.93,0.35,0.79,0.1982149961590767,4.955374903976917,1712583617,,False,25,82d8892a,2024-04-08_15-40-17,66.64616799354553,1686.084303855896,13404,AT-MB-PC-EOS,127.0.0.1,1686.084303855896,25,128,3,0.0,0.001
0.08,0.93,0.37,0.82,0.19790422464994822,33.6437181904912,0.07,0.93,0.34,0.8,0.20292879819869994,5.073219954967499,1712583683,,False,26,82d8892a,2024-04-08_15-41-23,66.88780093193054,1752.9721047878265,13404,AT-MB-PC-EOS,127.0.0.1,1752.9721047878265,26,128,3,0.0,0.001
0.08,0.93,0.37,0.82,0.19631625755744822,33.3737637847662,0.07,0.93,0.35,0.8,0.2051822203397751,5.129555508494377,1712583747,,False,27,82d8892a,2024-04-08_15-42-27,63.4883131980896,1816.4604179859161,13404,AT-MB-PC-EOS,127.0.0.1,1816.4604179859161,27,128,3,0.0,0.001
0.08,0.93,0.39,0.82,0.19401778938139186,32.98302419483662,0.07,0.93,0.34,0.81,0.19438699305057525,4.859674826264381,1712583835,,False,28,82d8892a,2024-04-08_15-43-55,64.74513125419617,1881.2055492401123,13404,AT-MB-PC-EOS,127.0.0.1,1881.2055492401123,28,128,3,0.0,0.001
0.08,0.93,0.41,0.84,0.19086965418913784,32.447841212153435,0.07,0.93,0.35,0.81,0.2015883257985115,5.039708144962788,1712583901,,False,29,82d8892a,2024-04-08_15-45-01,66.69257879257202,1947.8981280326843,13404,AT-MB-PC-EOS,127.0.0.1,1947.8981280326843,29,128,3,0.0,0.001
0.08,0.93,0.4,0.84,0.190395462096614,32.36722855642438,0.07,0.93,0.34,0.8,0.20142370998859405,5.035592749714851,1712583969,,False,30,82d8892a,2024-04-08_15-46-09,67.1936891078949,2015.0918171405792,13404,AT-MB-PC-EOS,127.0.0.1,2015.0918171405792,30,128,3,0.0,0.001
