train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.39,0.1,0.52,1.1075734215624191,188.28748166561127,0.07,0.38,0.11,0.55,1.120659544467926,28.01648861169815,1712906404,,False,1,30fe8fbb,2024-04-12_09-20-04,91.573233127594,91.573233127594,46112,AT-MB-PC-E13,127.0.0.1,91.573233127594,1,128,3,0.0,0.001
0.08,0.86,0.09,0.53,0.37984613057445077,64.57384219765663,0.07,0.91,0.11,0.56,0.3003520745038986,7.5088018625974655,1712906493,,False,2,30fe8fbb,2024-04-12_09-21-33,88.91278553009033,180.48601865768433,46112,AT-MB-PC-E13,127.0.0.1,180.48601865768433,2,128,3,0.0,0.001
0.08,0.92,0.16,0.6,0.28731411888318903,48.843400210142136,0.07,0.93,0.12,0.54,0.36177943646907806,9.044485911726952,1712906582,,False,3,30fe8fbb,2024-04-12_09-23-02,88.94768047332764,269.43369913101196,46112,AT-MB-PC-E13,127.0.0.1,269.43369913101196,3,128,3,0.0,0.001
0.08,0.92,0.16,0.63,0.27759534103028916,47.191207975149155,0.07,0.93,0.18,0.61,0.3530416291952133,8.826040729880333,1712906671,,False,4,30fe8fbb,2024-04-12_09-24-31,89.14614200592041,358.5798411369324,46112,AT-MB-PC-E13,127.0.0.1,358.5798411369324,4,128,3,0.0,0.001
0.08,0.92,0.18,0.66,0.2636920064687729,44.82764109969139,0.07,0.93,0.18,0.63,0.3147714725136757,7.869286812841892,1712906760,,False,5,30fe8fbb,2024-04-12_09-26-00,88.33494448661804,446.9147856235504,46112,AT-MB-PC-E13,127.0.0.1,446.9147856235504,5,128,3,0.0,0.001
0.08,0.92,0.21,0.68,0.25045497978434844,42.57734656333923,0.07,0.92,0.18,0.64,0.2766073912382126,6.915184780955315,1712906847,,False,6,30fe8fbb,2024-04-12_09-27-27,87.0780189037323,533.9928045272827,46112,AT-MB-PC-E13,127.0.0.1,533.9928045272827,6,128,3,0.0,0.001
0.08,0.92,0.24,0.7,0.24286870018524281,41.28767903149128,0.07,0.93,0.19,0.61,0.25891006529331206,6.472751632332802,1712906935,,False,7,30fe8fbb,2024-04-12_09-28-55,88.38575792312622,622.3785624504089,46112,AT-MB-PC-E13,127.0.0.1,622.3785624504089,7,128,3,0.0,0.001
0.08,0.93,0.25,0.72,0.23588087006526834,40.09974791109562,0.07,0.93,0.21,0.68,0.2719342491030693,6.798356227576733,1712907022,,False,8,30fe8fbb,2024-04-12_09-30-22,86.65164470672607,709.030207157135,46112,AT-MB-PC-E13,127.0.0.1,709.030207157135,8,128,3,0.0,0.001
0.08,0.93,0.25,0.73,0.23330063907539142,39.661108642816544,0.07,0.93,0.24,0.7,0.23866568326950074,5.966642081737518,1712907107,,False,9,30fe8fbb,2024-04-12_09-31-47,85.56721448898315,794.5974216461182,46112,AT-MB-PC-E13,127.0.0.1,794.5974216461182,9,128,3,0.0,0.001
0.08,0.93,0.27,0.73,0.23061013795873697,39.20372345298529,0.07,0.93,0.24,0.7,0.2403501909971237,6.008754774928093,1712907193,,False,10,30fe8fbb,2024-04-12_09-33-13,85.55564618110657,880.1530678272247,46112,AT-MB-PC-E13,127.0.0.1,880.1530678272247,10,128,3,0.0,0.001
0.08,0.93,0.28,0.75,0.22722823782002224,38.62880042940378,0.07,0.93,0.16,0.62,0.39329889953136443,9.832472488284111,1712907279,,False,11,30fe8fbb,2024-04-12_09-34-39,86.41706085205078,966.5701286792755,46112,AT-MB-PC-E13,127.0.0.1,966.5701286792755,11,128,3,0.0,0.001
0.08,0.93,0.28,0.76,0.2228629838456126,37.88670725375414,0.07,0.93,0.28,0.74,0.22802736282348632,5.700684070587158,1712907362,,False,12,30fe8fbb,2024-04-12_09-36-02,83.05489492416382,1049.6250236034393,46112,AT-MB-PC-E13,127.0.0.1,1049.6250236034393,12,128,3,0.0,0.001
0.08,0.93,0.32,0.77,0.2166114690987503,36.82394974678755,0.07,0.93,0.28,0.72,0.2369821298122406,5.924553245306015,1712907450,,False,13,30fe8fbb,2024-04-12_09-37-30,88.08667230606079,1137.7116959095001,46112,AT-MB-PC-E13,127.0.0.1,1137.7116959095001,13,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.21351062090081327,36.296805553138256,0.07,0.93,0.26,0.71,0.25541066497564313,6.385266624391079,1712907539,,False,14,30fe8fbb,2024-04-12_09-38-59,88.69184923171997,1226.40354514122,46112,AT-MB-PC-E13,127.0.0.1,1226.40354514122,14,128,3,0.0,0.001
0.08,0.93,0.34,0.78,0.21139124671325965,35.93651194125414,0.07,0.93,0.3,0.75,0.22513483524322508,5.628370881080627,1712907628,,False,15,30fe8fbb,2024-04-12_09-40-28,88.962393283844,1315.365938425064,46112,AT-MB-PC-E13,127.0.0.1,1315.365938425064,15,128,3,0.0,0.001
0.08,0.93,0.36,0.8,0.2058473007643924,34.99404112994671,0.07,0.93,0.29,0.71,0.22492158740758897,5.623039685189724,1712907719,,False,16,30fe8fbb,2024-04-12_09-41-59,90.8180923461914,1406.1840307712555,46112,AT-MB-PC-E13,127.0.0.1,1406.1840307712555,16,128,3,0.0,0.001
0.08,0.93,0.36,0.8,0.20558010138132993,34.94861723482609,0.07,0.93,0.28,0.76,0.22100742816925048,5.525185704231262,1712907805,,False,17,30fe8fbb,2024-04-12_09-43-25,85.75925850868225,1491.9432892799377,46112,AT-MB-PC-E13,127.0.0.1,1491.9432892799377,17,128,3,0.0,0.001
0.08,0.93,0.37,0.8,0.20542849661672816,34.92284442484379,0.07,0.93,0.34,0.75,0.22054194569587707,5.513548642396927,1712907896,,False,18,30fe8fbb,2024-04-12_09-44-56,91.83246207237244,1583.7757513523102,46112,AT-MB-PC-E13,127.0.0.1,1583.7757513523102,18,128,3,0.0,0.001
0.08,0.93,0.4,0.81,0.1989022772101795,33.813387125730515,0.07,0.93,0.28,0.73,0.23329290270805358,5.83232256770134,1712907987,,False,19,30fe8fbb,2024-04-12_09-46-27,90.88122153282166,1674.6569728851318,46112,AT-MB-PC-E13,127.0.0.1,1674.6569728851318,19,128,3,0.0,0.001
0.08,0.93,0.41,0.82,0.19585785151404492,33.29583475738764,0.07,0.93,0.32,0.74,0.2181948494911194,5.454871237277985,1712908075,,False,20,30fe8fbb,2024-04-12_09-47-55,87.68887281417847,1762.3458456993103,46112,AT-MB-PC-E13,127.0.0.1,1762.3458456993103,20,128,3,0.0,0.001
0.08,0.93,0.4,0.82,0.19588944372885367,33.301205433905125,0.07,0.93,0.32,0.75,0.23525693595409394,5.881423398852348,1712908164,,False,21,30fe8fbb,2024-04-12_09-49-24,89.06030058860779,1851.406146287918,46112,AT-MB-PC-E13,127.0.0.1,1851.406146287918,21,128,3,0.0,0.001
0.08,0.93,0.41,0.83,0.1937744725276442,32.941660329699516,0.07,0.93,0.29,0.75,0.22579477488994598,5.64486937224865,1712908254,,False,22,30fe8fbb,2024-04-12_09-50-54,89.75942921638489,1941.165575504303,46112,AT-MB-PC-E13,127.0.0.1,1941.165575504303,22,128,3,0.0,0.001
0.08,0.93,0.42,0.83,0.19226900492520893,32.68573083728552,0.07,0.93,0.35,0.78,0.21408574610948564,5.352143652737141,1712908342,,False,23,30fe8fbb,2024-04-12_09-52-22,88.51488995552063,2029.6804654598236,46112,AT-MB-PC-E13,127.0.0.1,2029.6804654598236,23,128,3,0.0,0.001
0.08,0.94,0.44,0.83,0.18943318185560842,32.203640915453434,0.07,0.93,0.34,0.75,0.2177819585800171,5.444548964500427,1712908435,,False,24,30fe8fbb,2024-04-12_09-53-55,92.7281322479248,2122.4085977077484,46112,AT-MB-PC-E13,127.0.0.1,2122.4085977077484,24,128,3,0.0,0.001
0.08,0.93,0.44,0.84,0.18796497995362563,31.954046592116356,0.07,0.94,0.37,0.78,0.2069075584411621,5.172688961029053,1712908531,,False,25,30fe8fbb,2024-04-12_09-55-31,95.56629824638367,2217.974895954132,46112,AT-MB-PC-E13,127.0.0.1,2217.974895954132,25,128,3,0.0,0.001
0.08,0.93,0.45,0.84,0.18732828988748437,31.845809280872345,0.07,0.93,0.33,0.79,0.20486036121845244,5.121509030461311,1712908622,,False,26,30fe8fbb,2024-04-12_09-57-02,91.05730390548706,2309.032199859619,46112,AT-MB-PC-E13,127.0.0.1,2309.032199859619,26,128,3,0.0,0.001
0.08,0.94,0.47,0.85,0.18242629152887008,31.012469559907913,0.07,0.93,0.33,0.77,0.2206324651837349,5.515811629593372,1712908713,,False,27,30fe8fbb,2024-04-12_09-58-33,91.79121375083923,2400.8234136104584,46112,AT-MB-PC-E13,127.0.0.1,2400.8234136104584,27,128,3,0.0,0.001
0.08,0.94,0.47,0.85,0.18203967971836818,30.946745552122593,0.07,0.93,0.38,0.79,0.20160352438688278,5.0400881096720695,1712908808,,False,28,30fe8fbb,2024-04-12_10-00-08,94.4705548286438,2495.293968439102,46112,AT-MB-PC-E13,127.0.0.1,2495.293968439102,28,128,3,0.0,0.001
0.08,0.94,0.47,0.85,0.1814539001268499,30.847163021564484,0.07,0.93,0.35,0.78,0.20913253456354142,5.228313364088535,1712908902,,False,29,30fe8fbb,2024-04-12_10-01-42,94.49054908752441,2589.7845175266266,46112,AT-MB-PC-E13,127.0.0.1,2589.7845175266266,29,128,3,0.0,0.001
0.08,0.94,0.49,0.86,0.1789786890587386,30.42637713998556,0.07,0.93,0.3,0.76,0.24686344891786574,6.171586222946644,1712908993,,False,30,30fe8fbb,2024-04-12_10-03-13,90.44526743888855,2680.229784965515,46112,AT-MB-PC-E13,127.0.0.1,2680.229784965515,30,128,3,0.0,0.001
0.08,0.94,0.47,0.85,0.17956165916779462,30.525482058525085,0.07,0.93,0.31,0.77,0.24262477457523346,6.0656193643808365,1712909089,,False,31,30fe8fbb,2024-04-12_10-04-49,95.6037266254425,2775.8335115909576,46112,AT-MB-PC-E13,127.0.0.1,2775.8335115909576,31,128,3,0.0,0.001
0.08,0.94,0.51,0.87,0.17358779477722505,29.509925112128258,0.07,0.93,0.38,0.79,0.20183987855911256,5.045996963977814,1712909181,,False,32,30fe8fbb,2024-04-12_10-06-21,92.5310447216034,2868.364556312561,46112,AT-MB-PC-E13,127.0.0.1,2868.364556312561,32,128,3,0.0,0.001
0.08,0.94,0.49,0.86,0.1760277794126202,29.924722500145435,0.07,0.93,0.39,0.8,0.19880594342947006,4.970148585736752,1712909275,,False,33,30fe8fbb,2024-04-12_10-07-55,93.63477325439453,2961.9993295669556,46112,AT-MB-PC-E13,127.0.0.1,2961.9993295669556,33,128,3,0.0,0.001
0.08,0.94,0.51,0.86,0.17309696420150644,29.426483914256096,0.07,0.93,0.35,0.79,0.2037796050310135,5.094490125775337,1712909366,,False,34,30fe8fbb,2024-04-12_10-09-26,91.54608678817749,3053.545416355133,46112,AT-MB-PC-E13,127.0.0.1,3053.545416355133,34,128,3,0.0,0.001
0.08,0.94,0.51,0.87,0.17355101735276335,29.50367294996977,0.07,0.93,0.39,0.79,0.2003578293323517,5.008945733308792,1712909460,,False,35,30fe8fbb,2024-04-12_10-11-00,93.84435534477234,3147.3897716999054,46112,AT-MB-PC-E13,127.0.0.1,3147.3897716999054,35,128,3,0.0,0.001
0.08,0.94,0.51,0.87,0.17246193088152828,29.31852824985981,0.07,0.93,0.37,0.79,0.21453921884298324,5.363480471074581,1712909549,,False,36,30fe8fbb,2024-04-12_10-12-29,89.02799916267395,3236.4177708625793,46112,AT-MB-PC-E13,127.0.0.1,3236.4177708625793,36,128,3,0.0,0.001
0.08,0.94,0.53,0.87,0.17111086240586112,29.08884660899639,0.07,0.94,0.38,0.81,0.19588956892490386,4.897239223122597,1712909636,,False,37,30fe8fbb,2024-04-12_10-13-56,86.6545741558075,3323.072345018387,46112,AT-MB-PC-E13,127.0.0.1,3323.072345018387,37,128,3,0.0,0.001
0.08,0.94,0.54,0.88,0.16572883094058316,28.17390125989914,0.07,0.93,0.38,0.79,0.20894198894500732,5.223549723625183,1712909725,,False,38,30fe8fbb,2024-04-12_10-15-25,89.47169780731201,3412.544042825699,46112,AT-MB-PC-E13,127.0.0.1,3412.544042825699,38,128,3,0.0,0.001
0.08,0.94,0.55,0.88,0.16601764778880512,28.22300012409687,0.07,0.93,0.38,0.8,0.2072998797893524,5.18249699473381,1712909815,,False,39,30fe8fbb,2024-04-12_10-16-55,90.13675475120544,3502.6807975769043,46112,AT-MB-PC-E13,127.0.0.1,3502.6807975769043,39,128,3,0.0,0.001
0.08,0.94,0.54,0.88,0.1660481577848687,28.228186823427677,0.07,0.93,0.36,0.77,0.2133941024541855,5.334852561354637,1712909903,,False,40,30fe8fbb,2024-04-12_10-18-23,87.75145745277405,3590.4322550296783,46112,AT-MB-PC-E13,127.0.0.1,3590.4322550296783,40,128,3,0.0,0.001
0.08,0.94,0.55,0.89,0.16469920229385882,27.998864389955997,0.07,0.93,0.4,0.8,0.21203601092100144,5.300900273025036,1712909997,,False,41,30fe8fbb,2024-04-12_10-19-57,94.03810048103333,3684.4703555107117,46112,AT-MB-PC-E13,127.0.0.1,3684.4703555107117,41,128,3,0.0,0.001
0.08,0.94,0.56,0.89,0.16261834340060458,27.64511837810278,0.07,0.94,0.38,0.8,0.20440465331077576,5.110116332769394,1712910086,,False,42,30fe8fbb,2024-04-12_10-21-26,88.54103946685791,3773.0113949775696,46112,AT-MB-PC-E13,127.0.0.1,3773.0113949775696,42,128,3,0.0,0.001
