train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
6.590000152587891,-50.86,0.25,44.9900016784668,6.710000038146973,6.595388540444664,2064.3566131591797,6.199999809265137,-41.94,0.38,39.40999984741211,6.28000020980835,6.205031206051762,1942.1747674942017,1712226270,,False,1,7f56f525,2024-04-04_12-24-30,332.37572169303894,332.37572169303894,36812,AT-MB-PC-E13,127.0.0.1,332.37572169303894,1,64,3,0.5,1e-05
6.320000171661377,-46.77,0.13,41.439998626708984,6.440000057220459,6.31593023245327,1976.8861627578735,5.5,-33.36,0.01,31.540000915527344,5.619999885559082,5.504250617834707,1722.8304433822632,1712226526,,False,2,7f56f525,2024-04-04_12-28-46,256.5042893886566,588.8800110816956,36812,AT-MB-PC-E13,127.0.0.1,588.8800110816956,2,64,3,0.5,1e-05
5.570000171661377,-37.53,-0.13,33.41999816894531,5.78000020980835,5.568579228922201,1742.965298652649,4.570000171661377,-25.29,-0.27,24.1299991607666,4.909999847412109,4.567548832573449,1429.6427845954895,1712226810,,False,3,7f56f525,2024-04-04_12-33-30,283.8992018699646,872.7792129516602,36812,AT-MB-PC-E13,127.0.0.1,872.7792129516602,3,64,3,0.5,1e-05
4.570000171661377,-27.33,-0.22,24.579999923706055,4.960000038146973,4.56385649507419,1428.4870829582214,3.4600000381469727,-15.69,-0.17,15.319999694824219,3.9100000858306885,3.457592629776976,1082.2264931201935,1712227021,,False,4,7f56f525,2024-04-04_12-37-01,211.4346854686737,1084.2138984203339,36812,AT-MB-PC-E13,127.0.0.1,1084.2138984203339,4,64,3,0.5,1e-05
3.5799999237060547,-17.98,-0.13,16.469999313354492,4.059999942779541,3.5814677107448394,1120.9993934631348,2.309999942779541,-8.21,0.05,8.449999809265137,2.9100000858306885,2.305195756613637,721.5262718200684,1712227261,,False,5,7f56f525,2024-04-04_12-41-01,239.34499382972717,1323.558892250061,36812,AT-MB-PC-E13,127.0.0.1,1323.558892250061,5,64,3,0.5,1e-05
2.5999999046325684,-10.57,0.04,10.039999961853027,3.1700000762939453,2.6029482619069255,814.7228059768677,1.8899999856948853,-5.52,0.17,5.989999771118164,2.450000047683716,1.888942537597193,591.2390142679214,1712227470,,False,6,7f56f525,2024-04-04_12-44-30,209.56093645095825,1533.1198287010193,36812,AT-MB-PC-E13,127.0.0.1,1533.1198287010193,6,64,3,0.5,1e-05
2.0999999046325684,-7.3,0.11,7.199999809265137,2.680000066757202,2.1034831696044143,658.3902320861816,1.6699999570846558,-4.22,0.19,4.789999961853027,2.190000057220459,1.670995770551907,523.0216761827469,1712227707,,False,7,7f56f525,2024-04-04_12-48-27,236.37428736686707,1769.4941160678864,36812,AT-MB-PC-E13,127.0.0.1,1769.4941160678864,7,64,3,0.5,1e-05
1.840000033378601,-5.71,0.14,5.820000171661377,2.4100000858306885,1.8365699079470894,574.846381187439,1.2999999523162842,-2.53,0.31,3.240000009536743,1.7999999523162842,1.2989058426013007,406.55752873420715,1712227920,,False,8,7f56f525,2024-04-04_12-52-00,212.9767291545868,1982.4708452224731,36812,AT-MB-PC-E13,127.0.0.1,1982.4708452224731,8,64,3,0.5,1e-05
1.7300000190734863,-4.96,0.18,5.170000076293945,2.2699999809265137,1.7302127402430525,541.5565876960754,1.600000023841858,-3.63,0.15,4.25,2.059999942779541,1.596924613839902,499.83740413188934,1712228146,,False,9,7f56f525,2024-04-04_12-55-46,226.6965982913971,2209.1674435138702,36812,AT-MB-PC-E13,127.0.0.1,2209.1674435138702,9,64,3,0.5,1e-05
1.6200000047683716,-4.34,0.2,4.630000114440918,2.1500000953674316,1.6226082011914482,507.8763669729233,1.5199999809265137,-3.47,0.17,4.099999904632568,2.0299999713897705,1.5209892723507012,476.0696422457695,1712228356,,False,10,7f56f525,2024-04-04_12-59-16,209.40258145332336,2418.5700249671936,36812,AT-MB-PC-E13,127.0.0.1,2418.5700249671936,10,64,3,0.5,1e-05
1.5499999523162842,-4.01,0.24,4.340000152587891,2.0799999237060547,1.5471685359272331,484.263751745224,1.1799999475479126,-2.17,0.37,2.9100000858306885,1.7100000381469727,1.1752653114331035,367.8580424785614,1712228572,,False,11,7f56f525,2024-04-04_13-02-52,216.28021240234375,2634.8502373695374,36812,AT-MB-PC-E13,127.0.0.1,2634.8502373695374,11,64,3,0.5,1e-05
1.440000057220459,-3.26,0.25,3.700000047683716,1.9199999570846558,1.4385918609250468,450.27925246953964,1.2000000476837158,-2.2,0.4,2.930000066757202,1.7100000381469727,1.1982042875152807,375.03794199228287,1712228795,,False,12,7f56f525,2024-04-04_13-06-35,223.21423935890198,2858.0644767284393,36812,AT-MB-PC-E13,127.0.0.1,2858.0644767284393,12,64,3,0.5,1e-05
1.340000033378601,-2.68,0.27,3.200000047683716,1.7899999618530273,1.33768914035334,418.6967009305954,1.100000023841858,-1.72,0.44,2.5,1.5800000429153442,1.104309696739855,345.6489350795746,1712229011,,False,13,7f56f525,2024-04-04_13-10-11,215.7057590484619,3073.7702357769012,36812,AT-MB-PC-E13,127.0.0.1,3073.7702357769012,13,64,3,0.5,1e-05
1.2400000095367432,-2.15,0.3,2.740000009536743,1.649999976158142,1.238964121181744,387.79576992988586,1.1100000143051147,-1.61,0.38,2.4000000953674316,1.5499999523162842,1.1142494865118886,348.76008927822113,1712229240,,False,14,7f56f525,2024-04-04_13-14-00,229.19287705421448,3302.9631128311157,36812,AT-MB-PC-E13,127.0.0.1,3302.9631128311157,14,64,3,0.5,1e-05
1.1799999475479126,-1.85,0.32,2.4700000286102295,1.5700000524520874,1.1789728165053712,369.0184915661812,1.2100000381469727,-1.94,0.44,2.700000047683716,1.6399999856948853,1.2070218355130082,377.7978345155716,1712229454,,True,15,7f56f525,2024-04-04_13-17-34,213.3427050113678,3516.3058178424835,36812,AT-MB-PC-E13,127.0.0.1,3516.3058178424835,15,64,3,0.5,1e-05
