train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.45,0.91,0.6,0.52,1.1348934822222765,38.586378395557404,0.48,0.48,1.0,0.65,0.54,1.1359278202056884,5.679639101028442,1712069841,,False,1,26cea12b,2024-04-02_16-57-21,60.26262021064758,60.26262021064758,23976,AT-MB-PC-EOS,127.0.0.1,60.26262021064758,1,128,3,0.0,0.001
0.58,0.53,0.55,0.54,0.62,0.734361073550056,24.968276500701904,0.52,0.5,0.6,0.54,0.55,0.935189139842987,4.675945699214935,1712069894,,False,2,26cea12b,2024-04-02_16-58-14,52.13747835159302,112.4000985622406,23976,AT-MB-PC-EOS,127.0.0.1,112.4000985622406,2,128,3,0.0,0.001
0.71,0.67,0.68,0.68,0.77,0.5754462195669904,19.565171465277672,0.62,0.6,0.62,0.61,0.65,0.9857647180557251,4.9288235902786255,1712069951,,False,3,26cea12b,2024-04-02_16-59-11,57.51259446144104,169.91269302368164,23976,AT-MB-PC-EOS,127.0.0.1,169.91269302368164,3,128,3,0.0,0.001
0.69,0.65,0.65,0.65,0.75,0.635557076510261,21.608940601348877,0.62,0.67,0.4,0.5,0.71,0.648047125339508,3.2402356266975403,1712070005,,False,4,26cea12b,2024-04-02_17-00-05,54.309041023254395,224.22173404693604,23976,AT-MB-PC-EOS,127.0.0.1,224.22173404693604,4,128,3,0.0,0.001
0.75,0.74,0.69,0.71,0.8,0.5679800571764216,19.311321943998337,0.59,0.55,0.71,0.62,0.65,0.8786615490913391,4.393307745456696,1712070060,,False,5,26cea12b,2024-04-02_17-01-00,54.66305351257324,278.8847875595093,23976,AT-MB-PC-EOS,127.0.0.1,278.8847875595093,5,128,3,0.0,0.001
0.75,0.73,0.7,0.71,0.81,0.5774673109545427,19.633888572454453,0.58,0.55,0.6,0.57,0.62,0.9854156851768494,4.927078425884247,1712070114,,False,6,26cea12b,2024-04-02_17-01-54,54.3526668548584,333.2374544143677,23976,AT-MB-PC-EOS,127.0.0.1,333.2374544143677,6,128,3,0.0,0.001
0.72,0.68,0.7,0.69,0.78,0.6049195633215063,20.567265152931213,0.51,0.48,0.44,0.46,0.55,1.1584509134292602,5.792254567146301,1712070167,,False,7,26cea12b,2024-04-02_17-02-47,52.47078824043274,385.7082426548004,23976,AT-MB-PC-EOS,127.0.0.1,385.7082426548004,7,128,3,0.0,0.001
0.74,0.71,0.71,0.71,0.81,0.54836165729691,18.64429634809494,0.61,0.57,0.71,0.63,0.69,0.8384684205055237,4.192342102527618,1712070220,,False,8,26cea12b,2024-04-02_17-03-40,52.701926946640015,438.41016960144043,23976,AT-MB-PC-EOS,127.0.0.1,438.41016960144043,8,128,3,0.0,0.001
0.76,0.73,0.75,0.74,0.83,0.5527386104359346,18.793112754821777,0.52,0.5,0.31,0.38,0.58,1.0766871571540833,5.383435785770416,1712070273,,False,9,26cea12b,2024-04-02_17-04-33,53.368178606033325,491.77834820747375,23976,AT-MB-PC-EOS,127.0.0.1,491.77834820747375,9,128,3,0.0,0.001
0.76,0.73,0.74,0.73,0.82,0.544586808365934,18.515951484441757,0.67,0.61,0.82,0.7,0.68,0.7462302327156067,3.7311511635780334,1712070329,,False,10,26cea12b,2024-04-02_17-05-29,56.55606555938721,548.334413766861,23976,AT-MB-PC-EOS,127.0.0.1,548.334413766861,10,128,3,0.0,0.001
0.72,0.7,0.67,0.68,0.79,0.6015755130964167,20.453567445278168,0.56,0.53,0.6,0.56,0.56,0.839896845817566,4.19948422908783,1712070387,,False,11,26cea12b,2024-04-02_17-06-27,57.7269024848938,606.0613162517548,23976,AT-MB-PC-EOS,127.0.0.1,606.0613162517548,11,128,3,0.0,0.001
0.75,0.7,0.77,0.73,0.81,0.5375095781157998,18.275325655937195,0.62,0.85,0.24,0.37,0.7,1.0498162508010864,5.249081254005432,1712070443,,False,12,26cea12b,2024-04-02_17-07-23,55.39019250869751,661.4515087604523,23976,AT-MB-PC-EOS,127.0.0.1,661.4515087604523,12,128,3,0.0,0.001
0.76,0.73,0.74,0.73,0.84,0.5005916900494519,17.020117461681366,0.58,0.59,0.36,0.45,0.61,0.9544604182243347,4.772302091121674,1712070498,,False,13,26cea12b,2024-04-02_17-08-18,55.16827416419983,716.6197829246521,23976,AT-MB-PC-EOS,127.0.0.1,716.6197829246521,13,128,3,0.0,0.001
0.77,0.75,0.74,0.74,0.85,0.5005902770687553,17.020069420337677,0.7,0.68,0.72,0.7,0.73,0.6982115507125854,3.4910577535629272,1712070550,,False,14,26cea12b,2024-04-02_17-09-10,52.134565353393555,768.7543482780457,23976,AT-MB-PC-EOS,127.0.0.1,768.7543482780457,14,128,3,0.0,0.001
0.78,0.72,0.83,0.77,0.86,0.466112403308644,15.847821712493896,0.55,0.58,0.21,0.31,0.57,1.2377452969551086,6.188726484775543,1712070600,,True,15,26cea12b,2024-04-02_17-10-00,50.063639640808105,818.8179879188538,23976,AT-MB-PC-EOS,127.0.0.1,818.8179879188538,15,128,3,0.0,0.001
