train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
4.900000095367432,-28.0,-0.26,25.170000076293945,5.019999980926514,4.898474185894697,1528.3239459991455,4.989999771118164,-27.37,-0.4,26.040000915527344,5.099999904632568,0.35,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.3,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.23,0.23,0.22,0.21,4.986633206327883,1560.8161935806274,1712340584,,False,1,a0aa8d87,2024-04-05_18-09-44,569.9931082725525,569.9931082725525,1015038,vader,131.130.125.97,569.9931082725525,1,128,10,0.2,0.0001
2.259999990463257,-8.52,0.1,8.260000228881836,2.869999885559082,2.2557931188971567,703.8074530959129,1.2899999618530273,-2.58,0.28,3.2799999713897705,1.809999942779541,0.59,0.59,0.6,0.6,0.61,0.62,0.62,0.63,0.63,0.63,0.64,0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.66,0.65,1.2854585466674342,402.3485251069069,1712341068,,False,2,a0aa8d87,2024-04-05_18-17-48,483.7735047340393,1053.7666130065918,1015038,vader,131.130.125.97,1053.7666130065918,2,128,10,0.2,0.0001
1.100000023841858,-1.58,0.37,2.240000009536743,1.5,1.0980737408002217,342.5990071296692,0.7699999809265137,-0.23,0.61,1.1299999952316284,1.059999942779541,0.73,0.74,0.75,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.85,0.86,0.87,0.88,0.88,0.89,0.89,0.89,0.7660292402243081,239.76715219020844,1712341547,,False,3,a0aa8d87,2024-04-05_18-25-47,478.5805449485779,1532.3471579551697,1015038,vader,131.130.125.97,1532.3471579551697,3,128,10,0.2,0.0001
0.7799999713897705,-0.22,0.52,1.059999942779541,1.0299999713897705,0.775976695980017,242.1047291457653,0.6700000166893005,0.08,0.68,0.8500000238418579,0.9200000166893005,0.74,0.76,0.77,0.79,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.88,0.88,0.89,0.9,0.9,0.91,0.91,0.92,0.6698311103609043,209.65713754296303,1712342053,,False,4,a0aa8d87,2024-04-05_18-34-13,505.9706361293793,2038.317794084549,1015038,vader,131.130.125.97,2038.317794084549,4,128,10,0.2,0.0001
0.6800000071525574,0.07,0.58,0.8100000023841858,0.8999999761581421,0.679866750844014,212.11842626333237,0.5600000023841858,0.34,0.71,0.6000000238418579,0.7799999713897705,0.76,0.77,0.78,0.8,0.81,0.82,0.83,0.84,0.86,0.86,0.87,0.88,0.89,0.89,0.9,0.9,0.91,0.91,0.92,0.92,0.5624452188563424,176.04535350203514,1712342560,,False,5,a0aa8d87,2024-04-05_18-42-40,506.74760842323303,2545.065402507782,1015038,vader,131.130.125.97,2545.065402507782,5,128,10,0.2,0.0001
0.6399999856948853,0.19,0.62,0.699999988079071,0.8399999737739563,0.6373179050592276,198.843186378479,0.6700000166893005,0.05,0.73,0.8700000047683716,0.9300000071525574,0.77,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.91,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.6717317145282087,210.25202664732933,1712343065,,False,6,a0aa8d87,2024-04-05_18-51-05,504.9511957168579,3050.01659822464,1015038,vader,131.130.125.97,3050.01659822464,6,128,10,0.2,0.0001
0.6000000238418579,0.28,0.66,0.6200000047683716,0.7900000214576721,0.5952547722711012,185.7194889485836,0.5,0.45,0.75,0.5099999904632568,0.7099999785423279,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.89,0.9,0.9,0.91,0.91,0.92,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.5048739565447116,158.02554839849472,1712343549,,False,7,a0aa8d87,2024-04-05_18-59-09,484.00059604644775,3534.0171942710876,1015038,vader,131.130.125.97,3534.0171942710876,7,128,10,0.2,0.0001
0.5699999928474426,0.36,0.68,0.5600000023841858,0.75,0.565113362784569,176.31536918878555,0.5400000214576721,0.36,0.72,0.5899999737739563,0.7699999809265137,0.78,0.79,0.8,0.82,0.83,0.84,0.86,0.87,0.88,0.89,0.89,0.9,0.91,0.91,0.92,0.92,0.93,0.93,0.93,0.92,0.5446925122326556,170.48875632882118,1712343995,,False,8,a0aa8d87,2024-04-05_19-06-35,446.4526524543762,3980.469846725464,1015038,vader,131.130.125.97,3980.469846725464,8,128,10,0.2,0.0001
0.5600000023841858,0.36,0.68,0.5600000023841858,0.75,0.5641676930662913,176.0203202366829,0.5099999904632568,0.49,0.78,0.46000000834465027,0.6800000071525574,0.81,0.83,0.84,0.85,0.87,0.88,0.89,0.9,0.91,0.92,0.92,0.93,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.5112834954604554,160.03173407912254,1712344413,,False,9,a0aa8d87,2024-04-05_19-13-33,417.7174847126007,4398.187331438065,1015038,vader,131.130.125.97,4398.187331438065,9,128,10,0.2,0.0001
0.5299999713897705,0.43,0.71,0.5,0.7099999785423279,0.5329284061415073,166.27366271615028,0.5199999809265137,0.43,0.76,0.5199999809265137,0.7200000286102295,0.8,0.82,0.83,0.84,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.95,0.5247364732594536,164.24251613020897,1712344819,,False,10,a0aa8d87,2024-04-05_19-20-19,406.51337003707886,4804.700701475143,1015038,vader,131.130.125.97,4804.700701475143,10,128,10,0.2,0.0001
