train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.1,0.51,0.789226752168992,134.16854786872864,0.07,0.55,0.1,0.51,1.3530532932281494,33.826332330703735,1711986013,,False,1,6fdd255e,2024-04-01_17-40-13,132.03077220916748,132.03077220916748,27992,AT-MB-PC-EOS,127.0.0.1,132.03077220916748,1,64,10,0.2,0.001
0.08,0.86,0.09,0.53,0.39074186542454886,66.42611712217331,0.07,0.93,0.13,0.57,0.41130186200141905,10.282546550035477,1711986141,,False,2,6fdd255e,2024-04-01_17-42-21,127.55744910240173,259.5882213115692,27992,AT-MB-PC-EOS,127.0.0.1,259.5882213115692,2,64,10,0.2,0.001
0.08,0.92,0.14,0.61,0.290196788048043,49.333453968167305,0.07,0.93,0.14,0.58,0.40778809010982514,10.194702252745628,1711986258,,False,3,6fdd255e,2024-04-01_17-44-18,117.64089250564575,377.22911381721497,27992,AT-MB-PC-EOS,127.0.0.1,377.22911381721497,3,64,10,0.2,0.001
0.08,0.92,0.16,0.65,0.275466972414185,46.82938531041145,0.07,0.92,0.14,0.55,0.3705904296040535,9.264760740101337,1711986384,,False,4,6fdd255e,2024-04-01_17-46-24,126.08855390548706,503.317667722702,27992,AT-MB-PC-EOS,127.0.0.1,503.317667722702,4,64,10,0.2,0.001
0.08,0.92,0.17,0.66,0.264973240740159,45.045450925827026,0.07,0.93,0.23,0.68,0.3160784003138542,7.901960007846355,1711986509,,False,5,6fdd255e,2024-04-01_17-48-29,125.12256407737732,628.4402318000793,27992,AT-MB-PC-EOS,127.0.0.1,628.4402318000793,5,64,10,0.2,0.001
0.08,0.92,0.19,0.67,0.25687215810312947,43.668266877532005,0.07,0.93,0.19,0.62,0.2746749827265739,6.866874568164349,1711986642,,False,6,6fdd255e,2024-04-01_17-50-42,132.6742377281189,761.1144695281982,27992,AT-MB-PC-EOS,127.0.0.1,761.1144695281982,6,64,10,0.2,0.001
0.08,0.92,0.2,0.68,0.25094315208056395,42.66033585369587,0.07,0.93,0.23,0.67,0.25933166533708574,6.483291633427143,1711986774,,False,7,6fdd255e,2024-04-01_17-52-54,131.7173318862915,892.8318014144897,27992,AT-MB-PC-EOS,127.0.0.1,892.8318014144897,7,64,10,0.2,0.001
0.08,0.92,0.23,0.71,0.236841388441184,40.26303603500128,0.07,0.92,0.18,0.64,0.27864415645599366,6.966103911399841,1711986899,,False,8,6fdd255e,2024-04-01_17-54-59,125.44899201393127,1018.280793428421,27992,AT-MB-PC-EOS,127.0.0.1,1018.280793428421,8,64,10,0.2,0.001
0.08,0.93,0.25,0.72,0.23452056203694904,39.86849554628134,0.07,0.93,0.26,0.71,0.26052326381206514,6.513081595301628,1711987026,,False,9,6fdd255e,2024-04-01_17-57-06,126.77361726760864,1145.0544106960297,27992,AT-MB-PC-EOS,127.0.0.1,1145.0544106960297,9,64,10,0.2,0.001
0.08,0.92,0.24,0.72,0.23362946725066971,39.71700943261385,0.07,0.93,0.19,0.63,0.5151384365558624,12.87846091389656,1711987151,,False,10,6fdd255e,2024-04-01_17-59-11,125.0244574546814,1270.078868150711,27992,AT-MB-PC-EOS,127.0.0.1,1270.078868150711,10,64,10,0.2,0.001
0.08,0.93,0.27,0.74,0.22770017293446204,38.70902939885855,0.07,0.93,0.25,0.74,0.2325426971912384,5.81356742978096,1711987292,,False,11,6fdd255e,2024-04-01_18-01-32,140.4743173122406,1410.5531854629517,27992,AT-MB-PC-EOS,127.0.0.1,1410.5531854629517,11,64,10,0.2,0.001
0.08,0.93,0.27,0.75,0.22555398818324593,38.34417799115181,0.07,0.93,0.28,0.75,0.2205400425195694,5.513501062989235,1711987426,,False,12,6fdd255e,2024-04-01_18-03-46,134.83760523796082,1545.3907907009125,27992,AT-MB-PC-EOS,127.0.0.1,1545.3907907009125,12,64,10,0.2,0.001
0.08,0.93,0.31,0.77,0.2154135113253313,36.62029692530632,0.07,0.93,0.28,0.73,0.23027668714523317,5.756917178630829,1711987559,,False,13,6fdd255e,2024-04-01_18-05-59,132.16348218917847,1677.554272890091,27992,AT-MB-PC-EOS,127.0.0.1,1677.554272890091,13,64,10,0.2,0.001
0.08,0.93,0.31,0.77,0.21584031976321164,36.69285435974598,0.07,0.93,0.29,0.76,0.21468017578125,5.36700439453125,1711987684,,False,14,6fdd255e,2024-04-01_18-08-04,125.351815700531,1802.906088590622,27992,AT-MB-PC-EOS,127.0.0.1,1802.906088590622,14,64,10,0.2,0.001
0.08,0.93,0.31,0.77,0.2178647883236408,37.03701401501894,0.07,0.93,0.27,0.72,0.22001766204833983,5.500441551208496,1711987806,,True,15,6fdd255e,2024-04-01_18-10-06,122.01109719276428,1924.9171857833862,27992,AT-MB-PC-EOS,127.0.0.1,1924.9171857833862,15,64,10,0.2,0.001
