train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.44,0.09,0.5,1.1801852994105395,200.63150089979172,0.07,0.44,0.1,0.51,1.235246548652649,30.881163716316223,1711983844,,False,1,77db2c0a,2024-04-01_17-04-04,53.074291944503784,53.074291944503784,26928,AT-MB-PC-EOS,127.0.0.1,53.074291944503784,1,64,3,0.0,0.0001
0.08,0.68,0.09,0.5,0.6364467424504897,108.19594621658325,0.07,0.82,0.14,0.53,0.4825429105758667,12.063572764396667,1711983890,,False,2,77db2c0a,2024-04-01_17-04-50,46.274296283721924,99.34858822822571,26928,AT-MB-PC-EOS,127.0.0.1,99.34858822822571,2,64,3,0.0,0.0001
0.08,0.86,0.15,0.56,0.42063029145493225,71.50714954733849,0.07,0.9,0.17,0.58,0.364853630065918,9.12134075164795,1711983936,,False,3,77db2c0a,2024-04-01_17-05-36,45.489337682724,144.8379259109497,26928,AT-MB-PC-EOS,127.0.0.1,144.8379259109497,3,64,3,0.0,0.0001
0.08,0.91,0.17,0.58,0.33335667208713643,56.670634254813194,0.07,0.92,0.2,0.61,0.3018967968225479,7.547419920563698,1711983980,,False,4,77db2c0a,2024-04-01_17-06-20,44.48016095161438,189.3180868625641,26928,AT-MB-PC-EOS,127.0.0.1,189.3180868625641,4,64,3,0.0,0.0001
0.08,0.92,0.19,0.61,0.29011918639435486,49.32026168704033,0.07,0.92,0.21,0.63,0.27242928475141526,6.810732118785381,1711984026,,False,5,77db2c0a,2024-04-01_17-07-06,46.41693139076233,235.73501825332642,26928,AT-MB-PC-EOS,127.0.0.1,235.73501825332642,5,64,3,0.0,0.0001
0.08,0.92,0.21,0.63,0.26840276341227925,45.62846978008747,0.07,0.93,0.21,0.62,0.259221311211586,6.48053278028965,1711984067,,False,6,77db2c0a,2024-04-01_17-07-47,40.71305561065674,276.44807386398315,26928,AT-MB-PC-EOS,127.0.0.1,276.44807386398315,6,64,3,0.0,0.0001
0.08,0.92,0.23,0.67,0.25540620596969826,43.41905501484871,0.07,0.92,0.26,0.71,0.2675380343198776,6.688450857996941,1711984109,,False,7,77db2c0a,2024-04-01_17-08-29,41.54777646064758,317.99585032463074,26928,AT-MB-PC-EOS,127.0.0.1,317.99585032463074,7,64,3,0.0,0.0001
0.08,0.92,0.25,0.7,0.2428583470337531,41.28591899573803,0.07,0.93,0.25,0.68,0.23814684957265853,5.9536712393164635,1711984157,,False,8,77db2c0a,2024-04-01_17-09-17,47.909512519836426,365.90536284446716,26928,AT-MB-PC-EOS,127.0.0.1,365.90536284446716,8,64,3,0.0,0.0001
0.08,0.93,0.28,0.73,0.23532169040511636,40.00468736886978,0.07,0.92,0.26,0.71,0.24176984250545502,6.044246062636375,1711984203,,False,9,77db2c0a,2024-04-01_17-10-03,46.553149938583374,412.45851278305054,26928,AT-MB-PC-EOS,127.0.0.1,412.45851278305054,9,64,3,0.0,0.0001
0.08,0.93,0.29,0.75,0.22796625389772304,38.754263162612915,0.07,0.93,0.25,0.71,0.2294733139872551,5.736832849681377,1711984251,,False,10,77db2c0a,2024-04-01_17-10-51,48.03118419647217,460.4896969795227,26928,AT-MB-PC-EOS,127.0.0.1,460.4896969795227,10,64,3,0.0,0.0001
0.08,0.93,0.3,0.75,0.22943560638848473,39.004053086042404,0.07,0.87,0.26,0.72,0.3276314091682434,8.190785229206085,1711984299,,False,11,77db2c0a,2024-04-01_17-11-39,47.65288996696472,508.1425869464874,26928,AT-MB-PC-EOS,127.0.0.1,508.1425869464874,11,64,3,0.0,0.0001
0.08,0.93,0.33,0.78,0.21505091212251606,36.55865506082773,0.07,0.93,0.25,0.71,0.27591037094593046,6.897759273648262,1711984345,,False,12,77db2c0a,2024-04-01_17-12-25,46.277703523635864,554.4202904701233,26928,AT-MB-PC-EOS,127.0.0.1,554.4202904701233,12,64,3,0.0,0.0001
0.08,0.93,0.34,0.78,0.21107153037891668,35.882160164415836,0.07,0.92,0.34,0.78,0.23151314437389373,5.7878286093473434,1711984394,,False,13,77db2c0a,2024-04-01_17-13-14,48.39266300201416,602.8129534721375,26928,AT-MB-PC-EOS,127.0.0.1,602.8129534721375,13,64,3,0.0,0.0001
0.08,0.93,0.36,0.79,0.208411652419497,35.42998091131449,0.07,0.93,0.28,0.72,0.2699651011824608,6.74912752956152,1711984440,,False,14,77db2c0a,2024-04-01_17-14-00,46.66335391998291,649.4763073921204,26928,AT-MB-PC-EOS,127.0.0.1,649.4763073921204,14,64,3,0.0,0.0001
0.08,0.93,0.37,0.8,0.20775646869750583,35.31859967857599,0.07,0.93,0.35,0.79,0.21839951515197753,5.4599878787994385,1711984489,,False,15,77db2c0a,2024-04-01_17-14-49,48.706857442855835,698.1831648349762,26928,AT-MB-PC-EOS,127.0.0.1,698.1831648349762,15,64,3,0.0,0.0001
0.08,0.93,0.39,0.81,0.2008763470193919,34.14897899329662,0.07,0.93,0.33,0.79,0.21198489606380463,5.299622401595116,1711984536,,False,16,77db2c0a,2024-04-01_17-15-36,47.450921297073364,745.6340861320496,26928,AT-MB-PC-EOS,127.0.0.1,745.6340861320496,16,64,3,0.0,0.0001
0.08,0.93,0.4,0.82,0.1969858202864142,33.487589448690414,0.07,0.93,0.32,0.77,0.21254434823989868,5.313608705997467,1711984583,,False,17,77db2c0a,2024-04-01_17-16-23,47.02405905723572,792.6581451892853,26928,AT-MB-PC-EOS,127.0.0.1,792.6581451892853,17,64,3,0.0,0.0001
0.08,0.93,0.42,0.82,0.19397561830632826,32.975855112075806,0.07,0.93,0.32,0.75,0.21581862062215806,5.395465515553951,1711984632,,False,18,77db2c0a,2024-04-01_17-17-12,48.07041049003601,840.7285556793213,26928,AT-MB-PC-EOS,127.0.0.1,840.7285556793213,18,64,3,0.0,0.0001
0.08,0.93,0.41,0.82,0.19465664414798511,33.09162950515747,0.07,0.93,0.36,0.79,0.2072635382413864,5.18158845603466,1711984677,,False,19,77db2c0a,2024-04-01_17-17-57,45.94754219055176,886.676097869873,26928,AT-MB-PC-EOS,127.0.0.1,886.676097869873,19,64,3,0.0,0.0001
0.08,0.93,0.43,0.83,0.190811698796118,32.43798879534006,0.07,0.93,0.36,0.76,0.22209322988986968,5.552330747246742,1711984726,,False,20,77db2c0a,2024-04-01_17-18-46,48.67552828788757,935.3516261577606,26928,AT-MB-PC-EOS,127.0.0.1,935.3516261577606,20,64,3,0.0,0.0001
0.08,0.94,0.44,0.83,0.189522204942563,32.21877484023571,0.07,0.93,0.34,0.77,0.22375601917505264,5.593900479376316,1711984773,,False,21,77db2c0a,2024-04-01_17-19-33,47.31442904472351,982.6660552024841,26928,AT-MB-PC-EOS,127.0.0.1,982.6660552024841,21,64,3,0.0,0.0001
0.08,0.94,0.45,0.84,0.18489287894438294,31.4317894205451,0.07,0.93,0.38,0.78,0.2153376117348671,5.383440293371677,1711984821,,False,22,77db2c0a,2024-04-01_17-20-21,47.05106329917908,1029.7171185016632,26928,AT-MB-PC-EOS,127.0.0.1,1029.7171185016632,22,64,3,0.0,0.0001
0.08,0.94,0.46,0.85,0.183787502348423,31.24387539923191,0.07,0.93,0.35,0.78,0.2108262312412262,5.270655781030655,1711984869,,False,23,77db2c0a,2024-04-01_17-21-09,48.06253671646118,1077.7796552181244,26928,AT-MB-PC-EOS,127.0.0.1,1077.7796552181244,23,64,3,0.0,0.0001
0.08,0.94,0.47,0.85,0.18074631480609668,30.726873517036438,0.07,0.93,0.36,0.78,0.2141957151889801,5.354892879724503,1711984915,,False,24,77db2c0a,2024-04-01_17-21-55,46.53074908256531,1124.3104043006897,26928,AT-MB-PC-EOS,127.0.0.1,1124.3104043006897,24,64,3,0.0,0.0001
0.08,0.94,0.48,0.86,0.1776928320965346,30.207781456410885,0.07,0.93,0.33,0.75,0.23622416943311692,5.905604235827923,1711984964,,False,25,77db2c0a,2024-04-01_17-22-44,48.459086418151855,1172.7694907188416,26928,AT-MB-PC-EOS,127.0.0.1,1172.7694907188416,25,64,3,0.0,0.0001
0.08,0.94,0.48,0.86,0.17777155926998925,30.22116507589817,0.07,0.94,0.37,0.79,0.21186720013618468,5.296680003404617,1711985010,,False,26,77db2c0a,2024-04-01_17-23-30,46.882333278656006,1219.6518239974976,26928,AT-MB-PC-EOS,127.0.0.1,1219.6518239974976,26,64,3,0.0,0.0001
0.08,0.94,0.5,0.86,0.17486909829518374,29.727746710181236,0.07,0.93,0.4,0.8,0.20693244963884352,5.173311240971088,1711985057,,False,27,77db2c0a,2024-04-01_17-24-17,46.41052198410034,1266.062345981598,26928,AT-MB-PC-EOS,127.0.0.1,1266.062345981598,27,64,3,0.0,0.0001
0.08,0.94,0.5,0.87,0.1719102593467516,29.224744088947773,0.07,0.93,0.38,0.79,0.2165389448404312,5.41347362101078,1711985105,,False,28,77db2c0a,2024-04-01_17-25-05,48.360613107681274,1314.4229590892792,26928,AT-MB-PC-EOS,127.0.0.1,1314.4229590892792,28,64,3,0.0,0.0001
0.08,0.94,0.51,0.87,0.17271036269033657,29.360761657357216,0.07,0.94,0.4,0.79,0.20096460819244386,5.024115204811096,1711985151,,False,29,77db2c0a,2024-04-01_17-25-51,46.03442859649658,1360.4573876857758,26928,AT-MB-PC-EOS,127.0.0.1,1360.4573876857758,29,64,3,0.0,0.0001
0.08,0.94,0.52,0.87,0.17042105211054578,28.971578858792782,0.07,0.93,0.38,0.8,0.20611138999462128,5.152784749865532,1711985207,,False,30,77db2c0a,2024-04-01_17-26-47,55.51622772216797,1415.9736154079437,26928,AT-MB-PC-EOS,127.0.0.1,1415.9736154079437,30,64,3,0.0,0.0001
0.08,0.94,0.52,0.87,0.17009152200292138,28.915558740496635,0.07,0.93,0.38,0.81,0.20736651331186295,5.184162832796574,1711985255,,False,31,77db2c0a,2024-04-01_17-27-35,48.21804165840149,1464.1916570663452,26928,AT-MB-PC-EOS,127.0.0.1,1464.1916570663452,31,64,3,0.0,0.0001
0.08,0.94,0.53,0.88,0.16801940557711265,28.56329894810915,0.07,0.93,0.38,0.78,0.20953025043010712,5.238256260752678,1711985302,,False,32,77db2c0a,2024-04-01_17-28-22,47.00735664367676,1511.199013710022,26928,AT-MB-PC-EOS,127.0.0.1,1511.199013710022,32,64,3,0.0,0.0001
0.08,0.94,0.55,0.88,0.16452939264914568,27.969996750354767,0.07,0.94,0.38,0.79,0.20954527020454405,5.238631755113602,1711985351,,False,33,77db2c0a,2024-04-01_17-29-11,48.907357692718506,1560.1063714027405,26928,AT-MB-PC-EOS,127.0.0.1,1560.1063714027405,33,64,3,0.0,0.0001
0.08,0.94,0.55,0.89,0.16242356905165842,27.61200673878193,0.07,0.93,0.34,0.77,0.22582535028457643,5.64563375711441,1711985397,,False,34,77db2c0a,2024-04-01_17-29-57,46.10772204399109,1606.2140934467316,26928,AT-MB-PC-EOS,127.0.0.1,1606.2140934467316,34,64,3,0.0,0.0001
0.08,0.94,0.56,0.89,0.16199532725355203,27.539205633103848,0.07,0.93,0.33,0.76,0.2309682163596153,5.774205408990383,1711985446,,False,35,77db2c0a,2024-04-01_17-30-46,48.65380263328552,1654.867896080017,26928,AT-MB-PC-EOS,127.0.0.1,1654.867896080017,35,64,3,0.0,0.0001
0.08,0.94,0.56,0.89,0.1605447232723236,27.292602956295013,0.07,0.94,0.4,0.8,0.20217737227678298,5.054434306919575,1711985493,,False,36,77db2c0a,2024-04-01_17-31-33,47.00839924812317,1701.8762953281403,26928,AT-MB-PC-EOS,127.0.0.1,1701.8762953281403,36,64,3,0.0,0.0001
0.08,0.94,0.56,0.89,0.1588423415141947,27.0031980574131,0.07,0.93,0.38,0.8,0.22009583815932274,5.5023959539830685,1711985539,,False,37,77db2c0a,2024-04-01_17-32-19,46.74666428565979,1748.6229596138,26928,AT-MB-PC-EOS,127.0.0.1,1748.6229596138,37,64,3,0.0,0.0001
0.08,0.94,0.57,0.89,0.15819321590311386,26.892846703529358,0.07,0.93,0.38,0.8,0.21836311995983124,5.459077998995781,1711985586,,False,38,77db2c0a,2024-04-01_17-33-06,46.39011812210083,1795.0130777359009,26928,AT-MB-PC-EOS,127.0.0.1,1795.0130777359009,38,64,3,0.0,0.0001
0.08,0.94,0.58,0.9,0.15638718355227918,26.585821203887463,0.07,0.93,0.38,0.8,0.20419688880443573,5.104922220110893,1711985630,,False,39,77db2c0a,2024-04-01_17-33-50,44.58979320526123,1839.602870941162,26928,AT-MB-PC-EOS,127.0.0.1,1839.602870941162,39,64,3,0.0,0.0001
0.08,0.94,0.59,0.9,0.1536907067631974,26.127420149743557,0.07,0.94,0.38,0.79,0.20661152511835099,5.165288127958775,1711985681,,False,40,77db2c0a,2024-04-01_17-34-41,50.238407135009766,1889.8412780761719,26928,AT-MB-PC-EOS,127.0.0.1,1889.8412780761719,40,64,3,0.0,0.0001
0.08,0.94,0.6,0.9,0.15291327983140945,25.995257571339607,0.07,0.93,0.4,0.79,0.2021573668718338,5.053934171795845,1711985730,,False,41,77db2c0a,2024-04-01_17-35-30,49.309245109558105,1939.15052318573,26928,AT-MB-PC-EOS,127.0.0.1,1939.15052318573,41,64,3,0.0,0.0001
0.08,0.95,0.61,0.91,0.14991486708030982,25.485527403652668,0.07,0.93,0.37,0.79,0.21122095465660096,5.280523866415024,1711985779,,False,42,77db2c0a,2024-04-01_17-36-19,49.07010245323181,1988.2206256389618,26928,AT-MB-PC-EOS,127.0.0.1,1988.2206256389618,42,64,3,0.0,0.0001
0.08,0.95,0.61,0.91,0.1496313015327734,25.43732126057148,0.07,0.93,0.39,0.81,0.2089931783080101,5.2248294577002525,1711985828,,False,43,77db2c0a,2024-04-01_17-37-08,49.33796691894531,2037.558592557907,26928,AT-MB-PC-EOS,127.0.0.1,2037.558592557907,43,64,3,0.0,0.0001
0.08,0.95,0.62,0.91,0.1472319296615965,25.02942804247141,0.07,0.93,0.37,0.79,0.21175898760557174,5.293974690139294,1711985873,,False,44,77db2c0a,2024-04-01_17-37-53,45.03683590888977,2082.595428466797,26928,AT-MB-PC-EOS,127.0.0.1,2082.595428466797,44,64,3,0.0,0.0001
0.08,0.95,0.63,0.91,0.14658934092696976,24.920187957584858,0.07,0.94,0.39,0.79,0.2194151735305786,5.485379338264465,1711985922,,True,45,77db2c0a,2024-04-01_17-38-42,48.32612180709839,2130.9215502738953,26928,AT-MB-PC-EOS,127.0.0.1,2130.9215502738953,45,64,3,0.0,0.0001
