train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.1,0.5,1.009627997524598,171.63675957918167,0.07,0.55,0.12,0.51,1.0461916255950927,26.15479063987732,1711985988,,False,1,8868e683,2024-04-01_17-39-48,126.1459469795227,126.1459469795227,17756,AT-MB-PC-EOS,127.0.0.1,126.1459469795227,1,256,10,0.0,0.001
0.08,0.88,0.12,0.58,0.3544309098054381,60.25325466692448,0.07,0.92,0.21,0.67,0.28577654480934145,7.144413620233536,1711986113,,False,2,8868e683,2024-04-01_17-41-53,125.34502506256104,251.49097204208374,17756,AT-MB-PC-EOS,127.0.0.1,251.49097204208374,2,256,10,0.0,0.001
0.08,0.92,0.19,0.67,0.2655652032178991,45.14608454704285,0.07,0.91,0.2,0.7,0.276708282828331,6.917707070708275,1711986231,,False,3,8868e683,2024-04-01_17-43-51,117.30760216712952,368.79857420921326,17756,AT-MB-PC-EOS,127.0.0.1,368.79857420921326,3,256,10,0.0,0.001
0.08,0.92,0.23,0.7,0.2520438242922811,42.847450129687786,0.07,0.9,0.21,0.7,0.3056437170505524,7.641092926263809,1711986357,,False,4,8868e683,2024-04-01_17-45-57,126.56426620483398,495.36284041404724,17756,AT-MB-PC-EOS,127.0.0.1,495.36284041404724,4,256,10,0.0,0.001
0.08,0.92,0.23,0.72,0.24476617789443803,41.61025024205446,0.07,0.92,0.23,0.7,0.2572065198421478,6.430162996053696,1711986480,,False,5,8868e683,2024-04-01_17-48-00,122.86626029014587,618.2291007041931,17756,AT-MB-PC-EOS,127.0.0.1,618.2291007041931,5,256,10,0.0,0.001
0.08,0.93,0.26,0.73,0.2375064936630866,40.376103922724724,0.07,0.92,0.24,0.7,0.27683647513389587,6.920911878347397,1711986613,,False,6,8868e683,2024-04-01_17-50-13,133.03540110588074,751.2645018100739,17756,AT-MB-PC-EOS,127.0.0.1,751.2645018100739,6,256,10,0.0,0.001
0.08,0.93,0.27,0.75,0.22738891265848105,38.656115151941776,0.07,0.93,0.27,0.75,0.23683640480041504,5.920910120010376,1711986745,,False,7,8868e683,2024-04-01_17-52-25,131.38633608818054,882.6508378982544,17756,AT-MB-PC-EOS,127.0.0.1,882.6508378982544,7,256,10,0.0,0.001
0.08,0.93,0.29,0.77,0.22071069400100146,37.52081798017025,0.07,0.93,0.25,0.72,0.23225012481212615,5.806253120303154,1711986872,,False,8,8868e683,2024-04-01_17-54-32,127.78976893424988,1010.4406068325043,17756,AT-MB-PC-EOS,127.0.0.1,1010.4406068325043,8,256,10,0.0,0.001
0.08,0.93,0.3,0.77,0.21899149049730862,37.228553384542465,0.07,0.93,0.28,0.71,0.24122731387615204,6.030682846903801,1711986999,,False,9,8868e683,2024-04-01_17-56-39,126.81875038146973,1137.259357213974,17756,AT-MB-PC-EOS,127.0.0.1,1137.259357213974,9,256,10,0.0,0.001
0.08,0.93,0.31,0.78,0.21558765887337572,36.64990200847387,0.07,0.93,0.26,0.69,0.25204379588365555,6.301094897091389,1711987124,,False,10,8868e683,2024-04-01_17-58-44,124.55049204826355,1261.8098492622375,17756,AT-MB-PC-EOS,127.0.0.1,1261.8098492622375,10,256,10,0.0,0.001
0.08,0.93,0.31,0.77,0.21773338624659708,37.0146756619215,0.07,0.93,0.27,0.72,0.2278380835056305,5.695952087640762,1711987260,,False,11,8868e683,2024-04-01_18-01-00,136.30081057548523,1398.1106598377228,17756,AT-MB-PC-EOS,127.0.0.1,1398.1106598377228,11,256,10,0.0,0.001
0.08,0.93,0.35,0.8,0.20810222467955422,35.377378195524216,0.07,0.93,0.32,0.8,0.21973654627799988,5.493413656949997,1711987398,,False,12,8868e683,2024-04-01_18-03-18,137.72700476646423,1535.837664604187,17756,AT-MB-PC-EOS,127.0.0.1,1535.837664604187,12,256,10,0.0,0.001
0.08,0.93,0.36,0.81,0.20329891868373928,34.560816176235676,0.07,0.93,0.3,0.74,0.23087881237268448,5.771970309317112,1711987530,,False,13,8868e683,2024-04-01_18-05-30,132.571786403656,1668.409451007843,17756,AT-MB-PC-EOS,127.0.0.1,1668.409451007843,13,256,10,0.0,0.001
0.08,0.93,0.38,0.81,0.20112059361794415,34.19050091505051,0.07,0.93,0.35,0.78,0.21010128766298294,5.2525321915745735,1711987655,,False,14,8868e683,2024-04-01_18-07-35,124.89706015586853,1793.3065111637115,17756,AT-MB-PC-EOS,127.0.0.1,1793.3065111637115,14,256,10,0.0,0.001
0.08,0.93,0.38,0.81,0.20078498497605324,34.13344744592905,0.07,0.93,0.32,0.77,0.20815174788236618,5.2037936970591545,1711987781,,True,15,8868e683,2024-04-01_18-09-41,125.54648876190186,1918.8529999256134,17756,AT-MB-PC-EOS,127.0.0.1,1918.8529999256134,15,256,10,0.0,0.001
