train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.54,0.1,0.52,0.94429790763294,160.5306442975998,0.07,0.52,0.12,0.52,1.0581948351860047,26.454870879650116,1712284761,,False,1,dde283b2,2024-04-05_04-39-21,129.92798686027527,129.92798686027527,10712,AT-MB-PC-EOS,127.0.0.1,129.92798686027527,1,64,3,0.0,0.001
0.08,0.88,0.1,0.55,0.36949468035908306,62.81409566104412,0.07,0.91,0.12,0.53,0.31416689813137055,7.854172453284264,1712284884,,False,2,dde283b2,2024-04-05_04-41-24,123.62246108055115,253.55044794082642,10712,AT-MB-PC-EOS,127.0.0.1,253.55044794082642,2,64,3,0.0,0.001
0.08,0.92,0.15,0.6,0.2940157150520998,49.982671558856964,0.07,0.93,0.15,0.57,0.3028295582532883,7.570738956332207,1712285002,,False,3,dde283b2,2024-04-05_04-43-22,118.0290629863739,371.5795109272003,10712,AT-MB-PC-EOS,127.0.0.1,371.5795109272003,3,64,3,0.0,0.001
0.08,0.92,0.18,0.65,0.2691348316914895,45.752921387553215,0.07,0.92,0.14,0.58,0.2771754741668701,6.929386854171753,1712285124,,False,4,dde283b2,2024-04-05_04-45-24,121.4117488861084,492.9912598133087,10712,AT-MB-PC-EOS,127.0.0.1,492.9912598133087,4,64,3,0.0,0.001
0.08,0.92,0.2,0.68,0.2533184192636434,43.064131274819374,0.07,0.93,0.2,0.65,0.27514066100120543,6.878516525030136,1712285243,,False,5,dde283b2,2024-04-05_04-47-23,119.2934045791626,612.2846643924713,10712,AT-MB-PC-EOS,127.0.0.1,612.2846643924713,5,64,3,0.0,0.001
0.08,0.92,0.23,0.73,0.2367569013553507,40.24867323040962,0.07,0.93,0.21,0.7,0.24104976534843445,6.026244133710861,1712285365,,False,6,dde283b2,2024-04-05_04-49-25,122.39387488365173,734.678539276123,10712,AT-MB-PC-EOS,127.0.0.1,734.678539276123,6,64,3,0.0,0.001
0.08,0.93,0.24,0.73,0.23485039091285537,39.92456645518541,0.07,0.93,0.26,0.76,0.22729704022407532,5.682426005601883,1712285487,,False,7,dde283b2,2024-04-05_04-51-27,121.3022198677063,855.9807591438293,10712,AT-MB-PC-EOS,127.0.0.1,855.9807591438293,7,64,3,0.0,0.001
0.08,0.93,0.27,0.75,0.2258481844821397,38.39419136196375,0.07,0.93,0.25,0.67,0.2886122190952301,7.215305477380753,1712285606,,False,8,dde283b2,2024-04-05_04-53-26,119.10897326469421,975.0897324085236,10712,AT-MB-PC-EOS,127.0.0.1,975.0897324085236,8,64,3,0.0,0.001
0.08,0.93,0.28,0.76,0.222617918209118,37.84504609555006,0.07,0.93,0.21,0.64,0.3998816992342472,9.99704248085618,1712285727,,False,9,dde283b2,2024-04-05_04-55-27,121.27453184127808,1096.3642642498016,10712,AT-MB-PC-EOS,127.0.0.1,1096.3642642498016,9,64,3,0.0,0.001
0.08,0.93,0.29,0.76,0.22185185534112595,37.71481540799141,0.07,0.93,0.24,0.71,0.2727600157260895,6.819000393152237,1712285847,,False,10,dde283b2,2024-04-05_04-57-27,120.04177856445312,1216.4060428142548,10712,AT-MB-PC-EOS,127.0.0.1,1216.4060428142548,10,64,3,0.0,0.001
0.08,0.93,0.31,0.77,0.21754329055547714,36.982359394431114,0.07,0.92,0.24,0.71,0.2712056088447571,6.780140221118927,1712285969,,False,11,dde283b2,2024-04-05_04-59-29,121.9303469657898,1338.3363897800446,10712,AT-MB-PC-EOS,127.0.0.1,1338.3363897800446,11,64,3,0.0,0.001
0.08,0.93,0.31,0.77,0.21756332271239337,36.98576486110687,0.07,0.93,0.26,0.72,0.23278789907693864,5.819697476923466,1712286087,,False,12,dde283b2,2024-04-05_05-01-27,117.71740221977234,1456.053791999817,10712,AT-MB-PC-EOS,127.0.0.1,1456.053791999817,12,64,3,0.0,0.001
0.08,0.93,0.33,0.78,0.2123289489570786,36.09592132270336,0.07,0.93,0.3,0.75,0.21982762455940247,5.495690613985062,1712286207,,False,13,dde283b2,2024-04-05_05-03-27,120.55529284477234,1576.6090848445892,10712,AT-MB-PC-EOS,127.0.0.1,1576.6090848445892,13,64,3,0.0,0.001
0.08,0.93,0.34,0.8,0.20804132157388855,35.367024667561054,0.07,0.93,0.29,0.7,0.24516243994235992,6.129060998558998,1712286327,,False,14,dde283b2,2024-04-05_05-05-27,119.25317764282227,1695.8622624874115,10712,AT-MB-PC-EOS,127.0.0.1,1695.8622624874115,14,64,3,0.0,0.001
0.08,0.93,0.35,0.8,0.20761844226542642,35.29513518512249,0.07,0.93,0.33,0.79,0.2027365446090698,5.068413615226746,1712286448,,False,15,dde283b2,2024-04-05_05-07-28,121.15350532531738,1817.0157678127289,10712,AT-MB-PC-EOS,127.0.0.1,1817.0157678127289,15,64,3,0.0,0.001
