train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.53,0.09,0.51,0.9870802248225493,167.80363821983337,0.07,0.52,0.09,0.49,1.0360929656028748,25.90232414007187,1712005018,,False,1,6a5bb04e,2024-04-01_22-56-58,104.43890333175659,104.43890333175659,14160,AT-MB-PC-EOS,127.0.0.1,104.43890333175659,1,128,3,0.0,0.001
0.08,0.9,0.11,0.56,0.33516863821183934,56.97866849601269,0.07,0.91,0.16,0.63,0.30427119612693787,7.606779903173447,1712005117,,False,2,6a5bb04e,2024-04-01_22-58-37,99.95574021339417,204.39464354515076,14160,AT-MB-PC-EOS,127.0.0.1,204.39464354515076,2,128,3,0.0,0.001
0.08,0.92,0.19,0.66,0.2667506685151773,45.34761364758015,0.07,0.93,0.23,0.7,0.24852270305156707,6.213067576289177,1712005212,,False,3,6a5bb04e,2024-04-01_23-00-12,95.00998401641846,299.4046275615692,14160,AT-MB-PC-EOS,127.0.0.1,299.4046275615692,3,128,3,0.0,0.001
0.08,0.92,0.23,0.71,0.243089257794268,41.32517382502556,0.07,0.92,0.21,0.7,0.25052546441555024,6.263136610388756,1712005309,,False,4,6a5bb04e,2024-04-01_23-01-49,96.05275893211365,395.45738649368286,14160,AT-MB-PC-EOS,127.0.0.1,395.45738649368286,4,128,3,0.0,0.001
0.08,0.92,0.26,0.74,0.2317413998877301,39.396037980914116,0.07,0.92,0.17,0.62,0.27843202888965607,6.960800722241402,1712005401,,False,5,6a5bb04e,2024-04-01_23-03-21,92.26587700843811,487.723263502121,14160,AT-MB-PC-EOS,127.0.0.1,487.723263502121,5,128,3,0.0,0.001
0.08,0.93,0.29,0.76,0.22335282121511066,37.96997960656881,0.07,0.93,0.24,0.69,0.26549272775650024,6.637318193912506,1712005501,,False,6,6a5bb04e,2024-04-01_23-05-01,100.58935213088989,588.3126156330109,14160,AT-MB-PC-EOS,127.0.0.1,588.3126156330109,6,128,3,0.0,0.001
0.08,0.93,0.3,0.77,0.21835564374923705,37.1204594373703,0.07,0.93,0.32,0.78,0.21255955815315247,5.313988953828812,1712005594,,False,7,6a5bb04e,2024-04-01_23-06-34,92.94965624809265,681.2622718811035,14160,AT-MB-PC-EOS,127.0.0.1,681.2622718811035,7,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.21630360295667367,36.771612502634525,0.07,0.93,0.31,0.75,0.21760215789079665,5.4400539472699165,1712005691,,False,8,6a5bb04e,2024-04-01_23-08-11,96.74797058105469,778.0102424621582,14160,AT-MB-PC-EOS,127.0.0.1,778.0102424621582,8,128,3,0.0,0.001
0.08,0.93,0.33,0.79,0.21259355409180417,36.14090419560671,0.07,0.93,0.28,0.73,0.22691861271858216,5.672965317964554,1712005791,,False,9,6a5bb04e,2024-04-01_23-09-51,99.93328523635864,877.9435276985168,14160,AT-MB-PC-EOS,127.0.0.1,877.9435276985168,9,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.21417921163579998,36.410465978085995,0.07,0.93,0.33,0.77,0.22014707803726197,5.503676950931549,1712005887,,False,10,6a5bb04e,2024-04-01_23-11-27,95.73594069480896,973.6794683933258,14160,AT-MB-PC-EOS,127.0.0.1,973.6794683933258,10,128,3,0.0,0.001
0.08,0.93,0.35,0.8,0.20727747095858348,35.237170062959194,0.07,0.93,0.3,0.75,0.22781409561634064,5.695352390408516,1712005988,,False,11,6a5bb04e,2024-04-01_23-13-08,100.72025084495544,1074.3997192382812,14160,AT-MB-PC-EOS,127.0.0.1,1074.3997192382812,11,128,3,0.0,0.001
0.08,0.93,0.37,0.8,0.20423603588167358,34.72012609988451,0.07,0.93,0.3,0.73,0.22820200979709626,5.705050244927406,1712006081,,False,12,6a5bb04e,2024-04-01_23-14-41,93.59912705421448,1167.9988462924957,14160,AT-MB-PC-EOS,127.0.0.1,1167.9988462924957,12,128,3,0.0,0.001
0.08,0.93,0.39,0.81,0.20027446808183894,34.04665957391262,0.07,0.93,0.36,0.78,0.2071537446975708,5.17884361743927,1712006180,,False,13,6a5bb04e,2024-04-01_23-16-20,98.54604148864746,1266.5448877811432,14160,AT-MB-PC-EOS,127.0.0.1,1266.5448877811432,13,128,3,0.0,0.001
0.08,0.93,0.4,0.82,0.19687225437339614,33.468283243477345,0.07,0.93,0.31,0.74,0.22928276360034944,5.732069090008736,1712006276,,False,14,6a5bb04e,2024-04-01_23-17-56,96.3355782032013,1362.8804659843445,14160,AT-MB-PC-EOS,127.0.0.1,1362.8804659843445,14,128,3,0.0,0.001
0.08,0.93,0.42,0.83,0.19229018482215265,32.68933141976595,0.07,0.93,0.34,0.8,0.21446803987026214,5.361700996756554,1712006373,,False,15,6a5bb04e,2024-04-01_23-19-33,96.77465081214905,1459.6551167964935,14160,AT-MB-PC-EOS,127.0.0.1,1459.6551167964935,15,128,3,0.0,0.001
0.08,0.93,0.43,0.84,0.190884669212734,32.45039376616478,0.07,0.93,0.31,0.76,0.2273366180062294,5.683415450155735,1712006470,,False,16,6a5bb04e,2024-04-01_23-21-10,97.40852284431458,1557.063639640808,14160,AT-MB-PC-EOS,127.0.0.1,1557.063639640808,16,128,3,0.0,0.001
0.08,0.94,0.44,0.84,0.18662868852124495,31.72687704861164,0.07,0.93,0.32,0.74,0.2414165449142456,6.03541362285614,1712006568,,False,17,6a5bb04e,2024-04-01_23-22-48,98.2495527267456,1655.3131923675537,14160,AT-MB-PC-EOS,127.0.0.1,1655.3131923675537,17,128,3,0.0,0.001
0.08,0.94,0.46,0.85,0.18431754053077276,31.33398189023137,0.07,0.94,0.38,0.79,0.20614176511764526,5.153544127941132,1712006665,,False,18,6a5bb04e,2024-04-01_23-24-25,97.0107364654541,1752.3239288330078,14160,AT-MB-PC-EOS,127.0.0.1,1752.3239288330078,18,128,3,0.0,0.001
0.08,0.94,0.46,0.85,0.1828126274049282,31.078146658837795,0.07,0.93,0.39,0.8,0.20211969047784806,5.052992261946201,1712006762,,False,19,6a5bb04e,2024-04-01_23-26-02,97.02823114395142,1849.3521599769592,14160,AT-MB-PC-EOS,127.0.0.1,1849.3521599769592,19,128,3,0.0,0.001
0.08,0.94,0.47,0.85,0.18267300799489022,31.054411359131336,0.07,0.93,0.36,0.79,0.21600633680820466,5.400158420205116,1712006861,,False,20,6a5bb04e,2024-04-01_23-27-41,98.13556241989136,1947.4877223968506,14160,AT-MB-PC-EOS,127.0.0.1,1947.4877223968506,20,128,3,0.0,0.001
0.08,0.94,0.47,0.85,0.1818557726109729,30.915481343865395,0.07,0.93,0.37,0.79,0.21163987934589387,5.2909969836473465,1712006955,,False,21,6a5bb04e,2024-04-01_23-29-15,93.88483738899231,2041.372559785843,14160,AT-MB-PC-EOS,127.0.0.1,2041.372559785843,21,128,3,0.0,0.001
0.08,0.94,0.5,0.86,0.17554513084537843,29.842672243714333,0.07,0.93,0.38,0.8,0.20410539090633392,5.102634772658348,1712007053,,False,22,6a5bb04e,2024-04-01_23-30-53,98.47839379310608,2139.850953578949,14160,AT-MB-PC-EOS,127.0.0.1,2139.850953578949,22,128,3,0.0,0.001
0.08,0.94,0.51,0.87,0.17325337331961183,29.45307346433401,0.07,0.94,0.35,0.77,0.2523673537373543,6.309183843433857,1712007148,,False,23,6a5bb04e,2024-04-01_23-32-28,95.13981246948242,2234.9907660484314,14160,AT-MB-PC-EOS,127.0.0.1,2234.9907660484314,23,128,3,0.0,0.001
0.08,0.94,0.52,0.88,0.16936010924332282,28.79121857136488,0.07,0.93,0.38,0.8,0.2112017971277237,5.280044928193092,1712007243,,False,24,6a5bb04e,2024-04-01_23-34-03,94.4800636768341,2329.4708297252655,14160,AT-MB-PC-EOS,127.0.0.1,2329.4708297252655,24,128,3,0.0,0.001
0.08,0.94,0.53,0.88,0.16730357958551714,28.441608529537916,0.07,0.94,0.37,0.8,0.21332862615585327,5.333215653896332,1712007343,,False,25,6a5bb04e,2024-04-01_23-35-43,100.14816212654114,2429.6189918518066,14160,AT-MB-PC-EOS,127.0.0.1,2429.6189918518066,25,128,3,0.0,0.001
0.08,0.94,0.53,0.88,0.16893902188714813,28.71963372081518,0.07,0.93,0.4,0.8,0.20399076521396636,5.099769130349159,1712007436,,False,26,6a5bb04e,2024-04-01_23-37-16,93.08450078964233,2522.703492641449,14160,AT-MB-PC-EOS,127.0.0.1,2522.703492641449,26,128,3,0.0,0.001
0.08,0.94,0.55,0.88,0.16548609740155584,28.132636558264494,0.07,0.93,0.36,0.77,0.21505041301250458,5.376260325312614,1712007536,,False,27,6a5bb04e,2024-04-01_23-38-56,99.93025422096252,2622.6337468624115,14160,AT-MB-PC-EOS,127.0.0.1,2622.6337468624115,27,128,3,0.0,0.001
0.08,0.94,0.56,0.89,0.16299571223995266,27.70927108079195,0.07,0.94,0.39,0.8,0.2123052367568016,5.30763091892004,1712007632,,False,28,6a5bb04e,2024-04-01_23-40-32,95.9175546169281,2718.5513014793396,14160,AT-MB-PC-EOS,127.0.0.1,2718.5513014793396,28,128,3,0.0,0.001
0.08,0.94,0.57,0.89,0.16108741751488517,27.38486097753048,0.07,0.94,0.42,0.83,0.18977035641670226,4.744258910417557,1712007729,,False,29,6a5bb04e,2024-04-01_23-42-09,96.84000182151794,2815.3913033008575,14160,AT-MB-PC-EOS,127.0.0.1,2815.3913033008575,29,128,3,0.0,0.001
0.08,0.94,0.57,0.89,0.1605368544073666,27.29126524925232,0.07,0.93,0.4,0.81,0.20453557640314102,5.1133894100785255,1712007825,,False,30,6a5bb04e,2024-04-01_23-43-45,96.39049935340881,2911.7818026542664,14160,AT-MB-PC-EOS,127.0.0.1,2911.7818026542664,30,128,3,0.0,0.001
0.08,0.94,0.58,0.9,0.15699415908140293,26.6890070438385,0.07,0.93,0.39,0.79,0.2117985212802887,5.294963032007217,1712007923,,False,31,6a5bb04e,2024-04-01_23-45-23,97.96538734436035,3009.7471899986267,14160,AT-MB-PC-EOS,127.0.0.1,3009.7471899986267,31,128,3,0.0,0.001
0.08,0.95,0.6,0.9,0.15411616598858552,26.19974821805954,0.07,0.93,0.4,0.81,0.20952068716287614,5.238017179071903,1712008019,,False,32,6a5bb04e,2024-04-01_23-46-59,95.74805355072021,3105.495243549347,14160,AT-MB-PC-EOS,127.0.0.1,3105.495243549347,32,128,3,0.0,0.001
0.08,0.95,0.61,0.91,0.14833584397154695,25.217093475162983,0.07,0.94,0.42,0.81,0.207656891644001,5.191422291100025,1712008115,,False,33,6a5bb04e,2024-04-01_23-48-35,96.71398258209229,3202.209226131439,14160,AT-MB-PC-EOS,127.0.0.1,3202.209226131439,33,128,3,0.0,0.001
0.08,0.95,0.62,0.91,0.1467976583934882,24.955601926892996,0.07,0.93,0.38,0.77,0.22295710176229477,5.573927544057369,1712008215,,False,34,6a5bb04e,2024-04-01_23-50-15,99.28335785865784,3301.492583990097,14160,AT-MB-PC-EOS,127.0.0.1,3301.492583990097,34,128,3,0.0,0.001
0.08,0.95,0.61,0.91,0.14829991876202472,25.2109861895442,0.07,0.93,0.38,0.81,0.2105713453888893,5.264283634722233,1712008309,,False,35,6a5bb04e,2024-04-01_23-51-49,94.39256310462952,3395.8851470947266,14160,AT-MB-PC-EOS,127.0.0.1,3395.8851470947266,35,128,3,0.0,0.001
0.08,0.95,0.62,0.91,0.14869590099243557,25.278303168714046,0.07,0.94,0.41,0.81,0.20887083053588867,5.221770763397217,1712008409,,False,36,6a5bb04e,2024-04-01_23-53-29,99.68386650085449,3495.569013595581,14160,AT-MB-PC-EOS,127.0.0.1,3495.569013595581,36,128,3,0.0,0.001
0.08,0.95,0.64,0.92,0.14232355982941738,24.195005171000957,0.07,0.94,0.41,0.79,0.21987837046384812,5.496959261596203,1712008504,,False,37,6a5bb04e,2024-04-01_23-55-04,95.09084558486938,3590.6598591804504,14160,AT-MB-PC-EOS,127.0.0.1,3590.6598591804504,37,128,3,0.0,0.001
0.08,0.95,0.66,0.92,0.13848214990952434,23.54196548461914,0.07,0.93,0.42,0.81,0.21219277888536453,5.304819472134113,1712008599,,False,38,6a5bb04e,2024-04-01_23-56-39,94.7249813079834,3685.384840488434,14160,AT-MB-PC-EOS,127.0.0.1,3685.384840488434,38,128,3,0.0,0.001
0.08,0.95,0.66,0.93,0.13646945024237914,23.199806541204453,0.07,0.94,0.41,0.81,0.22178334176540374,5.544583544135094,1712008700,,False,39,6a5bb04e,2024-04-01_23-58-20,101.70179200172424,3787.086632490158,14160,AT-MB-PC-EOS,127.0.0.1,3787.086632490158,39,128,3,0.0,0.001
0.08,0.95,0.67,0.93,0.1365351726903635,23.210979357361794,0.07,0.93,0.42,0.8,0.21743750423192978,5.4359376057982445,1712008794,,False,40,6a5bb04e,2024-04-01_23-59-54,93.98590779304504,3881.072540283203,14160,AT-MB-PC-EOS,127.0.0.1,3881.072540283203,40,128,3,0.0,0.001
0.08,0.95,0.68,0.93,0.13380550897735008,22.74693652614951,0.07,0.93,0.4,0.8,0.22224541127681732,5.556135281920433,1712008893,,False,41,6a5bb04e,2024-04-02_00-01-33,98.38361859321594,3979.456158876419,14160,AT-MB-PC-EOS,127.0.0.1,3979.456158876419,41,128,3,0.0,0.001
