train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.59,0.08,0.45,0.7297217207796434,124.05269253253937,0.07,0.59,0.08,0.44,0.7408803176879882,18.522007942199707,1712311488,,False,1,57ea9690,2024-04-05_12-04-48,84.88973903656006,84.88973903656006,17876,AT-MB-PC-EOS,127.0.0.1,84.88973903656006,1,256,3,0.0,0.0001
0.08,0.78,0.08,0.46,0.5246054968413185,89.18293446302414,0.07,0.87,0.09,0.49,0.42262598395347595,10.565649598836899,1712311566,,False,2,57ea9690,2024-04-05_12-06-06,77.06542921066284,161.9551682472229,17876,AT-MB-PC-EOS,127.0.0.1,161.9551682472229,2,256,3,0.0,0.0001
0.08,0.9,0.1,0.52,0.3714193987495759,63.1412977874279,0.07,0.92,0.12,0.55,0.3290742266178131,8.226855665445328,1712311640,,False,3,57ea9690,2024-04-05_12-07-20,74.36730766296387,236.32247591018677,17876,AT-MB-PC-EOS,127.0.0.1,236.32247591018677,3,256,3,0.0,0.0001
0.08,0.92,0.14,0.58,0.3082404723062235,52.40088029205799,0.07,0.92,0.12,0.57,0.2974140059947967,7.435350149869919,1712311712,,False,4,57ea9690,2024-04-05_12-08-32,71.98853659629822,308.311012506485,17876,AT-MB-PC-EOS,127.0.0.1,308.311012506485,4,256,3,0.0,0.0001
0.08,0.92,0.17,0.62,0.2803875015938983,47.665875270962715,0.07,0.93,0.18,0.61,0.269730389714241,6.743259742856026,1712311787,,False,5,57ea9690,2024-04-05_12-09-47,74.86745071411133,383.1784632205963,17876,AT-MB-PC-EOS,127.0.0.1,383.1784632205963,5,256,3,0.0,0.0001
0.08,0.92,0.2,0.66,0.2591397475232096,44.05375707894564,0.07,0.92,0.22,0.67,0.26146011233329775,6.536502808332443,1712311861,,False,6,57ea9690,2024-04-05_12-11-01,74.64025688171387,457.8187201023102,17876,AT-MB-PC-EOS,127.0.0.1,457.8187201023102,6,256,3,0.0,0.0001
0.08,0.92,0.22,0.7,0.2465020447531167,41.90534760802984,0.07,0.93,0.24,0.69,0.23610484898090361,5.902621224522591,1712311936,,False,7,57ea9690,2024-04-05_12-12-16,74.91877794265747,532.7374980449677,17876,AT-MB-PC-EOS,127.0.0.1,532.7374980449677,7,256,3,0.0,0.0001
0.08,0.92,0.24,0.72,0.2387391415588996,40.58565406501293,0.07,0.92,0.25,0.72,0.2538497465848923,6.346243664622307,1712312014,,False,8,57ea9690,2024-04-05_12-13-34,77.15389561653137,609.891393661499,17876,AT-MB-PC-EOS,127.0.0.1,609.891393661499,8,256,3,0.0,0.0001
0.08,0.93,0.28,0.75,0.22810821414870375,38.778396405279636,0.07,0.93,0.25,0.72,0.22909111499786378,5.727277874946594,1712312086,,False,9,57ea9690,2024-04-05_12-14-46,72.94201755523682,682.8334112167358,17876,AT-MB-PC-EOS,127.0.0.1,682.8334112167358,9,256,3,0.0,0.0001
0.08,0.93,0.28,0.76,0.22306173097561388,37.92049426585436,0.07,0.93,0.29,0.77,0.22967513501644135,5.741878375411034,1712312162,,False,10,57ea9690,2024-04-05_12-16-02,75.27853035926819,758.111941576004,17876,AT-MB-PC-EOS,127.0.0.1,758.111941576004,10,256,3,0.0,0.0001
0.08,0.93,0.3,0.77,0.21847891351755927,37.14141529798508,0.07,0.93,0.29,0.76,0.23556430280208587,5.889107570052147,1712312237,,False,11,57ea9690,2024-04-05_12-17-17,75.70363163948059,833.8155732154846,17876,AT-MB-PC-EOS,127.0.0.1,833.8155732154846,11,256,3,0.0,0.0001
0.08,0.93,0.33,0.78,0.21201325444614186,36.042253255844116,0.07,0.93,0.33,0.78,0.21285725593566895,5.321431398391724,1712312311,,False,12,57ea9690,2024-04-05_12-18-31,73.08154940605164,906.8971226215363,17876,AT-MB-PC-EOS,127.0.0.1,906.8971226215363,12,256,3,0.0,0.0001
0.08,0.93,0.34,0.8,0.20789239586276168,35.34170729666948,0.07,0.93,0.32,0.77,0.20891807705163956,5.222951926290989,1712312387,,False,13,57ea9690,2024-04-05_12-19-47,76.27707076072693,983.1741933822632,17876,AT-MB-PC-EOS,127.0.0.1,983.1741933822632,13,256,3,0.0,0.0001
0.08,0.93,0.36,0.81,0.2045507450314129,34.773626655340195,0.07,0.93,0.31,0.75,0.22229533314704894,5.557383328676224,1712312462,,False,14,57ea9690,2024-04-05_12-21-02,74.91804599761963,1058.0922393798828,17876,AT-MB-PC-EOS,127.0.0.1,1058.0922393798828,14,256,3,0.0,0.0001
0.08,0.93,0.38,0.81,0.20052671296631588,34.0895412042737,0.07,0.93,0.29,0.76,0.22166696071624756,5.541674017906189,1712312536,,True,15,57ea9690,2024-04-05_12-22-16,74.47811698913574,1132.5703563690186,17876,AT-MB-PC-EOS,127.0.0.1,1132.5703563690186,15,256,3,0.0,0.0001
