train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.46,0.09,0.49,1.0730813573388491,182.42383074760437,0.07,0.45,0.09,0.49,1.2152147340774535,30.38036835193634,1712133399,,False,1,2476ef75,2024-04-03_10-36-39,276.0954520702362,276.0954520702362,27600,AT-MB-PC-EOS,127.0.0.1,276.0954520702362,1,128,10,0.2,0.0001
0.08,0.66,0.1,0.52,0.6218718027367311,105.7182064652443,0.07,0.81,0.13,0.57,0.49487445592880247,12.371861398220062,1712133678,,False,2,2476ef75,2024-04-03_10-41-18,279.41181468963623,555.5072667598724,27600,AT-MB-PC-EOS,127.0.0.1,555.5072667598724,2,128,10,0.2,0.0001
0.08,0.84,0.13,0.56,0.4229407731224509,71.89993143081665,0.07,0.88,0.13,0.57,0.38131979942321775,9.532994985580444,1712133948,,False,3,2476ef75,2024-04-03_10-45-48,270.184433221817,825.6916999816895,27600,AT-MB-PC-EOS,127.0.0.1,825.6916999816895,3,128,10,0.2,0.0001
0.08,0.89,0.13,0.58,0.34709562764448276,59.00625669956207,0.07,0.91,0.16,0.57,0.34626364886760713,8.656591221690178,1712134216,,False,4,2476ef75,2024-04-03_10-50-16,267.227281332016,1092.9189813137054,27600,AT-MB-PC-EOS,127.0.0.1,1092.9189813137054,4,128,10,0.2,0.0001
0.08,0.91,0.15,0.6,0.2967844324076877,50.45335350930691,0.07,0.92,0.17,0.6,0.2818191969394684,7.04547992348671,1712134483,,False,5,2476ef75,2024-04-03_10-54-43,267.15783739089966,1360.076818704605,27600,AT-MB-PC-EOS,127.0.0.1,1360.076818704605,5,128,10,0.2,0.0001
0.08,0.92,0.18,0.64,0.2723179166807848,46.294045835733414,0.07,0.91,0.23,0.69,0.2810678601264954,7.026696503162384,1712134750,,False,6,2476ef75,2024-04-03_10-59-10,267.2714726924896,1627.3482913970947,27600,AT-MB-PC-EOS,127.0.0.1,1627.3482913970947,6,128,10,0.2,0.0001
0.08,0.92,0.21,0.67,0.25915806740522385,44.056871458888054,0.07,0.93,0.19,0.66,0.2592852908372879,6.482132270932198,1712135020,,False,7,2476ef75,2024-04-03_11-03-40,269.5129671096802,1896.861258506775,27600,AT-MB-PC-EOS,127.0.0.1,1896.861258506775,7,128,10,0.2,0.0001
0.08,0.92,0.22,0.7,0.24773152676575325,42.11435955017805,0.07,0.92,0.21,0.68,0.2722021436691284,6.8050535917282104,1712135286,,False,8,2476ef75,2024-04-03_11-08-06,266.4943115711212,2163.355570077896,27600,AT-MB-PC-EOS,127.0.0.1,2163.355570077896,8,128,10,0.2,0.0001
0.08,0.92,0.24,0.73,0.240147665931898,40.82510320842266,0.07,0.93,0.28,0.75,0.24497129499912262,6.1242823749780655,1712135556,,False,9,2476ef75,2024-04-03_11-12-36,269.82035779953003,2433.175927877426,27600,AT-MB-PC-EOS,127.0.0.1,2433.175927877426,9,128,10,0.2,0.0001
0.08,0.92,0.25,0.73,0.23663406385218397,40.22779085487127,0.07,0.91,0.2,0.67,0.2787363404035568,6.968408510088921,1712135823,,False,10,2476ef75,2024-04-03_11-17-03,266.83165407180786,2700.007581949234,27600,AT-MB-PC-EOS,127.0.0.1,2700.007581949234,10,128,10,0.2,0.0001
0.08,0.92,0.27,0.74,0.23430270035477246,39.83145906031132,0.07,0.93,0.24,0.69,0.26899651169776917,6.724912792444229,1712136092,,False,11,2476ef75,2024-04-03_11-21-32,269.42932319641113,2969.436905145645,27600,AT-MB-PC-EOS,127.0.0.1,2969.436905145645,11,128,10,0.2,0.0001
