train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.49,0.11,0.51,1.055045143996968,179.35767447948456,0.07,0.5,0.13,0.52,1.0731755590438843,26.829388976097107,1712142904,,False,1,e0794f4d,2024-04-03_13-15-04,184.15590953826904,184.15590953826904,26700,AT-MB-PC-EOS,127.0.0.1,184.15590953826904,1,128,6,0.0,0.001
0.08,0.85,0.11,0.55,0.40473136910620855,68.80433274805546,0.07,0.91,0.13,0.54,0.30413094878196717,7.603273719549179,1712143081,,False,2,e0794f4d,2024-04-03_13-18-01,176.96053218841553,361.11644172668457,26700,AT-MB-PC-EOS,127.0.0.1,361.11644172668457,2,128,6,0.0,0.001
0.08,0.91,0.17,0.62,0.2935492951203795,49.903380170464516,0.07,0.92,0.2,0.66,0.259195020198822,6.4798755049705505,1712143257,,False,3,e0794f4d,2024-04-03_13-20-57,176.1668221950531,537.2832639217377,26700,AT-MB-PC-EOS,127.0.0.1,537.2832639217377,3,128,6,0.0,0.001
0.08,0.92,0.2,0.69,0.25588297580971436,43.50010588765144,0.07,0.92,0.25,0.7,0.2502057537436485,6.255143843591213,1712143424,,False,4,e0794f4d,2024-04-03_13-23-44,166.66370368003845,703.9469676017761,26700,AT-MB-PC-EOS,127.0.0.1,703.9469676017761,4,128,6,0.0,0.001
0.08,0.92,0.23,0.71,0.24527986014590544,41.697576224803925,0.07,0.93,0.22,0.68,0.2546768426895142,6.366921067237854,1712143591,,False,5,e0794f4d,2024-04-03_13-26-31,167.3573145866394,871.3042821884155,26700,AT-MB-PC-EOS,127.0.0.1,871.3042821884155,5,128,6,0.0,0.001
0.08,0.92,0.25,0.74,0.23434653396115585,39.83891077339649,0.07,0.93,0.2,0.62,0.3455064732581377,8.637661831453443,1712143764,,False,6,e0794f4d,2024-04-03_13-29-24,172.49641227722168,1043.8006944656372,26700,AT-MB-PC-EOS,127.0.0.1,1043.8006944656372,6,128,6,0.0,0.001
0.08,0.93,0.29,0.76,0.2225918982835377,37.84062270820141,0.07,0.92,0.19,0.66,0.25469531178474425,6.367382794618607,1712143934,,False,7,e0794f4d,2024-04-03_13-32-14,169.87039804458618,1213.6710925102234,26700,AT-MB-PC-EOS,127.0.0.1,1213.6710925102234,7,128,6,0.0,0.001
0.08,0.93,0.3,0.77,0.219163355318939,37.25777040421963,0.07,0.93,0.28,0.74,0.24368162989616393,6.0920407474040985,1712144105,,False,8,e0794f4d,2024-04-03_13-35-05,171.60196447372437,1385.2730569839478,26700,AT-MB-PC-EOS,127.0.0.1,1385.2730569839478,8,128,6,0.0,0.001
0.08,0.93,0.31,0.78,0.21690016279325766,36.8730276748538,0.07,0.93,0.27,0.74,0.24299200534820556,6.074800133705139,1712144273,,False,9,e0794f4d,2024-04-03_13-37-53,167.63039994239807,1552.9034569263458,26700,AT-MB-PC-EOS,127.0.0.1,1552.9034569263458,9,128,6,0.0,0.001
0.08,0.93,0.32,0.78,0.2143403580521836,36.43786086887121,0.07,0.93,0.28,0.76,0.2239383102208376,5.59845775552094,1712144444,,False,10,e0794f4d,2024-04-03_13-40-44,170.93052625656128,1723.833983182907,26700,AT-MB-PC-EOS,127.0.0.1,1723.833983182907,10,128,6,0.0,0.001
0.08,0.93,0.33,0.78,0.2136826720307855,36.326054245233536,0.07,0.93,0.3,0.76,0.21230292916297913,5.307573229074478,1712144613,,False,11,e0794f4d,2024-04-03_13-43-33,169.11969590187073,1892.9536790847778,26700,AT-MB-PC-EOS,127.0.0.1,1892.9536790847778,11,128,6,0.0,0.001
0.08,0.93,0.35,0.8,0.20752932731719578,35.27998564392328,0.07,0.93,0.32,0.76,0.22345481038093568,5.586370259523392,1712144783,,False,12,e0794f4d,2024-04-03_13-46-23,170.4834222793579,2063.4371013641357,26700,AT-MB-PC-EOS,127.0.0.1,2063.4371013641357,12,128,6,0.0,0.001
0.08,0.93,0.36,0.8,0.20413366893635077,34.70272371917963,0.07,0.93,0.33,0.78,0.21538683503866196,5.384670875966549,1712144952,,False,13,e0794f4d,2024-04-03_13-49-12,168.9556007385254,2232.392702102661,26700,AT-MB-PC-EOS,127.0.0.1,2232.392702102661,13,128,6,0.0,0.001
0.08,0.93,0.39,0.82,0.19732066958266145,33.54451382905245,0.07,0.93,0.35,0.76,0.21056943207979203,5.264235801994801,1712145123,,False,14,e0794f4d,2024-04-03_13-52-03,171.05565071105957,2403.4483528137207,26700,AT-MB-PC-EOS,127.0.0.1,2403.4483528137207,14,128,6,0.0,0.001
0.08,0.93,0.38,0.81,0.19870317836894708,33.779540322721004,0.07,0.93,0.31,0.72,0.25225006222724916,6.306251555681229,1712145294,,True,15,e0794f4d,2024-04-03_13-54-54,170.93960523605347,2574.387958049774,26700,AT-MB-PC-EOS,127.0.0.1,2574.387958049774,15,128,6,0.0,0.001
