train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.47,0.08,0.48,0.7597856896765092,129.16356724500656,0.07,0.49,0.08,0.46,0.7525421166419983,18.813552916049957,1712328394,,False,1,70d7aca3,2024-04-05_16-46-34,80.82019448280334,80.82019448280334,18604,AT-MB-PC-EOS,127.0.0.1,80.82019448280334,1,64,3,0.5,1e-05
0.08,0.48,0.09,0.5,0.7459395015940947,126.8097152709961,0.07,0.51,0.08,0.46,0.7297927188873291,18.244817972183228,1712328467,,False,2,70d7aca3,2024-04-05_16-47-47,73.59027147293091,154.41046595573425,18604,AT-MB-PC-EOS,127.0.0.1,154.41046595573425,2,64,3,0.5,1e-05
0.08,0.51,0.09,0.5,0.7226651759708629,122.85307991504669,0.07,0.56,0.1,0.49,0.6884630131721496,17.21157532930374,1712328543,,False,3,70d7aca3,2024-04-05_16-49-03,76.04201292991638,230.45247888565063,18604,AT-MB-PC-EOS,127.0.0.1,230.45247888565063,3,64,3,0.5,1e-05
0.08,0.54,0.08,0.48,0.6976144345367656,118.59445387125015,0.07,0.63,0.11,0.52,0.6459982991218567,16.149957478046417,1712328617,,False,4,70d7aca3,2024-04-05_16-50-17,74.05433750152588,304.5068163871765,18604,AT-MB-PC-EOS,127.0.0.1,304.5068163871765,4,64,3,0.5,1e-05
0.08,0.58,0.09,0.51,0.669567196860033,113.8264234662056,0.07,0.66,0.1,0.5,0.6299085927009582,15.747714817523956,1712328694,,False,5,70d7aca3,2024-04-05_16-51-34,76.037606716156,380.5444231033325,18604,AT-MB-PC-EOS,127.0.0.1,380.5444231033325,5,64,3,0.5,1e-05
0.08,0.62,0.09,0.5,0.6411724830374999,108.99932211637497,0.07,0.75,0.11,0.5,0.5678478610515595,14.196196526288986,1712328767,,False,6,70d7aca3,2024-04-05_16-52-47,73.90599751472473,454.45042061805725,18604,AT-MB-PC-EOS,127.0.0.1,454.45042061805725,6,64,3,0.5,1e-05
0.08,0.67,0.09,0.5,0.6020578328300925,102.34983158111572,0.07,0.79,0.11,0.51,0.5302112400531769,13.255281001329422,1712328844,,False,7,70d7aca3,2024-04-05_16-54-04,76.5905351638794,531.0409557819366,18604,AT-MB-PC-EOS,127.0.0.1,531.0409557819366,7,64,3,0.5,1e-05
0.08,0.73,0.09,0.49,0.5561388596015818,94.5436061322689,0.07,0.82,0.11,0.5,0.49815030455589293,12.453757613897324,1712328918,,False,8,70d7aca3,2024-04-05_16-55-18,73.97754836082458,605.0185041427612,18604,AT-MB-PC-EOS,127.0.0.1,605.0185041427612,8,64,3,0.5,1e-05
0.08,0.79,0.09,0.49,0.5064696226049872,86.09983584284782,0.07,0.88,0.1,0.49,0.4271791791915894,10.679479479789734,1712328994,,False,9,70d7aca3,2024-04-05_16-56-34,75.91748785972595,680.9359920024872,18604,AT-MB-PC-EOS,127.0.0.1,680.9359920024872,9,64,3,0.5,1e-05
0.08,0.84,0.09,0.48,0.4620845540481455,78.55437418818474,0.07,0.9,0.11,0.49,0.3906723713874817,9.766809284687042,1712329064,,False,10,70d7aca3,2024-04-05_16-57-44,69.9829740524292,750.9189660549164,18604,AT-MB-PC-EOS,127.0.0.1,750.9189660549164,10,64,3,0.5,1e-05
0.08,0.87,0.09,0.48,0.42140286722603965,71.63848742842674,0.07,0.91,0.1,0.48,0.36023709654808045,9.005927413702011,1712329137,,False,11,70d7aca3,2024-04-05_16-58-57,73.25588035583496,824.1748464107513,18604,AT-MB-PC-EOS,127.0.0.1,824.1748464107513,11,64,3,0.5,1e-05
