train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_mean_loss,test_sum_loss
4.56,-24.06,-0.06,22.25,4.72,4.564289446779626,6896.641354084015,4.86,-25.76,0.32,24.5,4.95,4.859233439704518,1574.391634464264,4.88,-27.57,0.3,24.67,4.97,4.878130989310182,1580.514440536499
0.74,-0.18,0.57,1.05,1.02,0.7375628389245544,1114.4574496150017,1.15,-1.03,0.74,1.86,1.36,1.152524127268497,373.417817234993,1.15,-1.13,0.73,1.84,1.36,1.146754245699188,371.54837560653687
0.57,0.35,0.69,0.57,0.76,0.5698382184451815,861.0255480706692,0.88,-0.34,0.73,1.23,1.11,0.8806910731910188,285.3439077138901,0.86,-0.31,0.73,1.13,1.07,0.8592958512865467,278.4118558168411
0.53,0.44,0.72,0.5,0.7,0.5275722698688823,797.1616997718811,0.69,0.05,0.73,0.87,0.93,0.6946302954981356,225.06021574139595,0.68,0.09,0.73,0.79,0.89,0.6780341652992331,219.68306955695152
0.51,0.47,0.74,0.47,0.69,0.5138535278274238,776.4326805472374,0.59,0.35,0.79,0.6,0.77,0.5855537895803098,189.71942782402039,0.57,0.36,0.79,0.55,0.74,0.5709426031436449,184.98540341854095
0.51,0.48,0.74,0.46,0.68,0.5065071584372075,765.3323163986206,0.46,0.58,0.81,0.38,0.62,0.4620867692577986,149.71611323952675,0.46,0.58,0.8,0.36,0.6,0.4648332867173501,150.60598489642143
0.5,0.5,0.75,0.45,0.67,0.4988748549349966,753.7999058067799,0.41,0.63,0.84,0.34,0.58,0.41294122202160916,133.79295593500137,0.41,0.65,0.84,0.3,0.55,0.4076596481932534,132.0817260146141
0.48,0.54,0.77,0.41,0.64,0.4753552851970428,718.2618359327316,0.41,0.63,0.83,0.34,0.58,0.4150416930148631,134.47350853681564,0.41,0.65,0.83,0.3,0.55,0.40657028243129634,131.72877150774002
0.46,0.56,0.78,0.39,0.63,0.46195510236890325,698.0141596794128,0.4,0.66,0.84,0.31,0.56,0.39565284816939156,128.19152280688286,0.39,0.69,0.84,0.27,0.52,0.3857114339408315,124.97050459682941
0.46,0.57,0.78,0.38,0.61,0.45545946175021734,688.1992467045784,0.52,0.48,0.85,0.47,0.69,0.5184694429238638,167.98409950733185,0.51,0.5,0.85,0.44,0.66,0.5118631248672804,165.84365245699883
0.44,0.6,0.8,0.36,0.6,0.43752949475295333,661.1070665717125,0.37,0.69,0.86,0.28,0.53,0.37289138989132126,120.8168103247881,0.36,0.71,0.86,0.25,0.5,0.3640285072227319,117.94523634016514
0.43,0.62,0.81,0.34,0.58,0.4257415583262295,643.2954946309328,0.36,0.71,0.87,0.27,0.52,0.3639875851847507,117.93197759985924,0.36,0.72,0.87,0.24,0.49,0.357378779416099,115.79072453081608
0.41,0.64,0.82,0.32,0.56,0.4118936744196221,622.371342048049,0.4,0.64,0.86,0.33,0.58,0.39876630364192855,129.20028237998486,0.39,0.66,0.86,0.3,0.55,0.3879954504010118,125.71052592992783
0.4,0.65,0.83,0.31,0.55,0.40461449179130227,611.3724970966578,0.35,0.71,0.87,0.27,0.52,0.3525662940961343,114.23147928714752,0.35,0.73,0.87,0.23,0.48,0.3451790088488732,111.83799886703491
0.4,0.66,0.83,0.3,0.55,0.4015885873159614,606.8003554344177,0.42,0.65,0.86,0.32,0.56,0.4166394713116281,134.9911887049675,0.42,0.66,0.86,0.29,0.54,0.41670396316934516,135.01208406686783
