train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.45,0.81,0.57,0.47,1.1783793217995588,40.064896941185,0.51,0.49,0.76,0.6,0.55,0.9245259761810303,4.622629880905151,1712414365,,False,1,13a87f2c,2024-04-06_16-39-25,36.11350917816162,36.11350917816162,1659291,jyn,131.130.125.89,36.11350917816162,1,64,6,0.0,0.0001
0.58,0.53,0.61,0.56,0.59,0.7648666860426173,26.00546732544899,0.7,0.67,0.74,0.7,0.76,0.6002148985862732,3.001074492931366,1712414396,,False,2,13a87f2c,2024-04-06_16-39-56,30.219441652297974,66.3329508304596,1659291,jyn,131.130.125.89,66.3329508304596,2,64,6,0.0,0.0001
0.72,0.67,0.72,0.7,0.79,0.5804871338255265,19.7365625500679,0.7,0.67,0.75,0.71,0.75,0.5903584718704223,2.951792359352112,1712414429,,False,3,13a87f2c,2024-04-06_16-40-29,33.1303277015686,99.4632785320282,1659291,jyn,131.130.125.89,99.4632785320282,3,64,6,0.0,0.0001
0.77,0.73,0.75,0.74,0.84,0.5029465328244602,17.100182116031647,0.7,0.66,0.78,0.71,0.75,0.6070456624031066,3.0352283120155334,1712414460,,False,4,13a87f2c,2024-04-06_16-41-00,31.790201663970947,131.25348019599915,1659291,jyn,131.130.125.89,131.25348019599915,4,64,6,0.0,0.0001
0.8,0.77,0.78,0.78,0.86,0.4683169266756843,15.922775506973267,0.7,0.65,0.79,0.71,0.74,0.6405531287193298,3.202765643596649,1712414492,,False,5,13a87f2c,2024-04-06_16-41-32,31.69973111152649,162.95321130752563,1659291,jyn,131.130.125.89,162.95321130752563,5,64,6,0.0,0.0001
0.81,0.8,0.78,0.79,0.88,0.4494041441118016,15.279740899801254,0.71,0.66,0.82,0.73,0.74,0.7467925786972046,3.733962893486023,1712414523,,False,6,13a87f2c,2024-04-06_16-42-03,30.820576906204224,193.77378821372986,1659291,jyn,131.130.125.89,193.77378821372986,6,64,6,0.0,0.0001
0.82,0.82,0.78,0.8,0.89,0.4253222306861597,14.46095584332943,0.64,0.67,0.5,0.57,0.69,0.7864720463752747,3.9323602318763733,1712414553,,False,7,13a87f2c,2024-04-06_16-42-33,29.913533687591553,223.6873219013214,1659291,jyn,131.130.125.89,223.6873219013214,7,64,6,0.0,0.0001
0.8,0.78,0.78,0.78,0.89,0.4197835532181403,14.272640809416771,0.72,0.65,0.86,0.74,0.78,0.6792012870311737,3.3960064351558685,1712414582,,False,8,13a87f2c,2024-04-06_16-43-02,29.551087141036987,253.2384090423584,1659291,jyn,131.130.125.89,253.2384090423584,8,64,6,0.0,0.0001
0.82,0.8,0.79,0.79,0.89,0.41383058884564566,14.070240020751953,0.64,0.62,0.61,0.62,0.7,0.8311482787132263,4.155741393566132,1712414616,,False,9,13a87f2c,2024-04-06_16-43-36,33.74732851982117,286.98573756217957,1659291,jyn,131.130.125.89,286.98573756217957,9,64,6,0.0,0.0001
0.83,0.8,0.82,0.81,0.91,0.380703124053338,12.943906217813492,0.65,0.67,0.51,0.58,0.74,0.6541487693786621,3.2707438468933105,1712414648,,False,10,13a87f2c,2024-04-06_16-44-08,32.158798694610596,319.14453625679016,1659291,jyn,131.130.125.89,319.14453625679016,10,64,6,0.0,0.0001
0.82,0.81,0.79,0.8,0.9,0.4188258634770618,14.2400793582201,0.67,0.62,0.78,0.69,0.7,0.8670088529586792,4.335044264793396,1712414680,,False,11,13a87f2c,2024-04-06_16-44-40,31.344093799591064,350.4886300563812,1659291,jyn,131.130.125.89,350.4886300563812,11,64,6,0.0,0.0001
0.82,0.79,0.8,0.8,0.9,0.4152717607862809,14.119239866733551,0.62,0.64,0.47,0.54,0.72,0.7973804354667664,3.986902177333832,1712414709,,False,12,13a87f2c,2024-04-06_16-45-09,29.473958492279053,379.9625885486603,1659291,jyn,131.130.125.89,379.9625885486603,12,64,6,0.0,0.0001
0.83,0.81,0.82,0.82,0.91,0.3700454046621042,12.581543758511543,0.74,0.74,0.68,0.71,0.8,0.588659143447876,2.94329571723938,1712414739,,False,13,13a87f2c,2024-04-06_16-45-39,30.105321168899536,410.0679097175598,1659291,jyn,131.130.125.89,410.0679097175598,13,64,6,0.0,0.0001
0.85,0.84,0.83,0.84,0.92,0.3558176808497485,12.097801148891449,0.69,0.66,0.72,0.69,0.73,0.7900590777397156,3.950295388698578,1712414771,,False,14,13a87f2c,2024-04-06_16-46-11,31.675641536712646,441.74355125427246,1659291,jyn,131.130.125.89,441.74355125427246,14,64,6,0.0,0.0001
0.85,0.81,0.85,0.83,0.92,0.365286466829917,12.419739872217178,0.71,0.74,0.6,0.66,0.74,0.7338593661785126,3.669296830892563,1712414804,,False,15,13a87f2c,2024-04-06_16-46-44,32.869346141815186,474.61289739608765,1659291,jyn,131.130.125.89,474.61289739608765,15,64,6,0.0,0.0001
0.86,0.83,0.84,0.84,0.94,0.3120848510195227,10.610884934663773,0.68,0.64,0.78,0.7,0.72,0.7354640960693359,3.6773204803466797,1712414837,,False,16,13a87f2c,2024-04-06_16-47-17,33.31883454322815,507.9317319393158,1659291,jyn,131.130.125.89,507.9317319393158,16,64,6,0.0,0.0001
0.87,0.85,0.87,0.86,0.93,0.33229638942900824,11.29807724058628,0.63,0.7,0.39,0.5,0.77,0.840333092212677,4.201665461063385,1712414868,,False,17,13a87f2c,2024-04-06_16-47-48,31.0483238697052,538.980055809021,1659291,jyn,131.130.125.89,538.980055809021,17,64,6,0.0,0.0001
0.87,0.85,0.85,0.85,0.94,0.3215882418786778,10.934000223875046,0.71,0.68,0.75,0.71,0.76,0.676295930147171,3.381479650735855,1712414898,,False,18,13a87f2c,2024-04-06_16-48-18,29.925211429595947,568.905267238617,1659291,jyn,131.130.125.89,568.905267238617,18,64,6,0.0,0.0001
0.87,0.85,0.85,0.85,0.94,0.30300965379266176,10.3023282289505,0.7,0.7,0.62,0.66,0.76,0.6630928874015808,3.315464437007904,1712414928,,False,19,13a87f2c,2024-04-06_16-48-48,29.563395977020264,598.4686632156372,1659291,jyn,131.130.125.89,598.4686632156372,19,64,6,0.0,0.0001
0.88,0.86,0.87,0.86,0.95,0.2916019984027919,9.914467945694923,0.71,0.72,0.64,0.68,0.78,0.5950135886669159,2.9750679433345795,1712414959,,False,20,13a87f2c,2024-04-06_16-49-19,31.538660764694214,630.0073239803314,1659291,jyn,131.130.125.89,630.0073239803314,20,64,6,0.0,0.0001
0.88,0.86,0.86,0.86,0.95,0.2817440731998752,9.579298488795757,0.67,0.66,0.64,0.65,0.73,0.8252083420753479,4.1260417103767395,1712414990,,False,21,13a87f2c,2024-04-06_16-49-50,30.907962322235107,660.9152863025665,1659291,jyn,131.130.125.89,660.9152863025665,21,64,6,0.0,0.0001
0.88,0.85,0.87,0.86,0.95,0.29636831230977,10.07652261853218,0.64,0.66,0.49,0.56,0.75,0.789204478263855,3.946022391319275,1712415023,,False,22,13a87f2c,2024-04-06_16-50-23,32.836742639541626,693.7520289421082,1659291,jyn,131.130.125.89,693.7520289421082,22,64,6,0.0,0.0001
0.88,0.87,0.87,0.87,0.95,0.2787390701911029,9.477128386497498,0.71,0.64,0.88,0.74,0.76,0.8442992448806763,4.221496224403381,1712415055,,False,23,13a87f2c,2024-04-06_16-50-55,31.55786108970642,725.3098900318146,1659291,jyn,131.130.125.89,725.3098900318146,23,64,6,0.0,0.0001
0.87,0.84,0.88,0.86,0.95,0.2771339543602046,9.422554448246956,0.69,0.68,0.65,0.67,0.79,0.7137472867965698,3.568736433982849,1712415084,,False,24,13a87f2c,2024-04-06_16-51-24,29.106573820114136,754.4164638519287,1659291,jyn,131.130.125.89,754.4164638519287,24,64,6,0.0,0.0001
0.87,0.85,0.86,0.85,0.95,0.2970527653746745,10.099794022738934,0.74,0.7,0.79,0.75,0.78,0.6948485851287842,3.474242925643921,1712415115,,False,25,13a87f2c,2024-04-06_16-51-55,30.75531315803528,785.171777009964,1659291,jyn,131.130.125.89,785.171777009964,25,64,6,0.0,0.0001
0.88,0.87,0.86,0.86,0.95,0.2822769021286684,9.597414672374725,0.7,0.73,0.57,0.64,0.79,0.684197473526001,3.420987367630005,1712415144,,False,26,13a87f2c,2024-04-06_16-52-24,29.168241024017334,814.3400180339813,1659291,jyn,131.130.125.89,814.3400180339813,26,64,6,0.0,0.0001
0.89,0.87,0.89,0.88,0.95,0.28107742329730706,9.55663239210844,0.64,0.68,0.47,0.56,0.74,0.7989256858825684,3.994628429412842,1712415177,,False,27,13a87f2c,2024-04-06_16-52-57,33.73085165023804,848.0708696842194,1659291,jyn,131.130.125.89,848.0708696842194,27,64,6,0.0,0.0001
0.91,0.9,0.91,0.9,0.97,0.2412725494188421,8.203266680240631,0.7,0.69,0.68,0.69,0.78,0.6978530764579773,3.4892653822898865,1712415207,,False,28,13a87f2c,2024-04-06_16-53-27,30.022717237472534,878.0935869216919,1659291,jyn,131.130.125.89,878.0935869216919,28,64,6,0.0,0.0001
0.9,0.89,0.9,0.89,0.97,0.24190318562528668,8.224708311259747,0.7,0.68,0.71,0.69,0.81,0.6581453859806061,3.2907269299030304,1712415237,,False,29,13a87f2c,2024-04-06_16-53-57,29.013781785964966,907.1073687076569,1659291,jyn,131.130.125.89,907.1073687076569,29,64,6,0.0,0.0001
0.9,0.88,0.89,0.89,0.97,0.2536994771045797,8.62578222155571,0.72,0.66,0.82,0.73,0.8,0.7609164297580719,3.8045821487903595,1712415265,,False,30,13a87f2c,2024-04-06_16-54-25,28.560353994369507,935.6677227020264,1659291,jyn,131.130.125.89,935.6677227020264,30,64,6,0.0,0.0001
0.9,0.88,0.9,0.89,0.96,0.2574796645956881,8.754308596253395,0.73,0.66,0.88,0.75,0.79,0.7525899291038514,3.7629496455192566,1712415295,,False,31,13a87f2c,2024-04-06_16-54-55,30.32273769378662,965.990460395813,1659291,jyn,131.130.125.89,965.990460395813,31,64,6,0.0,0.0001
0.91,0.9,0.9,0.9,0.97,0.22979111224412918,7.812897816300392,0.66,0.68,0.54,0.6,0.78,0.6963823854923248,3.481911927461624,1712415326,,False,32,13a87f2c,2024-04-06_16-55-26,30.794774293899536,996.7852346897125,1659291,jyn,131.130.125.89,996.7852346897125,32,64,6,0.0,0.0001
0.9,0.88,0.89,0.88,0.97,0.236812083160176,8.051610827445984,0.74,0.72,0.74,0.73,0.79,0.7584355235099792,3.7921776175498962,1712415358,,False,33,13a87f2c,2024-04-06_16-55-58,31.975550889968872,1028.7607855796814,1659291,jyn,131.130.125.89,1028.7607855796814,33,64,6,0.0,0.0001
0.91,0.88,0.92,0.9,0.97,0.2361563095713363,8.029314525425434,0.7,0.75,0.57,0.65,0.81,0.7257896661758423,3.6289483308792114,1712415390,,False,34,13a87f2c,2024-04-06_16-56-30,31.329309463500977,1060.0900950431824,1659291,jyn,131.130.125.89,1060.0900950431824,34,64,6,0.0,0.0001
0.91,0.9,0.91,0.9,0.97,0.22338128462433815,7.594963677227497,0.72,0.68,0.75,0.72,0.81,0.6526143908500671,3.2630719542503357,1712415420,,False,35,13a87f2c,2024-04-06_16-57-00,30.714729070663452,1090.8048241138458,1659291,jyn,131.130.125.89,1090.8048241138458,35,64,6,0.0,0.0001
0.92,0.9,0.91,0.91,0.98,0.19862583148128846,6.753278270363808,0.65,0.64,0.61,0.62,0.73,0.7807978630065918,3.903989315032959,1712415451,,False,36,13a87f2c,2024-04-06_16-57-31,30.519858360290527,1121.3246824741364,1659291,jyn,131.130.125.89,1121.3246824741364,36,64,6,0.0,0.0001
0.9,0.9,0.89,0.89,0.97,0.21303577436243787,7.243216328322887,0.77,0.73,0.82,0.77,0.82,0.6577122151851654,3.288561075925827,1712415481,,False,37,13a87f2c,2024-04-06_16-58-01,30.158517360687256,1151.4831998348236,1659291,jyn,131.130.125.89,1151.4831998348236,37,64,6,0.0,0.0001
0.92,0.91,0.9,0.91,0.98,0.22994094867916667,7.817992255091667,0.75,0.75,0.74,0.74,0.82,0.6934799551963806,3.467399775981903,1712415510,,False,38,13a87f2c,2024-04-06_16-58-30,29.363966464996338,1180.84716629982,1659291,jyn,131.130.125.89,1180.84716629982,38,64,6,0.0,0.0001
0.91,0.89,0.9,0.9,0.97,0.20956730097532272,7.125288233160973,0.75,0.73,0.76,0.75,0.8,0.6311421751976013,3.1557108759880066,1712415541,,False,39,13a87f2c,2024-04-06_16-59-01,30.925270557403564,1211.7724368572235,1659291,jyn,131.130.125.89,1211.7724368572235,39,64,6,0.0,0.0001
0.92,0.9,0.91,0.91,0.97,0.20004322642789168,6.801469698548317,0.75,0.74,0.72,0.73,0.8,0.692837941646576,3.4641897082328796,1712415571,,False,40,13a87f2c,2024-04-06_16-59-31,29.95320177078247,1241.725638628006,1659291,jyn,131.130.125.89,1241.725638628006,40,64,6,0.0,0.0001
0.92,0.9,0.91,0.91,0.98,0.20056530197753625,6.819220267236233,0.74,0.73,0.72,0.73,0.8,0.7297026515007019,3.6485132575035095,1712415604,,False,41,13a87f2c,2024-04-06_17-00-04,32.31719708442688,1274.0428357124329,1659291,jyn,131.130.125.89,1274.0428357124329,41,64,6,0.0,0.0001
0.91,0.9,0.91,0.9,0.98,0.19491583218469338,6.627138294279575,0.72,0.68,0.78,0.73,0.81,0.6515748977661133,3.2578744888305664,1712415635,,False,42,13a87f2c,2024-04-06_17-00-35,31.16169500350952,1305.2045307159424,1659291,jyn,131.130.125.89,1305.2045307159424,42,64,6,0.0,0.0001
0.92,0.91,0.92,0.91,0.98,0.19057631602182107,6.479594744741917,0.71,0.73,0.61,0.67,0.79,0.8043960452079773,4.0219802260398865,1712415665,,False,43,13a87f2c,2024-04-06_17-01-05,30.76952028274536,1335.9740509986877,1659291,jyn,131.130.125.89,1335.9740509986877,43,64,6,0.0,0.0001
0.92,0.91,0.91,0.91,0.98,0.20744885778164163,7.053261164575815,0.74,0.69,0.82,0.75,0.79,0.7649905622005463,3.8249528110027313,1712415697,,False,44,13a87f2c,2024-04-06_17-01-37,31.84193253517151,1367.8159835338593,1659291,jyn,131.130.125.89,1367.8159835338593,44,64,6,0.0,0.0001
0.91,0.9,0.9,0.9,0.97,0.2411840970025343,8.200259298086166,0.71,0.69,0.71,0.7,0.77,0.8295451164245605,4.147725582122803,1712415729,,True,45,13a87f2c,2024-04-06_17-02-09,31.830377101898193,1399.6463606357574,1659291,jyn,131.130.125.89,1399.6463606357574,45,64,6,0.0,0.0001
