train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.52,0.47,0.69,0.56,0.56,0.7609601844759548,25.872646272182465,0.48,0.47,0.61,0.53,0.53,0.782408845424652,3.9120442271232605,1712045441,,False,1,718575d7,2024-04-02_10-10-41,18.086886882781982,18.086886882781982,20872,AT-MB-PC-EOS,127.0.0.1,18.086886882781982,1,128,3,0.0,0.001
0.7,0.65,0.69,0.67,0.75,0.6033897417433122,20.515251219272614,0.55,0.52,0.78,0.62,0.63,0.7719915509223938,3.859957754611969,1712045455,,False,2,718575d7,2024-04-02_10-10-55,14.52716875076294,32.61405563354492,20872,AT-MB-PC-EOS,127.0.0.1,32.61405563354492,2,128,3,0.0,0.001
0.73,0.68,0.73,0.71,0.8,0.5558274493497961,18.898133277893066,0.68,0.65,0.68,0.67,0.73,0.6508754253387451,3.2543771266937256,1712045470,,False,3,718575d7,2024-04-02_10-11-10,14.807118892669678,47.4211745262146,20872,AT-MB-PC-EOS,127.0.0.1,47.4211745262146,3,128,3,0.0,0.001
0.76,0.73,0.73,0.73,0.83,0.5259931210209342,17.88376611471176,0.57,0.59,0.32,0.41,0.66,0.8836296796798706,4.418148398399353,1712045484,,False,4,718575d7,2024-04-02_10-11-24,14.109501600265503,61.5306761264801,20872,AT-MB-PC-EOS,127.0.0.1,61.5306761264801,4,128,3,0.0,0.001
0.75,0.72,0.73,0.73,0.81,0.5526832561282551,18.791230708360672,0.7,0.63,0.86,0.73,0.77,0.6450125098228454,3.2250625491142273,1712045500,,False,5,718575d7,2024-04-02_10-11-40,15.29683804512024,76.82751417160034,20872,AT-MB-PC-EOS,127.0.0.1,76.82751417160034,5,128,3,0.0,0.001
0.73,0.69,0.73,0.71,0.82,0.5692940477062675,19.355997622013092,0.58,0.65,0.28,0.39,0.72,0.9029677748680115,4.514838874340057,1712045514,,False,6,718575d7,2024-04-02_10-11-54,14.332984685897827,91.16049885749817,20872,AT-MB-PC-EOS,127.0.0.1,91.16049885749817,6,128,3,0.0,0.001
0.76,0.73,0.73,0.73,0.82,0.5544731827343211,18.85208821296692,0.65,0.66,0.54,0.6,0.7,0.6817553043365479,3.4087765216827393,1712045529,,False,7,718575d7,2024-04-02_10-12-09,14.596178770065308,105.75667762756348,20872,AT-MB-PC-EOS,127.0.0.1,105.75667762756348,7,128,3,0.0,0.001
0.76,0.73,0.72,0.73,0.82,0.547986564829069,18.631543204188347,0.56,0.54,0.46,0.5,0.58,1.153733229637146,5.76866614818573,1712045543,,False,8,718575d7,2024-04-02_10-12-23,14.53814697265625,120.29482460021973,20872,AT-MB-PC-EOS,127.0.0.1,120.29482460021973,8,128,3,0.0,0.001
0.74,0.7,0.72,0.71,0.81,0.5452559073181713,18.538700848817825,0.62,0.58,0.69,0.63,0.63,1.151855707168579,5.7592785358428955,1712045558,,False,9,718575d7,2024-04-02_10-12-38,14.399535894393921,134.69436049461365,20872,AT-MB-PC-EOS,127.0.0.1,134.69436049461365,9,128,3,0.0,0.001
0.74,0.71,0.7,0.7,0.81,0.5697837954058367,19.372649043798447,0.57,0.55,0.54,0.55,0.65,0.7380748152732849,3.6903740763664246,1712045572,,False,10,718575d7,2024-04-02_10-12-52,14.91230297088623,149.60666346549988,20872,AT-MB-PC-EOS,127.0.0.1,149.60666346549988,10,128,3,0.0,0.001
0.75,0.71,0.73,0.72,0.83,0.5297844497596517,18.012671291828156,0.68,0.65,0.71,0.68,0.72,0.6693285584449769,3.346642792224884,1712045587,,False,11,718575d7,2024-04-02_10-13-07,14.326246500015259,163.93290996551514,20872,AT-MB-PC-EOS,127.0.0.1,163.93290996551514,11,128,3,0.0,0.001
0.78,0.74,0.76,0.75,0.85,0.4972858762039858,16.907719790935516,0.66,0.66,0.6,0.63,0.74,0.7146185100078583,3.5730925500392914,1712045601,,False,12,718575d7,2024-04-02_10-13-21,14.698055028915405,178.63096499443054,20872,AT-MB-PC-EOS,127.0.0.1,178.63096499443054,12,128,3,0.0,0.001
0.79,0.75,0.79,0.77,0.85,0.49749401474700256,16.914796501398087,0.74,0.7,0.79,0.75,0.78,0.5817817270755767,2.908908635377884,1712045616,,False,13,718575d7,2024-04-02_10-13-36,14.833096504211426,193.46406149864197,20872,AT-MB-PC-EOS,127.0.0.1,193.46406149864197,13,128,3,0.0,0.001
0.79,0.75,0.79,0.77,0.87,0.4562859430032618,15.5137220621109,0.5,0.49,0.89,0.63,0.5,1.0070175647735595,5.035087823867798,1712045628,,False,14,718575d7,2024-04-02_10-13-48,11.551271200180054,205.01533269882202,20872,AT-MB-PC-EOS,127.0.0.1,205.01533269882202,14,128,3,0.0,0.001
0.8,0.75,0.82,0.79,0.87,0.4633229357354781,15.752979815006256,0.71,0.65,0.85,0.73,0.68,0.6771528244018554,3.3857641220092773,1712045642,,True,15,718575d7,2024-04-02_10-14-02,14.14747166633606,219.16280436515808,20872,AT-MB-PC-EOS,127.0.0.1,219.16280436515808,15,128,3,0.0,0.001
