train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.45,0.81,0.57,0.47,1.1783793217995588,40.064896941185,0.51,0.49,0.76,0.6,0.55,0.9245259761810303,4.622629880905151,1712415239,,False,1,d8cc3730,2024-04-06_16-53-59,37.894880533218384,37.894880533218384,1659475,jyn,131.130.125.89,37.894880533218384,1,256,6,0.0,0.0001
0.58,0.53,0.61,0.56,0.59,0.7648956968503839,26.006453692913055,0.7,0.67,0.74,0.7,0.75,0.6002999782562256,3.001499891281128,1712415275,,False,2,d8cc3730,2024-04-06_16-54-35,36.41037845611572,74.3052589893341,1659475,jyn,131.130.125.89,74.3052589893341,2,256,6,0.0,0.0001
0.72,0.67,0.72,0.69,0.78,0.5812065241967931,19.761021822690964,0.7,0.67,0.75,0.71,0.75,0.5945622384548187,2.9728111922740936,1712415310,,False,3,d8cc3730,2024-04-06_16-55-10,34.348467111587524,108.65372610092163,1659475,jyn,131.130.125.89,108.65372610092163,3,256,6,0.0,0.0001
0.76,0.73,0.74,0.74,0.84,0.5030186535680995,17.102634221315384,0.7,0.66,0.75,0.7,0.77,0.5823421239852905,2.9117106199264526,1712415346,,False,4,d8cc3730,2024-04-06_16-55-46,36.13648080825806,144.7902069091797,1659475,jyn,131.130.125.89,144.7902069091797,4,256,6,0.0,0.0001
0.8,0.77,0.79,0.78,0.86,0.4677249911953421,15.902649700641632,0.68,0.62,0.89,0.73,0.74,0.665115475654602,3.3255773782730103,1712415380,,False,5,d8cc3730,2024-04-06_16-56-20,34.49679374694824,179.28700065612793,1659475,jyn,131.130.125.89,179.28700065612793,5,256,6,0.0,0.0001
0.82,0.8,0.78,0.79,0.88,0.4464221154065693,15.178351923823357,0.72,0.68,0.76,0.72,0.72,0.7727606534957886,3.863803267478943,1712415417,,False,6,d8cc3730,2024-04-06_16-56-57,36.55473589897156,215.8417365550995,1659475,jyn,131.130.125.89,215.8417365550995,6,256,6,0.0,0.0001
0.81,0.8,0.78,0.79,0.89,0.4176512882113457,14.200143799185753,0.6,0.59,0.53,0.56,0.65,0.7587326645851136,3.7936633229255676,1712415450,,False,7,d8cc3730,2024-04-06_16-57-30,32.888532876968384,248.73026943206787,1659475,jyn,131.130.125.89,248.73026943206787,7,256,6,0.0,0.0001
0.82,0.8,0.81,0.8,0.89,0.40726564561619477,13.847031950950623,0.68,0.64,0.76,0.7,0.74,0.7621535181999206,3.8107675909996033,1712415483,,False,8,d8cc3730,2024-04-06_16-58-03,33.259928941726685,281.99019837379456,1659475,jyn,131.130.125.89,281.99019837379456,8,256,6,0.0,0.0001
0.82,0.79,0.81,0.8,0.89,0.4157066279474427,14.13402535021305,0.62,0.58,0.71,0.64,0.66,0.9431727290153503,4.715863645076752,1712415517,,False,9,d8cc3730,2024-04-06_16-58-37,34.02766561508179,316.01786398887634,1659475,jyn,131.130.125.89,316.01786398887634,9,256,6,0.0,0.0001
0.83,0.8,0.81,0.81,0.91,0.3748207109815934,12.743904173374176,0.64,0.65,0.54,0.59,0.75,0.6437376737594604,3.2186883687973022,1712415551,,False,10,d8cc3730,2024-04-06_16-59-11,34.241771936416626,350.25963592529297,1659475,jyn,131.130.125.89,350.25963592529297,10,256,6,0.0,0.0001
0.83,0.81,0.8,0.81,0.9,0.40724576702889276,13.846356078982353,0.64,0.64,0.58,0.61,0.72,0.7283281207084655,3.641640603542328,1712415587,,False,11,d8cc3730,2024-04-06_16-59-47,35.47248911857605,385.732125043869,1659475,jyn,131.130.125.89,385.732125043869,11,256,6,0.0,0.0001
0.82,0.79,0.82,0.8,0.9,0.4227157620822682,14.37233591079712,0.7,0.67,0.75,0.71,0.76,0.6494478344917297,3.2472391724586487,1712415622,,False,12,d8cc3730,2024-04-06_17-00-22,35.231513261795044,420.96363830566406,1659475,jyn,131.130.125.89,420.96363830566406,12,256,6,0.0,0.0001
0.83,0.81,0.82,0.81,0.91,0.37754969912416797,12.83668977022171,0.69,0.65,0.76,0.7,0.77,0.6426709771156311,3.2133548855781555,1712415657,,False,13,d8cc3730,2024-04-06_17-00-57,35.15530347824097,456.11894178390503,1659475,jyn,131.130.125.89,456.11894178390503,13,256,6,0.0,0.0001
0.85,0.84,0.82,0.83,0.92,0.3625810514478123,12.327755749225616,0.72,0.64,0.93,0.76,0.77,0.8119321703910828,4.059660851955414,1712415692,,False,14,d8cc3730,2024-04-06_17-01-32,34.457923889160156,490.5768656730652,1659475,jyn,131.130.125.89,490.5768656730652,14,256,6,0.0,0.0001
0.84,0.82,0.84,0.83,0.91,0.39374685155994754,13.387392953038216,0.61,0.62,0.46,0.53,0.69,0.9040094256401062,4.520047128200531,1712415724,,True,15,d8cc3730,2024-04-06_17-02-04,32.58031940460205,523.1571850776672,1659475,jyn,131.130.125.89,523.1571850776672,15,256,6,0.0,0.0001
