train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.54,0.48,0.42,0.45,0.55,0.8603587992051068,29.252199172973633,0.5,0.43,0.12,0.19,0.47,1.0354008674621582,5.177004337310791,1712527427,,False,1,ed803827,2024-04-08_00-03-47,24.265081882476807,24.265081882476807,49728,AT-MB-PC-E13,127.0.0.1,24.265081882476807,1,64,3,0.0,0.0001
0.6,0.55,0.57,0.56,0.63,0.7251421958208084,24.654834657907486,0.51,0.46,0.17,0.24,0.56,0.7577401995658875,3.7887009978294373,1712527440,,False,2,ed803827,2024-04-08_00-04-00,12.75277042388916,37.01785230636597,49728,AT-MB-PC-E13,127.0.0.1,37.01785230636597,2,64,3,0.0,0.0001
0.67,0.64,0.61,0.63,0.73,0.6045976447708467,20.556319922208786,0.6,0.57,0.65,0.61,0.59,0.7610482454299927,3.8052412271499634,1712527454,,False,3,ed803827,2024-04-08_00-04-14,14.017675399780273,51.03552770614624,49728,AT-MB-PC-E13,127.0.0.1,51.03552770614624,3,64,3,0.0,0.0001
0.75,0.72,0.73,0.72,0.81,0.534239897833151,18.164156526327133,0.59,0.56,0.64,0.6,0.64,0.7156282305717468,3.578141152858734,1712527468,,False,4,ed803827,2024-04-08_00-04-28,13.902947664260864,64.9384753704071,49728,AT-MB-PC-E13,127.0.0.1,64.9384753704071,4,64,3,0.0,0.0001
0.76,0.73,0.72,0.73,0.83,0.5324714288992041,18.104028582572937,0.65,0.69,0.47,0.56,0.71,0.6454907894134522,3.2274539470672607,1712527482,,False,5,ed803827,2024-04-08_00-04-42,14.261847734451294,79.2003231048584,49728,AT-MB-PC-E13,127.0.0.1,79.2003231048584,5,64,3,0.0,0.0001
0.75,0.73,0.72,0.72,0.84,0.49038337609347177,16.67303478717804,0.63,0.59,0.71,0.65,0.71,0.6547149658203125,3.2735748291015625,1712527497,,False,6,ed803827,2024-04-08_00-04-57,14.448393821716309,93.6487169265747,49728,AT-MB-PC-E13,127.0.0.1,93.6487169265747,6,64,3,0.0,0.0001
0.76,0.73,0.75,0.74,0.86,0.4581520206788007,15.577168703079224,0.68,0.63,0.76,0.69,0.7,0.6988817930221558,3.494408965110779,1712527511,,False,7,ed803827,2024-04-08_00-05-11,13.976406335830688,107.6251232624054,49728,AT-MB-PC-E13,127.0.0.1,107.6251232624054,7,64,3,0.0,0.0001
0.8,0.77,0.78,0.77,0.87,0.4391162658438963,14.929953038692474,0.7,0.67,0.72,0.69,0.73,0.6608335137367248,3.3041675686836243,1712527525,,False,8,ed803827,2024-04-08_00-05-25,14.115294456481934,121.74041771888733,49728,AT-MB-PC-E13,127.0.0.1,121.74041771888733,8,64,3,0.0,0.0001
0.8,0.77,0.77,0.77,0.88,0.44653280517634225,15.182115375995636,0.68,0.64,0.72,0.68,0.7,0.7217294096946716,3.608647048473358,1712527539,,False,9,ed803827,2024-04-08_00-05-39,14.434504508972168,136.1749222278595,49728,AT-MB-PC-E13,127.0.0.1,136.1749222278595,9,64,3,0.0,0.0001
0.81,0.78,0.79,0.78,0.88,0.43686513076810274,14.853414446115494,0.69,0.66,0.71,0.68,0.74,0.633457750082016,3.16728875041008,1712527552,,False,10,ed803827,2024-04-08_00-05-52,13.228028774261475,149.40295100212097,49728,AT-MB-PC-E13,127.0.0.1,149.40295100212097,10,64,3,0.0,0.0001
0.81,0.78,0.79,0.79,0.89,0.4133916891673032,14.055317431688309,0.65,0.6,0.79,0.68,0.73,0.7359950423240662,3.679975211620331,1712527565,,False,11,ed803827,2024-04-08_00-06-05,12.777004480361938,162.1799554824829,49728,AT-MB-PC-E13,127.0.0.1,162.1799554824829,11,64,3,0.0,0.0001
0.81,0.78,0.79,0.79,0.9,0.4059009297805674,13.800631612539291,0.68,0.64,0.74,0.68,0.71,0.7040738224983215,3.5203691124916077,1712527580,,False,12,ed803827,2024-04-08_00-06-20,14.517659187316895,176.6976146697998,49728,AT-MB-PC-E13,127.0.0.1,176.6976146697998,12,64,3,0.0,0.0001
