train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.35,0.13,0.19,0.46,1.0741580181262071,36.521372616291046,0.52,0.0,0.0,0.0,0.29,2.929505729675293,14.647528648376465,1712524302,,False,1,f0aff7a0,2024-04-07_23-11-42,50.0269341468811,50.0269341468811,12156,AT-MB-PC-E13,127.0.0.1,50.0269341468811,1,128,10,0.2,0.0001
0.53,0.42,0.15,0.22,0.48,0.943378746509552,32.07487738132477,0.52,0.0,0.0,0.0,0.38,1.518999981880188,7.59499990940094,1712524345,,False,2,f0aff7a0,2024-04-07_23-12-25,42.56651973724365,92.59345388412476,12156,AT-MB-PC-E13,127.0.0.1,92.59345388412476,2,128,10,0.2,0.0001
0.56,0.51,0.27,0.35,0.54,0.7923355032415951,26.939407110214233,0.54,0.51,0.74,0.61,0.64,0.7113895893096924,3.556947946548462,1712524385,,False,3,f0aff7a0,2024-04-07_23-13-05,40.06323313713074,132.6566870212555,12156,AT-MB-PC-E13,127.0.0.1,132.6566870212555,3,128,10,0.2,0.0001
0.58,0.53,0.42,0.47,0.59,0.7457156514420229,25.354332149028778,0.55,0.52,0.82,0.63,0.67,0.7345321655273438,3.6726608276367188,1712524425,,False,4,f0aff7a0,2024-04-07_23-13-45,40.33072257041931,172.9874095916748,12156,AT-MB-PC-E13,127.0.0.1,172.9874095916748,4,128,10,0.2,0.0001
0.61,0.57,0.48,0.52,0.63,0.7051054975565743,23.973586916923523,0.55,0.52,0.78,0.62,0.68,0.770342206954956,3.8517110347747803,1712524470,,False,5,f0aff7a0,2024-04-07_23-14-30,44.48678469657898,217.47419428825378,12156,AT-MB-PC-E13,127.0.0.1,217.47419428825378,5,128,10,0.2,0.0001
0.61,0.57,0.52,0.54,0.65,0.6762799708282247,22.993519008159637,0.56,0.53,0.82,0.64,0.63,0.8916672587394714,4.458336293697357,1712524514,,False,6,f0aff7a0,2024-04-07_23-15-14,44.1332643032074,261.6074585914612,12156,AT-MB-PC-E13,127.0.0.1,261.6074585914612,6,128,10,0.2,0.0001
0.64,0.6,0.56,0.58,0.69,0.6440281105392119,21.896955758333206,0.54,0.51,0.75,0.61,0.68,0.8412792921066284,4.206396460533142,1712524558,,False,7,f0aff7a0,2024-04-07_23-15-58,44.38519024848938,305.99264883995056,12156,AT-MB-PC-E13,127.0.0.1,305.99264883995056,7,128,10,0.2,0.0001
0.65,0.62,0.58,0.6,0.7,0.6449823177912656,21.92939880490303,0.6,0.56,0.67,0.61,0.68,0.7692182183265686,3.846091091632843,1712524602,,False,8,f0aff7a0,2024-04-07_23-16-42,44.3952112197876,350.38786005973816,12156,AT-MB-PC-E13,127.0.0.1,350.38786005973816,8,128,10,0.2,0.0001
0.7,0.68,0.63,0.65,0.75,0.5984096404384164,20.34592777490616,0.62,0.59,0.67,0.63,0.68,0.7112192511558533,3.5560962557792664,1712524646,,False,9,f0aff7a0,2024-04-07_23-17-26,43.84327435493469,394.23113441467285,12156,AT-MB-PC-E13,127.0.0.1,394.23113441467285,9,128,10,0.2,0.0001
0.7,0.66,0.67,0.66,0.77,0.5798793513985241,19.71589794754982,0.6,0.56,0.72,0.63,0.71,0.6775954604148865,3.3879773020744324,1712524688,,False,10,f0aff7a0,2024-04-07_23-18-08,41.48460030555725,435.7157347202301,12156,AT-MB-PC-E13,127.0.0.1,435.7157347202301,10,128,10,0.2,0.0001
0.68,0.66,0.6,0.63,0.76,0.6055231401148964,20.58778676390648,0.62,0.58,0.75,0.65,0.71,0.6669545888900756,3.3347729444503784,1712524732,,False,11,f0aff7a0,2024-04-07_23-18-52,44.10171914100647,479.8174538612366,12156,AT-MB-PC-E13,127.0.0.1,479.8174538612366,11,128,10,0.2,0.0001
0.7,0.65,0.69,0.67,0.77,0.5826225990758223,19.809168368577957,0.6,0.56,0.76,0.65,0.7,0.755357825756073,3.776789128780365,1712524776,,False,12,f0aff7a0,2024-04-07_23-19-36,44.23253393173218,524.0499877929688,12156,AT-MB-PC-E13,127.0.0.1,524.0499877929688,12,128,10,0.2,0.0001
0.72,0.68,0.67,0.68,0.79,0.5637753053623087,19.168360382318497,0.59,0.55,0.76,0.64,0.71,0.7656994819641113,3.8284974098205566,1712524817,,False,13,f0aff7a0,2024-04-07_23-20-17,41.29509425163269,565.3450820446014,12156,AT-MB-PC-E13,127.0.0.1,565.3450820446014,13,128,10,0.2,0.0001
0.71,0.68,0.67,0.67,0.79,0.5664564353578231,19.259518802165985,0.62,0.57,0.86,0.69,0.72,0.7879409074783326,3.9397045373916626,1712524861,,False,14,f0aff7a0,2024-04-07_23-21-01,43.760783195495605,609.105865240097,12156,AT-MB-PC-E13,127.0.0.1,609.105865240097,14,128,10,0.2,0.0001
0.72,0.68,0.7,0.69,0.8,0.5494216513984344,18.680336147546768,0.61,0.56,0.81,0.66,0.69,0.805618965625763,4.028094828128815,1712524905,,True,15,f0aff7a0,2024-04-07_23-21-45,44.27771854400635,653.3835837841034,12156,AT-MB-PC-E13,127.0.0.1,653.3835837841034,15,128,10,0.2,0.0001
