train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.41,0.36,0.42,0.39,0.4,1.2479157412753386,42.42913520336151,0.47,0.47,0.97,0.64,0.6,0.8756313323974609,4.378156661987305,1712743647,,False,1,60fb1c7d,2024-04-10_12-07-27,27.981654405593872,27.981654405593872,13656,AT-MB-PC-E13,127.0.0.1,27.981654405593872,1,64,3,0.0,0.0001
0.5,0.44,0.47,0.46,0.5,0.8900597375981948,30.262031078338623,0.56,0.54,0.57,0.55,0.55,0.7254271984100342,3.627135992050171,1712743667,,False,2,60fb1c7d,2024-04-10_12-07-47,20.39708709716797,48.37874150276184,13656,AT-MB-PC-E13,127.0.0.1,48.37874150276184,2,64,3,0.0,0.0001
0.6,0.56,0.54,0.55,0.65,0.6623323717538048,22.519300639629364,0.52,0.5,0.39,0.44,0.55,0.7523913741111755,3.7619568705558777,1712743687,,False,3,60fb1c7d,2024-04-10_12-08-07,19.74794340133667,68.12668490409851,13656,AT-MB-PC-E13,127.0.0.1,68.12668490409851,3,64,3,0.0,0.0001
0.66,0.6,0.69,0.64,0.72,0.6180729489116108,21.014480262994766,0.56,0.53,0.62,0.57,0.6,0.7770801186561584,3.8854005932807922,1712743708,,False,4,60fb1c7d,2024-04-10_12-08-28,21.296618938446045,89.42330384254456,13656,AT-MB-PC-E13,127.0.0.1,89.42330384254456,4,64,3,0.0,0.0001
0.72,0.69,0.68,0.68,0.78,0.5712661751929451,19.423049956560135,0.55,0.57,0.24,0.33,0.59,0.8124742388725281,4.06237119436264,1712743729,,False,5,60fb1c7d,2024-04-10_12-08-49,20.53992509841919,109.96322894096375,13656,AT-MB-PC-E13,127.0.0.1,109.96322894096375,5,64,3,0.0,0.0001
0.75,0.71,0.76,0.73,0.82,0.5236073267810485,17.80264911055565,0.6,0.56,0.81,0.66,0.68,0.6750218152999878,3.375109076499939,1712743750,,False,6,60fb1c7d,2024-04-10_12-09-10,20.809170961380005,130.77239990234375,13656,AT-MB-PC-E13,127.0.0.1,130.77239990234375,6,64,3,0.0,0.0001
0.78,0.75,0.74,0.75,0.84,0.5056338187526254,17.191549837589264,0.59,0.55,0.75,0.64,0.68,0.6925913333892822,3.462956666946411,1712743770,,False,7,60fb1c7d,2024-04-10_12-09-30,20.507733821868896,151.28013372421265,13656,AT-MB-PC-E13,127.0.0.1,151.28013372421265,7,64,3,0.0,0.0001
0.73,0.71,0.67,0.69,0.82,0.5224248398752773,17.76244455575943,0.6,0.57,0.65,0.61,0.66,0.7512149810791016,3.756074905395508,1712743791,,False,8,60fb1c7d,2024-04-10_12-09-51,21.195375680923462,172.4755094051361,13656,AT-MB-PC-E13,127.0.0.1,172.4755094051361,8,64,3,0.0,0.0001
0.76,0.71,0.78,0.75,0.83,0.518100891919697,17.6154303252697,0.66,0.64,0.65,0.65,0.69,0.6914132475852967,3.457066237926483,1712743808,,False,9,60fb1c7d,2024-04-10_12-10-08,16.580065727233887,189.05557513237,13656,AT-MB-PC-E13,127.0.0.1,189.05557513237,9,64,3,0.0,0.0001
0.77,0.75,0.72,0.74,0.84,0.5036714914090493,17.124830707907677,0.61,0.56,0.82,0.67,0.62,1.0847816467285156,5.423908233642578,1712743828,,False,10,60fb1c7d,2024-04-10_12-10-28,19.949949502944946,209.00552463531494,13656,AT-MB-PC-E13,127.0.0.1,209.00552463531494,10,64,3,0.0,0.0001
0.78,0.75,0.75,0.75,0.86,0.47723085652379427,16.225849121809006,0.58,0.62,0.33,0.43,0.65,0.825628912448883,4.128144562244415,1712743848,,False,11,60fb1c7d,2024-04-10_12-10-48,20.402259588241577,229.40778422355652,13656,AT-MB-PC-E13,127.0.0.1,229.40778422355652,11,64,3,0.0,0.0001
0.76,0.72,0.75,0.73,0.85,0.49231335433090434,16.738654047250748,0.62,0.57,0.78,0.66,0.65,0.8271784305572509,4.135892152786255,1712743868,,False,12,60fb1c7d,2024-04-10_12-11-08,20.25755476951599,249.6653389930725,13656,AT-MB-PC-E13,127.0.0.1,249.6653389930725,12,64,3,0.0,0.0001
