train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49,0.44,0.53,0.48,0.47,0.9436425426427055,32.08384644985199,0.48,0.48,1.0,0.65,0.66,1.285024309158325,6.425121545791626,1713149885,,False,1,62b98616,2024-04-15_04-58-05,120.4294981956482,120.4294981956482,18120,AT-MB-PC-E13,127.0.0.1,120.4294981956482,1,128,10,0.2,0.0001
0.51,0.45,0.5,0.48,0.51,0.807988695362035,27.47161564230919,0.46,0.46,0.9,0.61,0.55,0.9312021136283875,4.656010568141937,1713149996,,False,2,62b98616,2024-04-15_04-59-56,111.24921441078186,231.67871260643005,18120,AT-MB-PC-E13,127.0.0.1,231.67871260643005,2,128,10,0.2,0.0001
0.57,0.52,0.48,0.5,0.59,0.7213613373391768,24.526285469532013,0.48,0.47,0.71,0.56,0.49,0.8349729657173157,4.174864828586578,1713150109,,False,3,62b98616,2024-04-15_05-01-49,112.2978105545044,343.97652316093445,18120,AT-MB-PC-E13,127.0.0.1,343.97652316093445,3,128,10,0.2,0.0001
0.59,0.54,0.57,0.56,0.62,0.6884201186544755,23.406284034252167,0.56,0.53,0.67,0.59,0.58,0.7464018344879151,3.732009172439575,1713150220,,False,4,62b98616,2024-04-15_05-03-40,110.94779086112976,454.9243140220642,18120,AT-MB-PC-E13,127.0.0.1,454.9243140220642,4,128,10,0.2,0.0001
0.65,0.63,0.56,0.59,0.69,0.6615773474468905,22.493629813194275,0.53,0.51,0.68,0.58,0.59,0.7606801390647888,3.803400695323944,1713150332,,False,5,62b98616,2024-04-15_05-05-32,112.24975919723511,567.1740732192993,18120,AT-MB-PC-E13,127.0.0.1,567.1740732192993,5,128,10,0.2,0.0001
0.65,0.62,0.57,0.6,0.71,0.6339904350392959,21.55567479133606,0.6,0.55,0.88,0.68,0.7,0.6980431079864502,3.490215539932251,1713150443,,False,6,62b98616,2024-04-15_05-07-23,111.39662599563599,678.5706992149353,18120,AT-MB-PC-E13,127.0.0.1,678.5706992149353,6,128,10,0.2,0.0001
0.67,0.63,0.65,0.64,0.73,0.612456887960434,20.823534190654755,0.56,0.61,0.24,0.34,0.61,0.8728578567504883,4.364289283752441,1713150556,,False,7,62b98616,2024-04-15_05-09-16,112.1851761341095,790.7558753490448,18120,AT-MB-PC-E13,127.0.0.1,790.7558753490448,7,128,10,0.2,0.0001
0.69,0.65,0.67,0.66,0.74,0.594600219060393,20.21640744805336,0.59,0.56,0.64,0.6,0.62,0.7862277388572693,3.9311386942863464,1713150667,,False,8,62b98616,2024-04-15_05-11-07,111.85676193237305,902.6126372814178,18120,AT-MB-PC-E13,127.0.0.1,902.6126372814178,8,128,10,0.2,0.0001
0.7,0.66,0.69,0.68,0.77,0.5722930878400803,19.45796498656273,0.63,0.57,0.9,0.7,0.69,0.7258945047855377,3.6294725239276886,1713150779,,False,9,62b98616,2024-04-15_05-12-59,111.59107065200806,1014.2037079334259,18120,AT-MB-PC-E13,127.0.0.1,1014.2037079334259,9,128,10,0.2,0.0001
0.72,0.69,0.68,0.68,0.79,0.5855585433104459,19.90899047255516,0.62,0.57,0.78,0.66,0.69,0.7698557734489441,3.8492788672447205,1713150891,,False,10,62b98616,2024-04-15_05-14-51,112.39447259902954,1126.5981805324554,18120,AT-MB-PC-E13,127.0.0.1,1126.5981805324554,10,128,10,0.2,0.0001
