train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49,0.44,0.53,0.48,0.47,0.9436425443957833,32.083846509456635,0.48,0.48,1.0,0.65,0.66,1.2850241661071777,6.425120830535889,1713131664,,False,1,9648ffa2,2024-04-14_23-54-24,115.26056289672852,115.26056289672852,56296,AT-MB-PC-E13,127.0.0.1,115.26056289672852,1,128,10,0.2,0.0001
0.51,0.45,0.5,0.48,0.51,0.8079881931052488,27.47159856557846,0.46,0.46,0.9,0.61,0.55,0.9312001228332519,4.65600061416626,1713131770,,False,2,9648ffa2,2024-04-14_23-56-10,106.40449261665344,221.66505551338196,56296,AT-MB-PC-E13,127.0.0.1,221.66505551338196,2,128,10,0.2,0.0001
0.57,0.52,0.48,0.5,0.59,0.7213489220422857,24.525863349437714,0.48,0.47,0.71,0.56,0.49,0.8364969491958618,4.182484745979309,1713131877,,False,3,9648ffa2,2024-04-14_23-57-57,106.7528977394104,328.41795325279236,56296,AT-MB-PC-E13,127.0.0.1,328.41795325279236,3,128,10,0.2,0.0001
0.59,0.54,0.57,0.55,0.62,0.6910873888170018,23.49697121977806,0.54,0.51,0.58,0.55,0.55,0.7518980622291564,3.7594903111457825,1713131983,,False,4,9648ffa2,2024-04-14_23-59-43,106.06625008583069,434.48420333862305,56296,AT-MB-PC-E13,127.0.0.1,434.48420333862305,4,128,10,0.2,0.0001
0.65,0.62,0.56,0.59,0.69,0.6576569579979953,22.36033657193184,0.55,0.52,0.65,0.58,0.59,0.747281289100647,3.736406445503235,1713132088,,False,5,9648ffa2,2024-04-15_00-01-28,105.15345811843872,539.6376614570618,56296,AT-MB-PC-E13,127.0.0.1,539.6376614570618,5,128,10,0.2,0.0001
0.65,0.62,0.55,0.58,0.7,0.6325940928038429,21.508199155330658,0.64,0.58,0.9,0.7,0.7,0.6970703482627869,3.4853517413139343,1713132194,,False,6,9648ffa2,2024-04-15_00-03-14,106.0234887599945,645.6611502170563,56296,AT-MB-PC-E13,127.0.0.1,645.6611502170563,6,128,10,0.2,0.0001
0.67,0.63,0.63,0.63,0.73,0.6033277783323737,20.513144463300705,0.58,0.6,0.38,0.46,0.64,0.7390252709388733,3.6951263546943665,1713132300,,False,7,9648ffa2,2024-04-15_00-05-00,105.89808106422424,751.5592312812805,56296,AT-MB-PC-E13,127.0.0.1,751.5592312812805,7,128,10,0.2,0.0001
0.7,0.66,0.66,0.66,0.75,0.5808853033710929,19.750100314617157,0.59,0.57,0.58,0.58,0.6,0.7909258842468262,3.954629421234131,1713132407,,False,8,9648ffa2,2024-04-15_00-06-47,106.55323243141174,858.1124637126923,56296,AT-MB-PC-E13,127.0.0.1,858.1124637126923,8,128,10,0.2,0.0001
0.73,0.69,0.72,0.71,0.78,0.5629982483737609,19.14194044470787,0.62,0.57,0.83,0.67,0.68,0.7345082402229309,3.6725412011146545,1713132512,,False,9,9648ffa2,2024-04-15_00-08-32,105.28857731819153,963.4010410308838,56296,AT-MB-PC-E13,127.0.0.1,963.4010410308838,9,128,10,0.2,0.0001
0.72,0.69,0.68,0.68,0.78,0.5841381725142983,19.860697865486145,0.58,0.54,0.78,0.64,0.64,0.786834967136383,3.9341748356819153,1713132618,,False,10,9648ffa2,2024-04-15_00-10-18,106.14710783958435,1069.5481488704681,56296,AT-MB-PC-E13,127.0.0.1,1069.5481488704681,10,128,10,0.2,0.0001
