train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.53,0.48,0.58,0.52,0.54,0.7266617136843064,24.70649826526642,0.48,0.43,0.28,0.34,0.43,0.7628024935722351,3.8140124678611755,1713196665,,False,1,48309195,2024-04-15_17-57-45,41.99183368682861,41.99183368682861,15000,AT-MB-PC-E13,127.0.0.1,41.99183368682861,1,256,10,0.2,0.001
0.59,0.54,0.5,0.52,0.61,0.6761930725153755,22.990564465522766,0.56,0.54,0.51,0.53,0.56,0.7295720458030701,3.6478602290153503,1713196702,,False,2,48309195,2024-04-15_17-58-22,37.3986337184906,79.39046740531921,15000,AT-MB-PC-E13,127.0.0.1,79.39046740531921,2,256,10,0.2,0.001
0.64,0.61,0.55,0.58,0.69,0.6371305988115423,21.662440359592438,0.56,0.8,0.11,0.2,0.58,0.86548752784729,4.32743763923645,1713196739,,False,3,48309195,2024-04-15_17-58-59,36.97307109832764,116.36353850364685,15000,AT-MB-PC-E13,127.0.0.1,116.36353850364685,3,256,10,0.2,0.001
0.65,0.61,0.56,0.59,0.68,0.6547219849684659,22.26054748892784,0.57,0.55,0.56,0.55,0.63,0.7483080625534058,3.741540312767029,1713196777,,False,4,48309195,2024-04-15_17-59-37,37.20494747161865,153.5684859752655,15000,AT-MB-PC-E13,127.0.0.1,153.5684859752655,4,256,10,0.2,0.001
0.69,0.66,0.61,0.63,0.73,0.6364488066995845,21.639259427785873,0.62,0.58,0.78,0.66,0.7,0.8002520322799682,4.001260161399841,1713196814,,False,5,48309195,2024-04-15_18-00-14,36.99119782447815,190.55968379974365,15000,AT-MB-PC-E13,127.0.0.1,190.55968379974365,5,256,10,0.2,0.001
0.72,0.68,0.69,0.69,0.75,0.6119476986282012,20.80622175335884,0.51,0.47,0.19,0.27,0.5,0.9874529004096985,4.937264502048492,1713196851,,False,6,48309195,2024-04-15_18-00-51,37.04736590385437,227.60704970359802,15000,AT-MB-PC-E13,127.0.0.1,227.60704970359802,6,256,10,0.2,0.001
0.72,0.7,0.65,0.68,0.78,0.5791913419961929,19.69250562787056,0.67,0.67,0.61,0.64,0.68,0.7228486180305481,3.6142430901527405,1713196888,,False,7,48309195,2024-04-15_18-01-28,37.602601289749146,265.20965099334717,15000,AT-MB-PC-E13,127.0.0.1,265.20965099334717,7,256,10,0.2,0.001
0.68,0.63,0.66,0.65,0.74,0.6045449183267706,20.5545272231102,0.66,0.63,0.69,0.66,0.69,0.640810227394104,3.20405113697052,1713196926,,False,8,48309195,2024-04-15_18-02-06,37.25631308555603,302.4659640789032,15000,AT-MB-PC-E13,127.0.0.1,302.4659640789032,8,256,10,0.2,0.001
0.69,0.64,0.68,0.66,0.75,0.6011657320401248,20.439634889364243,0.64,0.58,0.86,0.7,0.78,0.6172225475311279,3.0861127376556396,1713196963,,False,9,48309195,2024-04-15_18-02-43,37.438371896743774,339.904335975647,15000,AT-MB-PC-E13,127.0.0.1,339.904335975647,9,256,10,0.2,0.001
0.73,0.7,0.68,0.69,0.79,0.563530510839294,19.160037368535995,0.66,0.67,0.54,0.6,0.73,0.637558114528656,3.18779057264328,1713197000,,False,10,48309195,2024-04-15_18-03-20,36.770313024520874,376.67464900016785,15000,AT-MB-PC-E13,127.0.0.1,376.67464900016785,10,256,10,0.2,0.001
0.69,0.64,0.68,0.66,0.75,0.599932115744142,20.397691935300827,0.5,0.48,0.53,0.5,0.57,0.8671181917190551,4.335590958595276,1713197037,,False,11,48309195,2024-04-15_18-03-57,37.37746572494507,414.0521147251129,15000,AT-MB-PC-E13,127.0.0.1,414.0521147251129,11,256,10,0.2,0.001
0.7,0.66,0.68,0.67,0.76,0.5887968285995371,20.019092172384262,0.68,0.62,0.81,0.7,0.74,0.6731998205184937,3.3659991025924683,1713197074,,False,12,48309195,2024-04-15_18-04-34,36.807100772857666,450.8592154979706,15000,AT-MB-PC-E13,127.0.0.1,450.8592154979706,12,256,10,0.2,0.001
0.71,0.66,0.72,0.69,0.79,0.5688069042037515,19.33943474292755,0.5,0.17,0.01,0.03,0.7,1.203389060497284,6.01694530248642,1713197111,,False,13,48309195,2024-04-15_18-05-11,36.94445037841797,487.80366587638855,15000,AT-MB-PC-E13,127.0.0.1,487.80366587638855,13,256,10,0.2,0.001
0.73,0.69,0.7,0.7,0.78,0.5923363382325453,20.13943549990654,0.45,0.42,0.43,0.43,0.42,0.9893585205078125,4.9467926025390625,1713197148,,False,14,48309195,2024-04-15_18-05-48,37.19068264961243,524.994348526001,15000,AT-MB-PC-E13,127.0.0.1,524.994348526001,14,256,10,0.2,0.001
0.68,0.66,0.61,0.63,0.75,0.590067438342992,20.062292903661728,0.65,0.7,0.46,0.55,0.71,0.6775152564048768,3.3875762820243835,1713197185,,False,15,48309195,2024-04-15_18-06-25,36.8197968006134,561.8141453266144,15000,AT-MB-PC-E13,127.0.0.1,561.8141453266144,15,256,10,0.2,0.001
0.72,0.68,0.69,0.69,0.79,0.559791179264293,19.032900094985962,0.69,0.76,0.51,0.61,0.74,0.6842001914978028,3.4210009574890137,1713197222,,False,16,48309195,2024-04-15_18-07-02,37.25428318977356,599.0684285163879,15000,AT-MB-PC-E13,127.0.0.1,599.0684285163879,16,256,10,0.2,0.001
0.7,0.66,0.67,0.66,0.77,0.5759906900279662,19.58368346095085,0.53,0.51,0.49,0.5,0.52,0.8231218218803406,4.115609109401703,1713197259,,False,17,48309195,2024-04-15_18-07-39,36.757938385009766,635.8263669013977,15000,AT-MB-PC-E13,127.0.0.1,635.8263669013977,17,256,10,0.2,0.001
0.68,0.63,0.68,0.65,0.75,0.5938640464754665,20.191377580165863,0.71,0.7,0.68,0.69,0.72,0.622089946269989,3.110449731349945,1713197291,,False,18,48309195,2024-04-15_18-08-11,31.898066997528076,667.7244338989258,15000,AT-MB-PC-E13,127.0.0.1,667.7244338989258,18,256,10,0.2,0.001
0.73,0.68,0.75,0.71,0.81,0.5335863609524334,18.141936272382736,0.66,0.64,0.68,0.66,0.76,0.5706883132457733,2.8534415662288666,1713197327,,False,19,48309195,2024-04-15_18-08-47,36.440656423568726,704.1650903224945,15000,AT-MB-PC-E13,127.0.0.1,704.1650903224945,19,256,10,0.2,0.001
0.74,0.7,0.75,0.72,0.81,0.5630308065344306,19.14304742217064,0.64,0.61,0.65,0.63,0.71,0.6936237454414368,3.468118727207184,1713197365,,False,20,48309195,2024-04-15_18-09-25,37.30547046661377,741.4705607891083,15000,AT-MB-PC-E13,127.0.0.1,741.4705607891083,20,256,10,0.2,0.001
0.75,0.7,0.76,0.73,0.82,0.5169114584431929,17.574989587068558,0.71,0.67,0.78,0.72,0.74,0.6322510361671447,3.161255180835724,1713197397,,False,21,48309195,2024-04-15_18-09-57,32.86520218849182,774.3357629776001,15000,AT-MB-PC-E13,127.0.0.1,774.3357629776001,21,256,10,0.2,0.001
0.74,0.69,0.76,0.73,0.82,0.5235941708087921,17.802201807498932,0.6,0.54,0.93,0.69,0.64,1.0978816032409668,5.489408016204834,1713197431,,False,22,48309195,2024-04-15_18-10-31,33.03271842002869,807.3684813976288,15000,AT-MB-PC-E13,127.0.0.1,807.3684813976288,22,256,10,0.2,0.001
0.75,0.71,0.72,0.72,0.79,0.5530501227168476,18.803704172372818,0.68,0.66,0.67,0.66,0.74,0.606279993057251,3.031399965286255,1713197465,,False,23,48309195,2024-04-15_18-11-05,34.796815633773804,842.1652970314026,15000,AT-MB-PC-E13,127.0.0.1,842.1652970314026,23,256,10,0.2,0.001
0.72,0.68,0.68,0.68,0.79,0.539705761215266,18.349995881319046,0.71,0.68,0.74,0.71,0.74,0.6392392158508301,3.1961960792541504,1713197500,,False,24,48309195,2024-04-15_18-11-40,34.98714756965637,877.152444601059,15000,AT-MB-PC-E13,127.0.0.1,877.152444601059,24,256,10,0.2,0.001
0.72,0.66,0.75,0.7,0.8,0.5445363030714148,18.5142343044281,0.6,0.56,0.83,0.67,0.7,0.6396615505218506,3.198307752609253,1713197535,,False,25,48309195,2024-04-15_18-12-15,34.95144319534302,912.103887796402,15000,AT-MB-PC-E13,127.0.0.1,912.103887796402,25,256,10,0.2,0.001
0.76,0.73,0.72,0.73,0.84,0.5108759385697982,17.36978191137314,0.58,0.54,0.83,0.65,0.66,0.9180437922477722,4.590218961238861,1713197571,,False,26,48309195,2024-04-15_18-12-51,35.362659215927124,947.4665470123291,15000,AT-MB-PC-E13,127.0.0.1,947.4665470123291,26,256,10,0.2,0.001
0.75,0.71,0.74,0.72,0.81,0.5334822640699499,18.138396978378296,0.7,0.64,0.85,0.73,0.73,0.6571061849594116,3.285530924797058,1713197601,,False,27,48309195,2024-04-15_18-13-21,30.686986923217773,978.1535339355469,15000,AT-MB-PC-E13,127.0.0.1,978.1535339355469,27,256,10,0.2,0.001
0.75,0.7,0.74,0.72,0.82,0.5210207420236924,17.714705228805542,0.58,0.53,0.97,0.69,0.73,0.7367182612419129,3.683591306209564,1713197639,,False,28,48309195,2024-04-15_18-13-59,37.82558035850525,1015.9791142940521,15000,AT-MB-PC-E13,127.0.0.1,1015.9791142940521,28,256,10,0.2,0.001
