train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.43679,0.39837,0.51907,0.45078,0.43122,0.7986585357609917,27.15439021587372,0.47682,0.47682,1.0,0.64574,0.56523,0.8499965071678162,4.249982535839081,0.48675,0.48675,1.0,0.65479,0.52183,0.8383046209812164,8.383046209812164,1713336956,,False,1,22d7d967,2024-04-17_08-55-56,29.19341278076172,29.19341278076172,31356,AT-MB-PC-E13,127.0.0.1,29.19341278076172,1,64,0.0,3,0.0001
0.46604,0.41065,0.45763,0.43287,0.45583,0.7610914041014278,25.877107739448547,0.53642,0.51923,0.375,0.43548,0.55608,0.6971894145011902,3.485947072505951,0.51987,0.50704,0.4898,0.49827,0.51758,0.707647854089737,7.076478540897369,1713336976,,False,2,22d7d967,2024-04-17_08-56-16,20.120471239089966,49.313884019851685,31356,AT-MB-PC-E13,127.0.0.1,49.313884019851685,2,64,0.0,3,0.0001
0.58585,0.53901,0.48305,0.5095,0.60095,0.6719925237052581,22.847745805978775,0.49669,0.45,0.25,0.32143,0.49068,0.7235636830329895,3.6178184151649475,0.63907,0.64615,0.57143,0.6065,0.63713,0.6704544961452484,6.704544961452484,1713336996,,False,3,22d7d967,2024-04-17_08-56-36,20.235994577407837,69.54987859725952,31356,AT-MB-PC-E13,127.0.0.1,69.54987859725952,3,64,0.0,3,0.0001
0.66226,0.62284,0.61229,0.61752,0.7094,0.6248423316899467,21.24463927745819,0.50993,0.45455,0.13889,0.21277,0.5487,0.7170811891555786,3.585405945777893,0.63907,0.70652,0.44218,0.54393,0.69225,0.6455568790435791,6.455568790435791,1713337017,,False,4,22d7d967,2024-04-17_08-56-57,21.13560461997986,90.68548321723938,31356,AT-MB-PC-E13,127.0.0.1,90.68548321723938,4,64,0.0,3,0.0001
0.69151,0.66979,0.60593,0.63626,0.75158,0.5937056681689095,20.18599271774292,0.62252,0.58065,0.75,0.65455,0.69181,0.6419929623603821,3.2099648118019104,0.65232,0.61538,0.7619,0.68085,0.70055,0.639591497182846,6.395914971828461,1713337036,,False,5,22d7d967,2024-04-17_08-57-16,19.06479811668396,109.75028133392334,31356,AT-MB-PC-E13,127.0.0.1,109.75028133392334,5,64,0.0,3,0.0001
0.7217,0.70629,0.64195,0.67259,0.78381,0.5654934311614317,19.226776659488678,0.48344,0.425,0.23611,0.30357,0.53252,0.7572206854820251,3.7861034274101257,0.60265,0.64211,0.41497,0.50413,0.65899,0.6598068594932556,6.598068594932556,1713337057,,False,6,22d7d967,2024-04-17_08-57-37,20.817327976226807,130.56760931015015,31356,AT-MB-PC-E13,127.0.0.1,130.56760931015015,6,64,0.0,3,0.0001
0.73208,0.70524,0.68432,0.69462,0.79423,0.5525474482599426,18.78661324083805,0.61589,0.60606,0.55556,0.57971,0.68759,0.6333348155021667,3.1666740775108337,0.66887,0.64417,0.71429,0.67742,0.73812,0.6111566185951233,6.111566185951233,1713337078,,False,7,22d7d967,2024-04-17_08-57-58,20.53171968460083,151.09932899475098,31356,AT-MB-PC-E13,127.0.0.1,151.09932899475098,7,64,0.0,3,0.0001
0.74528,0.73059,0.67797,0.7033,0.80691,0.5340463527861763,18.157575994729996,0.61589,0.625,0.48611,0.54687,0.66596,0.6582952260971069,3.2914761304855347,0.68543,0.69697,0.62585,0.6595,0.74452,0.6130230873823166,6.130230873823166,1713337098,,False,8,22d7d967,2024-04-17_08-58-18,20.58483338356018,171.68416237831116,31356,AT-MB-PC-E13,127.0.0.1,171.68416237831116,8,64,0.0,3,0.0001
0.76792,0.73941,0.73941,0.73941,0.83033,0.5173299014568329,17.589216649532318,0.63576,0.62687,0.58333,0.60432,0.67739,0.6726619243621826,3.363309621810913,0.7053,0.69079,0.71429,0.70234,0.74246,0.6302386820316315,6.302386820316315,1713337119,,False,9,22d7d967,2024-04-17_08-58-39,20.35192584991455,192.0360882282257,31356,AT-MB-PC-E13,127.0.0.1,192.0360882282257,9,64,0.0,3,0.0001
0.78396,0.77181,0.73093,0.75082,0.83976,0.5036530485924553,17.12420365214348,0.66887,0.625,0.76389,0.6875,0.71748,0.651570725440979,3.257853627204895,0.68874,0.64171,0.81633,0.71856,0.72052,0.6484713196754456,6.484713196754456,1713337139,,False,10,22d7d967,2024-04-17_08-58-59,20.020506143569946,212.05659437179565,31356,AT-MB-PC-E13,127.0.0.1,212.05659437179565,10,64,0.0,3,0.0001
