train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.45,0.44,0.85,0.58,0.5,1.0209073880139519,34.710851192474365,0.48,0.48,1.0,0.65,0.64,1.1215825080871582,5.607912540435791,1712053299,,False,1,9fd2b975,2024-04-02_12-21-39,15.016006469726562,15.016006469726562,27172,AT-MB-PC-EOS,127.0.0.1,15.016006469726562,1,64,3,0.5,1e-05
0.46,0.44,0.85,0.58,0.52,0.9775798776570488,33.23771584033966,0.49,0.48,1.0,0.65,0.61,1.0034819960594177,5.017409980297089,1712053322,,False,2,9fd2b975,2024-04-02_12-22-02,22.647597074508667,37.66360354423523,27172,AT-MB-PC-EOS,127.0.0.1,37.66360354423523,2,64,3,0.5,1e-05
0.48,0.45,0.86,0.59,0.53,0.9040506850270664,30.737723290920258,0.48,0.48,1.0,0.65,0.63,0.9968438863754272,4.984219431877136,1712053367,,False,3,9fd2b975,2024-04-02_12-22-47,45.264376640319824,82.92798018455505,27172,AT-MB-PC-EOS,127.0.0.1,82.92798018455505,3,64,3,0.5,1e-05
0.47,0.45,0.79,0.57,0.51,0.8645108394763049,29.393368542194366,0.5,0.49,1.0,0.65,0.64,0.8667571067810058,4.333785533905029,1712053412,,False,4,9fd2b975,2024-04-02_12-23-32,45.1025915145874,128.03057169914246,27172,AT-MB-PC-EOS,127.0.0.1,128.03057169914246,4,64,3,0.5,1e-05
0.51,0.47,0.72,0.57,0.55,0.7886800801052767,26.815122723579407,0.52,0.5,1.0,0.66,0.64,0.7529173970222474,3.7645869851112366,1712053456,,False,5,9fd2b975,2024-04-02_12-24-16,43.82413387298584,171.8547055721283,27172,AT-MB-PC-EOS,127.0.0.1,171.8547055721283,5,64,3,0.5,1e-05
0.52,0.47,0.67,0.55,0.56,0.776583029943354,26.403823018074036,0.49,0.48,0.93,0.64,0.62,0.7361192107200623,3.6805960536003113,1712053500,,False,6,9fd2b975,2024-04-02_12-25-00,44.30953288078308,216.16423845291138,27172,AT-MB-PC-EOS,127.0.0.1,216.16423845291138,6,64,3,0.5,1e-05
0.54,0.49,0.64,0.55,0.57,0.7564008656670066,25.717629432678223,0.54,0.51,0.85,0.64,0.61,0.7101327657699585,3.5506638288497925,1712053548,,False,7,9fd2b975,2024-04-02_12-25-48,47.59635400772095,263.7605924606323,27172,AT-MB-PC-EOS,127.0.0.1,263.7605924606323,7,64,3,0.5,1e-05
0.52,0.47,0.6,0.53,0.54,0.7709566074259141,26.21252465248108,0.52,0.5,0.88,0.64,0.61,0.7203194260597229,3.6015971302986145,1712053585,,False,8,9fd2b975,2024-04-02_12-26-25,36.875022172927856,300.6356146335602,27172,AT-MB-PC-EOS,127.0.0.1,300.6356146335602,8,64,3,0.5,1e-05
0.55,0.5,0.61,0.55,0.56,0.753361900063122,25.61430460214615,0.55,0.52,0.85,0.64,0.61,0.702560293674469,3.512801468372345,1712053632,,False,9,9fd2b975,2024-04-02_12-27-12,47.04243993759155,347.67805457115173,27172,AT-MB-PC-EOS,127.0.0.1,347.67805457115173,9,64,3,0.5,1e-05
0.54,0.49,0.57,0.52,0.58,0.7192859369165757,24.455721855163574,0.56,0.53,0.85,0.65,0.6,0.7301731586456299,3.6508657932281494,1712053672,,False,10,9fd2b975,2024-04-02_12-27-52,40.53778910636902,388.21584367752075,27172,AT-MB-PC-EOS,127.0.0.1,388.21584367752075,10,64,3,0.5,1e-05
0.56,0.5,0.59,0.54,0.58,0.7250712811946869,24.652423560619354,0.54,0.51,0.79,0.62,0.58,0.7239344000816346,3.6196720004081726,1712053718,,False,11,9fd2b975,2024-04-02_12-28-38,45.399803161621094,433.61564683914185,27172,AT-MB-PC-EOS,127.0.0.1,433.61564683914185,11,64,3,0.5,1e-05
0.58,0.52,0.65,0.58,0.6,0.7119247106944814,24.205440163612366,0.5,0.49,0.86,0.62,0.6,0.7386927843093872,3.693463921546936,1712053768,,False,12,9fd2b975,2024-04-02_12-29-28,50.144006967544556,483.7596538066864,27172,AT-MB-PC-EOS,127.0.0.1,483.7596538066864,12,64,3,0.5,1e-05
0.56,0.5,0.57,0.53,0.59,0.7079416688750771,24.070016741752625,0.54,0.51,0.85,0.64,0.61,0.7083567380905151,3.5417836904525757,1712053819,,False,13,9fd2b975,2024-04-02_12-30-19,51.69226908683777,535.4519228935242,27172,AT-MB-PC-EOS,127.0.0.1,535.4519228935242,13,64,3,0.5,1e-05
0.57,0.52,0.6,0.56,0.6,0.7070096643532023,24.03832858800888,0.56,0.52,0.79,0.63,0.6,0.6970170497894287,3.4850852489471436,1712053878,,False,14,9fd2b975,2024-04-02_12-31-18,59.099169969558716,594.5510928630829,27172,AT-MB-PC-EOS,127.0.0.1,594.5510928630829,14,64,3,0.5,1e-05
0.6,0.54,0.64,0.59,0.65,0.671532483661876,22.832104444503784,0.58,0.54,0.81,0.64,0.58,0.7195032358169555,3.597516179084778,1712053940,,False,15,9fd2b975,2024-04-02_12-32-20,61.70845127105713,656.25954413414,27172,AT-MB-PC-EOS,127.0.0.1,656.25954413414,15,64,3,0.5,1e-05
0.59,0.54,0.62,0.58,0.63,0.7089575143421397,24.10455548763275,0.56,0.54,0.57,0.55,0.56,0.7212049245834351,3.6060246229171753,1712054001,,False,16,9fd2b975,2024-04-02_12-33-21,60.44325876235962,716.7028028964996,27172,AT-MB-PC-EOS,127.0.0.1,716.7028028964996,16,64,3,0.5,1e-05
0.59,0.54,0.58,0.56,0.63,0.6779893654234269,23.051638424396515,0.59,0.58,0.51,0.54,0.55,0.7331311225891113,3.6656556129455566,1712054058,,False,17,9fd2b975,2024-04-02_12-34-18,56.960638761520386,773.66344165802,27172,AT-MB-PC-EOS,127.0.0.1,773.66344165802,17,64,3,0.5,1e-05
0.58,0.53,0.62,0.57,0.63,0.6773397904985091,23.02955287694931,0.59,0.55,0.75,0.64,0.57,0.7245198726654053,3.6225993633270264,1712054119,,False,18,9fd2b975,2024-04-02_12-35-19,61.46625351905823,835.1296951770782,27172,AT-MB-PC-EOS,127.0.0.1,835.1296951770782,18,64,3,0.5,1e-05
0.6,0.55,0.59,0.57,0.65,0.6627596704398885,22.533828794956207,0.58,0.55,0.67,0.6,0.57,0.7234028697013855,3.6170143485069275,1712054180,,False,19,9fd2b975,2024-04-02_12-36-20,60.92559337615967,896.0552885532379,27172,AT-MB-PC-EOS,127.0.0.1,896.0552885532379,19,64,3,0.5,1e-05
0.6,0.55,0.59,0.57,0.64,0.6642612201326034,22.584881484508514,0.58,0.55,0.65,0.59,0.58,0.7155684709548951,3.577842354774475,1712054243,,False,20,9fd2b975,2024-04-02_12-37-23,63.434757471084595,959.4900460243225,27172,AT-MB-PC-EOS,127.0.0.1,959.4900460243225,20,64,3,0.5,1e-05
0.6,0.55,0.61,0.58,0.64,0.6704645367229686,22.795794248580933,0.56,0.53,0.74,0.62,0.59,0.715928065776825,3.5796403288841248,1712054303,,False,21,9fd2b975,2024-04-02_12-38-23,59.562764167785645,1019.0528101921082,27172,AT-MB-PC-EOS,127.0.0.1,1019.0528101921082,21,64,3,0.5,1e-05
