train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.41,0.36,0.43,0.39,0.41,0.9785139718476463,33.26947504281998,0.47,0.47,0.97,0.64,0.57,0.7889467954635621,3.94473397731781,1712639979,,False,1,7a2e2439,2024-04-09_07-19-39,26.535818815231323,26.535818815231323,33088,AT-MB-PC-E13,127.0.0.1,26.535818815231323,1,256,3,0.5,0.001
0.57,0.52,0.51,0.52,0.6,0.7365086446790134,25.041293919086456,0.52,0.5,0.12,0.2,0.51,0.7196783661842346,3.598391830921173,1712639998,,False,2,7a2e2439,2024-04-09_07-19-58,18.251012563705444,44.78683137893677,33088,AT-MB-PC-E13,127.0.0.1,44.78683137893677,2,256,3,0.5,0.001
0.63,0.58,0.61,0.6,0.69,0.6473934895852033,22.01137864589691,0.52,0.5,0.53,0.51,0.51,0.8257344007492066,4.128672003746033,1712640016,,False,3,7a2e2439,2024-04-09_07-20-16,18.330883741378784,63.11771512031555,33088,AT-MB-PC-E13,127.0.0.1,63.11771512031555,3,256,3,0.5,0.001
0.67,0.63,0.63,0.63,0.73,0.6150581722750383,20.911977857351303,0.62,0.57,0.81,0.67,0.68,0.7446987390518188,3.7234936952590942,1712640034,,False,4,7a2e2439,2024-04-09_07-20-34,18.14057469367981,81.25828981399536,33088,AT-MB-PC-E13,127.0.0.1,81.25828981399536,4,256,3,0.5,0.001
0.7,0.68,0.64,0.66,0.77,0.5921467086848091,20.13298809528351,0.58,0.72,0.18,0.29,0.61,0.856742000579834,4.28371000289917,1712640053,,False,5,7a2e2439,2024-04-09_07-20-53,18.807987451553345,100.0662772655487,33088,AT-MB-PC-E13,127.0.0.1,100.0662772655487,5,256,3,0.5,0.001
0.72,0.67,0.7,0.69,0.77,0.5888471866355223,20.020804345607758,0.58,0.61,0.31,0.41,0.59,0.9645085215568543,4.822542607784271,1712640071,,False,6,7a2e2439,2024-04-09_07-21-11,18.054356336593628,118.12063360214233,33088,AT-MB-PC-E13,127.0.0.1,118.12063360214233,6,256,3,0.5,0.001
0.71,0.69,0.65,0.67,0.78,0.5814497321844101,19.769290894269943,0.63,0.6,0.69,0.64,0.71,0.7442192196846008,3.721096098423004,1712640089,,False,7,7a2e2439,2024-04-09_07-21-29,18.411455631256104,136.53208923339844,33088,AT-MB-PC-E13,127.0.0.1,136.53208923339844,7,256,3,0.5,0.001
0.7,0.68,0.63,0.65,0.78,0.5759206466815051,19.581301987171173,0.68,0.66,0.69,0.68,0.76,0.6291072249412537,3.1455361247062683,1712640108,,False,8,7a2e2439,2024-04-09_07-21-48,18.677623748779297,155.20971298217773,33088,AT-MB-PC-E13,127.0.0.1,155.20971298217773,8,256,3,0.5,0.001
0.72,0.67,0.72,0.7,0.78,0.5779297097640879,19.64961013197899,0.6,0.6,0.5,0.55,0.6,0.8268368721008301,4.13418436050415,1712640126,,False,9,7a2e2439,2024-04-09_07-22-06,18.300312995910645,173.51002597808838,33088,AT-MB-PC-E13,127.0.0.1,173.51002597808838,9,256,3,0.5,0.001
0.74,0.72,0.7,0.71,0.81,0.5332649543004877,18.131008446216583,0.65,0.59,0.83,0.69,0.67,0.8213925242424012,4.106962621212006,1712640145,,False,10,7a2e2439,2024-04-09_07-22-25,18.535068035125732,192.0450940132141,33088,AT-MB-PC-E13,127.0.0.1,192.0450940132141,10,256,3,0.5,0.001
0.73,0.7,0.71,0.7,0.81,0.5352614285314784,18.198888570070267,0.48,0.45,0.43,0.44,0.47,1.329684853553772,6.64842426776886,1712640163,,False,11,7a2e2439,2024-04-09_07-22-43,18.227794408798218,210.27288842201233,33088,AT-MB-PC-E13,127.0.0.1,210.27288842201233,11,256,3,0.5,0.001
0.74,0.7,0.72,0.71,0.81,0.5662609338760376,19.25287175178528,0.61,0.57,0.69,0.63,0.7,0.6340363502502442,3.1701817512512207,1712640182,,False,12,7a2e2439,2024-04-09_07-23-02,18.53922414779663,228.81211256980896,33088,AT-MB-PC-E13,127.0.0.1,228.81211256980896,12,256,3,0.5,0.001
0.77,0.73,0.77,0.75,0.85,0.4837123208186206,16.4462189078331,0.7,0.67,0.75,0.71,0.72,0.6633267641067505,3.3166338205337524,1712640200,,False,13,7a2e2439,2024-04-09_07-23-20,18.037108659744263,246.84922122955322,33088,AT-MB-PC-E13,127.0.0.1,246.84922122955322,13,256,3,0.5,0.001
0.77,0.73,0.78,0.75,0.84,0.5066267953199499,17.225311040878296,0.59,0.54,0.86,0.67,0.7,0.8786677837371826,4.393338918685913,1712640218,,False,14,7a2e2439,2024-04-09_07-23-38,18.54430365562439,265.3935248851776,33088,AT-MB-PC-E13,127.0.0.1,265.3935248851776,14,256,3,0.5,0.001
0.78,0.75,0.78,0.76,0.85,0.49351878683356676,16.77963875234127,0.62,0.62,0.49,0.55,0.65,0.9175678253173828,4.587839126586914,1712640237,,True,15,7a2e2439,2024-04-09_07-23-57,18.185154676437378,283.578679561615,33088,AT-MB-PC-E13,127.0.0.1,283.578679561615,15,256,3,0.5,0.001
