train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.43,0.39,0.49,0.43,0.42,0.7456211623023538,25.35111951828003,0.53,0.67,0.03,0.05,0.32,0.7652786135673523,3.8263930678367615,0.51,0.5,0.04,0.08,0.49,0.7340785682201385,7.3407856822013855,1713005082,,False,1,01617f5a,2024-04-13_12-44-42,43.166287899017334,43.166287899017334,36068,AT-MB-PC-E13,127.0.0.1,43.166287899017334,1,128,0.0,10,0.0001
0.6,0.54,0.58,0.56,0.63,0.6564173233859679,22.31818899512291,0.55,0.53,0.51,0.52,0.61,0.6877940535545349,3.4389702677726746,0.62,0.61,0.61,0.61,0.66,0.6581751823425293,6.581751823425293,1713005134,,False,2,01617f5a,2024-04-13_12-45-34,52.03200674057007,95.1982946395874,36068,AT-MB-PC-E13,127.0.0.1,95.1982946395874,2,128,0.0,10,0.0001
0.73,0.71,0.68,0.69,0.8,0.5604145781082266,19.054095655679703,0.68,0.65,0.71,0.68,0.7,0.6296916723251342,3.1484583616256714,0.7,0.66,0.77,0.71,0.76,0.5909356981515884,5.909356981515884,1713005186,,False,3,01617f5a,2024-04-13_12-46-26,51.77372097969055,146.97201561927795,36068,AT-MB-PC-E13,127.0.0.1,146.97201561927795,3,128,0.0,10,0.0001
0.78,0.75,0.74,0.75,0.85,0.4943555076332653,16.80808725953102,0.72,0.68,0.79,0.73,0.79,0.55428506731987,2.77142533659935,0.71,0.66,0.81,0.73,0.76,0.6069977015256882,6.069977015256882,1713005237,,False,4,01617f5a,2024-04-13_12-47-17,50.39429497718811,197.36631059646606,36068,AT-MB-PC-E13,127.0.0.1,197.36631059646606,4,128,0.0,10,0.0001
0.8,0.76,0.79,0.78,0.87,0.4658183779786615,15.83782485127449,0.69,0.69,0.64,0.66,0.73,0.6423641681671143,3.2118208408355713,0.71,0.69,0.73,0.71,0.77,0.5854789644479752,5.854789644479752,1713005287,,False,5,01617f5a,2024-04-13_12-48-07,50.509926557540894,247.87623715400696,36068,AT-MB-PC-E13,127.0.0.1,247.87623715400696,5,128,0.0,10,0.0001
0.8,0.78,0.79,0.78,0.87,0.4596119759713902,15.626807183027267,0.67,0.64,0.69,0.67,0.74,0.6342357158660888,3.1711785793304443,0.73,0.69,0.82,0.75,0.78,0.5714922159910202,5.714922159910202,1713005338,,False,6,01617f5a,2024-04-13_12-48-58,50.508296728134155,298.3845338821411,36068,AT-MB-PC-E13,127.0.0.1,298.3845338821411,6,128,0.0,10,0.0001
0.8,0.77,0.79,0.78,0.88,0.42997722765978647,14.61922574043274,0.62,0.65,0.44,0.53,0.71,0.6620916724205017,3.3104583621025085,0.67,0.69,0.56,0.62,0.74,0.624531376361847,6.245313763618469,1713005389,,False,7,01617f5a,2024-04-13_12-49-49,51.159324169158936,349.54385805130005,36068,AT-MB-PC-E13,127.0.0.1,349.54385805130005,7,128,0.0,10,0.0001
0.84,0.8,0.85,0.82,0.9,0.40390005137990503,13.732601746916771,0.65,0.67,0.53,0.59,0.75,0.6282342314720154,3.141171157360077,0.74,0.74,0.73,0.73,0.81,0.5400206565856933,5.400206565856934,1713005440,,False,8,01617f5a,2024-04-13_12-50-40,50.83222556114197,400.376083612442,36068,AT-MB-PC-E13,127.0.0.1,400.376083612442,8,128,0.0,10,0.0001
0.82,0.8,0.8,0.8,0.9,0.40687251792234536,13.833665609359741,0.74,0.68,0.83,0.75,0.76,0.6002935528755188,3.001467764377594,0.71,0.66,0.83,0.73,0.79,0.5771656423807144,5.771656423807144,1713005490,,False,9,01617f5a,2024-04-13_12-51-30,50.67466425895691,451.0507478713989,36068,AT-MB-PC-E13,127.0.0.1,451.0507478713989,9,128,0.0,10,0.0001
0.83,0.79,0.84,0.82,0.91,0.38233498965992646,12.9993896484375,0.73,0.67,0.86,0.75,0.76,0.7123267889022827,3.5616339445114136,0.71,0.66,0.84,0.74,0.8,0.6354986727237701,6.354986727237701,1713005541,,False,10,01617f5a,2024-04-13_12-52-21,50.56677794456482,501.61752581596375,36068,AT-MB-PC-E13,127.0.0.1,501.61752581596375,10,128,0.0,10,0.0001
0.83,0.81,0.81,0.81,0.91,0.37724486913751154,12.826325550675392,0.73,0.71,0.74,0.72,0.79,0.5922351956367493,2.9611759781837463,0.72,0.68,0.78,0.73,0.78,0.6186565279960632,6.186565279960632,1713005592,,False,11,01617f5a,2024-04-13_12-53-12,50.730735778808594,552.3482615947723,36068,AT-MB-PC-E13,127.0.0.1,552.3482615947723,11,128,0.0,10,0.0001
0.84,0.82,0.82,0.82,0.92,0.36181414697100134,12.301680997014046,0.68,0.68,0.64,0.66,0.77,0.6193529486656189,3.0967647433280945,0.68,0.69,0.61,0.65,0.77,0.6188985854387283,6.188985854387283,1713005643,,False,12,01617f5a,2024-04-13_12-54-03,50.95742630958557,603.3056879043579,36068,AT-MB-PC-E13,127.0.0.1,603.3056879043579,12,128,0.0,10,0.0001
0.84,0.8,0.86,0.83,0.92,0.3456145108622663,11.750893369317055,0.72,0.77,0.57,0.66,0.78,0.6156631767749786,3.078315883874893,0.67,0.73,0.5,0.59,0.77,0.6886427164077759,6.886427164077759,1713005694,,False,13,01617f5a,2024-04-13_12-54-54,51.113245725631714,654.4189336299896,36068,AT-MB-PC-E13,127.0.0.1,654.4189336299896,13,128,0.0,10,0.0001
0.86,0.85,0.84,0.84,0.93,0.3328598536112729,11.31723502278328,0.7,0.64,0.88,0.74,0.78,0.7233649432659149,3.6168247163295746,0.71,0.66,0.86,0.74,0.8,0.6108313053846359,6.108313053846359,1713005745,,False,14,01617f5a,2024-04-13_12-55-45,50.99550271034241,705.414436340332,36068,AT-MB-PC-E13,127.0.0.1,705.414436340332,14,128,0.0,10,0.0001
0.86,0.83,0.85,0.84,0.93,0.3238600536304362,11.01124182343483,0.7,0.64,0.81,0.72,0.73,0.8514365255832672,4.257182627916336,0.74,0.69,0.86,0.77,0.82,0.5707631006836891,5.707631006836891,1713005796,,False,15,01617f5a,2024-04-13_12-56-36,51.54855132102966,756.9629876613617,36068,AT-MB-PC-E13,127.0.0.1,756.9629876613617,15,128,0.0,10,0.0001
0.85,0.83,0.84,0.84,0.93,0.3363112005240777,11.434580817818642,0.6,0.66,0.35,0.45,0.77,0.6976810097694397,3.4884050488471985,0.67,0.74,0.5,0.6,0.8,0.6518408417701721,6.518408417701721,1713005847,,False,16,01617f5a,2024-04-13_12-57-27,51.223777294158936,808.1867649555206,36068,AT-MB-PC-E13,127.0.0.1,808.1867649555206,16,128,0.0,10,0.0001
0.87,0.85,0.85,0.85,0.94,0.31453420703901963,10.694163039326668,0.75,0.75,0.71,0.73,0.8,0.6261897027492523,3.1309485137462616,0.76,0.74,0.8,0.77,0.82,0.5538475036621093,5.538475036621094,1713005899,,False,17,01617f5a,2024-04-13_12-58-19,51.50122380256653,859.6879887580872,36068,AT-MB-PC-E13,127.0.0.1,859.6879887580872,17,128,0.0,10,0.0001
0.88,0.85,0.88,0.86,0.95,0.30556340406046195,10.389155738055706,0.71,0.71,0.65,0.68,0.75,0.6611890673637391,3.305945336818695,0.73,0.73,0.69,0.71,0.8,0.5952191144227982,5.952191144227982,1713005950,,False,18,01617f5a,2024-04-13_12-59-10,51.299169301986694,910.9871580600739,36068,AT-MB-PC-E13,127.0.0.1,910.9871580600739,18,128,0.0,10,0.0001
0.87,0.85,0.86,0.86,0.95,0.29138828726375804,9.907201766967773,0.76,0.7,0.86,0.78,0.82,0.583358758687973,2.916793793439865,0.72,0.66,0.85,0.75,0.8,0.5908556371927262,5.908556371927261,1713006001,,False,19,01617f5a,2024-04-13_13-00-01,50.819385290145874,961.8065433502197,36068,AT-MB-PC-E13,127.0.0.1,961.8065433502197,19,128,0.0,10,0.0001
0.88,0.86,0.87,0.86,0.95,0.2764918326455004,9.400722309947014,0.71,0.77,0.56,0.65,0.8,0.6276615738868714,3.1383078694343567,0.72,0.75,0.65,0.69,0.82,0.585094666481018,5.850946664810181,1713006054,,False,20,01617f5a,2024-04-13_13-00-54,52.74758696556091,1014.5541303157806,36068,AT-MB-PC-E13,127.0.0.1,1014.5541303157806,20,128,0.0,10,0.0001
0.88,0.85,0.88,0.87,0.95,0.28009427295011635,9.523205280303955,0.68,0.65,0.71,0.68,0.75,0.6902733087539673,3.4513665437698364,0.74,0.73,0.76,0.74,0.79,0.6016505390405655,6.016505390405655,1713006105,,False,21,01617f5a,2024-04-13_13-01-45,50.84487056732178,1065.3990008831024,36068,AT-MB-PC-E13,127.0.0.1,1065.3990008831024,21,128,0.0,10,0.0001
0.88,0.88,0.85,0.86,0.95,0.3030538659761934,10.303831443190575,0.68,0.63,0.76,0.69,0.73,0.7818621277809144,3.9093106389045715,0.72,0.66,0.86,0.75,0.8,0.5993367284536362,5.993367284536362,1713006156,,False,22,01617f5a,2024-04-13_13-02-36,51.09317421913147,1116.492175102234,36068,AT-MB-PC-E13,127.0.0.1,1116.492175102234,22,128,0.0,10,0.0001
0.9,0.88,0.89,0.88,0.96,0.27137719270061045,9.226824551820755,0.7,0.71,0.61,0.66,0.78,0.6383528351783753,3.191764175891876,0.69,0.75,0.56,0.64,0.78,0.6913916885852813,6.913916885852814,1713006207,,False,23,01617f5a,2024-04-13_13-03-27,51.02574419975281,1167.5179193019867,36068,AT-MB-PC-E13,127.0.0.1,1167.5179193019867,23,128,0.0,10,0.0001
0.88,0.85,0.88,0.87,0.95,0.2968857542556875,10.094115644693375,0.7,0.71,0.62,0.67,0.76,0.6802366018295288,3.401183009147644,0.71,0.75,0.62,0.68,0.8,0.6144433915615082,6.144433915615082,1713006258,,False,24,01617f5a,2024-04-13_13-04-18,51.34155535697937,1218.859474658966,36068,AT-MB-PC-E13,127.0.0.1,1218.859474658966,24,128,0.0,10,0.0001
0.88,0.86,0.86,0.86,0.95,0.28689804191098495,9.754533424973488,0.77,0.77,0.75,0.76,0.82,0.5840403199195862,2.920201599597931,0.74,0.76,0.69,0.72,0.82,0.6273771017789841,6.273771017789841,1713006309,,False,25,01617f5a,2024-04-13_13-05-09,51.16211223602295,1270.021586894989,36068,AT-MB-PC-E13,127.0.0.1,1270.021586894989,25,128,0.0,10,0.0001
0.89,0.87,0.89,0.88,0.96,0.2681289258248666,9.116383478045464,0.71,0.69,0.69,0.69,0.8,0.5875095844268798,2.9375479221343994,0.72,0.74,0.65,0.69,0.82,0.5961417824029922,5.9614178240299225,1713006360,,False,26,01617f5a,2024-04-13_13-06-00,51.060436964035034,1321.082023859024,36068,AT-MB-PC-E13,127.0.0.1,1321.082023859024,26,128,0.0,10,0.0001
0.89,0.87,0.89,0.88,0.96,0.2743750131305526,9.32875044643879,0.75,0.73,0.76,0.75,0.81,0.5783498764038086,2.891749382019043,0.72,0.72,0.69,0.7,0.82,0.601736781001091,6.01736781001091,1713006412,,False,27,01617f5a,2024-04-13_13-06-52,51.348756551742554,1372.4307804107666,36068,AT-MB-PC-E13,127.0.0.1,1372.4307804107666,27,128,0.0,10,0.0001
0.92,0.9,0.91,0.91,0.97,0.2229276507654611,7.579540126025677,0.77,0.77,0.74,0.75,0.81,0.608693289756775,3.0434664487838745,0.73,0.72,0.72,0.72,0.81,0.6237757086753846,6.237757086753845,1713006463,,False,28,01617f5a,2024-04-13_13-07-43,51.0551118850708,1423.4858922958374,36068,AT-MB-PC-E13,127.0.0.1,1423.4858922958374,28,128,0.0,10,0.0001
0.9,0.88,0.9,0.89,0.96,0.24618707400034456,8.370360516011715,0.77,0.77,0.74,0.75,0.82,0.545517411828041,2.7275870591402054,0.71,0.75,0.61,0.67,0.8,0.6728935062885284,6.728935062885284,1713006514,,False,29,01617f5a,2024-04-13_13-08-34,51.340041637420654,1474.825933933258,36068,AT-MB-PC-E13,127.0.0.1,1474.825933933258,29,128,0.0,10,0.0001
0.91,0.9,0.9,0.9,0.97,0.2182893380522728,7.421837493777275,0.72,0.7,0.71,0.7,0.82,0.5673915982246399,2.8369579911231995,0.76,0.74,0.8,0.76,0.82,0.5673822164535522,5.6738221645355225,1713006565,,False,30,01617f5a,2024-04-13_13-09-25,51.11844992637634,1525.9443838596344,36068,AT-MB-PC-E13,127.0.0.1,1525.9443838596344,30,128,0.0,10,0.0001
