train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49,0.47,0.93,0.62,0.51,1.5096833776025211,51.32923483848572,0.44,0.4,0.36,0.38,0.45,0.7363142371177673,3.6815711855888367,1713238526,,False,1,d8077544,2024-04-16_05-35-26,32.44660210609436,32.44660210609436,33040,AT-MB-PC-E13,127.0.0.1,32.44660210609436,1,64,3,0.0,0.001
0.62,0.56,0.66,0.61,0.66,0.7300404117387884,24.821373999118805,0.53,0.57,0.06,0.1,0.48,0.9419287919998169,4.7096439599990845,1713238550,,False,2,d8077544,2024-04-16_05-35-50,23.7258882522583,56.17249035835266,33040,AT-MB-PC-E13,127.0.0.1,56.17249035835266,2,64,3,0.0,0.001
0.74,0.7,0.72,0.71,0.8,0.577246227685143,19.62637174129486,0.54,0.55,0.22,0.32,0.56,0.9727736353874207,4.863868176937103,1713238574,,False,3,d8077544,2024-04-16_05-36-14,23.814550161361694,79.98704051971436,33040,AT-MB-PC-E13,127.0.0.1,79.98704051971436,3,64,3,0.0,0.001
0.75,0.73,0.72,0.72,0.82,0.5102220219286049,17.347548745572567,0.6,0.6,0.51,0.55,0.67,0.7239978551864624,3.619989275932312,1713238597,,False,4,d8077544,2024-04-16_05-36-37,23.47259759902954,103.4596381187439,33040,AT-MB-PC-E13,127.0.0.1,103.4596381187439,4,64,3,0.0,0.001
0.73,0.7,0.71,0.7,0.82,0.5477611527723425,18.623879194259644,0.67,0.67,0.6,0.63,0.69,0.7606328845024108,3.8031644225120544,1713238621,,False,5,d8077544,2024-04-16_05-37-01,23.8368718624115,127.2965099811554,33040,AT-MB-PC-E13,127.0.0.1,127.2965099811554,5,64,3,0.0,0.001
0.73,0.7,0.7,0.7,0.8,0.5889594151693232,20.02462011575699,0.58,0.68,0.24,0.35,0.7,0.7841756224632264,3.9208781123161316,1713238645,,False,6,d8077544,2024-04-16_05-37-25,23.818975687026978,151.11548566818237,33040,AT-MB-PC-E13,127.0.0.1,151.11548566818237,6,64,3,0.0,0.001
0.76,0.72,0.76,0.74,0.83,0.5209255722515723,17.71146945655346,0.64,0.6,0.76,0.67,0.68,0.7727959752082825,3.8639798760414124,1713238669,,False,7,d8077544,2024-04-16_05-37-49,23.84824514389038,174.96373081207275,33040,AT-MB-PC-E13,127.0.0.1,174.96373081207275,7,64,3,0.0,0.001
0.77,0.76,0.71,0.73,0.85,0.512221592314103,17.415534138679504,0.7,0.66,0.74,0.7,0.68,0.7805079579353332,3.9025397896766663,1713238692,,False,8,d8077544,2024-04-16_05-38-12,23.293669939041138,198.2574007511139,33040,AT-MB-PC-E13,127.0.0.1,198.2574007511139,8,64,3,0.0,0.001
0.74,0.7,0.72,0.71,0.82,0.5248343138133779,17.844366669654846,0.64,0.76,0.36,0.49,0.7,0.8406162142753602,4.2030810713768005,1713238716,,False,9,d8077544,2024-04-16_05-38-36,23.64941143989563,221.90681219100952,33040,AT-MB-PC-E13,127.0.0.1,221.90681219100952,9,64,3,0.0,0.001
0.79,0.75,0.78,0.77,0.86,0.47462649380459504,16.13730078935623,0.63,0.59,0.72,0.65,0.66,1.0293774127960205,5.1468870639801025,1713238739,,False,10,d8077544,2024-04-16_05-38-59,22.85271906852722,244.75953125953674,33040,AT-MB-PC-E13,127.0.0.1,244.75953125953674,10,64,3,0.0,0.001
0.78,0.75,0.76,0.76,0.85,0.4981665900524925,16.937664061784744,0.62,0.57,0.83,0.68,0.7,0.8789950728416442,4.394975364208221,1713238762,,False,11,d8077544,2024-04-16_05-39-22,23.46873688697815,268.2282681465149,33040,AT-MB-PC-E13,127.0.0.1,268.2282681465149,11,64,3,0.0,0.001
0.79,0.74,0.79,0.77,0.85,0.476230271598872,16.19182923436165,0.67,0.66,0.64,0.65,0.72,0.7370426058769226,3.685213029384613,1713238787,,False,12,d8077544,2024-04-16_05-39-47,24.66791534423828,292.8961834907532,33040,AT-MB-PC-E13,127.0.0.1,292.8961834907532,12,64,3,0.0,0.001
0.79,0.74,0.81,0.77,0.86,0.46788865546969804,15.908214285969734,0.69,0.65,0.75,0.7,0.73,0.83134605884552,4.1567302942276,1713238810,,False,13,d8077544,2024-04-16_05-40-10,22.89475655555725,315.7909400463104,33040,AT-MB-PC-E13,127.0.0.1,315.7909400463104,13,64,3,0.0,0.001
0.77,0.73,0.78,0.75,0.84,0.5148419729050469,17.50462707877159,0.52,0.0,0.0,0.0,0.65,2.1326370000839234,10.663185000419617,1713238835,,False,14,d8077544,2024-04-16_05-40-35,24.701931476593018,340.49287152290344,33040,AT-MB-PC-E13,127.0.0.1,340.49287152290344,14,64,3,0.0,0.001
0.79,0.76,0.78,0.77,0.87,0.4460741930148181,15.166522562503815,0.57,0.53,0.94,0.68,0.67,0.9300131559371948,4.650065779685974,1713238857,,True,15,d8077544,2024-04-16_05-40-57,22.75894570350647,363.2518172264099,33040,AT-MB-PC-E13,127.0.0.1,363.2518172264099,15,64,3,0.0,0.001
