train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.48,0.45,0.77,0.57,0.53,0.9951418848598704,33.834824085235596,0.48,0.48,1.0,0.65,0.58,1.6003511428833008,8.001755714416504,1712669619,,False,1,ab1b2d80,2024-04-09_15-33-39,50.670645236968994,50.670645236968994,38168,AT-MB-PC-E13,127.0.0.1,50.670645236968994,1,256,6,0.0,0.0001
0.54,0.49,0.58,0.53,0.56,0.7630171968656427,25.942584693431854,0.56,0.54,0.58,0.56,0.56,0.761398994922638,3.8069949746131897,1712669659,,False,2,ab1b2d80,2024-04-09_15-34-19,39.69892477989197,90.36957001686096,38168,AT-MB-PC-E13,127.0.0.1,90.36957001686096,2,256,6,0.0,0.0001
0.67,0.62,0.67,0.64,0.73,0.6075932874399073,20.658171772956848,0.63,0.6,0.69,0.64,0.62,0.6767602086067199,3.3838010430336,1712669699,,False,3,ab1b2d80,2024-04-09_15-34-59,40.533111810684204,130.90268182754517,38168,AT-MB-PC-E13,127.0.0.1,130.90268182754517,3,256,6,0.0,0.0001
0.73,0.7,0.7,0.7,0.81,0.53334599470391,18.133763819932938,0.62,0.58,0.68,0.63,0.67,0.6523392677307129,3.2616963386535645,1712669740,,False,4,ab1b2d80,2024-04-09_15-35-40,40.57252240180969,171.47520422935486,38168,AT-MB-PC-E13,127.0.0.1,171.47520422935486,4,256,6,0.0,0.0001
0.77,0.72,0.76,0.74,0.84,0.49203310380963716,16.729125529527664,0.69,0.63,0.83,0.72,0.71,0.6425737857818603,3.2128689289093018,1712669780,,False,5,ab1b2d80,2024-04-09_15-36-20,39.98818278312683,211.4633870124817,38168,AT-MB-PC-E13,127.0.0.1,211.4633870124817,5,256,6,0.0,0.0001
0.79,0.77,0.77,0.77,0.87,0.4543773707221536,15.448830604553223,0.62,0.61,0.6,0.6,0.67,0.6766844272613526,3.3834221363067627,1712669819,,False,6,ab1b2d80,2024-04-09_15-36-59,39.6169638633728,251.0803508758545,38168,AT-MB-PC-E13,127.0.0.1,251.0803508758545,6,256,6,0.0,0.0001
0.78,0.76,0.76,0.76,0.87,0.44535422851057616,15.142043769359589,0.66,0.64,0.62,0.63,0.69,0.6642977237701416,3.321488618850708,1712669855,,False,7,ab1b2d80,2024-04-09_15-37-35,35.77507925033569,286.8554301261902,38168,AT-MB-PC-E13,127.0.0.1,286.8554301261902,7,256,6,0.0,0.0001
0.81,0.78,0.8,0.79,0.89,0.41961291520034566,14.266839116811752,0.58,0.57,0.51,0.54,0.64,0.7742745518684387,3.8713727593421936,1712669894,,False,8,ab1b2d80,2024-04-09_15-38-14,38.955639123916626,325.8110692501068,38168,AT-MB-PC-E13,127.0.0.1,325.8110692501068,8,256,6,0.0,0.0001
0.82,0.79,0.8,0.79,0.9,0.4217745223466088,14.340333759784698,0.66,0.6,0.85,0.7,0.73,0.6928061604499817,3.4640308022499084,1712669933,,False,9,ab1b2d80,2024-04-09_15-38-53,39.18347692489624,364.99454617500305,38168,AT-MB-PC-E13,127.0.0.1,364.99454617500305,9,256,6,0.0,0.0001
0.79,0.77,0.77,0.77,0.88,0.43002035468816757,14.620692059397697,0.64,0.59,0.81,0.68,0.73,0.7171839952468873,3.585919976234436,1712669973,,False,10,ab1b2d80,2024-04-09_15-39-33,39.43522787094116,404.4297740459442,38168,AT-MB-PC-E13,127.0.0.1,404.4297740459442,10,256,6,0.0,0.0001
0.81,0.77,0.82,0.79,0.89,0.4389431218014044,14.92406614124775,0.7,0.65,0.81,0.72,0.77,0.6100320518016815,3.0501602590084076,1712670012,,False,11,ab1b2d80,2024-04-09_15-40-12,39.71626377105713,444.14603781700134,38168,AT-MB-PC-E13,127.0.0.1,444.14603781700134,11,256,6,0.0,0.0001
0.81,0.78,0.81,0.79,0.9,0.39794277005335865,13.530054181814194,0.64,0.59,0.81,0.68,0.7,0.7563697159290313,3.781848579645157,1712670052,,False,12,ab1b2d80,2024-04-09_15-40-52,39.45609259605408,483.6021304130554,38168,AT-MB-PC-E13,127.0.0.1,483.6021304130554,12,256,6,0.0,0.0001
0.82,0.79,0.81,0.8,0.89,0.40958594224032235,13.92592203617096,0.65,0.59,0.85,0.7,0.77,0.7242291808128357,3.6211459040641785,1712670092,,False,13,ab1b2d80,2024-04-09_15-41-32,39.95336413383484,523.5554945468903,38168,AT-MB-PC-E13,127.0.0.1,523.5554945468903,13,256,6,0.0,0.0001
0.82,0.79,0.82,0.8,0.9,0.39574963862405105,13.455487713217735,0.63,0.63,0.54,0.58,0.72,0.7859948873519897,3.9299744367599487,1712670131,,False,14,ab1b2d80,2024-04-09_15-42-11,38.7969765663147,562.352471113205,38168,AT-MB-PC-E13,127.0.0.1,562.352471113205,14,256,6,0.0,0.0001
0.81,0.78,0.79,0.78,0.89,0.45868466882144704,15.5952787399292,0.68,0.62,0.81,0.7,0.74,0.6554649531841278,3.277324765920639,1712670167,,False,15,ab1b2d80,2024-04-09_15-42-47,35.92798662185669,598.2804577350616,38168,AT-MB-PC-E13,127.0.0.1,598.2804577350616,15,256,6,0.0,0.0001
0.83,0.8,0.82,0.81,0.92,0.368589064654182,12.532028198242188,0.66,0.63,0.68,0.65,0.71,0.6971953511238098,3.485976755619049,1712670205,,False,16,ab1b2d80,2024-04-09_15-43-25,38.14437913894653,636.4248368740082,38168,AT-MB-PC-E13,127.0.0.1,636.4248368740082,16,256,6,0.0,0.0001
0.86,0.83,0.85,0.84,0.93,0.3529864203403978,12.001538291573524,0.63,0.64,0.51,0.57,0.72,0.713904881477356,3.56952440738678,1712670244,,False,17,ab1b2d80,2024-04-09_15-44-04,39.392035722732544,675.8168725967407,38168,AT-MB-PC-E13,127.0.0.1,675.8168725967407,17,256,6,0.0,0.0001
0.84,0.81,0.83,0.82,0.92,0.3561694819261046,12.109762385487556,0.68,0.62,0.85,0.72,0.74,0.7692829370498657,3.8464146852493286,1712670281,,False,18,ab1b2d80,2024-04-09_15-44-41,37.05264639854431,712.869518995285,38168,AT-MB-PC-E13,127.0.0.1,712.869518995285,18,256,6,0.0,0.0001
0.84,0.81,0.83,0.82,0.92,0.35896483239005594,12.204804301261902,0.63,0.61,0.64,0.62,0.69,0.7874639511108399,3.937319755554199,1712670320,,False,19,ab1b2d80,2024-04-09_15-45-20,38.3474555015564,751.2169744968414,38168,AT-MB-PC-E13,127.0.0.1,751.2169744968414,19,256,6,0.0,0.0001
0.85,0.83,0.82,0.83,0.92,0.350036847679054,11.901252821087837,0.68,0.7,0.58,0.64,0.74,0.733339810371399,3.6666990518569946,1712670361,,False,20,ab1b2d80,2024-04-09_15-46-01,41.0519905090332,792.2689650058746,38168,AT-MB-PC-E13,127.0.0.1,792.2689650058746,20,256,6,0.0,0.0001
0.85,0.82,0.84,0.83,0.92,0.35582803628023935,12.098153233528137,0.68,0.62,0.82,0.71,0.75,0.7206104040145874,3.603052020072937,1712670401,,False,21,ab1b2d80,2024-04-09_15-46-41,40.380841970443726,832.6498069763184,38168,AT-MB-PC-E13,127.0.0.1,832.6498069763184,21,256,6,0.0,0.0001
0.87,0.83,0.88,0.85,0.94,0.2979512032778824,10.130340911448002,0.7,0.64,0.82,0.72,0.77,0.6723732233047486,3.3618661165237427,1712670437,,False,22,ab1b2d80,2024-04-09_15-47-17,36.22390413284302,868.8737111091614,38168,AT-MB-PC-E13,127.0.0.1,868.8737111091614,22,256,6,0.0,0.0001
0.85,0.83,0.85,0.84,0.94,0.32344818509676876,10.997238293290138,0.7,0.67,0.72,0.69,0.74,0.6203474462032318,3.101737231016159,1712670478,,False,23,ab1b2d80,2024-04-09_15-47-58,41.23579144477844,910.1095025539398,38168,AT-MB-PC-E13,127.0.0.1,910.1095025539398,23,256,6,0.0,0.0001
0.87,0.86,0.85,0.85,0.94,0.3138607455527081,10.671265348792076,0.66,0.7,0.51,0.59,0.74,0.6449439883232116,3.2247199416160583,1712670519,,False,24,ab1b2d80,2024-04-09_15-48-39,40.51432180404663,950.6238243579865,38168,AT-MB-PC-E13,127.0.0.1,950.6238243579865,24,256,6,0.0,0.0001
0.86,0.84,0.85,0.85,0.94,0.29757268113248486,10.117471158504486,0.7,0.62,0.93,0.74,0.75,0.7351998090744019,3.6759990453720093,1712670560,,False,25,ab1b2d80,2024-04-09_15-49-20,40.62718844413757,991.251012802124,38168,AT-MB-PC-E13,127.0.0.1,991.251012802124,25,256,6,0.0,0.0001
0.88,0.86,0.87,0.87,0.94,0.30634208593298407,10.415630921721458,0.71,0.68,0.75,0.71,0.8,0.610014021396637,3.050070106983185,1712670601,,False,26,ab1b2d80,2024-04-09_15-50-01,41.35707974433899,1032.608092546463,38168,AT-MB-PC-E13,127.0.0.1,1032.608092546463,26,256,6,0.0,0.0001
0.86,0.83,0.87,0.85,0.95,0.301530205151614,10.252026975154877,0.64,0.65,0.51,0.57,0.71,0.7332925081253052,3.666462540626526,1712670642,,False,27,ab1b2d80,2024-04-09_15-50-42,40.70301938056946,1073.3111119270325,38168,AT-MB-PC-E13,127.0.0.1,1073.3111119270325,27,256,6,0.0,0.0001
0.88,0.86,0.88,0.87,0.95,0.2878665341173901,9.787462159991264,0.7,0.67,0.75,0.71,0.74,0.6606505990028382,3.3032529950141907,1712670683,,False,28,ab1b2d80,2024-04-09_15-51-23,41.601088523864746,1114.9122004508972,38168,AT-MB-PC-E13,127.0.0.1,1114.9122004508972,28,256,6,0.0,0.0001
0.88,0.85,0.87,0.86,0.94,0.3599860679139109,12.239526309072971,0.68,0.65,0.68,0.67,0.74,0.7207823157310486,3.603911578655243,1712670724,,False,29,ab1b2d80,2024-04-09_15-52-04,40.86346650123596,1155.7756669521332,38168,AT-MB-PC-E13,127.0.0.1,1155.7756669521332,29,256,6,0.0,0.0001
0.87,0.85,0.87,0.86,0.95,0.275512784062063,9.367434658110142,0.65,0.64,0.6,0.62,0.76,0.6703984558582305,3.351992279291153,1712670760,,False,30,ab1b2d80,2024-04-09_15-52-40,35.60407495498657,1191.3797419071198,38168,AT-MB-PC-E13,127.0.0.1,1191.3797419071198,30,256,6,0.0,0.0001
0.88,0.86,0.86,0.86,0.95,0.2813908957383212,9.56729045510292,0.67,0.64,0.68,0.66,0.73,0.7371358036994934,3.685679018497467,1712670786,,False,31,ab1b2d80,2024-04-09_15-53-06,26.491482734680176,1217.8712246418,38168,AT-MB-PC-E13,127.0.0.1,1217.8712246418,31,256,6,0.0,0.0001
0.89,0.85,0.91,0.88,0.96,0.25795499016256895,8.770469665527344,0.72,0.7,0.74,0.72,0.79,0.659003609418869,3.295018047094345,1712670813,,False,32,ab1b2d80,2024-04-09_15-53-33,26.68206214904785,1244.5532867908478,38168,AT-MB-PC-E13,127.0.0.1,1244.5532867908478,32,256,6,0.0,0.0001
0.9,0.88,0.89,0.89,0.96,0.2566952091806075,8.727637112140656,0.69,0.68,0.65,0.67,0.75,0.7781815886497497,3.890907943248749,1712670839,,False,33,ab1b2d80,2024-04-09_15-53-59,26.516963005065918,1271.0702497959137,38168,AT-MB-PC-E13,127.0.0.1,1271.0702497959137,33,256,6,0.0,0.0001
0.89,0.87,0.89,0.88,0.96,0.2682684366317356,9.121126845479012,0.64,0.62,0.62,0.62,0.71,0.8113516569137573,4.056758284568787,1712670856,,False,34,ab1b2d80,2024-04-09_15-54-16,16.11350154876709,1287.1837513446808,38168,AT-MB-PC-E13,127.0.0.1,1287.1837513446808,34,256,6,0.0,0.0001
0.89,0.87,0.89,0.88,0.95,0.2692391806665589,9.154132142663002,0.66,0.65,0.64,0.64,0.77,0.6559858202934266,3.2799291014671326,1712670870,,False,35,ab1b2d80,2024-04-09_15-54-30,14.421108722686768,1301.6048600673676,38168,AT-MB-PC-E13,127.0.0.1,1301.6048600673676,35,256,6,0.0,0.0001
0.9,0.89,0.9,0.89,0.97,0.23180631153723774,7.881414592266083,0.64,0.67,0.49,0.56,0.73,0.8069287300109863,4.034643650054932,1712670885,,False,36,ab1b2d80,2024-04-09_15-54-45,14.508420467376709,1316.1132805347443,38168,AT-MB-PC-E13,127.0.0.1,1316.1132805347443,36,256,6,0.0,0.0001
0.89,0.86,0.89,0.88,0.97,0.23653782334397822,8.042285993695259,0.73,0.69,0.79,0.74,0.8,0.6027156949043274,3.013578474521637,1712670899,,False,37,ab1b2d80,2024-04-09_15-54-59,14.707507610321045,1330.8207881450653,38168,AT-MB-PC-E13,127.0.0.1,1330.8207881450653,37,256,6,0.0,0.0001
0.9,0.88,0.9,0.89,0.96,0.24647262780105367,8.380069345235825,0.66,0.63,0.67,0.65,0.72,0.834180474281311,4.170902371406555,1712670914,,False,38,ab1b2d80,2024-04-09_15-55-14,14.56556248664856,1345.3863506317139,38168,AT-MB-PC-E13,127.0.0.1,1345.3863506317139,38,256,6,0.0,0.0001
0.9,0.88,0.91,0.89,0.97,0.22193819284439087,7.5458985567092896,0.72,0.67,0.81,0.73,0.79,0.6548444509506226,3.274222254753113,1712670929,,False,39,ab1b2d80,2024-04-09_15-55-29,14.85221266746521,1360.238563299179,38168,AT-MB-PC-E13,127.0.0.1,1360.238563299179,39,256,6,0.0,0.0001
0.9,0.88,0.9,0.89,0.97,0.2330424367066692,7.9234428480267525,0.64,0.67,0.47,0.55,0.72,0.8842260122299195,4.421130061149597,1712670943,,False,40,ab1b2d80,2024-04-09_15-55-43,14.577749013900757,1374.8163123130798,38168,AT-MB-PC-E13,127.0.0.1,1374.8163123130798,40,256,6,0.0,0.0001
0.91,0.89,0.91,0.9,0.97,0.21593541871098912,7.34180423617363,0.71,0.68,0.72,0.7,0.78,0.672814792394638,3.3640739619731903,1712670958,,False,41,ab1b2d80,2024-04-09_15-55-58,14.71889352798462,1389.5352058410645,38168,AT-MB-PC-E13,127.0.0.1,1389.5352058410645,41,256,6,0.0,0.0001
