train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.45,0.79,0.57,0.52,0.9315126240253448,31.671429216861725,0.48,0.48,1.0,0.65,0.56,1.30980224609375,6.54901123046875,1712655147,,False,1,ce944859,2024-04-09_11-32-27,51.96137070655823,51.96137070655823,25592,AT-MB-PC-E13,127.0.0.1,51.96137070655823,1,64,6,0.2,0.0001
0.53,0.47,0.59,0.53,0.54,0.7751576190485674,26.35535904765129,0.53,0.51,0.53,0.52,0.5,0.8024321556091308,4.012160778045654,1712655188,,False,2,ce944859,2024-04-09_11-33-08,40.91262364387512,92.87399435043335,25592,AT-MB-PC-E13,127.0.0.1,92.87399435043335,2,64,6,0.2,0.0001
0.58,0.52,0.54,0.53,0.61,0.6988747330272899,23.761740922927856,0.5,0.47,0.49,0.48,0.51,0.7247419953346252,3.623709976673126,1712655229,,False,3,ce944859,2024-04-09_11-33-49,40.96510148048401,133.83909583091736,25592,AT-MB-PC-E13,127.0.0.1,133.83909583091736,3,64,6,0.2,0.0001
0.66,0.61,0.65,0.63,0.71,0.6147721015355166,20.902251452207565,0.54,0.51,0.53,0.52,0.6,0.687666141986847,3.4383307099342346,1712655269,,False,4,ce944859,2024-04-09_11-34-29,40.08570194244385,173.9247977733612,25592,AT-MB-PC-E13,127.0.0.1,173.9247977733612,4,64,6,0.2,0.0001
0.69,0.65,0.65,0.65,0.76,0.5776888859622619,19.641422122716904,0.66,0.62,0.74,0.67,0.68,0.6460629224777221,3.230314612388611,1712655310,,False,5,ce944859,2024-04-09_11-35-10,40.54785466194153,214.47265243530273,25592,AT-MB-PC-E13,127.0.0.1,214.47265243530273,5,64,6,0.2,0.0001
0.71,0.67,0.68,0.68,0.79,0.5546369727920083,18.857657074928284,0.58,0.56,0.49,0.52,0.61,0.7179859042167663,3.589929521083832,1712655351,,False,6,ce944859,2024-04-09_11-35-51,41.197094202041626,255.66974663734436,25592,AT-MB-PC-E13,127.0.0.1,255.66974663734436,6,64,6,0.2,0.0001
0.75,0.71,0.72,0.72,0.83,0.5005790179266649,17.019686609506607,0.63,0.62,0.57,0.59,0.66,0.692749536037445,3.4637476801872253,1712655392,,False,7,ce944859,2024-04-09_11-36-32,41.08801221847534,296.7577588558197,25592,AT-MB-PC-E13,127.0.0.1,296.7577588558197,7,64,6,0.2,0.0001
0.76,0.73,0.72,0.73,0.83,0.5004255675217685,17.014469295740128,0.6,0.58,0.58,0.58,0.64,0.7582086324691772,3.7910431623458862,1712655433,,False,8,ce944859,2024-04-09_11-37-13,41.18729853630066,337.94505739212036,25592,AT-MB-PC-E13,127.0.0.1,337.94505739212036,8,64,6,0.2,0.0001
0.77,0.74,0.75,0.74,0.85,0.4986136932583416,16.952865570783615,0.62,0.59,0.67,0.63,0.68,0.7286306262016297,3.643153131008148,1712655474,,False,9,ce944859,2024-04-09_11-37-54,41.17167544364929,379.11673283576965,25592,AT-MB-PC-E13,127.0.0.1,379.11673283576965,9,64,6,0.2,0.0001
0.79,0.75,0.78,0.77,0.87,0.44774962654885125,15.223487302660942,0.62,0.58,0.74,0.65,0.69,0.7262057423591614,3.631028711795807,1712655515,,False,10,ce944859,2024-04-09_11-38-35,40.97394013404846,420.0906729698181,25592,AT-MB-PC-E13,127.0.0.1,420.0906729698181,10,64,6,0.2,0.0001
