train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.41698,0.38522,0.51907,0.44224,0.38905,1.2329020780675553,41.918670654296875,0.49669,0.48039,0.68056,0.56322,0.50976,0.9019799113273621,4.50989955663681,1713865950,,False,1,71d11650,2024-04-23_11-52-30,29.809375286102295,29.809375286102295,32916,AT-MB-PC-E13,127.0.0.1,29.809375286102295,1,64,3,0.0,0.0001
0.49623,0.44884,0.57627,0.50464,0.49402,0.8621485303429997,29.313050031661987,0.47682,0.40541,0.20833,0.27523,0.46862,0.752451491355896,3.76225745677948,1713865971,,False,2,71d11650,2024-04-23_11-52-51,21.32146430015564,51.130839586257935,32916,AT-MB-PC-E13,127.0.0.1,51.130839586257935,2,64,3,0.0,0.0001
0.65755,0.62247,0.58686,0.60414,0.69925,0.6293713029693154,21.398624300956726,0.54305,0.52113,0.51389,0.51748,0.54993,0.7441276669502258,3.720638334751129,1713865992,,False,3,71d11650,2024-04-23_11-53-12,20.432234048843384,71.56307363510132,32916,AT-MB-PC-E13,127.0.0.1,71.56307363510132,3,64,3,0.0,0.0001
0.70849,0.66333,0.70127,0.68177,0.78175,0.5586018623674617,18.992463320493698,0.59603,0.57143,0.61111,0.5906,0.59423,0.7812956094741821,3.9064780473709106,1713866013,,False,4,71d11650,2024-04-23_11-53-33,21.17275094985962,92.73582458496094,32916,AT-MB-PC-E13,127.0.0.1,92.73582458496094,4,64,3,0.0,0.0001
0.75566,0.73407,0.70763,0.7206,0.82554,0.523835556472049,17.810408920049667,0.56291,0.54286,0.52778,0.53521,0.57964,0.8756079316139221,4.378039658069611,1713866033,,False,5,71d11650,2024-04-23_11-53-53,20.720965147018433,113.45678973197937,32916,AT-MB-PC-E13,127.0.0.1,113.45678973197937,5,64,3,0.0,0.0001
0.79057,0.7694,0.75636,0.76282,0.85171,0.48252634791766896,16.405895829200745,0.62914,0.61429,0.59722,0.60563,0.65559,0.7069323182106018,3.534661591053009,1713866055,,False,6,71d11650,2024-04-23_11-54-15,21.199760913848877,134.65655064582825,32916,AT-MB-PC-E13,127.0.0.1,134.65655064582825,6,64,3,0.0,0.0001
0.7934,0.7652,0.77331,0.76923,0.8651,0.45770954735138836,15.562124609947205,0.64901,0.63768,0.61111,0.62411,0.69638,0.7035206317901611,3.5176031589508057,1713866075,,False,7,71d11650,2024-04-23_11-54-35,20.17095637321472,154.82750701904297,32916,AT-MB-PC-E13,127.0.0.1,154.82750701904297,7,64,3,0.0,0.0001
0.77264,0.7643,0.70763,0.73487,0.857,0.4673889901708154,15.891225665807724,0.71523,0.67901,0.76389,0.71895,0.71537,0.6751004517078399,3.3755022585392,1713866096,,False,8,71d11650,2024-04-23_11-54-56,21.164281845092773,175.99178886413574,32916,AT-MB-PC-E13,127.0.0.1,175.99178886413574,8,64,3,0.0,0.0001
0.79528,0.74854,0.81356,0.7797,0.87552,0.4447914397015291,15.12290894985199,0.60265,0.65,0.36111,0.46429,0.65788,0.8023217797279358,4.011608898639679,1713866117,,False,9,71d11650,2024-04-23_11-55-17,20.63178062438965,196.6235694885254,32916,AT-MB-PC-E13,127.0.0.1,196.6235694885254,9,64,3,0.0,0.0001
0.81132,0.78692,0.79025,0.78858,0.88196,0.4298420184675385,14.614628627896309,0.54967,0.55263,0.29167,0.38182,0.62535,0.8550721764564514,4.275360882282257,1713866138,,False,10,71d11650,2024-04-23_11-55-38,21.541346788406372,218.16491627693176,32916,AT-MB-PC-E13,127.0.0.1,218.16491627693176,10,64,3,0.0,0.0001
0.79434,0.77371,0.76059,0.76709,0.88067,0.4340275166665806,14.756935566663742,0.64238,0.6,0.75,0.66667,0.68205,0.8198971033096314,4.099485516548157,1713866160,,False,11,71d11650,2024-04-23_11-56-00,22.086613655090332,240.2515299320221,32916,AT-MB-PC-E13,127.0.0.1,240.2515299320221,11,64,3,0.0,0.0001
0.80472,0.78013,0.78178,0.78095,0.8842,0.4257434510132846,14.475277334451675,0.66887,0.62222,0.77778,0.69136,0.71079,0.7687926769256592,3.843963384628296,1713866181,,False,12,71d11650,2024-04-23_11-56-21,20.630011796951294,260.8815417289734,32916,AT-MB-PC-E13,127.0.0.1,260.8815417289734,12,64,3,0.0,0.0001
0.81321,0.78423,0.80085,0.79245,0.89243,0.4149404071709689,14.107973843812943,0.61589,0.60606,0.55556,0.57971,0.65313,0.8590340256690979,4.2951701283454895,1713866198,,False,13,71d11650,2024-04-23_11-56-38,17.246103525161743,278.12764525413513,32916,AT-MB-PC-E13,127.0.0.1,278.12764525413513,13,64,3,0.0,0.0001
0.81981,0.7885,0.81356,0.80083,0.89669,0.4077251996187603,13.86265678703785,0.63576,0.62687,0.58333,0.60432,0.67308,0.818594491481781,4.092972457408905,1713866219,,False,14,71d11650,2024-04-23_11-56-59,20.810153245925903,298.93779850006104,32916,AT-MB-PC-E13,127.0.0.1,298.93779850006104,14,64,3,0.0,0.0001
0.8434,0.82833,0.8178,0.82303,0.91568,0.363793824087171,12.368990018963814,0.66887,0.64474,0.68056,0.66216,0.72504,0.7430887818336487,3.7154439091682434,1713866240,,False,15,71d11650,2024-04-23_11-57-20,21.06950569152832,320.00730419158936,32916,AT-MB-PC-E13,127.0.0.1,320.00730419158936,15,64,3,0.0,0.0001
0.82453,0.79184,0.82203,0.80665,0.91356,0.3680340091095251,12.513156309723854,0.62252,0.62712,0.51389,0.56489,0.63819,0.9735809087753295,4.867904543876648,1713866260,,False,16,71d11650,2024-04-23_11-57-40,20.406550407409668,340.413854598999,32916,AT-MB-PC-E13,127.0.0.1,340.413854598999,16,64,3,0.0,0.0001
0.85283,0.83761,0.83051,0.83404,0.92045,0.3745810034520486,12.735754117369652,0.64901,0.61446,0.70833,0.65806,0.7013,0.8100615382194519,4.0503076910972595,1713866281,,False,17,71d11650,2024-04-23_11-58-01,20.98329472541809,361.3971493244171,32916,AT-MB-PC-E13,127.0.0.1,361.3971493244171,17,64,3,0.0,0.0001
0.82736,0.79794,0.81992,0.80878,0.91761,0.35607774424202304,12.106643304228783,0.68212,0.63636,0.77778,0.7,0.74209,0.745977234840393,3.7298861742019653,1713866302,,False,18,71d11650,2024-04-23_11-58-22,20.88256049156189,382.279709815979,32916,AT-MB-PC-E13,127.0.0.1,382.279709815979,18,64,3,0.0,0.0001
0.85377,0.8268,0.84958,0.83804,0.93014,0.33404868139940147,11.35765516757965,0.71523,0.68354,0.75,0.71523,0.76406,0.6504139184951783,3.252069592475891,1713866323,,False,19,71d11650,2024-04-23_11-58-43,20.86960005760193,403.14930987358093,32916,AT-MB-PC-E13,127.0.0.1,403.14930987358093,19,64,3,0.0,0.0001
0.84151,0.83188,0.8072,0.81935,0.92927,0.3407248219146448,11.584643945097923,0.66225,0.62963,0.70833,0.66667,0.73523,0.7437531471252441,3.7187657356262207,1713866344,,False,20,71d11650,2024-04-23_11-59-04,21.234883069992065,424.384192943573,32916,AT-MB-PC-E13,127.0.0.1,424.384192943573,20,64,3,0.0,0.0001
0.86887,0.83636,0.87712,0.85626,0.93647,0.31670666748986526,10.768026694655418,0.57616,0.6,0.33333,0.42857,0.65665,0.9833018779754639,4.916509389877319,1713866365,,False,21,71d11650,2024-04-23_11-59-25,21.014558792114258,445.39875173568726,32916,AT-MB-PC-E13,127.0.0.1,445.39875173568726,21,64,3,0.0,0.0001
0.85755,0.82822,0.85805,0.84287,0.93364,0.3281548303716323,11.157264232635498,0.65563,0.63514,0.65278,0.64384,0.7435,0.6912762284278869,3.456381142139435,1713866386,,False,22,71d11650,2024-04-23_11-59-46,20.385469913482666,465.7842216491699,32916,AT-MB-PC-E13,127.0.0.1,465.7842216491699,22,64,3,0.0,0.0001
0.87453,0.84805,0.875,0.86131,0.93734,0.32900452789138346,11.186153948307037,0.62914,0.61111,0.61111,0.61111,0.65049,0.9685746908187867,4.842873454093933,1713866407,,False,23,71d11650,2024-04-23_12-00-07,20.73997712135315,486.52419877052307,32916,AT-MB-PC-E13,127.0.0.1,486.52419877052307,23,64,3,0.0,0.0001
0.86509,0.84058,0.86017,0.85026,0.93853,0.3197721260435441,10.8722522854805,0.64901,0.65574,0.55556,0.6015,0.72187,0.833834958076477,4.169174790382385,1713866427,,False,24,71d11650,2024-04-23_12-00-27,20.760852098464966,507.28505086898804,32916,AT-MB-PC-E13,127.0.0.1,507.28505086898804,24,64,3,0.0,0.0001
0.86509,0.8364,0.86653,0.8512,0.93959,0.3065097596058074,10.421331826597452,0.68212,0.63043,0.80556,0.70732,0.74473,0.7278405547142028,3.6392027735710144,1713866448,,False,25,71d11650,2024-04-23_12-00-48,21.026170253753662,528.3112211227417,32916,AT-MB-PC-E13,127.0.0.1,528.3112211227417,25,64,3,0.0,0.0001
0.87925,0.85685,0.875,0.86583,0.94511,0.29718905249062705,10.10442778468132,0.68874,0.68657,0.63889,0.66187,0.75897,0.6912564158439636,3.456282079219818,1713866469,,False,26,71d11650,2024-04-23_12-01-09,20.98379683494568,549.2950179576874,32916,AT-MB-PC-E13,127.0.0.1,549.2950179576874,26,64,3,0.0,0.0001
0.8566,0.84632,0.82839,0.83726,0.9411,0.3231721610269126,10.987853474915028,0.69536,0.64773,0.79167,0.7125,0.71879,0.7684772193431855,3.842386096715927,1713866490,,False,27,71d11650,2024-04-23_12-01-30,20.892021894454956,570.1870398521423,32916,AT-MB-PC-E13,127.0.0.1,570.1870398521423,27,64,3,0.0,0.0001
0.86698,0.83707,0.87076,0.85358,0.94639,0.3125371227369589,10.626262173056602,0.62914,0.63333,0.52778,0.57576,0.70077,0.8888494491577148,4.444247245788574,1713866511,,False,28,71d11650,2024-04-23_12-01-51,21.198895931243896,591.3859357833862,32916,AT-MB-PC-E13,127.0.0.1,591.3859357833862,28,64,3,0.0,0.0001
0.86981,0.85084,0.85805,0.85443,0.94469,0.3071162297445185,10.44195181131363,0.65563,0.63889,0.63889,0.63889,0.71097,0.7881767272949218,3.9408836364746094,1713866532,,False,29,71d11650,2024-04-23_12-02-12,20.77035403251648,612.1562898159027,32916,AT-MB-PC-E13,127.0.0.1,612.1562898159027,29,64,3,0.0,0.0001
0.87642,0.853,0.87288,0.86283,0.95449,0.2690256568877136,9.146872334182262,0.66225,0.63636,0.68056,0.65772,0.70323,0.7701413631439209,3.8507068157196045,1713866553,,False,30,71d11650,2024-04-23_12-02-33,20.891069889068604,633.0473597049713,32916,AT-MB-PC-E13,127.0.0.1,633.0473597049713,30,64,3,0.0,0.0001
0.88208,0.86526,0.87076,0.868,0.9536,0.27286752313375473,9.27749578654766,0.64238,0.61538,0.66667,0.64,0.70868,0.8283395409584046,4.141697704792023,1713866574,,False,31,71d11650,2024-04-23_12-02-54,20.711421966552734,653.758781671524,32916,AT-MB-PC-E13,127.0.0.1,653.758781671524,31,64,3,0.0,0.0001
0.86132,0.85097,0.83475,0.84278,0.94419,0.3144322769606815,10.69069741666317,0.61589,0.60606,0.55556,0.57971,0.69585,0.88021240234375,4.40106201171875,1713866595,,False,32,71d11650,2024-04-23_12-03-15,20.74720788002014,674.5059895515442,32916,AT-MB-PC-E13,127.0.0.1,674.5059895515442,32,64,3,0.0,0.0001
0.87925,0.85685,0.875,0.86583,0.95033,0.2922707388506216,9.937205120921135,0.64238,0.64516,0.55556,0.59701,0.6897,0.9353776335716247,4.676888167858124,1713866615,,False,33,71d11650,2024-04-23_12-03-35,20.643913507461548,695.1499030590057,32916,AT-MB-PC-E13,127.0.0.1,695.1499030590057,33,64,3,0.0,0.0001
0.88113,0.85892,0.87712,0.86792,0.955,0.2681150116464671,9.115910395979881,0.65563,0.63514,0.65278,0.64384,0.70499,0.8493853688240052,4.246926844120026,1713866636,,False,34,71d11650,2024-04-23_12-03-56,21.0129656791687,716.1628687381744,32916,AT-MB-PC-E13,127.0.0.1,716.1628687381744,34,64,3,0.0,0.0001
0.87453,0.86768,0.84746,0.85745,0.9512,0.2783597352750161,9.464230999350548,0.68212,0.65,0.72222,0.68421,0.73101,0.8114036083221435,4.057018041610718,1713866657,,False,35,71d11650,2024-04-23_12-04-17,20.61562752723694,736.7784962654114,32916,AT-MB-PC-E13,127.0.0.1,736.7784962654114,35,64,3,0.0,0.0001
0.88774,0.87158,0.87712,0.87434,0.95831,0.2755645598997088,9.3691950365901,0.64238,0.63235,0.59722,0.61429,0.7093,0.8990365386009216,4.495182693004608,1713866677,,False,36,71d11650,2024-04-23_12-04-37,20.578639268875122,757.3571355342865,32916,AT-MB-PC-E13,127.0.0.1,757.3571355342865,36,64,3,0.0,0.0001
0.88491,0.8821,0.85593,0.86882,0.95339,0.2760572052177261,9.385944977402687,0.72185,0.6875,0.76389,0.72368,0.76459,0.7004873633384705,3.5024368166923523,1713866698,,False,37,71d11650,2024-04-23_12-04-58,20.797274827957153,778.1544103622437,32916,AT-MB-PC-E13,127.0.0.1,778.1544103622437,37,64,3,0.0,0.0001
0.89434,0.87815,0.88559,0.88186,0.95848,0.2678597762304194,9.107232391834259,0.64238,0.61538,0.66667,0.64,0.6962,0.8687325119972229,4.3436625599861145,1713866719,,False,38,71d11650,2024-04-23_12-05-19,21.018698930740356,799.173109292984,32916,AT-MB-PC-E13,127.0.0.1,799.173109292984,38,64,3,0.0,0.0001
0.88302,0.8625,0.87712,0.86975,0.95686,0.2845642229213434,9.675183579325676,0.62914,0.65385,0.47222,0.54839,0.73101,0.8092223227024078,4.046111613512039,1713866740,,False,39,71d11650,2024-04-23_12-05-40,20.858097791671753,820.0312070846558,32916,AT-MB-PC-E13,127.0.0.1,820.0312070846558,39,64,3,0.0,0.0001
0.89623,0.87708,0.89195,0.88445,0.96271,0.24714363848461823,8.40288370847702,0.70861,0.7,0.68056,0.69014,0.75492,0.7426885843276978,3.7134429216384888,1713866761,,False,40,71d11650,2024-04-23_12-06-01,21.099737882614136,841.1309449672699,32916,AT-MB-PC-E13,127.0.0.1,841.1309449672699,40,64,3,0.0,0.0001
0.89057,0.87553,0.87924,0.87738,0.96202,0.2578495686106822,8.766885332763195,0.65563,0.64286,0.625,0.6338,0.70236,0.9479564666748047,4.739782333374023,1713866782,,False,41,71d11650,2024-04-23_12-06-22,20.652181148529053,861.783126115799,32916,AT-MB-PC-E13,127.0.0.1,861.783126115799,41,64,3,0.0,0.0001
0.88868,0.8642,0.88983,0.87683,0.96202,0.2603852730244398,8.853099282830954,0.68874,0.66234,0.70833,0.68456,0.72961,0.8337939083576202,4.168969541788101,1713866803,,False,42,71d11650,2024-04-23_12-06-43,20.777532815933228,882.5606589317322,32916,AT-MB-PC-E13,127.0.0.1,882.5606589317322,42,64,3,0.0,0.0001
0.89717,0.87578,0.89619,0.88586,0.9642,0.24453655783744419,8.314242966473103,0.60265,0.63043,0.40278,0.49153,0.70482,0.954311215877533,4.771556079387665,1713866823,,False,43,71d11650,2024-04-23_12-07-03,20.594670057296753,903.1553289890289,32916,AT-MB-PC-E13,127.0.0.1,903.1553289890289,43,64,3,0.0,0.0001
0.89623,0.8709,0.90042,0.88542,0.96382,0.2413975471521125,8.207516603171825,0.63576,0.64912,0.51389,0.57364,0.67827,1.0427610635757447,5.213805317878723,1713866844,,False,44,71d11650,2024-04-23_12-07-24,20.945051908493042,924.100380897522,32916,AT-MB-PC-E13,127.0.0.1,924.100380897522,44,64,3,0.0,0.0001
0.88962,0.88503,0.86441,0.8746,0.95962,0.25980637836105686,8.833416864275932,0.68212,0.63636,0.77778,0.7,0.7398,0.8867291390895844,4.433645695447922,1713866865,,False,45,71d11650,2024-04-23_12-07-45,21.060428857803345,945.1608097553253,32916,AT-MB-PC-E13,127.0.0.1,945.1608097553253,45,64,3,0.0,0.0001
0.89717,0.86228,0.91525,0.88798,0.96767,0.23468462158651912,7.97927713394165,0.66225,0.65217,0.625,0.6383,0.72433,0.8600622534751892,4.300311267375946,1713866886,,False,46,71d11650,2024-04-23_12-08-06,21.04793405532837,966.2087438106537,32916,AT-MB-PC-E13,127.0.0.1,966.2087438106537,46,64,3,0.0,0.0001
0.90094,0.87071,0.91314,0.89142,0.96944,0.22968724720618305,7.809366405010223,0.65563,0.66129,0.56944,0.61194,0.72908,0.8793025255203247,4.3965126276016235,1713866907,,False,47,71d11650,2024-04-23_12-08-27,21.064781188964844,987.2735249996185,32916,AT-MB-PC-E13,127.0.0.1,987.2735249996185,47,64,3,0.0,0.0001
0.89811,0.87917,0.89407,0.88655,0.96441,0.2350116264732445,7.990395300090313,0.68874,0.69841,0.61111,0.65185,0.75,0.8075541734695435,4.037770867347717,1713866928,,False,48,71d11650,2024-04-23_12-08-48,20.627044439315796,1007.9005694389343,32916,AT-MB-PC-E13,127.0.0.1,1007.9005694389343,48,64,3,0.0,0.0001
0.90943,0.89496,0.90254,0.89873,0.96904,0.23613668780993013,8.028647385537624,0.61589,0.61667,0.51389,0.56061,0.66086,1.1163612484931946,5.581806242465973,1713866949,,False,49,71d11650,2024-04-23_12-09-09,20.854366540908813,1028.7549359798431,32916,AT-MB-PC-E13,127.0.0.1,1028.7549359798431,49,64,3,0.0,0.0001
0.90094,0.87992,0.90042,0.89005,0.96756,0.23256953279761708,7.90736411511898,0.65563,0.64286,0.625,0.6338,0.71431,0.9185896158218384,4.592948079109192,1713866970,,False,50,71d11650,2024-04-23_12-09-30,20.918506383895874,1049.673442363739,32916,AT-MB-PC-E13,127.0.0.1,1049.673442363739,50,64,3,0.0,0.0001
0.91226,0.90578,0.89619,0.90096,0.97081,0.21661684793584488,7.364972829818726,0.66225,0.65672,0.61111,0.63309,0.71299,0.8792654871940613,4.396327435970306,1713866991,,False,51,71d11650,2024-04-23_12-09-51,20.959100008010864,1070.6325423717499,32916,AT-MB-PC-E13,127.0.0.1,1070.6325423717499,51,64,3,0.0,0.0001
0.91509,0.90638,0.90254,0.90446,0.97255,0.21384263498818173,7.270649589598179,0.68212,0.64634,0.73611,0.68831,0.71941,0.9437377452850342,4.718688726425171,1713867012,,False,52,71d11650,2024-04-23_12-10-12,21.156209230422974,1091.7887516021729,32916,AT-MB-PC-E13,127.0.0.1,1091.7887516021729,52,64,3,0.0,0.0001
0.90189,0.89655,0.88136,0.88889,0.97105,0.21512479115934932,7.314242899417877,0.62914,0.625,0.55556,0.58824,0.68627,1.0542978405952455,5.271489202976227,1713867032,,False,53,71d11650,2024-04-23_12-10-32,20.50193476676941,1112.2906863689423,32916,AT-MB-PC-E13,127.0.0.1,1112.2906863689423,53,64,3,0.0,0.0001
0.9066,0.88454,0.9089,0.89655,0.97241,0.21711102478644428,7.381774842739105,0.6755,0.66667,0.63889,0.65248,0.72732,0.8957529187202453,4.478764593601227,1713867053,,False,54,71d11650,2024-04-23_12-10-53,20.87569284439087,1133.1663792133331,32916,AT-MB-PC-E13,127.0.0.1,1133.1663792133331,54,64,3,0.0,0.0001
0.90377,0.89362,0.88983,0.89172,0.97332,0.20693005774827564,7.035621963441372,0.66887,0.67188,0.59722,0.63235,0.72257,0.9689592123031616,4.844796061515808,1713867074,,False,55,71d11650,2024-04-23_12-11-14,20.977375507354736,1154.1437547206879,32916,AT-MB-PC-E13,127.0.0.1,1154.1437547206879,55,64,3,0.0,0.0001
0.91226,0.89727,0.90678,0.902,0.97292,0.23585534796995275,8.019081830978394,0.66225,0.66667,0.58333,0.62222,0.72609,0.9405221700668335,4.7026108503341675,1713867095,,False,56,71d11650,2024-04-23_12-11-35,20.60251522064209,1174.74626994133,32916,AT-MB-PC-E13,127.0.0.1,1174.74626994133,56,64,3,0.0,0.0001
0.91792,0.90021,0.91737,0.90871,0.97234,0.2161149684997166,7.347908928990364,0.65563,0.66129,0.56944,0.61194,0.71238,0.9411608576774597,4.705804288387299,1713867116,,False,57,71d11650,2024-04-23_12-11-56,21.00780415534973,1195.7540740966797,32916,AT-MB-PC-E13,127.0.0.1,1195.7540740966797,57,64,3,0.0,0.0001
0.91981,0.91258,0.90678,0.90967,0.97778,0.20344961500343153,6.9172869101166725,0.65563,0.63158,0.66667,0.64865,0.69603,1.0050063729286194,5.025031864643097,1713867137,,False,58,71d11650,2024-04-23_12-12-17,20.707642793655396,1216.461716890335,32916,AT-MB-PC-E13,127.0.0.1,1216.461716890335,58,64,3,0.0,0.0001
0.91038,0.89852,0.90042,0.89947,0.97344,0.2049688700148288,6.968941580504179,0.65563,0.64286,0.625,0.6338,0.71079,0.9257151126861572,4.628575563430786,1713867158,,False,59,71d11650,2024-04-23_12-12-38,20.9182231426239,1237.379940032959,32916,AT-MB-PC-E13,127.0.0.1,1237.379940032959,59,64,3,0.0,0.0001
0.91509,0.90295,0.90678,0.90486,0.97583,0.1979685013785082,6.730929046869278,0.63576,0.62687,0.58333,0.60432,0.71413,0.9731435894966125,4.865717947483063,1713867178,,False,60,71d11650,2024-04-23_12-12-58,20.61179494857788,1257.9917349815369,32916,AT-MB-PC-E13,127.0.0.1,1257.9917349815369,60,64,3,0.0,0.0001
0.91038,0.89852,0.90042,0.89947,0.97632,0.20735875780091567,7.0501977652311325,0.66225,0.65217,0.625,0.6383,0.69937,0.9991754055023193,4.995877027511597,1713867199,,False,61,71d11650,2024-04-23_12-13-19,21.116788864135742,1279.1085238456726,32916,AT-MB-PC-E13,127.0.0.1,1279.1085238456726,61,64,3,0.0,0.0001
0.91321,0.89095,0.91737,0.90397,0.97551,0.20643160360700943,7.018674522638321,0.62252,0.64706,0.45833,0.53659,0.74824,0.8661501944065094,4.330750972032547,1713867220,,False,62,71d11650,2024-04-23_12-13-40,20.973032236099243,1300.0815560817719,32916,AT-MB-PC-E13,127.0.0.1,1300.0815560817719,62,64,3,0.0,0.0001
0.91226,0.90405,0.89831,0.90117,0.9768,0.20112773973275633,6.838343150913715,0.64238,0.62857,0.61111,0.61972,0.71888,0.9653028130531311,4.8265140652656555,1713867241,,False,63,71d11650,2024-04-23_12-14-01,20.355237007141113,1320.436793088913,32916,AT-MB-PC-E13,127.0.0.1,1320.436793088913,63,64,3,0.0,0.0001
0.91604,0.89322,0.92161,0.90719,0.97845,0.1893829064553275,6.439018819481134,0.63576,0.62319,0.59722,0.60993,0.72539,0.8915531277656555,4.457765638828278,1713867261,,False,64,71d11650,2024-04-23_12-14-21,20.1031277179718,1340.5399208068848,32916,AT-MB-PC-E13,127.0.0.1,1340.5399208068848,64,64,3,0.0,0.0001
0.91698,0.89344,0.92373,0.90833,0.9767,0.19366725227412054,6.584686577320099,0.65563,0.63514,0.65278,0.64384,0.71642,0.979144012928009,4.895720064640045,1713867280,,False,65,71d11650,2024-04-23_12-14-40,19.61294436454773,1360.1528651714325,32916,AT-MB-PC-E13,127.0.0.1,1360.1528651714325,65,64,3,0.0,0.0001
0.91226,0.90405,0.89831,0.90117,0.97564,0.21824100262978496,7.420194089412689,0.68212,0.65385,0.70833,0.68,0.73523,0.8848328948020935,4.4241644740104675,1713867301,,False,66,71d11650,2024-04-23_12-15-01,20.276331186294556,1380.429196357727,32916,AT-MB-PC-E13,127.0.0.1,1380.429196357727,66,64,3,0.0,0.0001
0.91981,0.90909,0.91102,0.91005,0.97947,0.19053818504599965,6.478298291563988,0.64238,0.625,0.625,0.625,0.70288,0.9843635320663452,4.921817660331726,1713867321,,False,67,71d11650,2024-04-23_12-15-21,20.176773071289062,1400.605969429016,32916,AT-MB-PC-E13,127.0.0.1,1400.605969429016,67,64,3,0.0,0.0001
0.91981,0.89571,0.92797,0.91155,0.97954,0.18677710128181121,6.350421443581581,0.66887,0.64865,0.66667,0.65753,0.73418,0.8416009485721588,4.208004742860794,1713867341,,False,68,71d11650,2024-04-23_12-15-41,20.27156686782837,1420.8775362968445,32916,AT-MB-PC-E13,127.0.0.1,1420.8775362968445,68,64,3,0.0,0.0001
0.92642,0.91561,0.91949,0.91755,0.98211,0.18744142616496368,6.373008489608765,0.66225,0.66154,0.59722,0.62774,0.72416,0.9612292408943176,4.806146204471588,1713867361,,False,69,71d11650,2024-04-23_12-16-01,20.082558393478394,1440.9600946903229,32916,AT-MB-PC-E13,127.0.0.1,1440.9600946903229,69,64,3,0.0,0.0001
0.93208,0.90161,0.95127,0.92577,0.98149,0.1737275829210001,5.906737819314003,0.64238,0.625,0.625,0.625,0.71484,0.9882793188095093,4.941396594047546,1713867381,,False,70,71d11650,2024-04-23_12-16-21,20.06275773048401,1461.0228524208069,32916,AT-MB-PC-E13,127.0.0.1,1461.0228524208069,70,64,3,0.0,0.0001
0.92642,0.91213,0.92373,0.91789,0.98158,0.1886775024673518,6.415035083889961,0.66225,0.66154,0.59722,0.62774,0.73541,0.9042264223098755,4.521132111549377,1713867401,,False,71,71d11650,2024-04-23_12-16-41,19.79636788368225,1480.8192203044891,32916,AT-MB-PC-E13,127.0.0.1,1480.8192203044891,71,64,3,0.0,0.0001
0.92358,0.90476,0.92585,0.91518,0.98063,0.1841996093006695,6.262786716222763,0.65563,0.65152,0.59722,0.62319,0.73892,0.9163973450660705,4.581986725330353,1713867421,,False,72,71d11650,2024-04-23_12-17-01,20.181583166122437,1501.0008034706116,32916,AT-MB-PC-E13,127.0.0.1,1501.0008034706116,72,64,3,0.0,0.0001
0.92358,0.90644,0.92373,0.91501,0.97964,0.1894962807350299,6.442873544991016,0.64901,0.63768,0.61111,0.62411,0.71818,1.0083891034126282,5.041945517063141,1713867442,,False,73,71d11650,2024-04-23_12-17-22,20.28795289993286,1521.2887563705444,32916,AT-MB-PC-E13,127.0.0.1,1521.2887563705444,73,64,3,0.0,0.0001
0.92736,0.91932,0.91737,0.91835,0.98086,0.18675481385606177,6.3496636711061,0.68212,0.67143,0.65278,0.66197,0.72011,0.9512603163719178,4.756301581859589,1713867462,,False,74,71d11650,2024-04-23_12-17-42,20.31489372253418,1541.6036500930786,32916,AT-MB-PC-E13,127.0.0.1,1541.6036500930786,74,64,3,0.0,0.0001
0.93208,0.90984,0.94068,0.925,0.98131,0.1903418780249708,6.471623852849007,0.68212,0.7,0.58333,0.63636,0.72697,0.9759878158569336,4.879939079284668,1713867482,,False,75,71d11650,2024-04-23_12-18-02,20.388214826583862,1561.9918649196625,32916,AT-MB-PC-E13,127.0.0.1,1561.9918649196625,75,64,3,0.0,0.0001
0.92642,0.91387,0.92161,0.91772,0.98351,0.16828095233615706,5.72155237942934,0.64901,0.64179,0.59722,0.61871,0.72539,0.9626027703285217,4.813013851642609,1713867502,,False,76,71d11650,2024-04-23_12-18-22,20.072471857070923,1582.0643367767334,32916,AT-MB-PC-E13,127.0.0.1,1582.0643367767334,76,64,3,0.0,0.0001
0.92264,0.90456,0.92373,0.91405,0.98147,0.17899332787184155,6.0857731476426125,0.64238,0.63235,0.59722,0.61429,0.72249,0.9597768664360047,4.798884332180023,1713867523,,False,77,71d11650,2024-04-23_12-18-43,20.57064437866211,1602.6349811553955,32916,AT-MB-PC-E13,127.0.0.1,1602.6349811553955,77,64,3,0.0,0.0001
0.9283,0.91772,0.92161,0.91966,0.9836,0.1757809311589774,5.9765516594052315,0.64901,0.63768,0.61111,0.62411,0.73242,0.941623330116272,4.70811665058136,1713867543,,False,78,71d11650,2024-04-23_12-19-03,20.298115730285645,1622.9330968856812,32916,AT-MB-PC-E13,127.0.0.1,1622.9330968856812,78,64,3,0.0,0.0001
