train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.46,0.38,0.34,0.36,0.42,0.8226573099108303,27.97034853696823,0.52,0.0,0.0,0.0,0.39,0.8092640042304993,4.046320021152496,1712790720,,False,1,bddc2c3c,2024-04-11_01-12-00,30.631709098815918,30.631709098815918,43604,AT-MB-PC-E13,127.0.0.1,30.631709098815918,1,256,6,0.2,0.001
0.6,0.55,0.53,0.54,0.64,0.6909273661234799,23.49153044819832,0.53,0.54,0.1,0.16,0.55,0.7379804491996765,3.6899022459983826,1712790746,,False,2,bddc2c3c,2024-04-11_01-12-26,26.511321544647217,57.143030643463135,43604,AT-MB-PC-E13,127.0.0.1,57.143030643463135,2,256,6,0.2,0.001
0.67,0.64,0.58,0.61,0.72,0.6101008986725527,20.74343055486679,0.6,0.63,0.4,0.49,0.58,0.7796802282333374,3.898401141166687,1712790774,,False,3,bddc2c3c,2024-04-11_01-12-54,27.298444271087646,84.44147491455078,43604,AT-MB-PC-E13,127.0.0.1,84.44147491455078,3,256,6,0.2,0.001
0.71,0.67,0.68,0.67,0.77,0.572940419701969,19.479974269866943,0.63,0.68,0.42,0.52,0.64,0.7778622388839722,3.889311194419861,1712790800,,False,4,bddc2c3c,2024-04-11_01-13-20,26.65249466896057,111.09396958351135,43604,AT-MB-PC-E13,127.0.0.1,111.09396958351135,4,256,6,0.2,0.001
0.7,0.67,0.65,0.66,0.77,0.5857233860913444,19.914595127105713,0.62,0.61,0.58,0.6,0.63,0.7889132618904113,3.944566309452057,1712790827,,False,5,bddc2c3c,2024-04-11_01-13-47,27.24965262413025,138.3436222076416,43604,AT-MB-PC-E13,127.0.0.1,138.3436222076416,5,256,6,0.2,0.001
0.71,0.68,0.64,0.66,0.78,0.5780956832801595,19.65525323152542,0.59,0.56,0.68,0.61,0.63,0.7824906945228577,3.9124534726142883,1712790855,,False,6,bddc2c3c,2024-04-11_01-14-15,27.239482402801514,165.58310461044312,43604,AT-MB-PC-E13,127.0.0.1,165.58310461044312,6,256,6,0.2,0.001
0.73,0.71,0.67,0.69,0.81,0.5340878025573843,18.158985286951065,0.62,0.6,0.62,0.61,0.67,0.751224672794342,3.75612336397171,1712790881,,False,7,bddc2c3c,2024-04-11_01-14-41,26.200066089630127,191.78317070007324,43604,AT-MB-PC-E13,127.0.0.1,191.78317070007324,7,256,6,0.2,0.001
0.74,0.71,0.71,0.71,0.82,0.5308259944705402,18.048083811998367,0.68,0.63,0.82,0.71,0.72,0.728981077671051,3.644905388355255,1712790908,,False,8,bddc2c3c,2024-04-11_01-15-08,27.518593788146973,219.30176448822021,43604,AT-MB-PC-E13,127.0.0.1,219.30176448822021,8,256,6,0.2,0.001
0.74,0.71,0.71,0.71,0.83,0.5056216646643246,17.191136598587036,0.58,0.55,0.67,0.6,0.6,0.8544356107711792,4.272178053855896,1712790932,,False,9,bddc2c3c,2024-04-11_01-15-32,23.627272844314575,242.9290373325348,43604,AT-MB-PC-E13,127.0.0.1,242.9290373325348,9,256,6,0.2,0.001
0.75,0.72,0.74,0.73,0.82,0.5463885480866713,18.577210634946823,0.58,0.59,0.38,0.46,0.61,0.8287806153297425,4.143903076648712,1712790959,,False,10,bddc2c3c,2024-04-11_01-15-59,27.022212743759155,269.95125007629395,43604,AT-MB-PC-E13,127.0.0.1,269.95125007629395,10,256,6,0.2,0.001
0.77,0.75,0.71,0.73,0.83,0.5142273473389009,17.48372980952263,0.53,0.56,0.07,0.12,0.63,1.115629005432129,5.5781450271606445,1712790986,,False,11,bddc2c3c,2024-04-11_01-16-26,27.3054780960083,297.25672817230225,43604,AT-MB-PC-E13,127.0.0.1,297.25672817230225,11,256,6,0.2,0.001
0.76,0.72,0.74,0.73,0.83,0.524035740424605,17.81721517443657,0.58,0.54,0.92,0.68,0.58,1.1256274342536927,5.628137171268463,1712791013,,False,12,bddc2c3c,2024-04-11_01-16-53,26.89067530632019,324.14740347862244,43604,AT-MB-PC-E13,127.0.0.1,324.14740347862244,12,256,6,0.2,0.001
0.74,0.71,0.7,0.7,0.81,0.5420542140217388,18.42984327673912,0.67,0.64,0.69,0.67,0.72,0.6403709471225738,3.2018547356128693,1712791040,,False,13,bddc2c3c,2024-04-11_01-17-20,26.965039253234863,351.1124427318573,43604,AT-MB-PC-E13,127.0.0.1,351.1124427318573,13,256,6,0.2,0.001
0.75,0.73,0.71,0.72,0.83,0.5218232186401591,17.74198943376541,0.63,0.58,0.78,0.67,0.67,0.7015648245811462,3.507824122905731,1712791067,,False,14,bddc2c3c,2024-04-11_01-17-47,26.752328395843506,377.8647711277008,43604,AT-MB-PC-E13,127.0.0.1,377.8647711277008,14,256,6,0.2,0.001
0.75,0.71,0.73,0.72,0.82,0.530628576874733,18.04137161374092,0.58,0.58,0.4,0.48,0.63,0.7119855761528016,3.5599278807640076,1712791094,,True,15,bddc2c3c,2024-04-11_01-18-14,27.145182609558105,405.0099537372589,43604,AT-MB-PC-E13,127.0.0.1,405.0099537372589,15,256,6,0.2,0.001
