train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.69,0.64,0.67,0.66,0.77,0.5768771767616272,19.613824009895325,0.67,0.69,0.56,0.62,0.72,0.6264762163162232,3.1323810815811157,1712794494,,True,100,c554c39f,2024-04-11_02-14-54,13.600502967834473,1330.5250771045685,48628,AT-MB-PC-E13,127.0.0.1,1330.5250771045685,100,64,3,0.5,1e-05,c554c39f
0.83,0.8,0.83,0.81,0.91,0.366878908346681,12.473882883787155,0.72,0.7,0.69,0.7,0.75,0.6736041307449341,3.3680206537246704,1712795731,,True,100,1735aa78,2024-04-11_02-35-31,26.673927068710327,2561.5403711795807,45772,AT-MB-PC-E13,127.0.0.1,2561.5403711795807,100,256,6,0.5,0.001,1735aa78
0.68,0.65,0.64,0.64,0.74,0.6013206331168904,20.444901525974274,0.62,0.65,0.43,0.52,0.68,0.6335896849632263,3.1679484248161316,1712793784,,True,45,3bff8d9e,2024-04-11_02-03-04,13.505770206451416,608.7033705711365,33668,AT-MB-PC-E13,127.0.0.1,608.7033705711365,45,64,3,0.5,1e-05,3bff8d9e
0.54,0.48,0.51,0.5,0.55,0.7043410785057965,23.947596669197083,0.56,0.54,0.57,0.55,0.57,0.6938663244247436,3.4693316221237183,1712793918,,True,5,2f40fc26,2024-04-11_02-05-18,25.842217206954956,134.16796016693115,33668,AT-MB-PC-E13,127.0.0.1,134.16796016693115,5,64,6,0.5,1e-05,2f40fc26
0.92,0.91,0.92,0.91,0.98,0.1855787406949436,6.309677183628082,0.7,0.68,0.68,0.68,0.77,0.7286206245422363,3.6431031227111816,1712795264,,True,100,74efceaa,2024-04-11_02-27-44,14.006444215774536,1345.547768354416,33668,AT-MB-PC-E13,127.0.0.1,1345.547768354416,100,64,3,0.0,0.0001,74efceaa
0.75,0.71,0.75,0.73,0.82,0.5320715430904838,18.090432465076447,0.62,0.61,0.54,0.57,0.68,0.7206899404525757,3.6034497022628784,1712794700,,True,15,0afdaf25,2024-04-11_02-18-20,13.439837455749512,206.59237551689148,48628,AT-MB-PC-E13,127.0.0.1,206.59237551689148,15,256,3,0.5,0.001,0afdaf25
0.57,0.51,0.63,0.56,0.59,0.6959233038565692,23.661392331123352,0.52,0.5,0.5,0.5,0.52,0.6983123421669006,3.491561710834503,1712794918,,True,5,429d82f1,2024-04-11_02-21-58,42.46715497970581,217.14841747283936,48628,AT-MB-PC-E13,127.0.0.1,217.14841747283936,5,256,10,0.5,0.0001,429d82f1
0.57,0.51,0.68,0.58,0.61,0.6886274148436153,23.413332104682922,0.6,0.57,0.65,0.61,0.63,0.6731203675270081,3.3656018376350403,1712795135,,True,5,22ec1cf2,2024-04-11_02-25-35,42.70370626449585,217.0088346004486,48628,AT-MB-PC-E13,127.0.0.1,217.0088346004486,5,256,10,0.2,1e-05,22ec1cf2
0.65,0.62,0.58,0.6,0.71,0.6210265554049436,21.11490288376808,0.63,0.63,0.54,0.58,0.65,0.6754500150680542,3.377250075340271,1712795267,,True,5,d9b5bf48,2024-04-11_02-27-47,24.220383644104004,132.70984935760498,48628,AT-MB-PC-E13,127.0.0.1,132.70984935760498,5,64,6,0.2,0.0001,d9b5bf48
0.53,0.46,0.34,0.39,0.52,0.7118961898719564,24.204470455646515,0.6,0.63,0.36,0.46,0.6,0.688884973526001,3.444424867630005,1712795337,,True,5,5a204494,2024-04-11_02-28-57,14.230195999145508,73.13106513023376,33668,AT-MB-PC-E13,127.0.0.1,73.13106513023376,5,256,3,0.5,1e-05,5a204494
