train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.46,0.99,0.62,0.61,0.8444171407643486,28.710182785987854,0.48,0.48,1.0,0.65,0.59,0.9864405512809753,4.932202756404877,1712922369,,False,1,b6db2daf,2024-04-12_13-46-09,39.66209387779236,39.66209387779236,124648,jyn,131.130.125.89,39.66209387779236,1,128,3,0.0,0.001
0.6,0.55,0.62,0.58,0.64,0.6793533405836891,23.09801357984543,0.57,0.54,0.74,0.62,0.62,0.7129737496376037,3.564868748188019,1712922399,,False,2,b6db2daf,2024-04-12_13-46-39,30.20732545852661,69.86941933631897,124648,jyn,131.130.125.89,69.86941933631897,2,128,3,0.0,0.001
0.65,0.59,0.66,0.63,0.7,0.6339788401828093,21.555280566215515,0.6,0.6,0.51,0.55,0.61,0.6973701119422913,3.4868505597114563,1712922430,,False,3,b6db2daf,2024-04-12_13-47-10,30.895102977752686,100.76452231407166,124648,jyn,131.130.125.89,100.76452231407166,3,128,3,0.0,0.001
0.69,0.66,0.65,0.66,0.75,0.6020857323618496,20.470914900302887,0.62,0.65,0.42,0.51,0.61,0.7048672556877136,3.524336278438568,1712922460,,False,4,b6db2daf,2024-04-12_13-47-40,30.350820302963257,131.1153426170349,124648,jyn,131.130.125.89,131.1153426170349,4,128,3,0.0,0.001
0.71,0.69,0.65,0.67,0.77,0.5784419380566653,19.66702589392662,0.62,0.59,0.62,0.61,0.66,0.6856215000152588,3.428107500076294,1712922491,,False,5,b6db2daf,2024-04-12_13-48-11,30.986746311187744,162.10208892822266,124648,jyn,131.130.125.89,162.10208892822266,5,128,3,0.0,0.001
0.67,0.62,0.64,0.63,0.73,0.6201665541704964,21.085662841796875,0.63,0.59,0.74,0.65,0.68,0.6967525005340576,3.483762502670288,1712922522,,False,6,b6db2daf,2024-04-12_13-48-42,31.032641649246216,193.13473057746887,124648,jyn,131.130.125.89,193.13473057746887,6,128,3,0.0,0.001
0.7,0.68,0.63,0.66,0.77,0.5832779398735832,19.831449955701828,0.61,0.62,0.47,0.54,0.7,0.698114538192749,3.490572690963745,1712922552,,False,7,b6db2daf,2024-04-12_13-49-12,30.3138370513916,223.44856762886047,124648,jyn,131.130.125.89,223.44856762886047,7,128,3,0.0,0.001
0.71,0.68,0.66,0.67,0.77,0.5970790833234787,20.300688832998276,0.58,0.55,0.64,0.59,0.62,0.7514159083366394,3.757079541683197,1712922582,,False,8,b6db2daf,2024-04-12_13-49-42,29.466970920562744,252.91553854942322,124648,jyn,131.130.125.89,252.91553854942322,8,128,3,0.0,0.001
0.73,0.7,0.7,0.7,0.79,0.5849118206430884,19.887001901865005,0.61,0.6,0.54,0.57,0.62,0.7736898541450501,3.8684492707252502,1712922612,,False,9,b6db2daf,2024-04-12_13-50-12,29.977760791778564,282.8932993412018,124648,jyn,131.130.125.89,282.8932993412018,9,128,3,0.0,0.001
0.72,0.7,0.67,0.68,0.79,0.5867690189796335,19.95014664530754,0.68,0.62,0.82,0.71,0.72,0.6089848101139068,3.0449240505695343,1712922642,,False,10,b6db2daf,2024-04-12_13-50-42,29.991661310195923,312.8849606513977,124648,jyn,131.130.125.89,312.8849606513977,10,128,3,0.0,0.001
