train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5566,1.0,0.00424,0.00844,0.51705,0.9883181312504936,33.602816462516785,0.52318,0.0,0.0,0.0,0.39504,1.2053258180618287,6.026629090309143,1713363088,,False,1,11615319,2024-04-17_16-11-28,35.68798470497131,35.68798470497131,36520,AT-MB-PC-E13,127.0.0.1,35.68798470497131,1,64,6,0.2,0.0001
0.55755,0.61538,0.01695,0.03299,0.56791,0.8237710717846366,28.008216440677643,0.51656,0.0,0.0,0.0,0.37368,0.8233532667160034,4.116766333580017,1713363119,,False,2,11615319,2024-04-17_16-11-59,30.99228811264038,66.6802728176117,36520,AT-MB-PC-E13,127.0.0.1,66.6802728176117,2,64,6,0.2,0.0001
0.58396,0.56275,0.29449,0.38665,0.60931,0.684607628513785,23.27665936946869,0.52318,0.5,0.23611,0.32075,0.54826,0.705230963230133,3.5261548161506653,1713363151,,False,3,11615319,2024-04-17_16-12-31,32.021918535232544,98.70219135284424,36520,AT-MB-PC-E13,127.0.0.1,98.70219135284424,3,64,6,0.2,0.0001
0.61698,0.59016,0.45763,0.51551,0.66497,0.6412060436080483,21.801005482673645,0.52318,0.5,0.27778,0.35714,0.62746,0.6808132052421569,3.404066026210785,1713363181,,False,4,11615319,2024-04-17_16-13-01,30.790016889572144,129.49220824241638,36520,AT-MB-PC-E13,127.0.0.1,129.49220824241638,4,64,6,0.2,0.0001
0.65377,0.6378,0.51483,0.56975,0.70058,0.6202650245498208,21.08901083469391,0.5894,0.59615,0.43056,0.5,0.64082,0.667248272895813,3.336241364479065,1713363212,,False,5,11615319,2024-04-17_16-13-32,30.724358320236206,160.2165665626526,36520,AT-MB-PC-E13,127.0.0.1,160.2165665626526,5,64,6,0.2,0.0001
0.67642,0.64176,0.61864,0.62999,0.7375,0.6078506541602752,20.666922241449356,0.59603,0.55789,0.73611,0.63473,0.66526,0.6658142924308776,3.3290714621543884,1713363243,,False,6,11615319,2024-04-17_16-14-03,30.75735831260681,190.9739248752594,36520,AT-MB-PC-E13,127.0.0.1,190.9739248752594,6,64,6,0.2,0.0001
0.68208,0.65589,0.60169,0.62762,0.74769,0.5988085603012758,20.359491050243378,0.60265,0.61538,0.44444,0.51613,0.66421,0.6451149821281433,3.2255749106407166,1713363274,,False,7,11615319,2024-04-17_16-14-34,31.05297303199768,222.02689790725708,36520,AT-MB-PC-E13,127.0.0.1,222.02689790725708,7,64,6,0.2,0.0001
0.70943,0.67447,0.67161,0.67304,0.77404,0.5671620535499909,19.28350982069969,0.61589,0.625,0.48611,0.54687,0.69146,0.6501986145973205,3.250993072986603,1713363305,,False,8,11615319,2024-04-17_16-15-05,31.094686269760132,253.1215841770172,36520,AT-MB-PC-E13,127.0.0.1,253.1215841770172,8,64,6,0.2,0.0001
0.73208,0.70259,0.69068,0.69658,0.80885,0.5396738096195108,18.34890952706337,0.56954,0.58537,0.33333,0.42478,0.68548,0.7393471002578735,3.6967355012893677,1713363336,,False,9,11615319,2024-04-17_16-15-36,30.89646601676941,284.0180501937866,36520,AT-MB-PC-E13,127.0.0.1,284.0180501937866,9,64,6,0.2,0.0001
0.75,0.71166,0.73729,0.72425,0.82132,0.5204469517749899,17.695196360349655,0.56954,0.57778,0.36111,0.44444,0.65366,0.7200597167015076,3.600298583507538,1713363367,,False,10,11615319,2024-04-17_16-16-07,31.097644805908203,315.1156949996948,36520,AT-MB-PC-E13,127.0.0.1,315.1156949996948,10,64,6,0.2,0.0001
0.75189,0.72187,0.72034,0.7211,0.82039,0.5182749707909191,17.62134900689125,0.62252,0.63636,0.48611,0.55118,0.66825,0.6973545551300049,3.4867727756500244,1713363398,,False,11,11615319,2024-04-17_16-16-38,30.539689302444458,345.6553843021393,36520,AT-MB-PC-E13,127.0.0.1,345.6553843021393,11,64,6,0.2,0.0001
0.73491,0.70538,0.69492,0.70011,0.82141,0.5260182925883461,17.88462194800377,0.69536,0.69697,0.63889,0.66667,0.72644,0.6425860762596131,3.212930381298065,1713363428,,False,12,11615319,2024-04-17_16-17-08,30.60230326652527,376.25768756866455,36520,AT-MB-PC-E13,127.0.0.1,376.25768756866455,12,64,6,0.2,0.0001
