train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.55472,0.5,0.00212,0.00422,0.51259,1.0817749693113214,36.78034895658493,0.52318,0.0,0.0,0.0,0.3859,1.2540504932403564,6.270252466201782,1713370957,,False,1,5b671625,2024-04-17_18-22-37,35.48761439323425,35.48761439323425,36520,AT-MB-PC-E13,127.0.0.1,35.48761439323425,1,64,6,0.0,0.0001
0.56038,0.60714,0.03602,0.068,0.56075,0.837257973411504,28.466771095991135,0.5298,1.0,0.01389,0.0274,0.40673,0.7872083306312561,3.9360416531562805,1713370987,,False,2,5b671625,2024-04-17_18-23-07,30.55966830253601,66.04728269577026,36520,AT-MB-PC-E13,127.0.0.1,66.04728269577026,2,64,6,0.0,0.0001
0.63962,0.62032,0.49153,0.54846,0.697,0.6315409435945398,21.472392082214355,0.54305,0.71429,0.06944,0.12658,0.62421,0.70690838098526,3.5345419049263,1713371019,,False,3,5b671625,2024-04-17_18-23-39,31.5405912399292,97.58787393569946,36520,AT-MB-PC-E13,127.0.0.1,97.58787393569946,3,64,6,0.0,0.0001
0.70849,0.70426,0.59534,0.64524,0.77467,0.5777603694621254,19.643852561712265,0.60265,0.62,0.43056,0.5082,0.67071,0.6543763875961304,3.271881937980652,1713371050,,False,4,5b671625,2024-04-17_18-24-10,31.088807344436646,128.6766812801361,36520,AT-MB-PC-E13,127.0.0.1,128.6766812801361,4,64,6,0.0,0.0001
0.74717,0.74638,0.65466,0.69752,0.82923,0.5240448704537224,17.81752559542656,0.66887,0.64474,0.68056,0.66216,0.69304,0.6456020951271058,3.2280104756355286,1713371081,,False,5,5b671625,2024-04-17_18-24-41,31.054580450057983,159.7312617301941,36520,AT-MB-PC-E13,127.0.0.1,159.7312617301941,5,64,6,0.0,0.0001
0.76038,0.72899,0.73517,0.73207,0.8264,0.5186377728686613,17.633684277534485,0.62252,0.57895,0.76389,0.65868,0.69989,0.6576635837554932,3.288317918777466,1713371112,,False,6,5b671625,2024-04-17_18-25-12,31.044068336486816,190.7753300666809,36520,AT-MB-PC-E13,127.0.0.1,190.7753300666809,6,64,6,0.0,0.0001
0.75,0.71882,0.72034,0.71958,0.8236,0.525053001501981,17.851802051067352,0.66225,0.67213,0.56944,0.61654,0.68372,0.6522363185882568,3.261181592941284,1713371145,,False,7,5b671625,2024-04-17_18-25-45,32.41260099411011,223.18793106079102,36520,AT-MB-PC-E13,127.0.0.1,223.18793106079102,7,64,6,0.0,0.0001
0.76792,0.73061,0.75847,0.74428,0.84018,0.4989030825741151,16.962704807519913,0.6755,0.65753,0.66667,0.66207,0.75141,0.5797788739204407,2.8988943696022034,1713371176,,False,8,5b671625,2024-04-17_18-26-16,31.439575910568237,254.62750697135925,36520,AT-MB-PC-E13,127.0.0.1,254.62750697135925,8,64,6,0.0,0.0001
0.78679,0.76395,0.75424,0.75906,0.86239,0.46230997934060936,15.718539297580719,0.59603,0.62791,0.375,0.46957,0.69796,0.7577698349952697,3.788849174976349,1713371207,,False,9,5b671625,2024-04-17_18-26-47,31.407750129699707,286.03525710105896,36520,AT-MB-PC-E13,127.0.0.1,286.03525710105896,9,64,6,0.0,0.0001
0.80189,0.77292,0.78602,0.77941,0.87909,0.44619206470601697,15.170530200004578,0.60927,0.58904,0.59722,0.5931,0.66385,0.6751711130142212,3.375855565071106,1713371238,,False,10,5b671625,2024-04-17_18-27-18,30.790835857391357,316.8260929584503,36520,AT-MB-PC-E13,127.0.0.1,316.8260929584503,10,64,6,0.0,0.0001
0.81792,0.79872,0.79025,0.79446,0.89307,0.4193958508617738,14.259458929300308,0.60927,0.5942,0.56944,0.58156,0.66508,0.7404390931129455,3.702195465564728,1713371269,,False,11,5b671625,2024-04-17_18-27-49,31.181499004364014,348.00759196281433,36520,AT-MB-PC-E13,127.0.0.1,348.00759196281433,11,64,6,0.0,0.0001
0.79528,0.76956,0.77119,0.77037,0.87817,0.4548511689200121,15.46493974328041,0.7351,0.7,0.77778,0.73684,0.76398,0.5908689975738526,2.9543449878692627,1713371300,,False,12,5b671625,2024-04-17_18-28-20,31.065291166305542,379.0728831291199,36520,AT-MB-PC-E13,127.0.0.1,379.0728831291199,12,64,6,0.0,0.0001
0.79717,0.77167,0.77331,0.77249,0.87601,0.4355843654450248,14.809868425130844,0.66887,0.63095,0.73611,0.67949,0.70868,0.6986875057220459,3.4934375286102295,1713371332,,False,13,5b671625,2024-04-17_18-28-52,31.53967547416687,410.61255860328674,36520,AT-MB-PC-E13,127.0.0.1,410.61255860328674,13,64,6,0.0,0.0001
0.81604,0.77756,0.82203,0.79918,0.8935,0.410529844901141,13.958014726638794,0.64238,0.64062,0.56944,0.60294,0.72099,0.6414533138275147,3.2072665691375732,1713371363,,False,14,5b671625,2024-04-17_18-29-23,31.14969515800476,441.7622537612915,36520,AT-MB-PC-E13,127.0.0.1,441.7622537612915,14,64,6,0.0,0.0001
0.81887,0.78807,0.81144,0.79958,0.89868,0.42263509113998976,14.369593098759651,0.6755,0.69492,0.56944,0.62595,0.73435,0.7044040977954864,3.5220204889774323,1713371396,,False,15,5b671625,2024-04-17_18-29-56,32.69998860359192,474.4622423648834,36520,AT-MB-PC-E13,127.0.0.1,474.4622423648834,15,64,6,0.0,0.0001
0.82075,0.79253,0.80932,0.80084,0.90606,0.3809422535054824,12.952036619186401,0.70861,0.75926,0.56944,0.65079,0.76055,0.6233559548854828,3.116779774427414,1713371428,,False,16,5b671625,2024-04-17_18-30-28,32.11503505706787,506.5772774219513,36520,AT-MB-PC-E13,127.0.0.1,506.5772774219513,16,64,6,0.0,0.0001
