train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
0.46981,0.45614,0.99153,0.62483,0.59732,0.8397027026204502,28.549891889095306,0.47682,0.47682,1.0,0.64574,0.56716,1.1613556504249574,5.806778252124786,0.48675,0.48675,1.0,0.65479,0.56743,1.1282481729984284,11.282481729984283,1713379319,,False,1,8d7b8529,2024-04-17_20-41-59,30.269121885299683,30.269121885299683,35052,AT-MB-PC-E13,127.0.0.1,30.269121885299683,1,64,0.0,3,0.0001
0.51981,0.47914,0.90042,0.62546,0.6254,0.725897259571973,24.680506825447083,0.49669,0.48438,0.86111,0.62,0.64205,0.6816172957420349,3.4080864787101746,0.57285,0.53689,0.89116,0.67008,0.64398,0.7076197981834411,7.076197981834412,1713379345,,False,2,8d7b8529,2024-04-17_20-42-25,25.068013191223145,55.33713507652283,35052,AT-MB-PC-E13,127.0.0.1,55.33713507652283,2,64,0.0,3,0.0001
0.60472,0.54281,0.71186,0.61595,0.68088,0.6528830458136166,22.198023557662964,0.60927,0.58025,0.65278,0.61438,0.6352,0.6508435130119323,3.254217565059662,0.63907,0.6131,0.70068,0.65397,0.70529,0.6538260579109192,6.538260579109192,1713379370,,False,3,8d7b8529,2024-04-17_20-42-50,25.084343910217285,80.42147898674011,35052,AT-MB-PC-E13,127.0.0.1,80.42147898674011,3,64,0.0,3,0.0001
0.66132,0.60762,0.67585,0.63992,0.72727,0.6166290973915773,20.96538931131363,0.57616,0.5303,0.97222,0.68627,0.69831,0.684388792514801,3.421943962574005,0.61589,0.56596,0.90476,0.69634,0.70998,0.6702788770198822,6.702788770198822,1713379395,,False,4,8d7b8529,2024-04-17_20-43-15,24.870720386505127,105.29219937324524,35052,AT-MB-PC-E13,127.0.0.1,105.29219937324524,4,64,0.0,3,0.0001
0.68679,0.6417,0.67161,0.65631,0.76148,0.583640992641449,19.843793749809265,0.60927,0.61404,0.48611,0.54264,0.65972,0.6515601515769959,3.2578007578849792,0.70199,0.70213,0.67347,0.6875,0.76528,0.5896914303302765,5.896914303302765,1713379420,,False,5,8d7b8529,2024-04-17_20-43-40,25.26133918762207,130.5535385608673,35052,AT-MB-PC-E13,127.0.0.1,130.5535385608673,5,64,0.0,3,0.0001
0.72642,0.67636,0.73941,0.70648,0.80361,0.5546956412932452,18.859651803970337,0.65563,0.61905,0.72222,0.66667,0.68082,0.6615007519721985,3.3075037598609924,0.67219,0.63187,0.78231,0.69909,0.77437,0.5935328841209412,5.935328841209412,1713379444,,False,6,8d7b8529,2024-04-17_20-44-04,24.479423761367798,155.0329623222351,35052,AT-MB-PC-E13,127.0.0.1,155.0329623222351,6,64,0.0,3,0.0001
0.74434,0.70722,0.72669,0.71682,0.80628,0.5418882597895229,18.42420083284378,0.66225,0.63636,0.68056,0.65772,0.70658,0.625723147392273,3.1286157369613647,0.68212,0.65089,0.7483,0.6962,0.7278,0.6289049029350281,6.289049029350281,1713379469,,False,7,8d7b8529,2024-04-17_20-44-29,24.95741581916809,179.9903781414032,35052,AT-MB-PC-E13,127.0.0.1,179.9903781414032,7,64,0.0,3,0.0001
0.75094,0.70635,0.75424,0.72951,0.82943,0.512464817832498,17.42380380630493,0.64238,0.60465,0.72222,0.65823,0.69972,0.6339176237583161,3.16958811879158,0.65563,0.6019,0.86395,0.7095,0.76787,0.6093557000160217,6.093557000160217,1713379494,,False,8,8d7b8529,2024-04-17_20-44-54,24.964526176452637,204.95490431785583,35052,AT-MB-PC-E13,127.0.0.1,204.95490431785583,8,64,0.0,3,0.0001
0.77547,0.74684,0.75,0.74841,0.84799,0.4954867380506852,16.846549093723297,0.62252,0.57282,0.81944,0.67429,0.73286,0.643595290184021,3.217976450920105,0.67881,0.62019,0.87755,0.72676,0.7968,0.5898787677288055,5.898787677288055,1713379519,,False,9,8d7b8529,2024-04-17_20-45-19,24.855881690979004,229.81078600883484,35052,AT-MB-PC-E13,127.0.0.1,229.81078600883484,9,64,0.0,3,0.0001
0.77358,0.73868,0.76059,0.74948,0.8591,0.47794799243702607,16.250231742858887,0.58278,0.57895,0.45833,0.51163,0.70086,0.6304617047309875,3.1523085236549377,0.69868,0.7,0.66667,0.68293,0.75866,0.5994054317474365,5.994054317474365,1713379544,,False,10,8d7b8529,2024-04-17_20-45-44,24.722016096115112,254.53280210494995,35052,AT-MB-PC-E13,127.0.0.1,254.53280210494995,10,64,0.0,3,0.0001
0.77642,0.73547,0.77754,0.75592,0.85586,0.476987105958602,16.21756160259247,0.63576,0.6,0.70833,0.64968,0.68214,0.676595950126648,3.3829797506332397,0.66887,0.67153,0.62585,0.64789,0.72592,0.639975693821907,6.39975693821907,1713379569,,False,11,8d7b8529,2024-04-17_20-46-09,24.800026416778564,279.3328285217285,35052,AT-MB-PC-E13,127.0.0.1,279.3328285217285,11,64,0.0,3,0.0001
0.80472,0.7732,0.79449,0.7837,0.87416,0.4498290182913051,15.294186621904373,0.68874,0.62376,0.875,0.72832,0.75967,0.6129466950893402,3.064733475446701,0.68543,0.62745,0.87075,0.72934,0.75914,0.6284905791282653,6.284905791282654,1713379593,,False,12,8d7b8529,2024-04-17_20-46-33,24.6567063331604,303.9895348548889,35052,AT-MB-PC-E13,127.0.0.1,303.9895348548889,12,64,0.0,3,0.0001
0.78491,0.75103,0.77331,0.762,0.87591,0.4591345480259727,15.610574632883072,0.64238,0.60465,0.72222,0.65823,0.63959,0.7955662846565247,3.9778314232826233,0.70199,0.67066,0.7619,0.71338,0.73118,0.6579756319522858,6.579756319522858,1713379619,,False,13,8d7b8529,2024-04-17_20-46-59,25.262128591537476,329.2516634464264,35052,AT-MB-PC-E13,127.0.0.1,329.2516634464264,13,64,0.0,3,0.0001
