train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.53,0.43,0.14,0.21,0.47,0.7190615552313188,24.448092877864838,0.52,0.0,0.0,0.0,0.28,0.8667568564414978,4.333784282207489,1712698475,,False,1,094601a0,2024-04-09_23-34-35,18.436522006988525,18.436522006988525,36412,AT-MB-PC-E13,127.0.0.1,18.436522006988525,1,64,3,0.0,0.0001
0.55,0.5,0.3,0.38,0.55,0.695559131748536,23.649010479450226,0.58,0.62,0.33,0.43,0.57,0.701658058166504,3.5082902908325195,1712698489,,False,2,094601a0,2024-04-09_23-34-49,13.503590822219849,31.940112829208374,36412,AT-MB-PC-E13,127.0.0.1,31.940112829208374,2,64,3,0.0,0.0001
0.62,0.57,0.57,0.57,0.66,0.6497908725458033,22.092889666557312,0.58,0.57,0.49,0.53,0.58,0.6853413462638855,3.4267067313194275,1712698502,,False,3,094601a0,2024-04-09_23-35-02,13.406379222869873,45.34649205207825,36412,AT-MB-PC-E13,127.0.0.1,45.34649205207825,3,64,3,0.0,0.0001
0.65,0.59,0.66,0.62,0.71,0.6241197568528792,21.220071732997894,0.62,0.69,0.35,0.46,0.6,0.6767032146453857,3.3835160732269287,1712698515,,False,4,094601a0,2024-04-09_23-35-15,13.384549140930176,58.73104119300842,36412,AT-MB-PC-E13,127.0.0.1,58.73104119300842,4,64,3,0.0,0.0001
0.7,0.66,0.68,0.67,0.77,0.5916337467291776,20.115547388792038,0.64,0.65,0.56,0.6,0.67,0.6673030138015748,3.3365150690078735,1712698529,,False,5,094601a0,2024-04-09_23-35-29,13.482730388641357,72.21377158164978,36412,AT-MB-PC-E13,127.0.0.1,72.21377158164978,5,64,3,0.0,0.0001
0.74,0.71,0.71,0.71,0.8,0.560009298955693,19.04031616449356,0.64,0.61,0.67,0.64,0.68,0.654066002368927,3.270330011844635,1712698542,,False,6,094601a0,2024-04-09_23-35-42,13.410657167434692,85.62442874908447,36412,AT-MB-PC-E13,127.0.0.1,85.62442874908447,6,64,3,0.0,0.0001
0.75,0.72,0.74,0.73,0.82,0.5375594724627102,18.277022063732147,0.59,0.56,0.67,0.61,0.65,0.6944825053215027,3.4724125266075134,1712698556,,False,7,094601a0,2024-04-09_23-35-56,13.635993719100952,99.26042246818542,36412,AT-MB-PC-E13,127.0.0.1,99.26042246818542,7,64,3,0.0,0.0001
0.76,0.74,0.72,0.73,0.84,0.5079452027292812,17.270136892795563,0.64,0.63,0.56,0.59,0.64,0.7109415531158447,3.5547077655792236,1712698569,,False,8,094601a0,2024-04-09_23-36-09,13.54301643371582,112.80343890190125,36412,AT-MB-PC-E13,127.0.0.1,112.80343890190125,8,64,3,0.0,0.0001
0.78,0.73,0.8,0.76,0.85,0.4914918839931488,16.71072405576706,0.6,0.59,0.5,0.54,0.66,0.6847413659095765,3.423706829547882,1712698583,,False,9,094601a0,2024-04-09_23-36-23,13.358501195907593,126.16194009780884,36412,AT-MB-PC-E13,127.0.0.1,126.16194009780884,9,64,3,0.0,0.0001
0.77,0.73,0.77,0.75,0.85,0.48284562983933615,16.41675141453743,0.58,0.57,0.44,0.5,0.62,0.7956789135932922,3.978394567966461,1712698596,,False,10,094601a0,2024-04-09_23-36-36,13.398872137069702,139.56081223487854,36412,AT-MB-PC-E13,127.0.0.1,139.56081223487854,10,64,3,0.0,0.0001
0.79,0.76,0.78,0.77,0.87,0.45031604784376483,15.310745626688004,0.66,0.61,0.81,0.69,0.71,0.6295698046684265,3.1478490233421326,1712698610,,False,11,094601a0,2024-04-09_23-36-50,13.418257474899292,152.97906970977783,36412,AT-MB-PC-E13,127.0.0.1,152.97906970977783,11,64,3,0.0,0.0001
0.8,0.76,0.8,0.78,0.88,0.44182636369677153,15.022096365690231,0.67,0.62,0.78,0.69,0.73,0.5971465408802032,2.9857327044010162,1712698623,,False,12,094601a0,2024-04-09_23-37-03,13.407979488372803,166.38704919815063,36412,AT-MB-PC-E13,127.0.0.1,166.38704919815063,12,64,3,0.0,0.0001
0.8,0.77,0.79,0.78,0.88,0.444966477506301,15.128860235214233,0.66,0.64,0.65,0.65,0.7,0.6545624136924744,3.272812068462372,1712698636,,False,13,094601a0,2024-04-09_23-37-16,13.456110000610352,179.843159198761,36412,AT-MB-PC-E13,127.0.0.1,179.843159198761,13,64,3,0.0,0.0001
0.81,0.77,0.81,0.79,0.88,0.43176044173100414,14.679855018854141,0.52,0.49,0.24,0.32,0.61,0.926714026927948,4.63357013463974,1712698650,,False,14,094601a0,2024-04-09_23-37-30,13.654048442840576,193.49720764160156,36412,AT-MB-PC-E13,127.0.0.1,193.49720764160156,14,64,3,0.0,0.0001
0.8,0.76,0.81,0.79,0.88,0.4377591653781779,14.883811622858047,0.66,0.62,0.76,0.68,0.72,0.651478385925293,3.257391929626465,1712698664,,False,15,094601a0,2024-04-09_23-37-44,13.548310995101929,207.0455186367035,36412,AT-MB-PC-E13,127.0.0.1,207.0455186367035,15,64,3,0.0,0.0001
0.82,0.78,0.82,0.8,0.9,0.4107845679802053,13.96667531132698,0.67,0.63,0.74,0.68,0.73,0.6641549468040466,3.320774734020233,1712698677,,False,16,094601a0,2024-04-09_23-37-57,13.579997062683105,220.6255156993866,36412,AT-MB-PC-E13,127.0.0.1,220.6255156993866,16,64,3,0.0,0.0001
0.83,0.79,0.85,0.82,0.91,0.3755321634166381,12.768093556165695,0.5,0.47,0.39,0.43,0.59,0.8803803563117981,4.4019017815589905,1712698691,,False,17,094601a0,2024-04-09_23-38-11,13.660026550292969,234.28554224967957,36412,AT-MB-PC-E13,127.0.0.1,234.28554224967957,17,64,3,0.0,0.0001
0.82,0.79,0.81,0.8,0.9,0.39583709748352275,13.458461314439774,0.68,0.62,0.83,0.71,0.72,0.6695134162902832,3.347567081451416,1712698704,,False,18,094601a0,2024-04-09_23-38-24,13.455525398254395,247.74106764793396,36412,AT-MB-PC-E13,127.0.0.1,247.74106764793396,18,64,3,0.0,0.0001
0.83,0.81,0.83,0.82,0.91,0.3724992446163121,12.664974316954613,0.7,0.65,0.76,0.71,0.7,0.7036872744560242,3.518436372280121,1712698718,,False,19,094601a0,2024-04-09_23-38-38,13.60289478302002,261.343962430954,36412,AT-MB-PC-E13,127.0.0.1,261.343962430954,19,64,3,0.0,0.0001
0.83,0.8,0.84,0.82,0.91,0.3648764166761847,12.40579816699028,0.69,0.66,0.72,0.69,0.72,0.6848311066627503,3.424155533313751,1712698731,,False,20,094601a0,2024-04-09_23-38-51,13.45784616470337,274.80180859565735,36412,AT-MB-PC-E13,127.0.0.1,274.80180859565735,20,64,3,0.0,0.0001
0.82,0.8,0.81,0.8,0.91,0.38549767434597015,13.106920927762985,0.7,0.66,0.79,0.72,0.77,0.637808871269226,3.1890443563461304,1712698745,,False,21,094601a0,2024-04-09_23-39-05,13.538421630859375,288.3402302265167,36412,AT-MB-PC-E13,127.0.0.1,288.3402302265167,21,64,3,0.0,0.0001
0.85,0.81,0.85,0.83,0.92,0.34811634789494905,11.835955828428268,0.66,0.63,0.72,0.67,0.72,0.6577072381973267,3.2885361909866333,1712698758,,False,22,094601a0,2024-04-09_23-39-18,13.424516677856445,301.76474690437317,36412,AT-MB-PC-E13,127.0.0.1,301.76474690437317,22,64,3,0.0,0.0001
0.85,0.81,0.85,0.83,0.93,0.33827250582330365,11.501265197992325,0.72,0.68,0.75,0.72,0.76,0.6419699668884278,3.2098498344421387,1712698772,,False,23,094601a0,2024-04-09_23-39-32,13.452944278717041,315.2176911830902,36412,AT-MB-PC-E13,127.0.0.1,315.2176911830902,23,64,3,0.0,0.0001
0.85,0.81,0.86,0.83,0.93,0.33455466961159425,11.374858766794205,0.64,0.67,0.49,0.56,0.72,0.7693647146224976,3.846823573112488,1712698786,,False,24,094601a0,2024-04-09_23-39-46,13.67909836769104,328.89678955078125,36412,AT-MB-PC-E13,127.0.0.1,328.89678955078125,24,64,3,0.0,0.0001
0.85,0.83,0.84,0.83,0.93,0.3462214071084471,11.771527841687202,0.72,0.68,0.78,0.73,0.77,0.584090667963028,2.9204533398151398,1712698799,,False,25,094601a0,2024-04-09_23-39-59,13.511196851730347,342.4079864025116,36412,AT-MB-PC-E13,127.0.0.1,342.4079864025116,25,64,3,0.0,0.0001
0.86,0.83,0.86,0.84,0.93,0.3311825929319157,11.260208159685135,0.57,0.65,0.21,0.32,0.75,1.065129327774048,5.325646638870239,1712698813,,False,26,094601a0,2024-04-09_23-40-13,13.53849172592163,355.9464781284332,36412,AT-MB-PC-E13,127.0.0.1,355.9464781284332,26,64,3,0.0,0.0001
0.86,0.82,0.88,0.84,0.93,0.33489104798611474,11.3862956315279,0.68,0.62,0.85,0.72,0.72,0.6935898780822753,3.467949390411377,1712698826,,False,27,094601a0,2024-04-09_23-40-26,13.577072858810425,369.52355098724365,36412,AT-MB-PC-E13,127.0.0.1,369.52355098724365,27,64,3,0.0,0.0001
0.87,0.84,0.86,0.85,0.94,0.3217659868738231,10.940043553709984,0.67,0.65,0.65,0.65,0.73,0.6877804100513458,3.438902050256729,1712698837,,False,28,094601a0,2024-04-09_23-40-37,10.977088212966919,380.50063920021057,36412,AT-MB-PC-E13,127.0.0.1,380.50063920021057,28,64,3,0.0,0.0001
0.87,0.85,0.86,0.86,0.94,0.31251873514231515,10.625636994838715,0.65,0.63,0.64,0.63,0.72,0.677993643283844,3.38996821641922,1712698851,,False,29,094601a0,2024-04-09_23-40-51,13.695430040359497,394.19606924057007,36412,AT-MB-PC-E13,127.0.0.1,394.19606924057007,29,64,3,0.0,0.0001
0.87,0.84,0.86,0.85,0.94,0.32712557517430363,11.122269555926323,0.69,0.67,0.69,0.68,0.76,0.6694619178771972,3.3473095893859863,1712698864,,False,30,094601a0,2024-04-09_23-41-04,13.00652527809143,407.2025945186615,36412,AT-MB-PC-E13,127.0.0.1,407.2025945186615,30,64,3,0.0,0.0001
0.87,0.83,0.87,0.85,0.94,0.32205378439496546,10.949828669428825,0.7,0.68,0.72,0.7,0.76,0.6516754806041718,3.2583774030208588,1712698878,,False,31,094601a0,2024-04-09_23-41-18,13.887188911437988,421.0897834300995,36412,AT-MB-PC-E13,127.0.0.1,421.0897834300995,31,64,3,0.0,0.0001
0.88,0.85,0.88,0.87,0.95,0.29650983280118776,10.081334315240383,0.66,0.66,0.57,0.61,0.73,0.6972107768058777,3.4860538840293884,1712698891,,False,32,094601a0,2024-04-09_23-41-31,13.054229021072388,434.1440124511719,36412,AT-MB-PC-E13,127.0.0.1,434.1440124511719,32,64,3,0.0,0.0001
0.88,0.87,0.87,0.87,0.95,0.28280141927740154,9.615248255431652,0.65,0.61,0.74,0.67,0.73,0.7072535276412963,3.536267638206482,1712698905,,False,33,094601a0,2024-04-09_23-41-45,13.9028639793396,448.0468764305115,36412,AT-MB-PC-E13,127.0.0.1,448.0468764305115,33,64,3,0.0,0.0001
