train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.56,0.51,0.61,0.55,0.59,0.6854383209172417,23.30490291118622,0.45,0.38,0.25,0.3,0.48,0.7035120010375977,3.5175600051879883,1712698121,,False,1,54ae3ad7,2024-04-09_23-28-41,30.983898639678955,30.983898639678955,43928,AT-MB-PC-E13,127.0.0.1,30.983898639678955,1,256,6,0.2,0.001
0.62,0.57,0.6,0.58,0.65,0.6647598305169273,22.60183423757553,0.5,0.47,0.31,0.37,0.55,0.7140322804450989,3.5701614022254944,1712698146,,False,2,54ae3ad7,2024-04-09_23-29-06,25.86316418647766,56.847062826156616,43928,AT-MB-PC-E13,127.0.0.1,56.847062826156616,2,256,6,0.2,0.001
0.69,0.66,0.64,0.65,0.75,0.6033643825965769,20.514389008283615,0.62,0.62,0.5,0.55,0.62,0.7301203846931458,3.6506019234657288,1712698173,,False,3,54ae3ad7,2024-04-09_23-29-33,26.170400619506836,83.01746344566345,43928,AT-MB-PC-E13,127.0.0.1,83.01746344566345,3,256,6,0.2,0.001
0.71,0.67,0.68,0.68,0.76,0.5979716769036125,20.331037014722824,0.54,0.67,0.06,0.1,0.5,0.9590920567512512,4.795460283756256,1712698199,,False,4,54ae3ad7,2024-04-09_23-29-59,25.92750310897827,108.94496655464172,43928,AT-MB-PC-E13,127.0.0.1,108.94496655464172,4,256,6,0.2,0.001
0.72,0.7,0.67,0.68,0.79,0.5574459906886605,18.95316368341446,0.62,0.59,0.65,0.62,0.67,0.7226901173591613,3.613450586795807,1712698225,,False,5,54ae3ad7,2024-04-09_23-30-25,26.025907278060913,134.97087383270264,43928,AT-MB-PC-E13,127.0.0.1,134.97087383270264,5,256,6,0.2,0.001
0.73,0.69,0.74,0.71,0.8,0.5513898958178127,18.747256457805634,0.56,0.52,0.97,0.68,0.7,0.9927658319473267,4.963829159736633,1712698251,,False,6,54ae3ad7,2024-04-09_23-30-51,25.879005670547485,160.84987950325012,43928,AT-MB-PC-E13,127.0.0.1,160.84987950325012,6,256,6,0.2,0.001
0.73,0.69,0.72,0.71,0.8,0.5418970777707941,18.424500644207,0.48,0.35,0.11,0.17,0.58,0.9996235013008118,4.998117506504059,1712698276,,False,7,54ae3ad7,2024-04-09_23-31-16,25.944575309753418,186.79445481300354,43928,AT-MB-PC-E13,127.0.0.1,186.79445481300354,7,256,6,0.2,0.001
0.75,0.72,0.7,0.71,0.81,0.5265031378058826,17.90110668540001,0.64,0.63,0.58,0.6,0.67,0.6772281169891358,3.3861405849456787,1712698303,,False,8,54ae3ad7,2024-04-09_23-31-43,26.045051336288452,212.839506149292,43928,AT-MB-PC-E13,127.0.0.1,212.839506149292,8,256,6,0.2,0.001
0.72,0.68,0.72,0.7,0.79,0.5493029627729865,18.67630073428154,0.59,0.58,0.5,0.54,0.69,0.6788098931312561,3.3940494656562805,1712698329,,False,9,54ae3ad7,2024-04-09_23-32-09,26.07243251800537,238.91193866729736,43928,AT-MB-PC-E13,127.0.0.1,238.91193866729736,9,256,6,0.2,0.001
0.75,0.73,0.69,0.71,0.81,0.5408512529204873,18.38894259929657,0.57,0.55,0.53,0.54,0.62,0.9647494792938233,4.823747396469116,1712698355,,False,10,54ae3ad7,2024-04-09_23-32-35,26.333828687667847,265.2457673549652,43928,AT-MB-PC-E13,127.0.0.1,265.2457673549652,10,256,6,0.2,0.001
0.75,0.71,0.75,0.73,0.82,0.5122842306599897,17.41766384243965,0.69,0.66,0.71,0.68,0.71,0.6551468849182129,3.2757344245910645,1712698381,,False,11,54ae3ad7,2024-04-09_23-33-01,25.958929538726807,291.204696893692,43928,AT-MB-PC-E13,127.0.0.1,291.204696893692,11,256,6,0.2,0.001
0.74,0.68,0.76,0.72,0.81,0.531668509630596,18.076729327440262,0.54,0.51,0.92,0.66,0.69,0.8762925505638123,4.381462752819061,1712698407,,False,12,54ae3ad7,2024-04-09_23-33-27,25.99618124961853,317.20087814331055,43928,AT-MB-PC-E13,127.0.0.1,317.20087814331055,12,256,6,0.2,0.001
0.77,0.75,0.72,0.73,0.82,0.5166715742910609,17.566833525896072,0.57,0.67,0.19,0.3,0.64,1.3534492254257202,6.767246127128601,1712698433,,False,13,54ae3ad7,2024-04-09_23-33-53,25.96000623703003,343.1608843803406,43928,AT-MB-PC-E13,127.0.0.1,343.1608843803406,13,256,6,0.2,0.001
0.75,0.72,0.73,0.72,0.81,0.5191041739547954,17.649541914463043,0.7,0.71,0.62,0.67,0.74,0.6353889107704163,3.1769445538520813,1712698458,,False,14,54ae3ad7,2024-04-09_23-34-18,25.280125379562378,368.44100975990295,43928,AT-MB-PC-E13,127.0.0.1,368.44100975990295,14,256,6,0.2,0.001
0.76,0.72,0.75,0.73,0.84,0.49451612549669605,16.813548266887665,0.66,0.73,0.44,0.55,0.69,1.1532388925552368,5.766194462776184,1712698482,,False,15,54ae3ad7,2024-04-09_23-34-42,24.124110221862793,392.56511998176575,43928,AT-MB-PC-E13,127.0.0.1,392.56511998176575,15,256,6,0.2,0.001
0.77,0.75,0.74,0.74,0.84,0.49799324747394114,16.931770414114,0.68,0.68,0.62,0.65,0.76,0.6003827571868896,3.0019137859344482,1712698508,,False,16,54ae3ad7,2024-04-09_23-35-08,25.644904375076294,418.21002435684204,43928,AT-MB-PC-E13,127.0.0.1,418.21002435684204,16,256,6,0.2,0.001
