train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.55,0.5,0.53,0.51,0.57,0.6942988809417275,23.606161952018738,0.47,0.4,0.24,0.3,0.47,0.6987175941467285,3.4935879707336426,1712694211,,False,1,70c79ead,2024-04-09_22-23-31,28.49410629272461,28.49410629272461,36412,AT-MB-PC-E13,127.0.0.1,28.49410629272461,1,256,6,0.5,0.001
0.57,0.51,0.48,0.5,0.58,0.6978468298912048,23.726792216300964,0.52,0.5,0.38,0.43,0.55,0.6971401453018189,3.4857007265090942,1712694236,,False,2,70c79ead,2024-04-09_22-23-56,25.411664485931396,53.905770778656006,36412,AT-MB-PC-E13,127.0.0.1,53.905770778656006,2,256,6,0.5,0.001
0.59,0.54,0.47,0.5,0.63,0.6669793374398175,22.677297472953796,0.59,0.65,0.31,0.42,0.62,0.6788957238197326,3.3944786190986633,1712694261,,False,3,70c79ead,2024-04-09_22-24-21,25.391014575958252,79.29678535461426,36412,AT-MB-PC-E13,127.0.0.1,79.29678535461426,3,256,6,0.5,0.001
0.61,0.56,0.54,0.55,0.66,0.6541696278487935,22.24176734685898,0.52,0.0,0.0,0.0,0.55,0.8475771188735962,4.237885594367981,1712694287,,False,4,70c79ead,2024-04-09_22-24-47,25.753016233444214,105.04980158805847,36412,AT-MB-PC-E13,127.0.0.1,105.04980158805847,4,256,6,0.5,0.001
0.65,0.61,0.59,0.6,0.7,0.6346004990970388,21.576416969299316,0.63,0.59,0.75,0.66,0.67,0.6854319930076599,3.4271599650382996,1712694313,,False,5,70c79ead,2024-04-09_22-25-13,25.55705189704895,130.60685348510742,36412,AT-MB-PC-E13,127.0.0.1,130.60685348510742,5,256,6,0.5,0.001
0.64,0.59,0.61,0.6,0.7,0.6305694553781959,21.439361482858658,0.65,0.61,0.75,0.67,0.69,0.6279585242271424,3.1397926211357117,1712694338,,False,6,70c79ead,2024-04-09_22-25-38,25.453702449798584,156.060555934906,36412,AT-MB-PC-E13,127.0.0.1,156.060555934906,6,256,6,0.5,0.001
0.69,0.64,0.68,0.66,0.75,0.6086056810968062,20.692593157291412,0.52,0.0,0.0,0.0,0.54,1.642952561378479,8.214762806892395,1712694364,,False,7,70c79ead,2024-04-09_22-26-04,25.644771575927734,181.70532751083374,36412,AT-MB-PC-E13,127.0.0.1,181.70532751083374,7,256,6,0.5,0.001
0.69,0.66,0.64,0.65,0.76,0.5746846085085588,19.539276689291,0.6,0.71,0.28,0.4,0.66,0.6770557999610901,3.3852789998054504,1712694389,,False,8,70c79ead,2024-04-09_22-26-29,25.5198712348938,207.22519874572754,36412,AT-MB-PC-E13,127.0.0.1,207.22519874572754,8,256,6,0.5,0.001
0.72,0.7,0.66,0.68,0.79,0.5547516565112507,18.861556321382523,0.66,0.65,0.64,0.64,0.74,0.610173898935318,3.05086949467659,1712694415,,False,9,70c79ead,2024-04-09_22-26-55,25.604849576950073,232.8300483226776,36412,AT-MB-PC-E13,127.0.0.1,232.8300483226776,9,256,6,0.5,0.001
0.67,0.63,0.61,0.62,0.74,0.6475419156691608,22.016425132751465,0.59,0.6,0.4,0.48,0.64,0.8605540275573731,4.302770137786865,1712694441,,False,10,70c79ead,2024-04-09_22-27-21,25.511003017425537,258.34105134010315,36412,AT-MB-PC-E13,127.0.0.1,258.34105134010315,10,256,6,0.5,0.001
0.68,0.63,0.69,0.66,0.75,0.594709789928268,20.22013285756111,0.59,0.57,0.56,0.56,0.67,0.6562440156936645,3.2812200784683228,1712694466,,False,11,70c79ead,2024-04-09_22-27-46,25.34015941619873,283.6812107563019,36412,AT-MB-PC-E13,127.0.0.1,283.6812107563019,11,256,6,0.5,0.001
0.68,0.63,0.67,0.65,0.75,0.5935417413711548,20.180419206619263,0.64,0.66,0.51,0.58,0.71,0.6940182328224183,3.470091164112091,1712694491,,False,12,70c79ead,2024-04-09_22-28-11,25.43885350227356,309.12006425857544,36412,AT-MB-PC-E13,127.0.0.1,309.12006425857544,12,256,6,0.5,0.001
0.68,0.63,0.67,0.65,0.74,0.6075817276449764,20.6577787399292,0.52,0.49,0.49,0.49,0.59,0.7526764631271362,3.763382315635681,1712694517,,False,13,70c79ead,2024-04-09_22-28-37,25.497354745864868,334.6174190044403,36412,AT-MB-PC-E13,127.0.0.1,334.6174190044403,13,256,6,0.5,0.001
0.71,0.66,0.7,0.68,0.79,0.5438722336993498,18.491655945777893,0.61,0.6,0.56,0.58,0.66,0.7324200749397278,3.662100374698639,1712694542,,False,14,70c79ead,2024-04-09_22-29-02,25.39043688774109,360.0078558921814,36412,AT-MB-PC-E13,127.0.0.1,360.0078558921814,14,256,6,0.5,0.001
0.71,0.66,0.71,0.68,0.78,0.5682689188157811,19.321143239736557,0.64,0.65,0.54,0.59,0.68,0.7748209118843079,3.8741045594215393,1712694568,,False,15,70c79ead,2024-04-09_22-29-28,25.580949306488037,385.58880519866943,36412,AT-MB-PC-E13,127.0.0.1,385.58880519866943,15,256,6,0.5,0.001
0.72,0.68,0.71,0.7,0.79,0.5654989340726067,19.226963758468628,0.66,0.68,0.53,0.59,0.72,0.6260871171951294,3.130435585975647,1712694593,,False,16,70c79ead,2024-04-09_22-29-53,25.47657299041748,411.0653781890869,36412,AT-MB-PC-E13,127.0.0.1,411.0653781890869,16,256,6,0.5,0.001
0.73,0.68,0.75,0.72,0.79,0.5617921983494478,19.100934743881226,0.65,0.66,0.56,0.6,0.73,0.6295442223548889,3.1477211117744446,1712694618,,False,17,70c79ead,2024-04-09_22-30-18,25.198025941848755,436.26340413093567,36412,AT-MB-PC-E13,127.0.0.1,436.26340413093567,17,256,6,0.5,0.001
0.73,0.68,0.72,0.7,0.8,0.5369466324062908,18.25618550181389,0.6,0.6,0.5,0.55,0.69,0.7042553782463074,3.521276891231537,1712694644,,False,18,70c79ead,2024-04-09_22-30-44,25.322580337524414,461.5859844684601,36412,AT-MB-PC-E13,127.0.0.1,461.5859844684601,18,256,6,0.5,0.001
0.72,0.67,0.72,0.7,0.8,0.535789372289882,18.216838657855988,0.51,0.33,0.03,0.05,0.56,1.0195894598960877,5.097947299480438,1712694669,,False,19,70c79ead,2024-04-09_22-31-09,25.262569189071655,486.84855365753174,36412,AT-MB-PC-E13,127.0.0.1,486.84855365753174,19,256,6,0.5,0.001
0.71,0.66,0.71,0.69,0.78,0.5688852168181363,19.342097371816635,0.68,0.63,0.79,0.7,0.74,0.6110993921756744,3.055496960878372,1712694694,,False,20,70c79ead,2024-04-09_22-31-34,25.23434853553772,512.0829021930695,36412,AT-MB-PC-E13,127.0.0.1,512.0829021930695,20,256,6,0.5,0.001
0.73,0.68,0.75,0.71,0.8,0.5428377162007725,18.456482350826263,0.62,0.66,0.43,0.52,0.72,0.677107572555542,3.38553786277771,1712694720,,False,21,70c79ead,2024-04-09_22-32-00,25.293886184692383,537.3767883777618,36412,AT-MB-PC-E13,127.0.0.1,537.3767883777618,21,256,6,0.5,0.001
0.72,0.67,0.73,0.7,0.8,0.572974616113831,19.481136947870255,0.64,0.59,0.81,0.68,0.69,0.6919091820716858,3.459545910358429,1712694745,,False,22,70c79ead,2024-04-09_22-32-25,25.231854915618896,562.6086432933807,36412,AT-MB-PC-E13,127.0.0.1,562.6086432933807,22,256,6,0.5,0.001
0.75,0.7,0.77,0.73,0.81,0.5246105904088301,17.836760073900223,0.72,0.72,0.68,0.7,0.74,0.609656697511673,3.048283487558365,1712694770,,False,23,70c79ead,2024-04-09_22-32-50,25.317198991775513,587.9258422851562,36412,AT-MB-PC-E13,127.0.0.1,587.9258422851562,23,256,6,0.5,0.001
0.72,0.67,0.75,0.71,0.8,0.543682740891681,18.485213190317154,0.62,0.63,0.47,0.54,0.69,0.6921995162963868,3.4609975814819336,1712694795,,False,24,70c79ead,2024-04-09_22-33-15,25.235378742218018,613.1612210273743,36412,AT-MB-PC-E13,127.0.0.1,613.1612210273743,24,256,6,0.5,0.001
0.73,0.69,0.73,0.71,0.8,0.5496012016254312,18.686440855264664,0.61,0.64,0.4,0.5,0.73,0.6794615387916565,3.3973076939582825,1712694821,,False,25,70c79ead,2024-04-09_22-33-41,25.389981269836426,638.5512022972107,36412,AT-MB-PC-E13,127.0.0.1,638.5512022972107,25,256,6,0.5,0.001
0.74,0.69,0.74,0.72,0.81,0.5238396849702386,17.810549288988113,0.68,0.69,0.58,0.63,0.74,0.6579563021659851,3.2897815108299255,1712694846,,False,26,70c79ead,2024-04-09_22-34-06,25.514585494995117,664.0657877922058,36412,AT-MB-PC-E13,127.0.0.1,664.0657877922058,26,256,6,0.5,0.001
0.75,0.69,0.79,0.73,0.83,0.5034536938456928,17.117425590753555,0.56,0.71,0.14,0.23,0.69,1.2449520587921143,6.224760293960571,1712694871,,False,27,70c79ead,2024-04-09_22-34-31,25.070637702941895,689.1364254951477,36412,AT-MB-PC-E13,127.0.0.1,689.1364254951477,27,256,6,0.5,0.001
0.75,0.71,0.74,0.72,0.82,0.5284766747671015,17.96820694208145,0.68,0.63,0.79,0.7,0.75,0.5971617817878723,2.9858089089393616,1712694897,,False,28,70c79ead,2024-04-09_22-34-57,25.28760027885437,714.4240257740021,36412,AT-MB-PC-E13,127.0.0.1,714.4240257740021,28,256,6,0.5,0.001
0.76,0.72,0.75,0.74,0.83,0.5030915268203792,17.10511191189289,0.7,0.67,0.72,0.69,0.75,0.6252992153167725,3.1264960765838623,1712694922,,False,29,70c79ead,2024-04-09_22-35-22,25.223381757736206,739.6474075317383,36412,AT-MB-PC-E13,127.0.0.1,739.6474075317383,29,256,6,0.5,0.001
0.76,0.73,0.72,0.73,0.84,0.4849979553152533,16.489930480718613,0.67,0.68,0.57,0.62,0.74,0.7211175441741944,3.6055877208709717,1712694947,,False,30,70c79ead,2024-04-09_22-35-47,25.31346893310547,764.9608764648438,36412,AT-MB-PC-E13,127.0.0.1,764.9608764648438,30,256,6,0.5,0.001
0.77,0.72,0.78,0.75,0.84,0.49894338758552775,16.964075177907944,0.69,0.65,0.75,0.7,0.74,0.6293218016624451,3.1466090083122253,1712694973,,False,31,70c79ead,2024-04-09_22-36-13,25.311084747314453,790.2719612121582,36412,AT-MB-PC-E13,127.0.0.1,790.2719612121582,31,256,6,0.5,0.001
0.75,0.71,0.75,0.73,0.83,0.5126805042519289,17.431137144565582,0.67,0.71,0.51,0.6,0.78,0.5799149632453918,2.8995748162269592,1712694998,,False,32,70c79ead,2024-04-09_22-36-38,25.367071628570557,815.6390328407288,36412,AT-MB-PC-E13,127.0.0.1,815.6390328407288,32,256,6,0.5,0.001
0.74,0.71,0.73,0.72,0.82,0.5343899757546537,18.169259175658226,0.6,0.66,0.35,0.45,0.69,0.6698972105979919,3.3494860529899597,1712695023,,False,33,70c79ead,2024-04-09_22-37-03,25.206775665283203,840.845808506012,36412,AT-MB-PC-E13,127.0.0.1,840.845808506012,33,256,6,0.5,0.001
0.75,0.7,0.77,0.74,0.83,0.5064486694686553,17.21925476193428,0.73,0.68,0.81,0.74,0.77,0.6028002262115478,3.0140011310577393,1712695048,,False,34,70c79ead,2024-04-09_22-37-28,25.206222772598267,866.0520312786102,36412,AT-MB-PC-E13,127.0.0.1,866.0520312786102,34,256,6,0.5,0.001
