train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.46,0.79,0.58,0.56,0.7241172965835122,24.619988083839417,0.51,0.46,0.17,0.24,0.47,0.6975628495216369,3.487814247608185,1712702720,,False,1,b4bb3df6,2024-04-10_00-45-20,48.223570585250854,48.223570585250854,8908,AT-MB-PC-E13,127.0.0.1,48.223570585250854,1,128,10,0.2,0.001
0.62,0.56,0.65,0.6,0.66,0.6636254349175621,22.563264787197113,0.59,0.56,0.62,0.59,0.59,0.71411052942276,3.5705526471138,1712702760,,False,2,b4bb3df6,2024-04-10_00-46-00,40.55588459968567,88.77945518493652,8908,AT-MB-PC-E13,127.0.0.1,88.77945518493652,2,128,10,0.2,0.001
0.67,0.63,0.66,0.64,0.73,0.6198685686377918,21.07553133368492,0.49,0.45,0.31,0.36,0.54,1.0535534620285034,5.267767310142517,1712702803,,False,3,b4bb3df6,2024-04-10_00-46-43,42.91738510131836,131.69684028625488,8908,AT-MB-PC-E13,127.0.0.1,131.69684028625488,3,128,10,0.2,0.001
0.7,0.66,0.68,0.67,0.75,0.6045607161872527,20.555064350366592,0.59,0.56,0.68,0.61,0.66,0.6923198342323303,3.4615991711616516,1712702846,,False,4,b4bb3df6,2024-04-10_00-47-26,42.86615872383118,174.56299901008606,8908,AT-MB-PC-E13,127.0.0.1,174.56299901008606,4,128,10,0.2,0.001
0.71,0.67,0.69,0.68,0.78,0.5878991011311027,19.98856943845749,0.58,0.61,0.31,0.41,0.67,1.0498165607452392,5.249082803726196,1712702887,,False,5,b4bb3df6,2024-04-10_00-48-07,41.03773021697998,215.60072922706604,8908,AT-MB-PC-E13,127.0.0.1,215.60072922706604,5,128,10,0.2,0.001
0.74,0.7,0.72,0.71,0.81,0.5459232119952931,18.561389207839966,0.52,0.5,0.97,0.66,0.7,1.0954355597496033,5.477177798748016,1712702928,,False,6,b4bb3df6,2024-04-10_00-48-48,41.00254940986633,256.6032786369324,8908,AT-MB-PC-E13,127.0.0.1,256.6032786369324,6,128,10,0.2,0.001
0.75,0.72,0.72,0.72,0.81,0.5546708624152576,18.85880932211876,0.58,0.53,0.92,0.67,0.63,1.2201651334762573,6.100825667381287,1712702968,,False,7,b4bb3df6,2024-04-10_00-49-28,39.82866024971008,296.43193888664246,8908,AT-MB-PC-E13,127.0.0.1,296.43193888664246,7,128,10,0.2,0.001
0.74,0.7,0.74,0.72,0.8,0.5724996161811492,19.464986950159073,0.57,0.57,0.4,0.47,0.58,0.8346527218818665,4.173263609409332,1712703009,,False,8,b4bb3df6,2024-04-10_00-50-09,40.79287672042847,337.2248156070709,8908,AT-MB-PC-E13,127.0.0.1,337.2248156070709,8,128,10,0.2,0.001
0.72,0.68,0.7,0.69,0.8,0.5409839609090019,18.393454670906067,0.66,0.62,0.71,0.66,0.69,0.7509670376777648,3.7548351883888245,1712703052,,False,9,b4bb3df6,2024-04-10_00-50-52,43.04574942588806,380.270565032959,8908,AT-MB-PC-E13,127.0.0.1,380.270565032959,9,128,10,0.2,0.001
0.73,0.69,0.69,0.69,0.79,0.5741235359626657,19.520200222730637,0.67,0.66,0.62,0.64,0.72,0.6223404884338379,3.1117024421691895,1712703094,,False,10,b4bb3df6,2024-04-10_00-51-34,41.95353293418884,422.2240979671478,8908,AT-MB-PC-E13,127.0.0.1,422.2240979671478,10,128,10,0.2,0.001
0.73,0.7,0.68,0.69,0.79,0.5576810223214766,18.961154758930206,0.64,0.59,0.75,0.66,0.71,0.7529053330421448,3.764526665210724,1712703135,,False,11,b4bb3df6,2024-04-10_00-52-15,41.59033131599426,463.8144292831421,8908,AT-MB-PC-E13,127.0.0.1,463.8144292831421,11,128,10,0.2,0.001
0.75,0.72,0.7,0.71,0.8,0.5379105324254316,18.288958102464676,0.64,0.58,0.82,0.68,0.63,0.81903635263443,4.09518176317215,1712703179,,False,12,b4bb3df6,2024-04-10_00-52-59,43.219621658325195,507.0340509414673,8908,AT-MB-PC-E13,127.0.0.1,507.0340509414673,12,128,10,0.2,0.001
