train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.48774,0.45222,0.71186,0.55309,0.53827,0.7502578777425429,25.50876784324646,0.47682,0.47682,1.0,0.64574,0.62623,0.7315428853034973,3.6577144265174866,1715876679,,False,1,f7212dad,2024-05-16_18-24-39,41.686901569366455,41.686901569366455,35544,AT-MB-PC-E13,127.0.0.1,41.686901569366455,1,256,3,0.5,0.001
0.57736,0.52344,0.5678,0.54472,0.60849,0.6851222094367532,23.29415512084961,0.5894,0.56944,0.56944,0.56944,0.59063,0.6766402125358582,3.3832010626792908,1715876716,,False,2,f7212dad,2024-05-16_18-25-16,36.79607176780701,78.48297333717346,35544,AT-MB-PC-E13,127.0.0.1,78.48297333717346,2,256,3,0.5,0.001
0.63868,0.62259,0.47881,0.54132,0.66101,0.6492415859418756,22.074213922023773,0.60265,0.7,0.29167,0.41176,0.59924,0.6704713940620423,3.352356970310211,1715876753,,False,3,f7212dad,2024-05-16_18-25-53,37.06024217605591,115.54321551322937,35544,AT-MB-PC-E13,127.0.0.1,115.54321551322937,3,256,3,0.5,0.001
0.66132,0.61554,0.63771,0.62643,0.71317,0.6224262468955096,21.162492394447327,0.56291,0.54545,0.5,0.52174,0.58316,0.6826435923576355,3.4132179617881775,1715876790,,False,4,f7212dad,2024-05-16_18-26-30,36.88681435585022,152.4300298690796,35544,AT-MB-PC-E13,127.0.0.1,152.4300298690796,4,256,3,0.5,0.001
0.6934,0.6637,0.63136,0.64712,0.74613,0.5885447263717651,20.010520696640015,0.54967,0.54762,0.31944,0.40351,0.62711,0.7078797936439514,3.539398968219757,1715876826,,False,5,f7212dad,2024-05-16_18-27-06,36.433919191360474,188.86394906044006,35544,AT-MB-PC-E13,127.0.0.1,188.86394906044006,5,256,3,0.5,0.001
0.6783,0.65127,0.59746,0.6232,0.74852,0.5898257502738167,20.05407550930977,0.5894,0.64706,0.30556,0.41509,0.67853,0.660045862197876,3.30022931098938,1715876863,,False,6,f7212dad,2024-05-16_18-27-43,37.17601776123047,226.03996682167053,35544,AT-MB-PC-E13,127.0.0.1,226.03996682167053,6,256,3,0.5,0.001
0.68396,0.65675,0.60805,0.63146,0.75847,0.5957509077647153,20.25553086400032,0.61589,0.56731,0.81944,0.67045,0.66966,0.7768143534660339,3.8840717673301697,1715876899,,False,7,f7212dad,2024-05-16_18-28-19,36.14896774291992,262.18893456459045,35544,AT-MB-PC-E13,127.0.0.1,262.18893456459045,7,256,3,0.5,0.001
0.73208,0.69421,0.71186,0.70293,0.78931,0.5684026698855793,19.325690776109695,0.59603,0.57971,0.55556,0.56738,0.61867,0.9273493409156799,4.6367467045784,1715876936,,False,8,f7212dad,2024-05-16_18-28-56,37.069494009017944,299.2584285736084,35544,AT-MB-PC-E13,127.0.0.1,299.2584285736084,8,256,3,0.5,0.001
0.7,0.67824,0.62076,0.64823,0.75621,0.5840669826549643,19.858277410268784,0.5298,1.0,0.01389,0.0274,0.58008,1.302148163318634,6.51074081659317,1715876973,,False,9,f7212dad,2024-05-16_18-29-33,36.48081612586975,335.73924469947815,35544,AT-MB-PC-E13,127.0.0.1,335.73924469947815,9,256,3,0.5,0.001
0.72264,0.69432,0.67373,0.68387,0.7962,0.5459230761317646,18.561384588479996,0.5894,0.54237,0.88889,0.67368,0.69383,0.9601071238517761,4.800535619258881,1715877010,,False,10,f7212dad,2024-05-16_18-30-10,36.92174220085144,372.6609869003296,35544,AT-MB-PC-E13,127.0.0.1,372.6609869003296,10,256,3,0.5,0.001
