train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.45,0.9,0.6,0.52,1.0041088076198803,34.13969945907593,0.52,0.5,0.9,0.64,0.57,0.6926221132278443,3.463110566139221,1712737736,,False,1,961f521b,2024-04-10_10-28-56,55.63573884963989,55.63573884963989,44548,AT-MB-PC-E13,127.0.0.1,55.63573884963989,1,64,10,0.0,0.001
0.59,0.54,0.64,0.58,0.63,0.7029952783794964,23.901839464902878,0.49,0.48,0.74,0.58,0.5,0.8744883179664612,4.372441589832306,1712737784,,False,2,961f521b,2024-04-10_10-29-44,47.64513039588928,103.28086924552917,44548,AT-MB-PC-E13,127.0.0.1,103.28086924552917,2,64,10,0.0,0.001
0.62,0.57,0.61,0.59,0.67,0.6745393924853381,22.934339344501495,0.54,0.53,0.4,0.46,0.51,0.9926796555519104,4.963398277759552,1712737830,,False,3,961f521b,2024-04-10_10-30-30,46.24900484085083,149.52987408638,44548,AT-MB-PC-E13,127.0.0.1,149.52987408638,3,64,10,0.0,0.001
0.63,0.59,0.57,0.58,0.69,0.6795219770249199,23.103747218847275,0.52,0.5,0.24,0.32,0.53,0.9755380630493165,4.877690315246582,1712737876,,False,4,961f521b,2024-04-10_10-31-16,45.78416156768799,195.314035654068,44548,AT-MB-PC-E13,127.0.0.1,195.314035654068,4,64,10,0.0,0.001
0.69,0.65,0.65,0.65,0.73,0.6448371462962207,21.924462974071503,0.61,0.56,0.82,0.67,0.68,0.8908713698387146,4.454356849193573,1712737923,,False,5,961f521b,2024-04-10_10-32-03,46.408700704574585,241.72273635864258,44548,AT-MB-PC-E13,127.0.0.1,241.72273635864258,5,64,10,0.0,0.001
0.67,0.63,0.64,0.63,0.72,0.6449531185276368,21.92840602993965,0.55,0.51,0.96,0.67,0.66,0.8863566875457763,4.431783437728882,1712737967,,False,6,961f521b,2024-04-10_10-32-47,43.938878536224365,285.66161489486694,44548,AT-MB-PC-E13,127.0.0.1,285.66161489486694,6,64,10,0.0,0.001
0.7,0.66,0.65,0.66,0.75,0.6146092379794401,20.896714091300964,0.52,0.5,0.96,0.66,0.65,1.7902323603630066,8.951161801815033,1712738013,,False,7,961f521b,2024-04-10_10-33-33,46.18043398857117,331.8420488834381,44548,AT-MB-PC-E13,127.0.0.1,331.8420488834381,7,64,10,0.0,0.001
0.66,0.62,0.62,0.62,0.71,0.7539109333473093,25.632971733808517,0.54,0.62,0.07,0.12,0.54,1.288486623764038,6.44243311882019,1712738058,,False,8,961f521b,2024-04-10_10-34-18,45.404937505722046,377.24698638916016,44548,AT-MB-PC-E13,127.0.0.1,377.24698638916016,8,64,10,0.0,0.001
0.65,0.61,0.61,0.61,0.69,0.6805637040558983,23.139165937900543,0.54,0.51,0.81,0.63,0.64,1.1525271534919739,5.762635767459869,1712738104,,False,9,961f521b,2024-04-10_10-35-04,45.52176880836487,422.768755197525,44548,AT-MB-PC-E13,127.0.0.1,422.768755197525,9,64,10,0.0,0.001
0.67,0.62,0.63,0.63,0.74,0.6403711674844518,21.77261969447136,0.66,0.62,0.71,0.66,0.68,0.6647661685943603,3.3238308429718018,1712738149,,False,10,961f521b,2024-04-10_10-35-49,44.87089991569519,467.6396551132202,44548,AT-MB-PC-E13,127.0.0.1,467.6396551132202,10,64,10,0.0,0.001
0.68,0.63,0.66,0.65,0.73,0.6394981478943544,21.74293702840805,0.58,0.53,0.88,0.66,0.66,0.8970508337020874,4.485254168510437,1712738192,,False,11,961f521b,2024-04-10_10-36-32,43.18094348907471,510.8205986022949,44548,AT-MB-PC-E13,127.0.0.1,510.8205986022949,11,64,10,0.0,0.001
0.64,0.59,0.66,0.62,0.7,0.6469276635085836,21.99554055929184,0.52,0.5,0.72,0.59,0.63,0.6514024376869202,3.257012188434601,1712738237,,False,12,961f521b,2024-04-10_10-37-17,45.61955809593201,556.4401566982269,44548,AT-MB-PC-E13,127.0.0.1,556.4401566982269,12,64,10,0.0,0.001
0.66,0.62,0.59,0.6,0.71,0.6305301215718774,21.438024133443832,0.6,0.55,0.93,0.69,0.72,0.7095669507980347,3.5478347539901733,1712738282,,False,13,961f521b,2024-04-10_10-38-02,44.72471380233765,601.1648705005646,44548,AT-MB-PC-E13,127.0.0.1,601.1648705005646,13,64,10,0.0,0.001
0.64,0.6,0.61,0.6,0.69,0.6533847416148466,22.215081214904785,0.64,0.63,0.56,0.59,0.68,0.650847852230072,3.25423926115036,1712738329,,False,14,961f521b,2024-04-10_10-38-49,46.99277186393738,648.157642364502,44548,AT-MB-PC-E13,127.0.0.1,648.157642364502,14,64,10,0.0,0.001
0.64,0.6,0.6,0.6,0.71,0.6407043022267959,21.78394627571106,0.51,0.49,0.46,0.47,0.57,0.8064889073371887,4.032444536685944,1712738377,,True,15,961f521b,2024-04-10_10-39-37,47.51666569709778,695.6743080615997,44548,AT-MB-PC-E13,127.0.0.1,695.6743080615997,15,64,10,0.0,0.001
