train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.56,0.5,0.53,0.52,0.55,0.7246855883037343,24.639310002326965,0.51,0.49,0.53,0.51,0.48,0.7143643140792847,3.5718215703964233,1712735813,,False,1,a6c58e4d,2024-04-10_09-56-53,35.17883801460266,35.17883801460266,44964,AT-MB-PC-E13,127.0.0.1,35.17883801460266,1,128,6,0.0,0.001
0.61,0.56,0.62,0.58,0.64,0.6758317596772138,22.97827982902527,0.48,0.45,0.36,0.4,0.47,0.7645018458366394,3.822509229183197,1712735841,,False,2,a6c58e4d,2024-04-10_09-57-21,28.485918760299683,63.664756774902344,44964,AT-MB-PC-E13,127.0.0.1,63.664756774902344,2,128,6,0.0,0.001
0.65,0.62,0.57,0.59,0.67,0.6559580310302622,22.302573055028915,0.58,0.58,0.47,0.52,0.6,0.7728630423545837,3.8643152117729187,1712735870,,False,3,a6c58e4d,2024-04-10_09-57-50,28.43923020362854,92.10398697853088,44964,AT-MB-PC-E13,127.0.0.1,92.10398697853088,3,128,6,0.0,0.001
0.67,0.63,0.62,0.63,0.72,0.6357697888332254,21.616172820329666,0.58,0.55,0.58,0.57,0.63,0.7166003942489624,3.583001971244812,1712735898,,False,4,a6c58e4d,2024-04-10_09-58-18,28.536420822143555,120.64040780067444,44964,AT-MB-PC-E13,127.0.0.1,120.64040780067444,4,128,6,0.0,0.001
0.67,0.64,0.59,0.62,0.72,0.6480521761319217,22.033773988485336,0.58,0.54,0.71,0.61,0.64,0.8002546310424805,4.001273155212402,1712735927,,False,5,a6c58e4d,2024-04-10_09-58-47,28.646948099136353,149.2873558998108,44964,AT-MB-PC-E13,127.0.0.1,149.2873558998108,5,128,6,0.0,0.001
0.69,0.63,0.72,0.67,0.73,0.6479846598470912,22.0314784348011,0.58,0.64,0.25,0.36,0.66,1.0036678552627563,5.018339276313782,1712735955,,False,6,a6c58e4d,2024-04-10_09-59-15,28.366806983947754,177.65416288375854,44964,AT-MB-PC-E13,127.0.0.1,177.65416288375854,6,128,6,0.0,0.001
0.64,0.59,0.65,0.62,0.73,0.6405608846860773,21.77907007932663,0.58,0.55,0.58,0.57,0.6,1.3173723220825195,6.586861610412598,1712735983,,False,7,a6c58e4d,2024-04-10_09-59-43,28.34369707107544,205.99785995483398,44964,AT-MB-PC-E13,127.0.0.1,205.99785995483398,7,128,6,0.0,0.001
0.72,0.69,0.69,0.69,0.77,0.5981545246699277,20.337253838777542,0.57,0.61,0.28,0.38,0.59,1.1799492120742798,5.899746060371399,1712736012,,False,8,a6c58e4d,2024-04-10_10-00-12,28.53509759902954,234.53295755386353,44964,AT-MB-PC-E13,127.0.0.1,234.53295755386353,8,128,6,0.0,0.001
0.66,0.62,0.62,0.62,0.71,0.6439805661930758,21.895339250564575,0.6,0.74,0.24,0.36,0.56,1.7467356204986573,8.733678102493286,1712736041,,False,9,a6c58e4d,2024-04-10_10-00-41,28.793592929840088,263.3265504837036,44964,AT-MB-PC-E13,127.0.0.1,263.3265504837036,9,128,6,0.0,0.001
0.68,0.64,0.66,0.65,0.72,0.6392069117111319,21.733034998178482,0.48,0.48,0.97,0.64,0.64,1.0760151147842407,5.380075573921204,1712736069,,False,10,a6c58e4d,2024-04-10_10-01-09,28.620147943496704,291.9466984272003,44964,AT-MB-PC-E13,127.0.0.1,291.9466984272003,10,128,6,0.0,0.001
