train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.4,0.36,0.38,0.43,1.2105157585705029,41.157535791397095,0.46,0.44,0.49,0.46,0.48,0.8350203037261963,4.1751015186309814,1712835097,,False,1,0d7301d3,2024-04-11_13-31-37,42.483102560043335,42.483102560043335,43848,AT-MB-PC-E13,127.0.0.1,42.483102560043335,1,128,6,0.0,0.001
0.59,0.53,0.6,0.56,0.62,0.8649119524394765,29.4070063829422,0.51,0.49,0.5,0.49,0.5,0.7634144783020019,3.8170723915100098,1712835122,,False,2,0d7301d3,2024-04-11_13-32-02,24.79836940765381,67.28147196769714,43848,AT-MB-PC-E13,127.0.0.1,67.28147196769714,2,128,6,0.0,0.001
0.6,0.56,0.52,0.54,0.64,0.747911307741614,25.428984463214874,0.51,0.48,0.28,0.35,0.51,0.8425312995910644,4.212656497955322,1712835146,,False,3,0d7301d3,2024-04-11_13-32-26,24.058682918548584,91.34015488624573,43848,AT-MB-PC-E13,127.0.0.1,91.34015488624573,3,128,6,0.0,0.001
0.63,0.58,0.63,0.6,0.69,0.6913978895720314,23.507528245449066,0.58,0.55,0.67,0.6,0.64,0.7875781774520874,3.937890887260437,1712835170,,False,4,0d7301d3,2024-04-11_13-32-50,23.784826040267944,115.12498092651367,43848,AT-MB-PC-E13,127.0.0.1,115.12498092651367,4,128,6,0.0,0.001
0.65,0.6,0.62,0.61,0.7,0.6503796051530277,22.112906575202942,0.51,0.49,0.89,0.63,0.61,1.0664336681365967,5.332168340682983,1712835195,,False,5,0d7301d3,2024-04-11_13-33-15,25.106890439987183,140.23187136650085,43848,AT-MB-PC-E13,127.0.0.1,140.23187136650085,5,128,6,0.0,0.001
0.66,0.61,0.63,0.62,0.7,0.7223962238606285,24.561471611261368,0.56,0.53,0.69,0.6,0.61,0.8267839312553406,4.133919656276703,1712835220,,False,6,0d7301d3,2024-04-11_13-33-40,24.922580003738403,165.15445137023926,43848,AT-MB-PC-E13,127.0.0.1,165.15445137023926,6,128,6,0.0,0.001
0.71,0.67,0.68,0.67,0.77,0.606133900144521,20.60855260491371,0.57,0.56,0.49,0.52,0.57,0.8506931066513062,4.253465533256531,1712835243,,False,7,0d7301d3,2024-04-11_13-34-03,23.728116035461426,188.88256740570068,43848,AT-MB-PC-E13,127.0.0.1,188.88256740570068,7,128,6,0.0,0.001
0.7,0.67,0.66,0.66,0.76,0.6358243998359231,21.618029594421387,0.58,0.56,0.53,0.54,0.62,0.7973691105842591,3.986845552921295,1712835269,,False,8,0d7301d3,2024-04-11_13-34-29,25.10122299194336,213.98379039764404,43848,AT-MB-PC-E13,127.0.0.1,213.98379039764404,8,128,6,0.0,0.001
0.69,0.65,0.65,0.65,0.74,0.6454340158139958,21.944756537675858,0.56,0.53,0.82,0.64,0.66,1.2552781105041504,6.276390552520752,1712835294,,False,9,0d7301d3,2024-04-11_13-34-54,25.37594747543335,239.3597378730774,43848,AT-MB-PC-E13,127.0.0.1,239.3597378730774,9,128,6,0.0,0.001
0.69,0.66,0.65,0.65,0.76,0.6179695646552479,21.010965198278427,0.64,0.62,0.6,0.61,0.65,0.7679767727851867,3.839883863925934,1712835319,,False,10,0d7301d3,2024-04-11_13-35-19,24.794747829437256,264.15448570251465,43848,AT-MB-PC-E13,127.0.0.1,264.15448570251465,10,128,6,0.0,0.001
0.71,0.69,0.64,0.66,0.78,0.5888945995008245,20.02241638302803,0.5,0.49,0.88,0.63,0.67,1.6225881576538086,8.112940788269043,1712835345,,False,11,0d7301d3,2024-04-11_13-35-45,25.878849983215332,290.03333568573,43848,AT-MB-PC-E13,127.0.0.1,290.03333568573,11,128,6,0.0,0.001
0.7,0.68,0.61,0.65,0.77,0.5750025642268798,19.550087183713913,0.57,0.54,0.67,0.6,0.68,0.7162981390953064,3.581490695476532,1712835370,,False,12,0d7301d3,2024-04-11_13-36-10,25.15465998649597,315.18799567222595,43848,AT-MB-PC-E13,127.0.0.1,315.18799567222595,12,128,6,0.0,0.001
0.73,0.7,0.71,0.7,0.8,0.5499191415660521,18.697250813245773,0.66,0.62,0.71,0.66,0.65,0.8289069533348083,4.144534766674042,1712835395,,False,13,0d7301d3,2024-04-11_13-36-35,25.051710605621338,340.2397062778473,43848,AT-MB-PC-E13,127.0.0.1,340.2397062778473,13,128,6,0.0,0.001
0.73,0.7,0.7,0.7,0.79,0.5554842975209741,18.88646611571312,0.5,0.49,0.96,0.65,0.66,1.0654216408729553,5.327108204364777,1712835421,,False,14,0d7301d3,2024-04-11_13-37-01,26.20758366584778,366.44728994369507,43848,AT-MB-PC-E13,127.0.0.1,366.44728994369507,14,128,6,0.0,0.001
0.75,0.71,0.74,0.72,0.82,0.5333827926832087,18.135014951229095,0.52,0.0,0.0,0.0,0.49,1.6337637186050415,8.168818593025208,1712835447,,True,15,0d7301d3,2024-04-11_13-37-27,25.699344158172607,392.1466341018677,43848,AT-MB-PC-E13,127.0.0.1,392.1466341018677,15,128,6,0.0,0.001
