train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.47,0.44,0.68,0.53,0.48,1.0449071614181293,35.5268434882164,0.49,0.47,0.53,0.5,0.5,0.8385617733001709,4.1928088665008545,1712839054,,False,1,e04aa506,2024-04-11_14-37-34,53.193307399749756,53.193307399749756,48540,AT-MB-PC-E13,127.0.0.1,53.193307399749756,1,128,10,0.2,0.0001
0.52,0.47,0.57,0.52,0.55,0.8158740822006675,27.739718794822693,0.56,0.53,0.65,0.58,0.58,0.7579288482666016,3.789644241333008,1712839092,,False,2,e04aa506,2024-04-11_14-38-12,38.439693450927734,91.63300085067749,48540,AT-MB-PC-E13,127.0.0.1,91.63300085067749,2,128,10,0.2,0.0001
0.54,0.48,0.54,0.51,0.57,0.7307509499437669,24.845532298088074,0.52,0.49,0.62,0.55,0.57,0.7323906779289245,3.661953389644623,1712839132,,False,3,e04aa506,2024-04-11_14-38-52,40.27576756477356,131.90876841545105,48540,AT-MB-PC-E13,127.0.0.1,131.90876841545105,3,128,10,0.2,0.0001
0.58,0.53,0.58,0.56,0.61,0.7226333811002619,24.569534957408905,0.6,0.55,0.81,0.66,0.63,0.6911235094070435,3.4556175470352173,1712839174,,False,4,e04aa506,2024-04-11_14-39-34,41.351579427719116,173.26034784317017,48540,AT-MB-PC-E13,127.0.0.1,173.26034784317017,4,128,10,0.2,0.0001
0.63,0.57,0.65,0.61,0.68,0.6641891861663145,22.582432329654694,0.6,0.57,0.64,0.6,0.64,0.6880102515220642,3.440051257610321,1712839215,,False,5,e04aa506,2024-04-11_14-40-15,41.08053469657898,214.34088253974915,48540,AT-MB-PC-E13,127.0.0.1,214.34088253974915,5,128,10,0.2,0.0001
0.63,0.57,0.62,0.6,0.67,0.668490998008672,22.728693932294846,0.68,0.65,0.71,0.68,0.68,0.6644534349441529,3.322267174720764,1712839256,,False,6,e04aa506,2024-04-11_14-40-56,41.09534740447998,255.43622994422913,48540,AT-MB-PC-E13,127.0.0.1,255.43622994422913,6,128,10,0.2,0.0001
0.64,0.6,0.61,0.6,0.7,0.6428763156428057,21.857794731855392,0.6,0.57,0.61,0.59,0.63,0.7198387980461121,3.5991939902305603,1712839296,,False,7,e04aa506,2024-04-11_14-41-36,39.8749623298645,295.3111922740936,48540,AT-MB-PC-E13,127.0.0.1,295.3111922740936,7,128,10,0.2,0.0001
0.65,0.6,0.62,0.61,0.71,0.6323357951991698,21.499417036771774,0.6,0.56,0.78,0.65,0.65,0.6726977467536926,3.363488733768463,1712839336,,False,8,e04aa506,2024-04-11_14-42-16,40.28941583633423,335.60060811042786,48540,AT-MB-PC-E13,127.0.0.1,335.60060811042786,8,128,10,0.2,0.0001
0.67,0.62,0.65,0.63,0.73,0.6275502364425098,21.336708039045334,0.6,0.57,0.65,0.61,0.63,0.762557590007782,3.81278795003891,1712839377,,False,9,e04aa506,2024-04-11_14-42-57,40.63666844367981,376.23727655410767,48540,AT-MB-PC-E13,127.0.0.1,376.23727655410767,9,128,10,0.2,0.0001
0.67,0.62,0.69,0.65,0.73,0.6466373818762162,21.98567098379135,0.59,0.58,0.5,0.54,0.64,0.6957212924957276,3.4786064624786377,1712839417,,False,10,e04aa506,2024-04-11_14-43-37,40.50749158859253,416.7447681427002,48540,AT-MB-PC-E13,127.0.0.1,416.7447681427002,10,128,10,0.2,0.0001
0.68,0.63,0.68,0.65,0.77,0.5813890239771675,19.767226815223694,0.58,0.58,0.47,0.52,0.63,0.8564307928085327,4.282153964042664,1712839458,,False,11,e04aa506,2024-04-11_14-44-18,41.19062352180481,457.935391664505,48540,AT-MB-PC-E13,127.0.0.1,457.935391664505,11,128,10,0.2,0.0001
0.7,0.65,0.68,0.67,0.77,0.5929278792703853,20.1595478951931,0.62,0.58,0.75,0.65,0.68,0.8166250109672546,4.083125054836273,1712839500,,False,12,e04aa506,2024-04-11_14-45-00,41.81987380981445,499.75526547431946,48540,AT-MB-PC-E13,127.0.0.1,499.75526547431946,12,128,10,0.2,0.0001
0.71,0.68,0.67,0.68,0.77,0.5928187852396685,20.155838698148727,0.63,0.63,0.53,0.58,0.66,0.7500554323196411,3.7502771615982056,1712839542,,False,13,e04aa506,2024-04-11_14-45-42,41.9116632938385,541.666928768158,48540,AT-MB-PC-E13,127.0.0.1,541.666928768158,13,128,10,0.2,0.0001
0.71,0.67,0.69,0.68,0.79,0.5699716885300243,19.37903741002083,0.67,0.66,0.64,0.65,0.73,0.6460132598876953,3.2300662994384766,1712839584,,False,14,e04aa506,2024-04-11_14-46-24,41.61077618598938,583.2777049541473,48540,AT-MB-PC-E13,127.0.0.1,583.2777049541473,14,128,10,0.2,0.0001
0.73,0.69,0.72,0.71,0.8,0.5496368977953406,18.68765452504158,0.62,0.6,0.62,0.61,0.66,0.7510201334953308,3.755100667476654,1712839624,,True,15,e04aa506,2024-04-11_14-47-04,40.428690671920776,623.7063956260681,48540,AT-MB-PC-E13,127.0.0.1,623.7063956260681,15,128,10,0.2,0.0001
