train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss
0.47075,0.43896,0.67797,0.53289,0.48393,1.0449071859612185,35.52684432268143,0.49007,0.46914,0.52778,0.49673,0.50123,0.8385618567466736,4.192809283733368,0.5596,0.54375,0.59184,0.56678,0.56388,0.7775898933410644,7.7758989334106445
0.5566,0.50171,0.62076,0.55492,0.57618,0.7995109102305245,27.18337094783783,0.54967,0.51754,0.81944,0.63441,0.62904,0.7038257122039795,3.5191285610198975,0.53642,0.51477,0.82993,0.63542,0.59846,0.7396921277046203,7.396921277046204
0.54057,0.48532,0.52542,0.50458,0.55627,0.7721826101050657,26.254208743572235,0.55629,0.51969,0.91667,0.66332,0.63098,0.7623064517974854,3.8115322589874268,0.54636,0.52119,0.83673,0.6423,0.64055,0.7448834002017974,7.448834002017975
0.58868,0.53226,0.62924,0.5767,0.65152,0.6840802290860344,23.25872778892517,0.5298,0.50459,0.76389,0.60773,0.57173,0.761417281627655,3.807086408138275,0.5894,0.55502,0.78912,0.65169,0.67825,0.6946545958518981,6.946545958518982
0.6217,0.5726,0.59322,0.58273,0.66795,0.6646228187224444,22.59717583656311,0.57616,0.54082,0.73611,0.62353,0.593,0.7632383584976197,3.816191792488098,0.64901,0.61582,0.7415,0.67284,0.6826,0.6954482913017273,6.954482913017273
0.62642,0.57224,0.63771,0.60321,0.67234,0.6750000040320789,22.950000137090683,0.5894,0.54902,0.77778,0.64368,0.63572,0.7857392191886902,3.928696095943451,0.57285,0.54206,0.78912,0.64266,0.66768,0.7968663275241852,7.968663275241852
0.65094,0.60537,0.62076,0.61297,0.69185,0.6741003008449779,22.919410228729248,0.55629,0.52174,0.83333,0.64171,0.64733,0.7137194871902466,3.568597435951233,0.61921,0.57619,0.82313,0.67787,0.69699,0.700735542178154,7.00735542178154
0.65849,0.61,0.64619,0.62757,0.71955,0.6294112415874705,21.399982213974,0.54967,0.52,0.72222,0.60465,0.6199,0.7504626750946045,3.7523133754730225,0.65563,0.60287,0.85714,0.70787,0.73355,0.665264469385147,6.652644693851471
0.65849,0.61089,0.64195,0.62603,0.71452,0.6497119559961206,22.090206503868103,0.56291,0.55769,0.40278,0.46774,0.63397,0.6695408225059509,3.3477041125297546,0.61258,0.61905,0.53061,0.57143,0.69366,0.6201261788606643,6.201261788606644
0.65943,0.6099,0.65254,0.6305,0.70839,0.6570615435347837,22.340092480182648,0.56954,0.54217,0.625,0.58065,0.58017,0.8225072622299194,4.112536311149597,0.64238,0.61143,0.72789,0.6646,0.71648,0.659981980919838,6.5998198091983795
0.68774,0.65161,0.64195,0.64674,0.73637,0.648297024123809,22.042098820209503,0.65563,0.65152,0.59722,0.62319,0.67669,0.7019086837768554,3.5095434188842773,0.67881,0.65625,0.71429,0.68404,0.72636,0.6521595567464828,6.5215955674648285
0.7,0.66595,0.65466,0.66026,0.76708,0.5788346274810678,19.680377334356308,0.55629,0.52747,0.66667,0.58896,0.58078,0.8254987478256226,4.127493739128113,0.63576,0.59487,0.78912,0.67836,0.6862,0.7165432155132294,7.165432155132294
0.72358,0.68378,0.70551,0.69447,0.77989,0.5816198017667321,19.775073260068893,0.60927,0.58904,0.59722,0.5931,0.6294,0.8653229713439942,4.326614856719971,0.61921,0.60127,0.64626,0.62295,0.65289,0.7982515931129456,7.982515931129456
0.72264,0.68619,0.69492,0.69053,0.79684,0.5767399957951378,19.609159857034683,0.57616,0.53226,0.91667,0.67347,0.71132,0.8101506233215332,4.050753116607666,0.60927,0.56118,0.90476,0.69271,0.70801,0.8088342189788819,8.088342189788818
0.72547,0.68894,0.69915,0.69401,0.79573,0.5551828338819391,18.87621635198593,0.60927,0.57831,0.66667,0.61935,0.67089,0.7479691863059997,3.739845931529999,0.67219,0.64815,0.71429,0.67961,0.71538,0.6911617994308472,6.911617994308472
0.72264,0.67729,0.72034,0.69815,0.80218,0.5435600990758223,18.481043368577957,0.62252,0.58621,0.70833,0.64151,0.7057,0.6726732850074768,3.363366425037384,0.70199,0.66102,0.79592,0.72222,0.7325,0.653171694278717,6.53171694278717
0.7283,0.68474,0.72246,0.70309,0.8086,0.5418997512144201,18.424591541290283,0.60927,0.58442,0.625,0.60403,0.71132,0.7189699172973633,3.5948495864868164,0.64901,0.62424,0.70068,0.66026,0.69116,0.7948432922363281,7.948432922363281
0.75472,0.71901,0.73729,0.72803,0.82504,0.5246410431230769,17.837795466184616,0.65563,0.625,0.69444,0.65789,0.71871,0.6695565819740296,3.3477829098701477,0.6457,0.61494,0.72789,0.66667,0.70406,0.7441742092370986,7.441742092370987
0.74623,0.71014,0.72669,0.71832,0.82591,0.5222991950371686,17.758172631263733,0.6755,0.68254,0.59722,0.63704,0.72785,0.6570048332214355,3.2850241661071777,0.65894,0.67742,0.57143,0.61993,0.72767,0.7174156069755554,7.174156069755554
0.76321,0.7154,0.77754,0.74518,0.84348,0.48323798617895913,16.43009153008461,0.64238,0.6125,0.68056,0.64474,0.6955,0.6939006805419922,3.469503402709961,0.72185,0.69325,0.76871,0.72903,0.78767,0.6049747049808503,6.049747049808502
0.76321,0.74179,0.71822,0.72982,0.83657,0.5091671654406715,17.311683624982834,0.62914,0.58889,0.73611,0.65432,0.7384,0.6588109910488129,3.2940549552440643,0.67219,0.62632,0.80952,0.70623,0.74088,0.6934579282999038,6.934579282999039
0.78491,0.74597,0.7839,0.76446,0.85576,0.4694616768290015,15.96169701218605,0.66887,0.61702,0.80556,0.6988,0.72468,0.7268218398094177,3.6341091990470886,0.6755,0.63243,0.79592,0.70482,0.74264,0.6936845228075981,6.936845228075981
0.76698,0.73196,0.75212,0.7419,0.84541,0.4784586688174921,16.26759473979473,0.68212,0.64286,0.75,0.69231,0.71414,0.7025986671447754,3.512993335723877,0.6755,0.63687,0.77551,0.69939,0.72908,0.7213458180427551,7.213458180427551
0.76887,0.73499,0.75212,0.74346,0.85251,0.473466694355011,16.097867608070374,0.69536,0.66667,0.72222,0.69333,0.75229,0.6602587461471557,3.301293730735779,0.67219,0.64286,0.73469,0.68571,0.70968,0.7404989540576935,7.404989540576935
0.78396,0.74447,0.7839,0.76367,0.86723,0.45584604976808324,15.49876569211483,0.71523,0.68354,0.75,0.71523,0.74807,0.6551440238952637,3.2757201194763184,0.65232,0.62651,0.70748,0.66454,0.69414,0.8097995638847351,8.097995638847351
0.78679,0.74118,0.80085,0.76986,0.86562,0.4671388645382488,15.88272139430046,0.60265,0.59677,0.51389,0.55224,0.65313,0.9198643445968628,4.599321722984314,0.68212,0.68085,0.65306,0.66667,0.73961,0.7467600375413894,7.467600375413895
0.80472,0.78867,0.76695,0.77766,0.87714,0.4407304139698253,14.98483407497406,0.66225,0.63636,0.68056,0.65772,0.74842,0.6755895256996155,3.3779476284980774,0.65894,0.63415,0.70748,0.66881,0.6984,0.746981880068779,7.46981880068779
0.78962,0.76211,0.76695,0.76452,0.87576,0.4587285729015575,15.596771478652954,0.70861,0.64894,0.84722,0.73494,0.7282,0.787407922744751,3.937039613723755,0.67219,0.62903,0.79592,0.7027,0.73759,0.7853035241365433,7.853035241365433
0.79717,0.76278,0.79025,0.77627,0.88339,0.43405331495930166,14.757812708616257,0.71523,0.65934,0.83333,0.7362,0.77039,0.6447510421276093,3.2237552106380463,0.69205,0.67089,0.72109,0.69508,0.7386,0.6970419049263,6.9704190492630005
0.7934,0.7525,0.79873,0.77492,0.87932,0.4323272775201237,14.699127435684204,0.64901,0.6,0.79167,0.68263,0.7231,0.74379460811615,3.7189730405807495,0.66556,0.61165,0.85714,0.71388,0.75106,0.7301707148551941,7.301707148551941
0.79151,0.7495,0.79873,0.77333,0.87963,0.44711236348923517,15.201820358633995,0.66887,0.73913,0.47222,0.57627,0.77127,0.72019522190094,3.6009761095046997,0.60927,0.65934,0.40816,0.5042,0.69269,0.9115310311317444,9.115310311317444
0.80566,0.76494,0.81356,0.7885,0.88192,0.43058714095283956,14.639962792396545,0.62252,0.59036,0.68056,0.63226,0.6795,0.8339002132415771,4.169501066207886,0.71192,0.68072,0.76871,0.72204,0.74277,0.7515926361083984,7.515926361083984
0.79717,0.77167,0.77331,0.77249,0.88749,0.42120763133553896,14.321059465408325,0.70861,0.69444,0.69444,0.69444,0.7602,0.6751352250576019,3.3756761252880096,0.66556,0.65132,0.67347,0.66221,0.73794,0.7024366527795791,7.024366527795792
0.79434,0.7624,0.78178,0.77197,0.88762,0.41820375708972707,14.21892774105072,0.6755,0.61856,0.83333,0.71006,0.71501,0.8201336026191711,4.100668013095856,0.67881,0.62626,0.84354,0.71884,0.78394,0.7333950400352478,7.333950400352478
0.81226,0.77576,0.81356,0.79421,0.89709,0.39887794370160384,13.56185008585453,0.66887,0.61224,0.83333,0.70588,0.73259,0.7419808447360993,3.709904223680496,0.68874,0.64481,0.80272,0.71515,0.75655,0.7248947709798813,7.248947709798813
0.82925,0.8,0.82203,0.81087,0.89645,0.4023939445614815,13.68139411509037,0.72185,0.71429,0.69444,0.70423,0.75791,0.6958661317825318,3.4793306589126587,0.68543,0.67105,0.69388,0.68227,0.75036,0.7546579957008361,7.546579957008362
0.83208,0.80753,0.8178,0.81263,0.91098,0.374629366923781,12.737398475408554,0.66887,0.67742,0.58333,0.62687,0.7602,0.6731868803501129,3.3659344017505646,0.58278,0.6,0.42857,0.5,0.68466,0.8601578772068024,8.601578772068024
0.8217,0.78702,0.82203,0.80415,0.90423,0.39631279075846954,13.474634885787964,0.70861,0.67949,0.73611,0.70667,0.73541,0.7570413708686828,3.7852068543434143,0.70861,0.68098,0.7551,0.71613,0.75361,0.7431245684623718,7.431245684623718
0.83396,0.79365,0.84746,0.81967,0.90428,0.41845351326114993,14.227419450879097,0.7351,0.70513,0.76389,0.73333,0.76547,0.6411213994026184,3.205606997013092,0.66556,0.66429,0.63265,0.64808,0.72824,0.7683657944202423,7.683657944202423
0.82925,0.80503,0.81356,0.80927,0.90885,0.3801492145832847,12.92507329583168,0.7351,0.68182,0.83333,0.75,0.77725,0.6133978366851807,3.0669891834259033,0.71854,0.67222,0.82313,0.74006,0.77266,0.6198870539665222,6.198870539665222
0.84245,0.81059,0.84322,0.82658,0.92168,0.3780313782832202,12.853066861629486,0.68212,0.625,0.83333,0.71429,0.72714,0.7976836085319519,3.9884180426597595,0.71192,0.65152,0.87755,0.74783,0.76234,0.7103036940097809,7.103036940097809
0.82642,0.788,0.83475,0.8107,0.90464,0.3913886542705929,13.307214245200157,0.71523,0.68354,0.75,0.71523,0.74279,0.7076544165611267,3.5382720828056335,0.7351,0.71895,0.7483,0.73333,0.76634,0.7164670705795289,7.164670705795288
0.83585,0.798,0.84534,0.82099,0.91669,0.3686617503271383,12.534499511122704,0.71523,0.66292,0.81944,0.73292,0.78446,0.6374368667602539,3.1871843338012695,0.7053,0.65426,0.83673,0.73433,0.74022,0.7174902856349945,7.174902856349945
0.84057,0.81109,0.83686,0.82377,0.92195,0.3522977294290767,11.978122800588608,0.75497,0.71605,0.80556,0.75817,0.76494,0.6886766254901886,3.443383127450943,0.69868,0.67949,0.72109,0.69967,0.78569,0.6442786425352096,6.442786425352097
0.83774,0.80364,0.8411,0.82195,0.91955,0.35876212619683323,12.19791229069233,0.75497,0.71084,0.81944,0.76129,0.78323,0.6290668845176697,3.1453344225883484,0.72848,0.70186,0.76871,0.73377,0.76748,0.6696448743343353,6.696448743343353
0.85189,0.82881,0.8411,0.83491,0.91723,0.36006813890793743,12.242316722869873,0.75497,0.75362,0.72222,0.73759,0.76978,0.7172130763530731,3.5860653817653656,0.7351,0.71338,0.7619,0.73684,0.77801,0.7898439556360245,7.898439556360245
0.84811,0.82463,0.83686,0.8307,0.91998,0.3559403125854099,12.101970627903938,0.72848,0.72464,0.69444,0.70922,0.7827,0.6535506844520569,3.2677534222602844,0.71854,0.72143,0.68707,0.70383,0.77858,0.7232541620731354,7.232541620731354
0.85377,0.81891,0.86229,0.84004,0.92988,0.32924196343211565,11.194226756691933,0.72848,0.71831,0.70833,0.71329,0.79255,0.6431926608085632,3.215963304042816,0.65232,0.66935,0.56463,0.61255,0.75282,0.7573294460773468,7.573294460773468
0.8434,0.81612,0.83686,0.82636,0.92662,0.34006016219363494,11.562045514583588,0.72848,0.71831,0.70833,0.71329,0.77778,0.6487284064292907,3.243642032146454,0.7053,0.70714,0.67347,0.6899,0.76239,0.7172277182340622,7.172277182340622
0.84811,0.82062,0.84322,0.83177,0.92538,0.3461969109142528,11.770694971084595,0.7351,0.7,0.77778,0.73684,0.77022,0.7323543906211853,3.6617719531059265,0.71854,0.69136,0.7619,0.72492,0.79434,0.6832046717405319,6.832046717405319
0.83585,0.80658,0.83051,0.81837,0.92576,0.34341567930053263,11.67613309621811,0.69536,0.68571,0.66667,0.67606,0.77637,0.6736698627471924,3.368349313735962,0.66225,0.66423,0.61905,0.64085,0.75537,0.761897724866867,7.618977248668671
0.85472,0.82716,0.85169,0.83925,0.93137,0.3460785299539566,11.766670018434525,0.71523,0.66667,0.80556,0.72956,0.75721,0.735155987739563,3.675779938697815,0.72848,0.68362,0.82313,0.74691,0.79895,0.6036424055695534,6.036424055695534
0.85283,0.81855,0.86017,0.83884,0.92819,0.3406614358810818,11.58248881995678,0.74172,0.6988,0.80556,0.74839,0.77954,0.7138784527778625,3.5693922638893127,0.73179,0.69643,0.79592,0.74286,0.79855,0.6579574704170227,6.579574704170227
0.86226,0.83539,0.86017,0.8476,0.93445,0.322292075437658,10.957930564880371,0.72185,0.6875,0.76389,0.72368,0.76231,0.7076833248138428,3.538416624069214,0.68543,0.65663,0.7415,0.69649,0.74891,0.7181367635726928,7.181367635726929
0.86604,0.84232,0.86017,0.85115,0.93329,0.35098793664399314,11.933589845895767,0.72185,0.6875,0.76389,0.72368,0.78235,0.6655449271202087,3.3277246356010437,0.71192,0.7027,0.70748,0.70508,0.77375,0.7078844666481018,7.078844666481018
0.85189,0.83298,0.83475,0.83386,0.92922,0.3360342002090286,11.425162807106972,0.72848,0.67816,0.81944,0.74214,0.79325,0.6411853909492493,3.2059269547462463,0.74172,0.69061,0.85034,0.7622,0.78574,0.6201194882392883,6.201194882392883
0.85566,0.80971,0.88347,0.84498,0.93576,0.31978577988989215,10.872716516256332,0.70199,0.68493,0.69444,0.68966,0.7653,0.7394412517547607,3.6972062587738037,0.72185,0.72993,0.68027,0.70423,0.79631,0.663475039601326,6.63475039601326
0.85755,0.82688,0.86017,0.8432,0.93601,0.31090354196289005,10.570720426738262,0.7351,0.68605,0.81944,0.74684,0.77303,0.6859935760498047,3.4299678802490234,0.71523,0.70199,0.72109,0.71141,0.76142,0.720700541138649,7.20700541138649
0.84906,0.82365,0.8411,0.83229,0.93023,0.32862255349755287,11.173166818916798,0.72848,0.68675,0.79167,0.73548,0.77145,0.6908532738685608,3.454266369342804,0.72848,0.70701,0.7551,0.73026,0.78639,0.6661940813064575,6.661940813064575
0.85566,0.83023,0.84958,0.83979,0.94001,0.3111108865808038,10.57777014374733,0.70861,0.66279,0.79167,0.72152,0.79079,0.6736185908317566,3.368092954158783,0.72517,0.71053,0.73469,0.72241,0.78201,0.7243786156177521,7.243786156177521
0.85472,0.81548,0.87076,0.84221,0.93367,0.32011890696252093,10.884042836725712,0.70861,0.66667,0.77778,0.71795,0.77866,0.7097897052764892,3.5489485263824463,0.7351,0.71895,0.7483,0.73333,0.7925,0.6461603552103042,6.461603552103043
0.85849,0.83128,0.85593,0.84342,0.94137,0.31095550822861057,10.572487279772758,0.7351,0.70513,0.76389,0.73333,0.77602,0.7059230327606201,3.5296151638031006,0.71192,0.72388,0.65986,0.69039,0.77648,0.717229038476944,7.17229038476944
0.83868,0.80527,0.8411,0.8228,0.92795,0.3733059632427552,12.692402750253677,0.74172,0.70886,0.77778,0.74172,0.78446,0.6877829790115356,3.4389148950576782,0.69536,0.70073,0.65306,0.67606,0.7774,0.7048260807991028,7.048260807991028
0.86321,0.83164,0.86864,0.84974,0.93842,0.31088921340072856,10.570233255624771,0.7351,0.7,0.77778,0.73684,0.782,0.6660057067871094,3.330028533935547,0.71192,0.7,0.71429,0.70707,0.78161,0.6804200947284699,6.8042009472846985
0.86887,0.84472,0.86441,0.85445,0.94446,0.2955762892961502,10.049593836069107,0.72848,0.67033,0.84722,0.74847,0.77444,0.6843335628509521,3.4216678142547607,0.70861,0.66298,0.81633,0.73171,0.7946,0.6298824965953826,6.298824965953827
0.85849,0.82992,0.85805,0.84375,0.94127,0.30426133424043655,10.344885364174843,0.76159,0.725,0.80556,0.76316,0.79044,0.6328800439834594,3.1644002199172974,0.73841,0.73611,0.72109,0.72852,0.81655,0.637495955824852,6.37495955824852
0.86038,0.84914,0.83475,0.84188,0.93814,0.32881636961418037,11.179756566882133,0.74172,0.68966,0.83333,0.75472,0.78991,0.6477420628070831,3.2387103140354156,0.72517,0.7,0.7619,0.72964,0.80342,0.6277760237455368,6.277760237455368
0.87453,0.83832,0.88983,0.86331,0.94508,0.30428395464139824,10.345654457807541,0.72185,0.67857,0.79167,0.73077,0.77215,0.7286836981773377,3.6434184908866882,0.70861,0.69799,0.70748,0.7027,0.78587,0.6624427527189255,6.624427527189255
0.87453,0.83968,0.88771,0.86303,0.95497,0.26963971116963553,9.167750179767609,0.70199,0.66667,0.75,0.70588,0.75457,0.7328783869743347,3.6643919348716736,0.72517,0.72857,0.69388,0.7108,0.80518,0.625101488828659,6.251014888286591
0.87736,0.84337,0.88983,0.86598,0.95229,0.2788865136749604,9.482141464948654,0.7351,0.70513,0.76389,0.73333,0.76635,0.7784216284751893,3.892108142375946,0.72185,0.70323,0.7415,0.72185,0.79724,0.716455826163292,7.164558261632919
0.88491,0.84861,0.90254,0.87474,0.95347,0.27689625322818756,9.414472609758377,0.69536,0.65854,0.75,0.7013,0.74648,0.7744608759880066,3.872304379940033,0.74172,0.72549,0.7551,0.74,0.80917,0.6286907434463501,6.286907434463501
0.88113,0.85597,0.88136,0.86848,0.95267,0.2860256626325495,9.724872529506683,0.72848,0.68235,0.80556,0.73885,0.78112,0.7054978311061859,3.5274891555309296,0.72185,0.69325,0.76871,0.72903,0.80224,0.6428147047758103,6.428147047758102
0.86792,0.84583,0.86017,0.85294,0.95027,0.2828407508923727,9.616585530340672,0.74834,0.72973,0.75,0.73973,0.78938,0.6639971315860749,3.319985657930374,0.7053,0.70423,0.68027,0.69204,0.78135,0.7196742594242096,7.196742594242096
0.87358,0.84073,0.88347,0.86157,0.95045,0.28200970721595425,9.588330045342445,0.76159,0.725,0.80556,0.76316,0.79764,0.6548344969749451,3.2741724848747253,0.72848,0.71242,0.7415,0.72667,0.79307,0.7226192891597748,7.226192891597748
0.88113,0.85744,0.87924,0.8682,0.95055,0.3022494953783119,10.276482842862606,0.74172,0.71429,0.76389,0.73826,0.79395,0.6804031252861023,3.4020156264305115,0.71192,0.71429,0.68027,0.69686,0.78806,0.6993171900510788,6.993171900510788
0.8783,0.85507,0.875,0.86492,0.95341,0.27406633426161375,9.318255364894867,0.70861,0.67949,0.73611,0.70667,0.78921,0.6771464824676514,3.385732412338257,0.71523,0.71329,0.69388,0.70345,0.80162,0.6527954429388046,6.527954429388046
0.87547,0.84,0.88983,0.8642,0.95041,0.28602848640259576,9.724968537688255,0.72848,0.6962,0.76389,0.72848,0.79501,0.6331487655639648,3.165743827819824,0.71854,0.71233,0.70748,0.7099,0.78271,0.7116245597600936,7.116245597600937
0.88868,0.8642,0.88983,0.87683,0.95119,0.29259954612044725,9.948384568095207,0.74172,0.72,0.75,0.73469,0.80081,0.6509633302688599,3.2548166513442993,0.7053,0.7197,0.64626,0.681,0.78003,0.743919187784195,7.4391918778419495
0.86698,0.83034,0.88136,0.85509,0.95174,0.2784801831140238,9.468326225876808,0.75497,0.72727,0.77778,0.75168,0.80327,0.6590694189071655,3.2953470945358276,0.70861,0.69799,0.70748,0.7027,0.79653,0.6719915747642518,6.719915747642517
0.86887,0.83636,0.87712,0.85626,0.95158,0.30066537418786216,10.222622722387314,0.74172,0.72603,0.73611,0.73103,0.79518,0.642221885919571,3.2111094295978546,0.73841,0.75,0.69388,0.72085,0.80448,0.6989849299192429,6.989849299192429
0.88302,0.85223,0.89195,0.87164,0.95945,0.26891734451055527,9.143189713358879,0.72848,0.68675,0.79167,0.73548,0.77145,0.7113388776779175,3.5566943883895874,0.71523,0.69677,0.73469,0.71523,0.79961,0.6254902988672256,6.2549029886722565
0.88868,0.87185,0.87924,0.87553,0.95729,0.28270675548735785,9.612029686570168,0.72848,0.71233,0.72222,0.71724,0.79184,0.6731288254261016,3.3656441271305084,0.71192,0.71739,0.67347,0.69474,0.79223,0.71248379945755,7.1248379945755005
0.86698,0.8357,0.87288,0.85389,0.94762,0.2880770257290672,9.794618874788284,0.74834,0.69318,0.84722,0.7625,0.79887,0.6659683108329773,3.3298415541648865,0.73179,0.7037,0.77551,0.73786,0.80851,0.6186337411403656,6.186337411403656
0.87925,0.86441,0.86441,0.86441,0.95236,0.2959165853612563,10.061163902282715,0.74172,0.6988,0.80556,0.74839,0.77971,0.6767744183540344,3.383872091770172,0.71192,0.6875,0.7483,0.71661,0.79662,0.6419719636440278,6.419719636440277
0.89057,0.86032,0.90042,0.87992,0.95586,0.26838870346546173,9.125215917825699,0.72185,0.69737,0.73611,0.71622,0.78129,0.6868355572223663,3.4341777861118317,0.71523,0.71631,0.68707,0.70139,0.79021,0.6862690508365631,6.862690508365631
0.89057,0.86626,0.89195,0.87891,0.9592,0.25912830715670304,8.810362443327904,0.74172,0.70886,0.77778,0.74172,0.82296,0.6168724596500397,3.0843622982501984,0.70199,0.71111,0.65306,0.68085,0.78859,0.6697779148817062,6.697779148817062
0.88962,0.86902,0.88559,0.87723,0.95892,0.25347071075264144,8.61800416558981,0.7351,0.70513,0.76389,0.73333,0.80292,0.6556390047073364,3.278195023536682,0.72517,0.70513,0.7483,0.72607,0.79403,0.676919350028038,6.76919350028038
0.88774,0.86848,0.88136,0.87487,0.95983,0.25753360285478477,8.756142497062683,0.74172,0.6988,0.80556,0.74839,0.79905,0.6594759345054626,3.2973796725273132,0.72185,0.70588,0.73469,0.72,0.79425,0.6950775146484375,6.950775146484375
0.88113,0.8502,0.88983,0.86957,0.95508,0.2717531910713981,9.239608496427536,0.74172,0.70886,0.77778,0.74172,0.80169,0.661716103553772,3.30858051776886,0.69868,0.68919,0.69388,0.69153,0.78797,0.6969693958759308,6.969693958759308
0.88679,0.86066,0.88983,0.875,0.95896,0.26391277440330563,8.973034329712391,0.76159,0.7093,0.84722,0.77215,0.80802,0.6443886816501617,3.2219434082508087,0.72185,0.71724,0.70748,0.71233,0.79557,0.6916257739067078,6.916257739067078
0.89717,0.8805,0.88983,0.88514,0.96087,0.28300589410697713,9.622200399637222,0.7351,0.7,0.77778,0.73684,0.78376,0.7527369141578675,3.763684570789337,0.71523,0.71631,0.68707,0.70139,0.78938,0.6750553250312805,6.750553250312805
0.87925,0.85246,0.88136,0.86667,0.95423,0.2664132926832227,9.058051951229572,0.7351,0.68605,0.81944,0.74684,0.78921,0.6984009623527527,3.4920048117637634,0.7053,0.68354,0.73469,0.7082,0.78929,0.7044913053512574,7.044913053512573
0.89151,0.86061,0.90254,0.88108,0.96369,0.2493228982476627,8.476978540420532,0.74834,0.71795,0.77778,0.74667,0.79325,0.7213336765766144,3.606668382883072,0.71854,0.70667,0.72109,0.7138,0.80132,0.6474341034889222,6.474341034889221
0.88208,0.85626,0.88347,0.86966,0.95727,0.26813185740919676,9.11648315191269,0.72848,0.68675,0.79167,0.73548,0.79202,0.6763103604316711,3.3815518021583557,0.72517,0.71918,0.71429,0.71672,0.78916,0.6821871191263199,6.821871191263199
0.88491,0.85425,0.89407,0.87371,0.95762,0.2706151247462806,9.200914241373539,0.74172,0.7037,0.79167,0.7451,0.80046,0.6638717532157898,3.319358766078949,0.71523,0.71942,0.68027,0.6993,0.79754,0.6858140528202057,6.858140528202057
0.89717,0.86519,0.91102,0.88751,0.96495,0.24886190584477255,8.461304798722267,0.74172,0.7037,0.79167,0.7451,0.78674,0.6871363520622253,3.4356817603111267,0.70199,0.69655,0.68707,0.69178,0.78964,0.6581651329994201,6.581651329994202
0.89434,0.87815,0.88559,0.88186,0.95679,0.264994876787943,9.009825810790062,0.76159,0.71429,0.83333,0.76923,0.79606,0.686150586605072,3.43075293302536,0.69205,0.6875,0.67347,0.68041,0.79074,0.6470294967293739,6.470294967293739
