train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate,logdir
0.61,0.57,0.53,0.55,0.66,0.6652268767356873,22.617713809013367,0.56,0.52,0.9,0.66,0.68,0.723229169845581,3.6161458492279053,1712832480,,True,100,c77325af,2024-04-11_12-48-00,12.468611478805542,1235.1987929344177,43848,AT-MB-PC-E13,127.0.0.1,1235.1987929344177,100,64,3,0.5,1e-05,c77325af
0.66,0.62,0.6,0.61,0.71,0.6408810229862437,21.789954781532288,0.53,1.0,0.01,0.03,0.57,0.7511504769325257,3.755752384662628,1712831594,,True,15,8cd9d5f5,2024-04-11_12-33-14,22.031396865844727,343.77381920814514,48540,AT-MB-PC-E13,127.0.0.1,343.77381920814514,15,256,6,0.5,0.001,8cd9d5f5
0.62,0.58,0.55,0.56,0.66,0.6649207332554985,22.60730493068695,0.55,0.52,0.89,0.65,0.69,0.7220789313316345,3.6103946566581726,1712832494,,True,100,e2a10d6d,2024-04-11_12-48-14,8.774426698684692,1237.5441448688507,2232,AT-MB-PC-E13,127.0.0.1,1237.5441448688507,100,64,3,0.5,1e-05,e2a10d6d
0.5,0.43,0.37,0.4,0.52,0.7662065590129179,26.05102300643921,0.52,0.49,0.47,0.48,0.46,0.777066683769226,3.8853334188461304,1712831721,,True,5,59101b86,2024-04-11_12-35-21,23.161859273910522,127.16302013397217,48540,AT-MB-PC-E13,127.0.0.1,127.16302013397217,5,64,6,0.5,1e-05,59101b86
0.69,0.66,0.63,0.64,0.73,0.6334647571339327,21.53780174255371,0.54,0.53,0.36,0.43,0.53,0.845480453968048,4.2274022698402405,1712831801,,True,5,c1ff75d8,2024-04-11_12-36-41,12.322462558746338,79.78668141365051,48540,AT-MB-PC-E13,127.0.0.1,79.78668141365051,5,64,3,0.0,0.0001,c1ff75d8
0.85,0.81,0.85,0.83,0.93,0.345124454182737,11.734231442213058,0.7,0.69,0.67,0.68,0.77,0.726224935054779,3.6311246752738953,1712833119,,True,100,3fd28617,2024-04-11_12-58-39,9.756966590881348,1317.2794735431671,48540,AT-MB-PC-E13,127.0.0.1,1317.2794735431671,100,256,3,0.5,0.001,3fd28617
0.72,0.68,0.71,0.7,0.8,0.5314667286241755,18.06986877322197,0.65,0.6,0.82,0.69,0.7,0.7108071208000183,3.5540356040000916,1712834224,,True,45,b8132c89,2024-04-11_13-17-04,39.83962798118591,1743.5544953346252,43848,AT-MB-PC-E13,127.0.0.1,1743.5544953346252,45,256,10,0.5,0.0001,b8132c89
0.63,0.58,0.64,0.61,0.69,0.6345768851392409,21.575614094734192,0.6,0.56,0.74,0.64,0.68,0.6466355323791504,3.233177661895752,1712833102,,True,15,702ad64e,2024-04-11_12-58-22,38.04125785827637,607.166247844696,2232,AT-MB-PC-E13,127.0.0.1,607.166247844696,15,256,10,0.2,1e-05,702ad64e
0.74,0.7,0.73,0.71,0.8,0.5603896379470825,19.053247690200806,0.64,0.66,0.51,0.58,0.68,0.7618152022361755,3.8090760111808777,1712833485,,True,15,cb33c36c,2024-04-11_13-04-45,25.46313738822937,383.22816014289856,2232,AT-MB-PC-E13,127.0.0.1,383.22816014289856,15,64,6,0.2,0.0001,cb33c36c
0.5,0.44,0.45,0.44,0.48,0.8848747611045837,30.085741877555847,0.5,0.48,0.78,0.6,0.54,0.7574193239212036,3.787096619606018,1712833203,,True,5,15e42e68,2024-04-11_13-00-03,13.528042316436768,83.7688570022583,48540,AT-MB-PC-E13,127.0.0.1,83.7688570022583,5,256,3,0.5,1e-05,15e42e68
0.85,0.82,0.84,0.83,0.94,0.3157360886826235,10.735027015209198,0.74,0.71,0.76,0.73,0.79,0.6462784826755523,3.231392413377762,1712837114,,True,100,d7536ebb,2024-04-11_14-05-14,41.78062558174133,3911.246033668518,48540,AT-MB-PC-E13,127.0.0.1,3911.246033668518,100,256,10,0.2,0.001,d7536ebb
0.5,0.43,0.37,0.4,0.52,0.7662062469650718,26.05101239681244,0.52,0.49,0.47,0.48,0.46,0.7770661950111389,3.8853309750556946,1712833629,,True,5,682e9b17,2024-04-11_13-07-09,25.28928565979004,143.67723655700684,2232,AT-MB-PC-E13,127.0.0.1,143.67723655700684,5,128,6,0.5,1e-05,682e9b17
0.67,0.63,0.63,0.63,0.73,0.6944175441475475,23.610196501016617,0.56,0.88,0.1,0.18,0.56,1.5083913326263427,7.541956663131714,1712833711,,True,5,2d1d8971,2024-04-11_13-08-31,13.1021146774292,82.15603494644165,2232,AT-MB-PC-E13,127.0.0.1,82.15603494644165,5,128,3,0.0,0.001,2d1d8971
0.88,0.88,0.86,0.87,0.95,0.2878474520848078,9.786813370883465,0.73,0.71,0.74,0.72,0.8,0.6675588130950928,3.337794065475464,1712837598,,True,100,119cf8fc,2024-04-11_14-13-18,37.60414505004883,3886.537376642227,2232,AT-MB-PC-E13,127.0.0.1,3886.537376642227,100,128,10,0.2,0.0001,119cf8fc
0.52,0.45,0.4,0.43,0.51,0.8452908834990334,28.739890038967133,0.5,0.46,0.31,0.37,0.5,0.7633944749832153,3.8169723749160767,1712834305,,True,5,2e896206,2024-04-11_13-18-25,13.38783049583435,81.4775071144104,43848,AT-MB-PC-E13,127.0.0.1,81.4775071144104,5,128,3,0.2,1e-05,2e896206
0.75,0.71,0.74,0.72,0.84,0.5131174290881437,17.445992588996887,0.64,0.61,0.68,0.64,0.7,0.750753128528595,3.753765642642975,1712834695,,True,15,ff0698ec,2024-04-11_13-24-55,25.027271509170532,390.2341845035553,43848,AT-MB-PC-E13,127.0.0.1,390.2341845035553,15,256,6,0.0,0.0001,ff0698ec
0.51,0.47,0.69,0.55,0.55,0.7906636753503014,26.882564961910248,0.49,0.48,1.0,0.65,0.6,1.0609100580215454,5.304550290107727,1712834915,,True,5,f3d4e1ba,2024-04-11_13-28-35,41.497522592544556,219.61400198936462,43848,AT-MB-PC-E13,127.0.0.1,219.61400198936462,5,64,10,0.5,1e-05,f3d4e1ba
0.5,0.43,0.37,0.4,0.52,0.7662062907920164,26.05101388692856,0.52,0.49,0.47,0.48,0.46,0.7770663380622864,3.885331690311432,1712835054,,True,5,c661ad39,2024-04-11_13-30-54,24.6566162109375,139.33506417274475,43848,AT-MB-PC-E13,127.0.0.1,139.33506417274475,5,256,6,0.5,1e-05,c661ad39
0.75,0.71,0.74,0.72,0.82,0.5333827926832087,18.135014951229095,0.52,0.0,0.0,0.0,0.49,1.6337637186050415,8.168818593025208,1712835447,,True,15,0d7301d3,2024-04-11_13-37-27,25.699344158172607,392.1466341018677,43848,AT-MB-PC-E13,127.0.0.1,392.1466341018677,15,128,6,0.0,0.001,0d7301d3
0.64,0.6,0.59,0.59,0.69,0.7101619155967936,24.145505130290985,0.54,0.51,0.74,0.6,0.6,1.244668185710907,6.223340928554535,1712835593,,True,5,ef7192f8,2024-04-11_13-39-53,25.68602442741394,145.8117916584015,43848,AT-MB-PC-E13,127.0.0.1,145.8117916584015,5,256,6,0.2,0.001,ef7192f8
0.69,0.65,0.63,0.64,0.73,0.6329269172514186,21.519515186548233,0.54,0.53,0.36,0.43,0.53,0.8451842188835144,4.225921094417572,1712835679,,True,5,f2ca9ed2,2024-04-11_13-41-19,13.769262790679932,86.81657814979553,43848,AT-MB-PC-E13,127.0.0.1,86.81657814979553,5,256,3,0.0,0.0001,f2ca9ed2
