train_mae,train_r2,train_spearmanr,train_mse,train_rmse,train_mean_loss,train_sum_loss,val_mae,val_r2,val_spearmanr,val_mse,val_rmse,val_ranking_accuracy_0.1,val_ranking_accuracy_0.2,val_ranking_accuracy_0.3,val_ranking_accuracy_0.4,val_ranking_accuracy_0.5,val_ranking_accuracy_0.6,val_ranking_accuracy_0.7,val_ranking_accuracy_0.8,val_ranking_accuracy_0.9,val_ranking_accuracy_1.0,val_ranking_accuracy_1.1,val_ranking_accuracy_1.2,val_ranking_accuracy_1.3,val_ranking_accuracy_1.4,val_ranking_accuracy_1.5,val_ranking_accuracy_1.6,val_ranking_accuracy_1.7,val_ranking_accuracy_1.8,val_ranking_accuracy_1.9,val_ranking_accuracy_2.0,val_mean_loss,val_sum_loss,test_mae,test_r2,test_spearmanr,test_mse,test_rmse,test_ranking_accuracy_0.1,test_ranking_accuracy_0.2,test_ranking_accuracy_0.3,test_ranking_accuracy_0.4,test_ranking_accuracy_0.5,test_ranking_accuracy_0.6,test_ranking_accuracy_0.7,test_ranking_accuracy_0.8,test_ranking_accuracy_0.9,test_ranking_accuracy_1.0,test_ranking_accuracy_1.1,test_ranking_accuracy_1.2,test_ranking_accuracy_1.3,test_ranking_accuracy_1.4,test_ranking_accuracy_1.5,test_ranking_accuracy_1.6,test_ranking_accuracy_1.7,test_ranking_accuracy_1.8,test_ranking_accuracy_1.9,test_ranking_accuracy_2.0,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/parameter/dropout,config/model/modules/1/times,config/optimizer/base_learning_rate
4.699999809265137,-25.18,0.32,23.229999542236328,4.820000171661377,4.700922237800446,7098.392579078674,4.630000114440918,-23.8,0.32,22.709999084472656,4.769999980926514,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.66,0.66,0.67,0.68,0.68,0.69,0.69,0.69,0.69,0.69,0.71,0.7,4.630814287397596,1500.3838291168213,4.679999828338623,-25.81,0.32,23.149999618530273,4.809999942779541,0.62,0.62,0.63,0.63,0.64,0.65,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.69,0.7,0.7,0.71,0.72,0.72,0.72,4.683614095052083,1517.490966796875,1713265795,,False,1,2c7942e7,2024-04-16_13-09-55,630.0031871795654,630.0031871795654,37676,AT-MB-PC-E13,127.0.0.1,630.0031871795654,1,128,0.0,6,0.001
0.6299999952316284,0.12,0.65,0.7799999713897705,0.8799999952316284,0.6287771351882164,949.4534741342068,0.44999998807907104,0.55,0.79,0.4099999964237213,0.6399999856948853,0.82,0.83,0.85,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.45283706136691715,146.71920788288116,0.4399999976158142,0.56,0.79,0.3799999952316284,0.6200000047683716,0.82,0.84,0.86,0.87,0.88,0.9,0.9,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.4407374542436482,142.79893517494202,1713266093,,False,2,2c7942e7,2024-04-16_13-14-53,298.7249758243561,928.7281630039215,37676,AT-MB-PC-E13,127.0.0.1,928.7281630039215,2,128,0.0,6,0.001
0.5099999904632568,0.48,0.75,0.46000000834465027,0.6800000071525574,0.5081602669117466,767.3220030367374,0.5699999928474426,0.34,0.71,0.6100000143051147,0.7799999713897705,0.76,0.78,0.79,0.81,0.82,0.83,0.85,0.86,0.87,0.88,0.89,0.9,0.9,0.91,0.91,0.92,0.92,0.92,0.92,0.93,0.5674755480370404,183.86207756400108,0.5699999928474426,0.33,0.7,0.5799999833106995,0.7599999904632568,0.76,0.78,0.79,0.81,0.82,0.83,0.85,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.92,0.93,0.93,0.94,0.94,0.5670326093648687,183.71856543421745,1713266380,,False,3,2c7942e7,2024-04-16_13-19-40,287.1197066307068,1215.8478696346283,37676,AT-MB-PC-E13,127.0.0.1,1215.8478696346283,3,128,0.0,6,0.001
0.47999998927116394,0.53,0.77,0.41999998688697815,0.6499999761581421,0.4806039114464198,725.7119062840939,0.4399999976158142,0.6,0.81,0.3700000047683716,0.6000000238418579,0.82,0.84,0.86,0.87,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.44043971680932575,142.70246824622154,0.4399999976158142,0.62,0.82,0.33000001311302185,0.5699999928474426,0.83,0.85,0.86,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.43593332208233115,141.2423963546753,1713266634,,False,4,2c7942e7,2024-04-16_13-23-54,253.92374849319458,1469.7716181278229,37676,AT-MB-PC-E13,127.0.0.1,1469.7716181278229,4,128,0.0,6,0.001
0.46000000834465027,0.56,0.79,0.38999998569488525,0.6200000047683716,0.46078119629266245,695.7796064019203,0.5,0.51,0.84,0.4399999976158142,0.6700000166893005,0.83,0.85,0.87,0.88,0.9,0.92,0.92,0.93,0.94,0.95,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.49676893918234627,160.95313629508018,0.49000000953674316,0.52,0.83,0.4099999964237213,0.6399999856948853,0.83,0.85,0.87,0.89,0.9,0.92,0.93,0.93,0.94,0.95,0.96,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.4902466071056731,158.83990070223808,1713266887,,False,5,2c7942e7,2024-04-16_13-28-07,252.15577745437622,1721.927395582199,37676,AT-MB-PC-E13,127.0.0.1,1721.927395582199,5,128,0.0,6,0.001
0.4300000071525574,0.61,0.81,0.3499999940395355,0.5899999737739563,0.4332400528603042,654.1924798190594,0.36000001430511475,0.69,0.86,0.2800000011920929,0.5299999713897705,0.84,0.87,0.88,0.9,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.36450350500735235,118.09913562238216,0.36000001430511475,0.72,0.86,0.23999999463558197,0.49000000953674316,0.86,0.88,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.3580321162755107,116.00240567326546,1713267140,,False,6,2c7942e7,2024-04-16_13-32-20,253.7747986316681,1975.7021942138672,37676,AT-MB-PC-E13,127.0.0.1,1975.7021942138672,6,128,0.0,6,0.001
0.4099999964237213,0.64,0.82,0.3199999928474426,0.5600000023841858,0.413471477552755,624.34193110466,0.3799999952316284,0.67,0.88,0.30000001192092896,0.550000011920929,0.86,0.88,0.9,0.91,0.93,0.94,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.3759575459048336,121.81024487316608,0.36000001430511475,0.7,0.88,0.25999999046325684,0.5099999904632568,0.86,0.88,0.89,0.91,0.93,0.94,0.95,0.96,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.36376111591119825,117.85860155522823,1713267392,,False,7,2c7942e7,2024-04-16_13-36-32,251.82770681381226,2227.5299010276794,37676,AT-MB-PC-E13,127.0.0.1,2227.5299010276794,7,128,0.0,6,0.001
0.4099999964237213,0.65,0.83,0.3100000023841858,0.5600000023841858,0.40821731819814405,616.4081504791975,0.3799999952316284,0.68,0.87,0.28999999165534973,0.5400000214576721,0.85,0.87,0.88,0.9,0.91,0.93,0.94,0.95,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.38175577601348915,123.68887142837048,0.3799999952316284,0.69,0.87,0.25999999046325684,0.5099999904632568,0.86,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.37633483544176005,121.93248668313026,1713267644,,False,8,2c7942e7,2024-04-16_13-40-44,251.5253655910492,2479.0552666187286,37676,AT-MB-PC-E13,127.0.0.1,2479.0552666187286,8,128,0.0,6,0.001
0.4000000059604645,0.66,0.83,0.30000001192092896,0.550000011920929,0.39799166543791625,600.9674148112535,0.36000001430511475,0.71,0.88,0.25999999046325684,0.5099999904632568,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.360726962118973,116.87553572654724,0.3499999940395355,0.73,0.88,0.23000000417232513,0.47999998927116394,0.87,0.89,0.9,0.92,0.93,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.352745185341732,114.28944005072117,1713267899,,False,9,2c7942e7,2024-04-16_13-44-59,254.83655071258545,2733.891817331314,37676,AT-MB-PC-E13,127.0.0.1,2733.891817331314,9,128,0.0,6,0.001
0.3799999952316284,0.69,0.85,0.2800000011920929,0.5299999713897705,0.3810546775724714,575.3925631344318,0.3400000035762787,0.74,0.89,0.23999999463558197,0.49000000953674316,0.87,0.88,0.9,0.92,0.93,0.94,0.96,0.96,0.97,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3406574529722149,110.37301476299763,0.33000001311302185,0.76,0.89,0.20999999344348907,0.46000000834465027,0.87,0.89,0.91,0.92,0.94,0.95,0.96,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.3315144812711227,107.41069193184376,1713268153,,False,10,2c7942e7,2024-04-16_13-49-13,253.9887399673462,2987.8805572986603,37676,AT-MB-PC-E13,127.0.0.1,2987.8805572986603,10,128,0.0,6,0.001
