train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.77,0.61,0.5,0.8625227526274477,318.2708957195282,0.5,0.5,0.77,0.61,0.5,0.8471022160847982,63.53266620635986,1712489114,,False,1,197ce696,2024-04-07_13-25-14,1112.465725183487,1112.465725183487,1806961,jyn,131.130.125.89,1112.465725183487,1,256,6,0.0,0.001
0.62,0.62,0.6,0.61,0.69,0.6122599300956176,225.92391420528293,0.92,0.99,0.84,0.91,0.98,0.20354149599870047,15.265612199902534,1712490318,,False,2,197ce696,2024-04-07_13-45-18,1204.2910332679749,2316.756758451462,1806961,jyn,131.130.125.89,2316.756758451462,2,256,6,0.0,0.001
0.95,0.96,0.95,0.95,0.99,0.1299797005214423,47.96250949241221,0.97,0.98,0.97,0.97,1.0,0.08425305007491261,6.318978755618446,1712491409,,False,3,197ce696,2024-04-07_14-03-29,1090.8347640037537,3407.5915224552155,1806961,jyn,131.130.125.89,3407.5915224552155,3,256,6,0.0,0.001
0.97,0.97,0.97,0.97,1.0,0.07519064090141477,27.745346492622048,0.96,0.97,0.96,0.96,0.99,0.09467608051995437,7.100706038996577,1712492354,,False,4,197ce696,2024-04-07_14-19-14,944.6019496917725,4352.193472146988,1806961,jyn,131.130.125.89,4352.193472146988,4,256,6,0.0,0.001
0.97,0.97,0.97,0.97,1.0,0.0704932559687306,26.012011452461593,0.97,0.97,0.96,0.97,1.0,0.08631072036921977,6.4733040276914835,1712493274,,False,5,197ce696,2024-04-07_14-34-34,920.0154416561127,5272.208913803101,1806961,jyn,131.130.125.89,5272.208913803101,5,256,6,0.0,0.001
0.98,0.98,0.98,0.98,1.0,0.0563461690407854,20.791736376049812,0.95,0.96,0.95,0.95,1.0,0.08830182219069684,6.622636664302263,1712494222,,False,6,197ce696,2024-04-07_14-50-22,948.0199584960938,6220.228872299194,1806961,jyn,131.130.125.89,6220.228872299194,6,256,6,0.0,0.001
0.98,0.97,0.98,0.98,1.0,0.056559927211579084,20.87061314107268,0.97,0.98,0.96,0.97,1.0,0.08703992418944835,6.527994314208627,1712495167,,False,7,197ce696,2024-04-07_15-06-07,944.77561211586,7165.004484415054,1806961,jyn,131.130.125.89,7165.004484415054,7,256,6,0.0,0.001
0.97,0.98,0.97,0.97,1.0,0.059243442817178395,21.860830399538827,0.97,0.97,0.98,0.97,0.99,0.17263281926047058,12.947461444535293,1712496099,,False,8,197ce696,2024-04-07_15-21-39,932.1861975193024,8097.190681934357,1806961,jyn,131.130.125.89,8097.190681934357,8,256,6,0.0,0.001
0.97,0.98,0.97,0.97,1.0,0.05582795887955194,20.600516826554667,0.97,0.98,0.96,0.97,0.99,0.11034917762920182,8.276188322190137,1712497068,,False,9,197ce696,2024-04-07_15-37-48,969.1779084205627,9066.36859035492,1806961,jyn,131.130.125.89,9066.36859035492,9,256,6,0.0,0.001
0.97,0.98,0.97,0.97,1.0,0.07396849834536541,27.294375889439834,0.97,0.98,0.95,0.97,0.99,0.08746113852287332,6.559585389215499,1712497999,,True,10,197ce696,2024-04-07_15-53-19,930.7609968185425,9997.129587173462,1806961,jyn,131.130.125.89,9997.129587173462,10,256,6,0.0,0.001
