train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.77,0.61,0.5,0.8626161516520389,318.30535995960236,0.5,0.5,0.77,0.61,0.5,0.8472652745246887,63.544895589351654,1712448296,,False,1,86b8313e,2024-04-07_02-04-56,957.3380372524261,957.3380372524261,1699094,jyn,131.130.125.89,957.3380372524261,1,256,6,0.0,0.0001
0.49,0.49,0.48,0.49,0.49,0.7174096094560494,264.7241458892822,0.52,0.53,0.46,0.49,0.53,0.6940643668174744,52.05482751131058,1712449227,,False,2,86b8313e,2024-04-07_02-20-27,931.3928668498993,1888.7309041023254,1699094,jyn,131.130.125.89,1888.7309041023254,2,256,6,0.0,0.0001
0.53,0.53,0.52,0.52,0.54,0.6970962332839242,257.22851008176804,0.59,0.66,0.36,0.47,0.68,0.6577894655863444,49.33420991897583,1712450187,,False,3,86b8313e,2024-04-07_02-36-27,959.8975350856781,2848.6284391880035,1699094,jyn,131.130.125.89,2848.6284391880035,3,256,6,0.0,0.0001
0.82,0.83,0.81,0.82,0.92,0.3656320351006862,134.9182209521532,0.9,0.85,0.96,0.91,0.97,0.2295924613873164,17.21943460404873,1712451097,,False,4,86b8313e,2024-04-07_02-51-37,909.8371608257294,3758.465600013733,1699094,jyn,131.130.125.89,3758.465600013733,4,256,6,0.0,0.0001
0.94,0.94,0.93,0.94,0.99,0.1522681198567455,56.186936227139086,0.95,0.92,0.98,0.95,0.99,0.12846906398733457,9.635179799050093,1712452042,,False,5,86b8313e,2024-04-07_03-07-22,945.1083209514618,4703.573920965195,1699094,jyn,131.130.125.89,4703.573920965195,5,256,6,0.0,0.0001
0.96,0.96,0.95,0.96,0.99,0.11147705597555653,41.13503365498036,0.95,0.93,0.97,0.95,0.99,0.12595537302394708,9.446652976796031,1712452990,,False,6,86b8313e,2024-04-07_03-23-10,947.5592803955078,5651.1332013607025,1699094,jyn,131.130.125.89,5651.1332013607025,6,256,6,0.0,0.0001
0.97,0.97,0.96,0.97,0.99,0.0970679848974818,35.81808642717078,0.96,0.94,0.97,0.96,0.99,0.11863884749511877,8.897913562133908,1712453925,,False,7,86b8313e,2024-04-07_03-38-45,935.4344882965088,6586.567689657211,1699094,jyn,131.130.125.89,6586.567689657211,7,256,6,0.0,0.0001
0.97,0.97,0.97,0.97,1.0,0.08372463226374516,30.894389305321965,0.97,0.96,0.99,0.97,1.0,0.09097143535812696,6.822857651859522,1712454887,,False,8,86b8313e,2024-04-07_03-54-47,962.1312489509583,7548.69893860817,1699094,jyn,131.130.125.89,7548.69893860817,8,256,6,0.0,0.0001
0.97,0.98,0.97,0.97,1.0,0.06656144257622416,24.561172310626716,0.97,0.96,0.99,0.97,0.99,0.11851226374468145,8.888419780851109,1712455812,,False,9,86b8313e,2024-04-07_04-10-12,924.4687833786011,8473.16772198677,1699094,jyn,131.130.125.89,8473.16772198677,9,256,6,0.0,0.0001
0.98,0.98,0.98,0.98,1.0,0.0614668689913471,22.68127465780708,0.97,0.97,0.97,0.97,0.99,0.12515059353667313,9.386294515250484,1712456762,,True,10,86b8313e,2024-04-07_04-26-02,950.3939530849457,9423.561675071716,1699094,jyn,131.130.125.89,9423.561675071716,10,256,6,0.0,0.0001
