train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.5,0.5,0.74,0.6,0.5,0.8170699821255072,301.49882340431213,0.5,0.5,0.77,0.6,0.5,0.8045329491297404,60.33997118473053,1712473065,,False,1,be9146f6,2024-04-07_08-57-45,952.3440182209015,952.3440182209015,1703253,jyn,131.130.125.89,952.3440182209015,1,128,6,0.2,0.001
0.49,0.49,0.47,0.48,0.49,0.7240127111838116,267.1606904268265,0.5,0.51,0.15,0.23,0.51,0.7151612599690755,53.637094497680664,1712474009,,False,2,be9146f6,2024-04-07_09-13-29,943.381025314331,1895.7250435352325,1703253,jyn,131.130.125.89,1895.7250435352325,2,128,6,0.2,0.001
0.78,0.79,0.77,0.78,0.89,0.3852937769720225,142.1734037026763,0.96,0.95,0.97,0.96,1.0,0.10066044771422943,7.549533578567207,1712474996,,False,3,be9146f6,2024-04-07_09-29-56,987.1693184375763,2882.894361972809,1703253,jyn,131.130.125.89,2882.894361972809,3,128,6,0.2,0.001
0.97,0.97,0.96,0.97,0.99,0.10757643221322255,39.69570348667912,0.97,0.96,0.98,0.97,0.99,0.10194743209790127,7.646057407342596,1712475915,,False,4,be9146f6,2024-04-07_09-45-15,919.422420501709,3802.316782474518,1703253,jyn,131.130.125.89,3802.316782474518,4,128,6,0.2,0.001
0.97,0.97,0.97,0.97,1.0,0.0824527570559469,30.42506735364441,0.96,0.98,0.93,0.95,1.0,0.08685072505303348,6.513804378977511,1712476962,,False,5,be9146f6,2024-04-07_10-02-42,1046.6866488456726,4849.00343132019,1703253,jyn,131.130.125.89,4849.00343132019,5,128,6,0.2,0.001
0.97,0.97,0.97,0.97,1.0,0.06741928674553857,24.87771680910373,0.97,0.98,0.97,0.97,0.99,0.11108433286193758,8.331324964645319,1712478193,,False,6,be9146f6,2024-04-07_10-23-13,1230.851816892624,6079.855248212814,1703253,jyn,131.130.125.89,6079.855248212814,6,128,6,0.2,0.001
0.97,0.97,0.98,0.97,1.0,0.06704351864187275,24.73905837885104,0.98,0.98,0.98,0.98,1.0,0.064351805333669,4.826385400025174,1712479431,,False,7,be9146f6,2024-04-07_10-43-51,1238.0399827957153,7317.89523100853,1703253,jyn,131.130.125.89,7317.89523100853,7,128,6,0.2,0.001
0.97,0.98,0.97,0.97,1.0,0.06779975698938086,25.018110329081537,0.96,0.95,0.97,0.96,1.0,0.15046972749133905,11.285229561850429,1712480691,,False,8,be9146f6,2024-04-07_11-04-51,1260.0746443271637,8577.969875335693,1703253,jyn,131.130.125.89,8577.969875335693,8,128,6,0.2,0.001
0.98,0.98,0.97,0.98,1.0,0.06775288870933574,25.00081593374489,0.97,0.96,0.98,0.97,0.99,0.12488142148213228,9.366106611159921,1712481888,,False,9,be9146f6,2024-04-07_11-24-48,1197.0860390663147,9775.055914402008,1703253,jyn,131.130.125.89,9775.055914402008,9,128,6,0.2,0.001
0.97,0.97,0.97,0.97,1.0,0.06442286336111779,23.77203658025246,0.97,0.96,0.99,0.97,0.99,0.11763025100984427,8.82226882573832,1712482970,,True,10,be9146f6,2024-04-07_11-42-50,1081.7792863845825,10856.83520078659,1703253,jyn,131.130.125.89,10856.83520078659,10,128,6,0.2,0.001
