train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.48789,0.47312,0.30769,0.37288,0.48574,1.128341815973583,21.438494503498077,0.5,0.5,0.31818,0.38889,0.50103,0.867881715297699,2.603645145893097,1714075298,,False,1,6ef1974a,2024-04-25_22-01-38,4.69469690322876,4.69469690322876,10936,AT-MB-PC-E13,127.0.0.1,4.69469690322876,1,32,1,0.5,1e-05
0.48443,0.46739,0.3007,0.36596,0.48334,1.1059665523077313,21.013364493846893,0.5,0.5,0.36364,0.42105,0.49948,1.141702691713969,3.4251080751419067,1714075302,,False,2,6ef1974a,2024-04-25_22-01-42,4.251137018203735,8.945833921432495,10936,AT-MB-PC-E13,127.0.0.1,8.945833921432495,2,32,1,0.5,1e-05
0.49135,0.47826,0.30769,0.37447,0.51375,1.0486934843816256,19.925176203250885,0.5,0.5,0.27273,0.35294,0.49923,1.2385059595108032,3.7155178785324097,1714075307,,False,3,6ef1974a,2024-04-25_22-01-47,4.143660306930542,13.089494228363037,10936,AT-MB-PC-E13,127.0.0.1,13.089494228363037,3,32,1,0.5,1e-05
0.49827,0.48864,0.3007,0.37229,0.50751,1.0111393897156966,19.211648404598236,0.5,0.5,0.27273,0.35294,0.50181,1.1518590052922566,3.45557701587677,1714075311,,False,4,6ef1974a,2024-04-25_22-01-51,4.140838384628296,17.230332612991333,10936,AT-MB-PC-E13,127.0.0.1,17.230332612991333,4,32,1,0.5,1e-05
0.5173,0.51934,0.32867,0.40257,0.49586,0.964924620954614,18.333567798137665,0.5,0.5,0.27273,0.35294,0.50052,1.0541375279426575,3.1624125838279724,1714075315,,False,5,6ef1974a,2024-04-25_22-01-55,4.17988395690918,21.410216569900513,10936,AT-MB-PC-E13,127.0.0.1,21.410216569900513,5,32,1,0.5,1e-05
0.49308,0.48,0.29371,0.36443,0.49086,0.9533923048722116,18.11445379257202,0.5,0.5,0.27273,0.35294,0.50284,0.9016488790512085,2.7049466371536255,1714075319,,False,6,6ef1974a,2024-04-25_22-01-59,4.561046838760376,25.97126340866089,10936,AT-MB-PC-E13,127.0.0.1,25.97126340866089,6,32,1,0.5,1e-05
0.51211,0.51124,0.31818,0.39224,0.51491,0.8319565747913561,15.807174921035767,0.5,0.5,0.27273,0.35294,0.49768,0.8249854644139608,2.4749563932418823,1714075324,,False,7,6ef1974a,2024-04-25_22-02-04,4.440725564956665,30.411988973617554,10936,AT-MB-PC-E13,127.0.0.1,30.411988973617554,7,32,1,0.5,1e-05
0.50346,0.49686,0.27622,0.35506,0.49832,0.79690619832591,15.141217768192291,0.5,0.5,0.22727,0.3125,0.50077,0.7554071346918741,2.2662214040756226,1714075328,,False,8,6ef1974a,2024-04-25_22-02-08,4.340672254562378,34.75266122817993,10936,AT-MB-PC-E13,127.0.0.1,34.75266122817993,8,32,1,0.5,1e-05
0.49308,0.47799,0.26573,0.34157,0.48873,0.799203568383267,15.184867799282074,0.5,0.5,0.40909,0.45,0.49948,0.7356957395871481,2.207087218761444,1714075333,,False,9,6ef1974a,2024-04-25_22-02-13,4.324876308441162,39.077537536621094,10936,AT-MB-PC-E13,127.0.0.1,39.077537536621094,9,32,1,0.5,1e-05
0.51903,0.5241,0.3042,0.38496,0.5174,0.7552849493528667,14.350414037704468,0.5,0.5,0.18182,0.26667,0.49638,0.7311216592788696,2.193364977836609,1714075337,,False,10,6ef1974a,2024-04-25_22-02-17,4.602028846740723,43.679566383361816,10936,AT-MB-PC-E13,127.0.0.1,43.679566383361816,10,32,1,0.5,1e-05
0.52595,0.53261,0.34266,0.41702,0.53113,0.7594556432021292,14.429657220840454,0.5,0.5,0.36364,0.42105,0.50232,0.7195105950037638,2.1585317850112915,1714075342,,False,11,6ef1974a,2024-04-25_22-02-22,4.335048675537109,48.014615058898926,10936,AT-MB-PC-E13,127.0.0.1,48.014615058898926,11,32,1,0.5,1e-05
0.49481,0.48585,0.36014,0.41365,0.49629,0.7673322558403015,14.579312860965729,0.5,0.5,0.45455,0.47619,0.49871,0.717685878276825,2.153057634830475,1714075346,,False,12,6ef1974a,2024-04-25_22-02-26,4.145879745483398,52.160494804382324,10936,AT-MB-PC-E13,127.0.0.1,52.160494804382324,12,32,1,0.5,1e-05
0.51211,0.50893,0.3986,0.44706,0.50008,0.7469922398266039,14.192852556705475,0.5,0.5,0.36364,0.42105,0.49923,0.7196418046951294,2.158925414085388,1714075350,,False,13,6ef1974a,2024-04-25_22-02-30,4.402938604354858,56.56343340873718,10936,AT-MB-PC-E13,127.0.0.1,56.56343340873718,13,32,1,0.5,1e-05
0.50173,0.49524,0.36364,0.41935,0.51055,0.7237895758528459,13.752001941204071,0.5,0.5,0.40909,0.45,0.49819,0.7226839462916056,2.168051838874817,1714075355,,False,14,6ef1974a,2024-04-25_22-02-35,4.79764723777771,61.36108064651489,10936,AT-MB-PC-E13,127.0.0.1,61.36108064651489,14,32,1,0.5,1e-05
0.50692,0.50222,0.3951,0.44227,0.50156,0.7517828627636558,14.28387439250946,0.5,0.5,0.5,0.5,0.50181,0.722173810005188,2.166521430015564,1714075359,,False,15,6ef1974a,2024-04-25_22-02-39,4.374203205108643,65.73528385162354,10936,AT-MB-PC-E13,127.0.0.1,65.73528385162354,15,32,1,0.5,1e-05
0.4654,0.45344,0.39161,0.42026,0.46941,0.747515574881905,14.202795922756195,0.5,0.5,0.63636,0.56,0.5,0.7137006719907125,2.1411020159721375,1714075363,,False,16,6ef1974a,2024-04-25_22-02-43,4.121363162994385,69.85664701461792,10936,AT-MB-PC-E13,127.0.0.1,69.85664701461792,16,32,1,0.5,1e-05
