train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.49827,0.48889,0.30769,0.37768,0.47581,1.3154355036584955,24.993274569511414,0.5,0.5,0.27273,0.35294,0.49819,0.9360258380572001,2.8080775141716003,1714938045,,False,1,113b8f61,2024-05-05_21-40-45,8.334520816802979,8.334520816802979,33896,AT-MB-PC-E13,127.0.0.1,8.334520816802979,1,256,1,0.5,0.001
0.5173,0.51977,0.32168,0.39741,0.50794,0.8468875790897169,16.09086400270462,0.5,0.5,0.36364,0.42105,0.49793,0.7322314182917277,2.196694254875183,1714938053,,False,2,113b8f61,2024-05-05_21-40-53,7.545629501342773,15.880150318145752,33896,AT-MB-PC-E13,127.0.0.1,15.880150318145752,2,256,1,0.5,0.001
0.50692,0.50216,0.40559,0.44874,0.50675,0.7542277072605333,14.330326437950134,0.5,0.5,0.72727,0.59259,0.49793,0.7279573480288187,2.1838720440864563,1714938061,,False,3,113b8f61,2024-05-05_21-41-01,7.521555185317993,23.401705503463745,33896,AT-MB-PC-E13,127.0.0.1,23.401705503463745,3,256,1,0.5,0.001
0.45675,0.43204,0.31119,0.36179,0.46295,0.7405903590352911,14.071216821670532,0.5,0.5,0.59091,0.54167,0.49535,0.7236601710319519,2.1709805130958557,1714938068,,False,4,113b8f61,2024-05-05_21-41-08,7.879478216171265,31.28118371963501,33896,AT-MB-PC-E13,127.0.0.1,31.28118371963501,4,256,1,0.5,0.001
0.50346,0.4978,0.3951,0.44055,0.50721,0.720928364678433,13.697638928890228,0.5,0.5,0.86364,0.63333,0.50723,0.7696313063303629,2.308893918991089,1714938076,,False,5,113b8f61,2024-05-05_21-41-16,7.910301923751831,39.19148564338684,33896,AT-MB-PC-E13,127.0.0.1,39.19148564338684,5,256,1,0.5,0.001
0.47232,0.4636,0.42308,0.44241,0.45446,0.7645736713158456,14.526899755001068,0.5,0.5,0.13636,0.21429,0.50181,0.7960735559463501,2.3882206678390503,1714938084,,False,6,113b8f61,2024-05-05_21-41-24,7.378481864929199,46.56996750831604,33896,AT-MB-PC-E13,127.0.0.1,46.56996750831604,6,256,1,0.5,0.001
0.4827,0.4739,0.41259,0.44112,0.50692,0.7279282149515653,13.830636084079742,0.5,0.5,0.27273,0.35294,0.50258,0.8504251837730408,2.5512755513191223,1714938091,,False,7,113b8f61,2024-05-05_21-41-31,7.264638185501099,53.83460569381714,33896,AT-MB-PC-E13,127.0.0.1,53.83460569381714,7,256,1,0.5,0.001
0.48789,0.48239,0.47902,0.4807,0.49649,0.7075685325421786,13.443802118301392,0.5,0.5,0.13636,0.21429,0.49974,0.7877464890480042,2.3632394671440125,1714938099,,False,8,113b8f61,2024-05-05_21-41-39,7.694398641586304,61.52900433540344,33896,AT-MB-PC-E13,127.0.0.1,61.52900433540344,8,256,1,0.5,0.001
0.50865,0.5036,0.48951,0.49645,0.49986,0.7376308441162109,14.014986038208008,0.5,0.5,0.90909,0.64516,0.50387,0.729150394598643,2.187451183795929,1714938106,,False,9,113b8f61,2024-05-05_21-41-46,7.6543262004852295,69.18333053588867,33896,AT-MB-PC-E13,127.0.0.1,69.18333053588867,9,256,1,0.5,0.001
0.48097,0.46903,0.37063,0.41406,0.45526,0.7230863853504783,13.738641321659088,0.5,0.5,0.36364,0.42105,0.49716,0.7349616289138794,2.204884886741638,1714938114,,False,10,113b8f61,2024-05-05_21-41-54,7.52712345123291,76.71045398712158,33896,AT-MB-PC-E13,127.0.0.1,76.71045398712158,10,256,1,0.5,0.001
0.50692,0.50195,0.45105,0.47514,0.48464,0.718728244304657,13.655836641788483,0.5,0.5,0.13636,0.21429,0.50336,0.7217179934183756,2.165153980255127,1714938121,,False,11,113b8f61,2024-05-05_21-42-01,7.386737585067749,84.09719157218933,33896,AT-MB-PC-E13,127.0.0.1,84.09719157218933,11,256,1,0.5,0.001
0.51211,0.50704,0.5035,0.50526,0.52542,0.6998190095550135,13.296561181545258,0.5,0.5,1.0,0.66667,0.50258,0.7194745540618896,2.158423662185669,1714938128,,False,12,113b8f61,2024-05-05_21-42-08,6.9619460105896,91.05913758277893,33896,AT-MB-PC-E13,127.0.0.1,91.05913758277893,12,256,1,0.5,0.001
0.49308,0.48805,0.5,0.49396,0.48931,0.7133775416173433,13.554173290729523,0.5,0.5,0.27273,0.35294,0.50336,0.7107121149698893,2.132136344909668,1714938136,,False,13,113b8f61,2024-05-05_21-42-16,7.727307081222534,98.78644466400146,33896,AT-MB-PC-E13,127.0.0.1,98.78644466400146,13,256,1,0.5,0.001
0.50519,0.5,0.38811,0.43701,0.49143,0.6978422968011153,13.259003639221191,0.5,0.5,0.31818,0.38889,0.49845,0.7270790934562683,2.181237280368805,1714938143,,False,14,113b8f61,2024-05-05_21-42-23,7.5418541431427,106.32829880714417,33896,AT-MB-PC-E13,127.0.0.1,106.32829880714417,14,256,1,0.5,0.001
0.46194,0.46269,0.54196,0.49919,0.44585,0.7204567946885762,13.688679099082947,0.48864,0.49412,0.95455,0.65116,0.50026,0.7096647222836813,2.1289941668510437,1714938151,,True,15,113b8f61,2024-05-05_21-42-31,7.781677961349487,114.10997676849365,33896,AT-MB-PC-E13,127.0.0.1,114.10997676849365,15,256,1,0.5,0.001
