train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.4827,0.48434,0.7028,0.57347,0.49343,0.8951600178291923,17.008040338754654,0.5,0.0,0.0,0.0,0.5062,1.0103006958961487,3.030902087688446,1714938893,,False,1,348d5ca9,2024-05-05_21-54-53,41.87654972076416,41.87654972076416,37308,AT-MB-PC-E13,127.0.0.1,41.87654972076416,1,256,6,0.0,1e-05
0.48443,0.48544,0.6993,0.57307,0.48645,0.9128874383474651,17.344861328601837,0.5,0.5,0.31818,0.38889,0.4969,0.7711096405982971,2.3133289217948914,1714938934,,False,2,348d5ca9,2024-05-05_21-55-34,41.17064619064331,83.04719591140747,37308,AT-MB-PC-E13,127.0.0.1,83.04719591140747,2,256,6,0.0,1e-05
0.49827,0.49517,0.71678,0.58571,0.48977,0.8161705646075701,15.50724072754383,0.5,0.5,0.63636,0.56,0.49819,0.7879600922266642,2.3638802766799927,1714938975,,False,3,348d5ca9,2024-05-05_21-56-15,40.163063287734985,123.21025919914246,37308,AT-MB-PC-E13,127.0.0.1,123.21025919914246,3,256,6,0.0,1e-05
0.48616,0.48628,0.68182,0.56769,0.49254,0.7758905762120297,14.741920948028564,0.5,0.5,0.63636,0.56,0.49509,0.7403310139973959,2.2209930419921875,1714939016,,False,4,348d5ca9,2024-05-05_21-56-56,41.08552026748657,164.29577946662903,37308,AT-MB-PC-E13,127.0.0.1,164.29577946662903,4,256,6,0.0,1e-05
0.49654,0.49267,0.58741,0.53589,0.4814,0.7398992494532937,14.05808573961258,0.5,0.5,0.5,0.5,0.49354,0.7397141059239706,2.2191423177719116,1714939057,,False,5,348d5ca9,2024-05-05_21-57-37,40.97780227661133,205.27358174324036,37308,AT-MB-PC-E13,127.0.0.1,205.27358174324036,5,256,6,0.0,1e-05
0.4827,0.47782,0.48951,0.48359,0.48559,0.7460625014807049,14.175187528133392,0.5,0.5,0.54545,0.52174,0.49768,0.723830779393514,2.171492338180542,1714939098,,False,6,348d5ca9,2024-05-05_21-58-18,41.19353461265564,246.467116355896,37308,AT-MB-PC-E13,127.0.0.1,246.467116355896,6,256,6,0.0,1e-05
0.51384,0.50877,0.50699,0.50788,0.51315,0.7199316181634602,13.678700745105743,0.5,0.5,0.45455,0.47619,0.49871,0.7278802990913391,2.1836408972740173,1714939139,,False,7,348d5ca9,2024-05-05_21-58-59,41.382489919662476,287.8496062755585,37308,AT-MB-PC-E13,127.0.0.1,287.8496062755585,7,256,6,0.0,1e-05
0.51038,0.50519,0.51049,0.50783,0.49745,0.7174119698373895,13.6308274269104,0.5,0.5,0.22727,0.3125,0.5,0.7470364371935526,2.241109311580658,1714939179,,False,8,348d5ca9,2024-05-05_21-59-39,40.30753469467163,328.1571409702301,37308,AT-MB-PC-E13,127.0.0.1,328.1571409702301,8,256,6,0.0,1e-05
0.48962,0.48315,0.45105,0.46655,0.49547,0.7032089703961423,13.360970437526703,0.5,0.5,0.31818,0.38889,0.5,0.7365716695785522,2.2097150087356567,1714939221,,False,9,348d5ca9,2024-05-05_22-00-21,41.21453905105591,369.371680021286,37308,AT-MB-PC-E13,127.0.0.1,369.371680021286,9,256,6,0.0,1e-05
0.49135,0.48561,0.47203,0.47872,0.47697,0.7220414845567,13.718788206577301,0.5,0.5,0.27273,0.35294,0.49587,0.724331001440684,2.172993004322052,1714939262,,False,10,348d5ca9,2024-05-05_22-01-02,41.330249547958374,410.7019295692444,37308,AT-MB-PC-E13,127.0.0.1,410.7019295692444,10,256,6,0.0,1e-05
