train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_mean_loss,test_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.5002,0.50025,0.40382,0.44689,0.50008,0.716468921823557,1232.326545536518,0.49991,0.49989,0.40324,0.44639,0.49975,0.7206855525112932,264.4915977716446,0.50051,0.50065,0.39603,0.44223,0.49994,0.7217563516473117,263.44106835126877,1713417890,,False,1,3c7ec093,2024-04-18_07-24-50,642.6152727603912,642.6152727603912,17060,AT-MB-PC-E13,127.0.0.1,642.6152727603912,1,3
0.89639,0.89954,0.89246,0.89598,0.97501,0.19047879802799503,327.62353260815144,0.93203,0.97331,0.88842,0.92893,0.98942,0.13109385903368956,48.111446265364066,0.94108,0.97387,0.90647,0.93896,0.99177,0.11736591053195297,42.83855734416284,1713418485,,False,2,3c7ec093,2024-04-18_07-34-45,595.1533012390137,1237.768573999405,17060,AT-MB-PC-E13,127.0.0.1,1237.768573999405,2,3
0.96064,0.96243,0.9587,0.96056,0.99562,0.08435811538084784,145.09595845505828,0.93612,0.91357,0.96337,0.93781,0.99118,0.10978913033336378,40.29261083234451,0.95529,0.94404,0.96797,0.95585,0.99526,0.08476761531575953,30.940179590252228,1713419079,,False,3,3c7ec093,2024-04-18_07-44-39,594.3985159397125,1832.1670899391174,17060,AT-MB-PC-E13,127.0.0.1,1832.1670899391174,3,3
0.96468,0.96517,0.96415,0.96466,0.99661,0.07284073290935593,125.2860606040922,0.93756,0.96539,0.90767,0.93564,0.99146,0.12223404331749105,44.859893897519214,0.94621,0.96971,0.92121,0.94483,0.99314,0.10931980671322815,39.901729450328276,1713419676,,False,4,3c7ec093,2024-04-18_07-54-36,596.9239151477814,2429.091005086899,17060,AT-MB-PC-E13,127.0.0.1,2429.091005086899,4,3
0.967,0.96597,0.9681,0.96703,0.99699,0.06838317328548264,117.61905805103015,0.93595,0.91168,0.96542,0.93778,0.99115,0.11952197850555038,43.86456611153699,0.9493,0.93127,0.9702,0.95034,0.99395,0.09802922573901812,35.78066739474161,1713420271,,False,5,3c7ec093,2024-04-18_08-04-31,594.8808665275574,3023.971871614456,17060,AT-MB-PC-E13,127.0.0.1,3023.971871614456,5,3
0.96794,0.96839,0.96746,0.96793,0.99718,0.06613013042254796,113.74382432678249,0.93646,0.96769,0.90307,0.93426,0.99164,0.10480173439807601,38.462236524093896,0.94853,0.96751,0.92823,0.94746,0.9939,0.09323984994553029,34.03254523011856,1713420866,,False,6,3c7ec093,2024-04-18_08-14-26,594.6824476718903,3618.6543192863464,17060,AT-MB-PC-E13,127.0.0.1,3618.6543192863464,6,3
0.96835,0.96808,0.96864,0.96836,0.99729,0.06406887696522845,110.19846838019294,0.93654,0.91919,0.95724,0.93783,0.99179,0.11072981682458857,40.637842774624005,0.95075,0.94205,0.9606,0.95123,0.99453,0.09677301896145976,35.32215192093281,1713421464,,False,7,3c7ec093,2024-04-18_08-24-24,598.1018936634064,4216.756212949753,17060,AT-MB-PC-E13,127.0.0.1,4216.756212949753,7,3
0.96886,0.96723,0.9706,0.96891,0.99734,0.06361381851065956,109.41576783833443,0.94029,0.91558,0.97002,0.94201,0.99271,0.09835658381255001,36.096866259205854,0.95178,0.93849,0.96694,0.9525,0.99507,0.08537837860967058,31.163108192529762,1713422072,,False,8,3c7ec093,2024-04-18_08-34-32,607.9956171512604,4824.751830101013,17060,AT-MB-PC-E13,127.0.0.1,4824.751830101013,8,3
0.97003,0.97174,0.96822,0.96998,0.99758,0.06044713801441736,103.96907738479786,0.94676,0.92914,0.96729,0.94783,0.99383,0.09097454851231225,33.3876593040186,0.95247,0.93799,0.969,0.95324,0.99508,0.08300446644281867,30.296630251628812,1713422674,,False,9,3c7ec093,2024-04-18_08-44-34,602.31192445755,5427.063754558563,17060,AT-MB-PC-E13,127.0.0.1,5427.063754558563,9,3
0.96948,0.96975,0.96919,0.96947,0.9974,0.06208247812860781,106.78186238120543,0.94199,0.90775,0.98399,0.94433,0.99261,0.10328424008063876,37.90531610959442,0.94878,0.91893,0.98441,0.95055,0.99372,0.09433988675017432,34.43405866381363,1713423273,,False,10,3c7ec093,2024-04-18_08-54-33,598.3581566810608,6025.421911239624,17060,AT-MB-PC-E13,127.0.0.1,6025.421911239624,10,3
