train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mean_loss,train_sum_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/modules/1/times
0.50005,0.50006,0.41296,0.45236,0.49986,0.7165161138161634,223.553027510643,0.5004,0.5005,0.4014,0.4455,0.50009,0.7208748309376141,225.6338220834732,1713884132,,False,1,d27a651f,2024-04-23_16-55-32,127.18796372413635,127.18796372413635,36800,AT-MB-PC-E13,127.0.0.1,127.18796372413635,1,3
0.70853,0.71001,0.70503,0.70751,0.81328,0.48936681740750104,152.68244703114033,0.8614,0.93838,0.7736,0.84806,0.9546,0.2776088423479479,86.8915676549077,1713884231,,False,2,d27a651f,2024-04-23_16-57-11,98.25737500190735,225.4453387260437,36800,AT-MB-PC-E13,127.0.0.1,225.4453387260437,2,3
0.91041,0.91251,0.90785,0.91018,0.98004,0.1769445856125691,55.20671071112156,0.8935,0.93966,0.841,0.8876,0.97528,0.19421150330037545,60.788200533017516,1713884333,,False,3,d27a651f,2024-04-23_16-58-53,102.09066224098206,327.53600096702576,36800,AT-MB-PC-E13,127.0.0.1,327.53600096702576,3,3
0.94621,0.94774,0.94451,0.94612,0.99189,0.1149130819980294,35.85288158338517,0.9181,0.92777,0.9068,0.91716,0.98442,0.15721689968387753,49.20888960105367,1713884439,,False,4,d27a651f,2024-04-23_17-00-39,106.38293123245239,433.91893219947815,36800,AT-MB-PC-E13,127.0.0.1,433.91893219947815,4,3
0.95112,0.95067,0.95162,0.95115,0.99304,0.1073860187211838,33.50443784100935,0.9152,0.92822,0.9,0.91389,0.98234,0.17299930977161987,54.148783958517015,1713884543,,False,5,d27a651f,2024-04-23_17-02-23,104.45637130737305,538.3753035068512,36800,AT-MB-PC-E13,127.0.0.1,538.3753035068512,5,3
0.95868,0.95653,0.96104,0.95878,0.99478,0.09143639573206504,28.528155468404293,0.9172,0.8779,0.9692,0.92129,0.98393,0.17823623473815153,55.78794147304143,1713884634,,False,6,d27a651f,2024-04-23_17-03-54,90.57477641105652,628.9500799179077,36800,AT-MB-PC-E13,127.0.0.1,628.9500799179077,6,3
0.95994,0.95994,0.95994,0.95994,0.99521,0.0882021099797641,27.5190583136864,0.923,0.88651,0.9702,0.92647,0.9859,0.15264024556920933,47.77639686316252,1713884725,,False,7,d27a651f,2024-04-23_17-05-25,91.30084252357483,720.2509224414825,36800,AT-MB-PC-E13,127.0.0.1,720.2509224414825,7,3
0.96259,0.96347,0.96164,0.96255,0.99575,0.0826691587148488,25.792777519032825,0.9195,0.90406,0.9386,0.92101,0.98545,0.1591403681087306,49.81093521803268,1713884844,,False,8,d27a651f,2024-04-23_17-07-24,118.37183380126953,838.6227562427521,36800,AT-MB-PC-E13,127.0.0.1,838.6227562427521,8,3
0.96309,0.96425,0.96184,0.96304,0.99598,0.07978659341087899,24.893417144194245,0.921,0.96386,0.8748,0.91717,0.98671,0.1396382691947886,43.706778257968836,1713884967,,False,9,d27a651f,2024-04-23_17-09-27,123.26999282836914,961.8927490711212,36800,AT-MB-PC-E13,127.0.0.1,961.8927490711212,9,3
0.96364,0.96476,0.96244,0.9636,0.99584,0.08089927551396286,25.240573960356414,0.9321,0.89854,0.9742,0.93484,0.98946,0.1256512301064992,39.32883502333425,1713885090,,True,10,d27a651f,2024-04-23_17-11-30,123.19455814361572,1085.087307214737,36800,AT-MB-PC-E13,127.0.0.1,1085.087307214737,10,3
