train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.45,0.09,0.49,1.1115663640639362,188.96628189086914,0.07,0.45,0.09,0.49,1.1588682198524476,28.971705496311188,1712424080,,False,1,99da0fb6,2024-04-06_19-21-20,56.71840238571167,56.71840238571167,27592,AT-MB-PC-EOS,127.0.0.1,56.71840238571167,1,128,3,0.0,0.0001
0.08,0.7,0.09,0.5,0.6195612528744866,105.32541298866272,0.07,0.83,0.12,0.52,0.478223352432251,11.955583810806274,1712424126,,False,2,99da0fb6,2024-04-06_19-22-06,45.91985559463501,102.63825798034668,27592,AT-MB-PC-EOS,127.0.0.1,102.63825798034668,2,128,3,0.0,0.0001
0.08,0.86,0.12,0.54,0.4171485394239426,70.91525170207024,0.07,0.9,0.16,0.56,0.3629621195793152,9.07405298948288,1712424170,,False,3,99da0fb6,2024-04-06_19-22-50,43.95394277572632,146.592200756073,27592,AT-MB-PC-EOS,127.0.0.1,146.592200756073,3,128,3,0.0,0.0001
0.08,0.9,0.16,0.58,0.33329065135296654,56.65941073000431,0.07,0.92,0.17,0.6,0.3003241711854935,7.508104279637337,1712424217,,False,4,99da0fb6,2024-04-06_19-23-37,46.68891191482544,193.28111267089844,27592,AT-MB-PC-EOS,127.0.0.1,193.28111267089844,4,128,3,0.0,0.0001
0.08,0.92,0.18,0.61,0.2925218881053083,49.72872097790241,0.07,0.92,0.2,0.63,0.2764590817689896,6.911477044224739,1712424265,,False,5,99da0fb6,2024-04-06_19-24-25,48.36019229888916,241.6413049697876,27592,AT-MB-PC-EOS,127.0.0.1,241.6413049697876,5,128,3,0.0,0.0001
0.08,0.92,0.2,0.64,0.2709036532570334,46.05362105369568,0.07,0.92,0.2,0.62,0.2663625317811966,6.659063294529915,1712424312,,False,6,99da0fb6,2024-04-06_19-25-12,47.141740560531616,288.7830455303192,27592,AT-MB-PC-EOS,127.0.0.1,288.7830455303192,6,128,3,0.0,0.0001
0.08,0.92,0.22,0.67,0.25667834619388863,43.63531885296106,0.07,0.91,0.24,0.71,0.2730164158344269,6.825410395860672,1712424359,,False,7,99da0fb6,2024-04-06_19-25-59,47.47126364707947,336.2543091773987,27592,AT-MB-PC-EOS,127.0.0.1,336.2543091773987,7,128,3,0.0,0.0001
0.08,0.92,0.25,0.7,0.24452890236588085,41.569913402199745,0.07,0.93,0.23,0.68,0.23993202179670334,5.9983005449175835,1712424406,,False,8,99da0fb6,2024-04-06_19-26-46,46.592976331710815,382.8472855091095,27592,AT-MB-PC-EOS,127.0.0.1,382.8472855091095,8,128,3,0.0,0.0001
0.08,0.92,0.27,0.73,0.23512512103599661,39.97127057611942,0.07,0.92,0.24,0.72,0.23582904398441315,5.895726099610329,1712424453,,False,9,99da0fb6,2024-04-06_19-27-33,46.8112735748291,429.6585590839386,27592,AT-MB-PC-EOS,127.0.0.1,429.6585590839386,9,128,3,0.0,0.0001
0.08,0.93,0.28,0.74,0.22907097620122574,38.942065954208374,0.07,0.92,0.23,0.72,0.2365140923857689,5.912852309644222,1712424501,,False,10,99da0fb6,2024-04-06_19-28-21,47.8934805393219,477.5520396232605,27592,AT-MB-PC-EOS,127.0.0.1,477.5520396232605,10,128,3,0.0,0.0001
