train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.56,0.09,0.51,0.9829268795602462,167.09756952524185,0.07,0.54,0.09,0.5,1.08418625831604,27.104656457901,1712599502,,False,1,339543a1,2024-04-08_20-05-02,163.82433772087097,163.82433772087097,23396,AT-MB-PC-EOS,127.0.0.1,163.82433772087097,1,128,3,0.0,0.001
0.08,0.89,0.1,0.53,0.35631520686780704,60.5735851675272,0.07,0.92,0.13,0.57,0.30214082896709443,7.5535207241773605,1712599659,,False,2,339543a1,2024-04-08_20-07-39,156.999281167984,320.823618888855,23396,AT-MB-PC-EOS,127.0.0.1,320.823618888855,2,128,3,0.0,0.001
0.08,0.92,0.15,0.6,0.2921147009905647,49.659499168395996,0.07,0.9,0.2,0.66,0.2929029273986816,7.322573184967041,1712599829,,False,3,339543a1,2024-04-08_20-10-29,169.96921563148499,490.79283452033997,23396,AT-MB-PC-EOS,127.0.0.1,490.79283452033997,3,128,3,0.0,0.001
0.08,0.92,0.18,0.66,0.2637111765496871,44.83090001344681,0.07,0.92,0.17,0.57,0.2835191339254379,7.087978348135948,1712599994,,False,4,339543a1,2024-04-08_20-13-14,165.48440980911255,656.2772443294525,23396,AT-MB-PC-EOS,127.0.0.1,656.2772443294525,4,128,3,0.0,0.001
0.08,0.92,0.21,0.69,0.25218310996013527,42.871128693223,0.07,0.92,0.18,0.61,0.3363093090057373,8.407732725143433,1712600166,,False,5,339543a1,2024-04-08_20-16-06,171.93469762802124,828.2119419574738,23396,AT-MB-PC-EOS,127.0.0.1,828.2119419574738,5,128,3,0.0,0.001
0.08,0.92,0.23,0.72,0.23899665369706996,40.62943112850189,0.07,0.93,0.22,0.68,0.2947737216949463,7.369343042373657,1712600351,,False,6,339543a1,2024-04-08_20-19-11,184.94077897071838,1013.1527209281921,23396,AT-MB-PC-EOS,127.0.0.1,1013.1527209281921,6,128,3,0.0,0.001
0.08,0.92,0.26,0.74,0.22978589802103885,39.0636026635766,0.07,0.93,0.21,0.67,0.27677782893180847,6.919445723295212,1712600531,,False,7,339543a1,2024-04-08_20-22-11,180.10062623023987,1193.253347158432,23396,AT-MB-PC-EOS,127.0.0.1,1193.253347158432,7,128,3,0.0,0.001
0.08,0.93,0.26,0.75,0.2305421274374513,39.19216166436672,0.07,0.93,0.27,0.7,0.2299143436551094,5.747858591377735,1712600715,,False,8,339543a1,2024-04-08_20-25-15,183.53524494171143,1376.7885921001434,23396,AT-MB-PC-EOS,127.0.0.1,1376.7885921001434,8,128,3,0.0,0.001
0.08,0.93,0.3,0.77,0.22077801043496412,37.5322617739439,0.07,0.93,0.23,0.7,0.24315139770507813,6.078784942626953,1712600904,,False,9,339543a1,2024-04-08_20-28-24,189.20212578773499,1565.9907178878784,23396,AT-MB-PC-EOS,127.0.0.1,1565.9907178878784,9,128,3,0.0,0.001
0.08,0.93,0.29,0.76,0.22091968756388217,37.556346885859966,0.07,0.93,0.29,0.74,0.2552022784948349,6.3800569623708725,1712601004,,False,10,339543a1,2024-04-08_20-30-04,99.67552709579468,1665.666244983673,23396,AT-MB-PC-EOS,127.0.0.1,1665.666244983673,10,128,3,0.0,0.001
0.08,0.93,0.3,0.77,0.21989535882192499,37.38221099972725,0.07,0.93,0.28,0.74,0.2194010618329048,5.48502654582262,1712601128,,False,11,339543a1,2024-04-08_20-32-08,124.24916934967041,1789.9154143333435,23396,AT-MB-PC-EOS,127.0.0.1,1789.9154143333435,11,128,3,0.0,0.001
0.08,0.93,0.33,0.78,0.21396254862056058,36.3736332654953,0.07,0.93,0.29,0.72,0.23254164636135102,5.813541159033775,1712601251,,False,12,339543a1,2024-04-08_20-34-11,123.38741517066956,1913.302829504013,23396,AT-MB-PC-EOS,127.0.0.1,1913.302829504013,12,128,3,0.0,0.001
0.08,0.93,0.33,0.79,0.21279935718459242,36.17589072138071,0.07,0.93,0.32,0.75,0.215704830288887,5.392620757222176,1712601384,,False,13,339543a1,2024-04-08_20-36-24,132.31146717071533,2045.6142966747284,23396,AT-MB-PC-EOS,127.0.0.1,2045.6142966747284,13,128,3,0.0,0.001
0.08,0.93,0.34,0.79,0.20977734152008506,35.66214805841446,0.07,0.93,0.27,0.71,0.24564530849456787,6.141132712364197,1712601509,,False,14,339543a1,2024-04-08_20-38-29,125.70649766921997,2171.3207943439484,23396,AT-MB-PC-EOS,127.0.0.1,2171.3207943439484,14,128,3,0.0,0.001
0.08,0.93,0.37,0.8,0.20589577244485127,35.002281315624714,0.07,0.93,0.32,0.78,0.22110883831977846,5.527720957994461,1712601641,,False,15,339543a1,2024-04-08_20-40-41,132.14749240875244,2303.468286752701,23396,AT-MB-PC-EOS,127.0.0.1,2303.468286752701,15,128,3,0.0,0.001
0.08,0.93,0.36,0.81,0.203598453893381,34.61173716187477,0.07,0.93,0.33,0.77,0.21340868294239043,5.335217073559761,1712601793,,False,16,339543a1,2024-04-08_20-43-13,151.06935834884644,2454.5376451015472,23396,AT-MB-PC-EOS,127.0.0.1,2454.5376451015472,16,128,3,0.0,0.001
0.08,0.93,0.38,0.82,0.1996669565930086,33.94338262081146,0.07,0.93,0.32,0.76,0.21124631345272063,5.281157836318016,1712601938,,False,17,339543a1,2024-04-08_20-45-38,145.164963722229,2599.7026088237762,23396,AT-MB-PC-EOS,127.0.0.1,2599.7026088237762,17,128,3,0.0,0.001
0.08,0.93,0.38,0.82,0.20004705177510487,34.007998801767826,0.07,0.93,0.31,0.76,0.21371050000190736,5.342762500047684,1712602060,,False,18,339543a1,2024-04-08_20-47-40,122.42234468460083,2722.124953508377,23396,AT-MB-PC-EOS,127.0.0.1,2722.124953508377,18,128,3,0.0,0.001
0.08,0.93,0.39,0.82,0.19664250125779825,33.4292252138257,0.07,0.93,0.33,0.76,0.21327732920646666,5.331933230161667,1712602172,,False,19,339543a1,2024-04-08_20-49-32,111.77646946907043,2833.9014229774475,23396,AT-MB-PC-EOS,127.0.0.1,2833.9014229774475,19,128,3,0.0,0.001
0.08,0.93,0.4,0.82,0.19713420644402505,33.51281509548426,0.07,0.93,0.35,0.78,0.21240124195814133,5.310031048953533,1712602295,,False,20,339543a1,2024-04-08_20-51-35,123.17690920829773,2957.0783321857452,23396,AT-MB-PC-EOS,127.0.0.1,2957.0783321857452,20,128,3,0.0,0.001
0.08,0.93,0.4,0.82,0.19517142400145532,33.1791420802474,0.07,0.93,0.33,0.76,0.2239863568544388,5.5996589213609695,1712602409,,False,21,339543a1,2024-04-08_20-53-29,114.26894855499268,3071.347280740738,23396,AT-MB-PC-EOS,127.0.0.1,3071.347280740738,21,128,3,0.0,0.001
0.08,0.93,0.43,0.83,0.19222921001560547,32.67896570265293,0.07,0.93,0.36,0.78,0.20888971626758576,5.222242906689644,1712602532,,False,22,339543a1,2024-04-08_20-55-32,122.66472721099854,3194.0120079517365,23396,AT-MB-PC-EOS,127.0.0.1,3194.0120079517365,22,128,3,0.0,0.001
0.08,0.93,0.43,0.83,0.19089055368128946,32.451394125819206,0.07,0.93,0.36,0.78,0.20860219299793242,5.215054824948311,1712602650,,False,23,339543a1,2024-04-08_20-57-30,117.84252548217773,3311.854533433914,23396,AT-MB-PC-EOS,127.0.0.1,3311.854533433914,23,128,3,0.0,0.001
0.08,0.93,0.44,0.84,0.18736186509623248,31.85151706635952,0.07,0.93,0.31,0.76,0.24304011344909668,6.076002836227417,1712602771,,False,24,339543a1,2024-04-08_20-59-31,121.15490198135376,3433.009435415268,23396,AT-MB-PC-EOS,127.0.0.1,3433.009435415268,24,128,3,0.0,0.001
0.08,0.93,0.44,0.84,0.18668226713643354,31.735985413193703,0.07,0.93,0.35,0.78,0.21105584025382995,5.276396006345749,1712602889,,False,25,339543a1,2024-04-08_21-01-29,117.67817711830139,3550.6876125335693,23396,AT-MB-PC-EOS,127.0.0.1,3550.6876125335693,25,128,3,0.0,0.001
0.08,0.93,0.45,0.84,0.18763591642765437,31.898105792701244,0.07,0.94,0.36,0.78,0.22584182322025298,5.646045580506325,1712603011,,False,26,339543a1,2024-04-08_21-03-31,122.58928990364075,3673.27690243721,23396,AT-MB-PC-EOS,127.0.0.1,3673.27690243721,26,128,3,0.0,0.001
0.08,0.94,0.46,0.85,0.18285828552701894,31.08590853959322,0.07,0.93,0.33,0.76,0.21965516448020936,5.491379112005234,1712603115,,False,27,339543a1,2024-04-08_21-05-15,103.51021313667297,3776.787115573883,23396,AT-MB-PC-EOS,127.0.0.1,3776.787115573883,27,128,3,0.0,0.001
0.08,0.94,0.46,0.85,0.1839997880599078,31.279963970184326,0.07,0.93,0.33,0.78,0.21623633682727814,5.405908420681953,1712603231,,False,28,339543a1,2024-04-08_21-07-11,116.66442918777466,3893.4515447616577,23396,AT-MB-PC-EOS,127.0.0.1,3893.4515447616577,28,128,3,0.0,0.001
0.08,0.94,0.46,0.85,0.18203337933210767,30.9456744864583,0.07,0.94,0.39,0.81,0.1943274474143982,4.858186185359955,1712603351,,False,29,339543a1,2024-04-08_21-09-11,119.5586187839508,4013.0101635456085,23396,AT-MB-PC-EOS,127.0.0.1,4013.0101635456085,29,128,3,0.0,0.001
0.08,0.94,0.48,0.86,0.17833434755311292,30.316839084029198,0.07,0.93,0.4,0.8,0.19857287764549256,4.964321941137314,1712603458,,False,30,339543a1,2024-04-08_21-10-58,106.86622142791748,4119.876384973526,23396,AT-MB-PC-EOS,127.0.0.1,4119.876384973526,30,128,3,0.0,0.001
0.08,0.94,0.48,0.86,0.17884349047261125,30.403393380343914,0.07,0.93,0.35,0.8,0.2090449607372284,5.22612401843071,1712603576,,False,31,339543a1,2024-04-08_21-12-56,117.95549821853638,4237.831883192062,23396,AT-MB-PC-EOS,127.0.0.1,4237.831883192062,31,128,3,0.0,0.001
0.08,0.94,0.5,0.86,0.1757101227693698,29.870720870792866,0.07,0.93,0.36,0.8,0.20617614209651947,5.154403552412987,1712603688,,False,32,339543a1,2024-04-08_21-14-48,111.8529736995697,4349.684856891632,23396,AT-MB-PC-EOS,127.0.0.1,4349.684856891632,32,128,3,0.0,0.001
0.08,0.94,0.5,0.87,0.17381510532954159,29.548567906022072,0.07,0.93,0.37,0.8,0.20659666985273362,5.16491674631834,1712603805,,False,33,339543a1,2024-04-08_21-16-45,117.15521574020386,4466.840072631836,23396,AT-MB-PC-EOS,127.0.0.1,4466.840072631836,33,128,3,0.0,0.001
0.08,0.94,0.52,0.87,0.17286448391044842,29.38696226477623,0.07,0.93,0.37,0.79,0.2059914803504944,5.14978700876236,1712603918,,False,34,339543a1,2024-04-08_21-18-38,113.33987402915955,4580.1799466609955,23396,AT-MB-PC-EOS,127.0.0.1,4580.1799466609955,34,128,3,0.0,0.001
0.08,0.94,0.51,0.87,0.17210539211245143,29.257916659116745,0.07,0.93,0.36,0.8,0.20426266461610795,5.1065666154026985,1712604031,,False,35,339543a1,2024-04-08_21-20-31,113.07634687423706,4693.2562935352325,23396,AT-MB-PC-EOS,127.0.0.1,4693.2562935352325,35,128,3,0.0,0.001
0.08,0.94,0.51,0.87,0.17221520494888812,29.276584841310978,0.07,0.93,0.39,0.81,0.206330486536026,5.15826216340065,1712604146,,False,36,339543a1,2024-04-08_21-22-26,114.98028492927551,4808.236578464508,23396,AT-MB-PC-EOS,127.0.0.1,4808.236578464508,36,128,3,0.0,0.001
0.08,0.94,0.53,0.88,0.16925774326219278,28.773816354572773,0.07,0.93,0.38,0.8,0.20363033175468445,5.090758293867111,1712604259,,False,37,339543a1,2024-04-08_21-24-19,113.15306782722473,4921.389646291733,23396,AT-MB-PC-EOS,127.0.0.1,4921.389646291733,37,128,3,0.0,0.001
0.08,0.94,0.54,0.88,0.16688672847607555,28.370743840932846,0.07,0.93,0.39,0.8,0.20474369525909425,5.118592381477356,1712604376,,False,38,339543a1,2024-04-08_21-26-16,116.04900527000427,5037.438651561737,23396,AT-MB-PC-EOS,127.0.0.1,5037.438651561737,38,128,3,0.0,0.001
0.08,0.94,0.53,0.88,0.16686240857576623,28.36660945788026,0.07,0.94,0.41,0.81,0.20046787828207016,5.011696957051754,1712604487,,False,39,339543a1,2024-04-08_21-28-07,111.70037364959717,5149.139025211334,23396,AT-MB-PC-EOS,127.0.0.1,5149.139025211334,39,128,3,0.0,0.001
0.08,0.94,0.54,0.88,0.16546656577026142,28.129316180944443,0.07,0.93,0.41,0.8,0.20661522835493087,5.165380708873272,1712604603,,False,40,339543a1,2024-04-08_21-30-03,116.08469033241272,5265.223715543747,23396,AT-MB-PC-EOS,127.0.0.1,5265.223715543747,40,128,3,0.0,0.001
0.08,0.94,0.54,0.88,0.16677791243966889,28.35224511474371,0.07,0.93,0.36,0.79,0.20792183101177217,5.198045775294304,1712604716,,False,41,339543a1,2024-04-08_21-31-56,112.91766810417175,5378.141383647919,23396,AT-MB-PC-EOS,127.0.0.1,5378.141383647919,41,128,3,0.0,0.001
0.08,0.94,0.55,0.89,0.1625700636383365,27.636910818517208,0.07,0.93,0.38,0.81,0.20236650794744493,5.059162698686123,1712604833,,False,42,339543a1,2024-04-08_21-33-53,116.6201593875885,5494.761543035507,23396,AT-MB-PC-EOS,127.0.0.1,5494.761543035507,42,128,3,0.0,0.001
0.08,0.94,0.57,0.89,0.15863364049616982,26.96771888434887,0.07,0.93,0.39,0.8,0.2065335500240326,5.163338750600815,1712604946,,False,43,339543a1,2024-04-08_21-35-46,112.9737651348114,5607.735308170319,23396,AT-MB-PC-EOS,127.0.0.1,5607.735308170319,43,128,3,0.0,0.001
0.08,0.94,0.56,0.89,0.1631187702583916,27.730190943926573,0.07,0.94,0.42,0.82,0.20280305713415145,5.0700764283537865,1712605058,,False,44,339543a1,2024-04-08_21-37-38,112.07095956802368,5719.806267738342,23396,AT-MB-PC-EOS,127.0.0.1,5719.806267738342,44,128,3,0.0,0.001
0.08,0.94,0.58,0.9,0.1580158389666501,26.86269262433052,0.07,0.94,0.41,0.81,0.20191711753606797,5.047927938401699,1712605173,,False,45,339543a1,2024-04-08_21-39-33,114.83822631835938,5834.644494056702,23396,AT-MB-PC-EOS,127.0.0.1,5834.644494056702,45,128,3,0.0,0.001
0.08,0.94,0.59,0.9,0.1549133444095359,26.335268549621105,0.07,0.93,0.39,0.81,0.19651116520166398,4.912779130041599,1712605279,,False,46,339543a1,2024-04-08_21-41-19,106.42836284637451,5941.072856903076,23396,AT-MB-PC-EOS,127.0.0.1,5941.072856903076,46,128,3,0.0,0.001
0.08,0.94,0.59,0.9,0.15375519749872824,26.138383574783802,0.07,0.93,0.39,0.8,0.20246318265795707,5.061579566448927,1712605407,,False,47,339543a1,2024-04-08_21-43-27,111.51078343391418,6052.58364033699,23396,AT-MB-PC-EOS,127.0.0.1,6052.58364033699,47,128,3,0.0,0.001
0.08,0.94,0.59,0.9,0.1547627016025431,26.309659272432327,0.07,0.93,0.4,0.81,0.20360091030597688,5.090022757649422,1712605518,,False,48,339543a1,2024-04-08_21-45-18,111.43163561820984,6164.0152759552,23396,AT-MB-PC-EOS,127.0.0.1,6164.0152759552,48,128,3,0.0,0.001
0.08,0.94,0.6,0.9,0.1524450617020621,25.915660489350557,0.07,0.93,0.4,0.81,0.20087591111660003,5.021897777915001,1712605632,,False,49,339543a1,2024-04-08_21-47-12,113.85973930358887,6277.875015258789,23396,AT-MB-PC-EOS,127.0.0.1,6277.875015258789,49,128,3,0.0,0.001
0.08,0.95,0.61,0.91,0.15082801203517354,25.6407620459795,0.07,0.94,0.41,0.81,0.19780018746852876,4.945004686713219,1712605743,,False,50,339543a1,2024-04-08_21-49-03,111.0139148235321,6388.888930082321,23396,AT-MB-PC-EOS,127.0.0.1,6388.888930082321,50,128,3,0.0,0.001
