train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.1,0.52,1.0590361184933605,180.0361401438713,0.07,0.47,0.1,0.52,1.0813153219223022,27.032883048057556,1712899219,,False,1,c470c4bf,2024-04-12_07-20-19,225.11013841629028,225.11013841629028,3880,AT-MB-PC-EOS,127.0.0.1,225.11013841629028,1,128,3,0.0,0.001
0.08,0.88,0.1,0.53,0.36865173928877887,62.67079567909241,0.07,0.92,0.12,0.54,0.30017945885658265,7.504486471414566,1712899418,,False,2,c470c4bf,2024-04-12_07-23-38,198.67358016967773,423.783718585968,3880,AT-MB-PC-EOS,127.0.0.1,423.783718585968,2,128,3,0.0,0.001
0.08,0.92,0.15,0.6,0.28567755546639945,48.56518442928791,0.07,0.93,0.15,0.6,0.29496686190366744,7.374171547591686,1712899618,,False,3,c470c4bf,2024-04-12_07-26-58,199.46242833137512,623.2461469173431,3880,AT-MB-PC-EOS,127.0.0.1,623.2461469173431,3,128,3,0.0,0.001
0.08,0.92,0.16,0.64,0.2719736708437695,46.23552404344082,0.07,0.93,0.19,0.66,0.2624602848291397,6.561507120728493,1712899821,,False,4,c470c4bf,2024-04-12_07-30-21,203.69098114967346,826.9371280670166,3880,AT-MB-PC-EOS,127.0.0.1,826.9371280670166,4,128,3,0.0,0.001
0.08,0.92,0.19,0.67,0.2584034807541791,43.92859172821045,0.07,0.92,0.19,0.66,0.25869443237781525,6.467360809445381,1712900028,,False,5,c470c4bf,2024-04-12_07-33-48,207.0691056251526,1034.0062336921692,3880,AT-MB-PC-EOS,127.0.0.1,1034.0062336921692,5,128,3,0.0,0.001
0.08,0.92,0.21,0.7,0.2460621483185712,41.830565214157104,0.07,0.93,0.19,0.66,0.32600275963544845,8.150068990886211,1712900225,,False,6,c470c4bf,2024-04-12_07-37-05,196.29260969161987,1230.298843383789,3880,AT-MB-PC-EOS,127.0.0.1,1230.298843383789,6,128,3,0.0,0.001
0.08,0.92,0.24,0.72,0.237595712612657,40.39127114415169,0.07,0.93,0.26,0.73,0.2375553274154663,5.938883185386658,1712900429,,False,7,c470c4bf,2024-04-12_07-40-29,204.6810908317566,1434.9799342155457,3880,AT-MB-PC-EOS,127.0.0.1,1434.9799342155457,7,128,3,0.0,0.001
0.08,0.92,0.26,0.73,0.23457267187974032,39.877354219555855,0.07,0.93,0.22,0.69,0.25257983535528183,6.314495883882046,1712900634,,False,8,c470c4bf,2024-04-12_07-43-54,204.78146147727966,1639.7613956928253,3880,AT-MB-PC-EOS,127.0.0.1,1639.7613956928253,8,128,3,0.0,0.001
0.08,0.93,0.27,0.74,0.23012961811002564,39.12203507870436,0.07,0.93,0.23,0.72,0.2759853357076645,6.899633392691612,1712900833,,False,9,c470c4bf,2024-04-12_07-47-13,199.03814673423767,1838.799542427063,3880,AT-MB-PC-EOS,127.0.0.1,1838.799542427063,9,128,3,0.0,0.001
0.08,0.92,0.26,0.75,0.22844498381018638,38.835647247731686,0.07,0.93,0.23,0.72,0.2587373334169388,6.4684333354234695,1712901045,,False,10,c470c4bf,2024-04-12_07-50-45,212.19036769866943,2050.9899101257324,3880,AT-MB-PC-EOS,127.0.0.1,2050.9899101257324,10,128,3,0.0,0.001
0.08,0.93,0.28,0.76,0.2234312778010088,37.98331722617149,0.07,0.93,0.18,0.68,0.2700044184923172,6.75011046230793,1712901239,,False,11,c470c4bf,2024-04-12_07-53-59,193.9206783771515,2244.910588502884,3880,AT-MB-PC-EOS,127.0.0.1,2244.910588502884,11,128,3,0.0,0.001
0.08,0.93,0.29,0.77,0.22005750032908777,37.40977505594492,0.07,0.92,0.24,0.72,0.25011739015579226,6.252934753894806,1712901449,,False,12,c470c4bf,2024-04-12_07-57-29,209.34158945083618,2454.25217795372,3880,AT-MB-PC-EOS,127.0.0.1,2454.25217795372,12,128,3,0.0,0.001
0.08,0.93,0.31,0.78,0.2146288670161191,36.48690739274025,0.07,0.93,0.25,0.73,0.22711391538381576,5.677847884595394,1712901653,,False,13,c470c4bf,2024-04-12_08-00-53,204.46602272987366,2658.7182006835938,3880,AT-MB-PC-EOS,127.0.0.1,2658.7182006835938,13,128,3,0.0,0.001
0.08,0.93,0.32,0.78,0.214280114936478,36.42761953920126,0.07,0.93,0.27,0.72,0.22241576105356217,5.560394026339054,1712901852,,False,14,c470c4bf,2024-04-12_08-04-12,199.12604928016663,2857.8442499637604,3880,AT-MB-PC-EOS,127.0.0.1,2857.8442499637604,14,128,3,0.0,0.001
0.08,0.93,0.33,0.79,0.2103878379744642,35.76593245565891,0.07,0.93,0.32,0.78,0.20781224340200424,5.195306085050106,1712902055,,False,15,c470c4bf,2024-04-12_08-07-35,203.19342589378357,3061.037675857544,3880,AT-MB-PC-EOS,127.0.0.1,3061.037675857544,15,128,3,0.0,0.001
0.08,0.93,0.34,0.79,0.2084833633812035,35.44217177480459,0.07,0.93,0.32,0.76,0.20941127270460128,5.235281817615032,1712902269,,False,16,c470c4bf,2024-04-12_08-11-09,213.8936414718628,3274.9313173294067,3880,AT-MB-PC-EOS,127.0.0.1,3274.9313173294067,16,128,3,0.0,0.001
0.08,0.93,0.34,0.8,0.20833920512129278,35.417664870619774,0.07,0.93,0.3,0.77,0.2138671961426735,5.346679903566837,1712902459,,False,17,c470c4bf,2024-04-12_08-14-19,189.56240034103394,3464.4937176704407,3880,AT-MB-PC-EOS,127.0.0.1,3464.4937176704407,17,128,3,0.0,0.001
0.08,0.93,0.37,0.81,0.20083920236896066,34.14266440272331,0.07,0.93,0.35,0.79,0.21027276694774627,5.256819173693657,1712902663,,False,18,c470c4bf,2024-04-12_08-17-43,204.07487154006958,3668.5685892105103,3880,AT-MB-PC-EOS,127.0.0.1,3668.5685892105103,18,128,3,0.0,0.001
0.08,0.93,0.36,0.81,0.2043923239059308,34.746695064008236,0.07,0.93,0.33,0.79,0.2137236052751541,5.343090131878853,1712902873,,False,19,c470c4bf,2024-04-12_08-21-13,210.25653338432312,3878.8251225948334,3880,AT-MB-PC-EOS,127.0.0.1,3878.8251225948334,19,128,3,0.0,0.001
0.08,0.93,0.37,0.81,0.200965895810548,34.16420228779316,0.07,0.93,0.3,0.75,0.22056189954280853,5.514047488570213,1712903066,,False,20,c470c4bf,2024-04-12_08-24-26,192.81681728363037,4071.6419398784637,3880,AT-MB-PC-EOS,127.0.0.1,4071.6419398784637,20,128,3,0.0,0.001
0.08,0.93,0.37,0.82,0.19873018497053316,33.784131444990635,0.07,0.93,0.32,0.79,0.21129029661417006,5.282257415354252,1712903276,,False,21,c470c4bf,2024-04-12_08-27-56,209.6186261177063,4281.26056599617,3880,AT-MB-PC-EOS,127.0.0.1,4281.26056599617,21,128,3,0.0,0.001
0.08,0.93,0.39,0.82,0.19564277139656683,33.25927113741636,0.07,0.93,0.32,0.78,0.2032347136735916,5.08086784183979,1712903479,,False,22,c470c4bf,2024-04-12_08-31-19,203.03567218780518,4484.296238183975,3880,AT-MB-PC-EOS,127.0.0.1,4484.296238183975,22,128,3,0.0,0.001
0.08,0.93,0.4,0.83,0.1949521689730532,33.141868725419044,0.07,0.93,0.34,0.79,0.24348491191864013,6.087122797966003,1712903677,,False,23,c470c4bf,2024-04-12_08-34-37,197.97367906570435,4682.26991724968,3880,AT-MB-PC-EOS,127.0.0.1,4682.26991724968,23,128,3,0.0,0.001
0.08,0.93,0.39,0.82,0.19628464404274434,33.36838948726654,0.07,0.93,0.33,0.78,0.2217174845933914,5.5429371148347855,1712903881,,False,24,c470c4bf,2024-04-12_08-38-01,204.12698912620544,4886.396906375885,3880,AT-MB-PC-EOS,127.0.0.1,4886.396906375885,24,128,3,0.0,0.001
0.08,0.93,0.4,0.82,0.19460026652497403,33.082045309245586,0.07,0.93,0.35,0.8,0.21440992414951324,5.360248103737831,1712904090,,False,25,c470c4bf,2024-04-12_08-41-30,209.32963609695435,5095.726542472839,3880,AT-MB-PC-EOS,127.0.0.1,5095.726542472839,25,128,3,0.0,0.001
