train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.07743,0.49163,0.09185,0.51695,0.7692711328758913,130.77609258890152,0.07345,0.52226,0.11202,0.52003,0.7445708847045899,18.614272117614746,1713385595,,False,1,a4d4bbad,2024-04-17_22-26-35,216.12438488006592,216.12438488006592,3501200,rey,131.130.125.90,216.12438488006592,1,256,3,0.5,0.001
0.07743,0.84809,0.0806,0.4841,0.43151009687606023,73.35671646893024,0.07345,0.92466,0.09292,0.49606,0.30783344864845275,7.695836216211319,1713385785,,False,2,a4d4bbad,2024-04-17_22-29-45,189.64270758628845,405.76709246635437,3501200,rey,131.130.125.90,405.76709246635437,2,256,3,0.5,0.001
0.07743,0.91747,0.13221,0.57513,0.29536026821416966,50.211245596408844,0.07345,0.92162,0.14427,0.60224,0.2918188428878784,7.2954710721969604,1713385921,,False,3,a4d4bbad,2024-04-17_22-32-01,136.4524688720703,542.2195613384247,3501200,rey,131.130.125.90,542.2195613384247,3,256,3,0.5,0.001
0.07743,0.9217,0.1672,0.61964,0.2717392811880392,46.19567780196667,0.07345,0.92708,0.17461,0.61626,0.2729542154073715,6.823855385184288,1713386095,,False,4,a4d4bbad,2024-04-17_22-34-55,174.45990777015686,716.6794691085815,3501200,rey,131.130.125.90,716.6794691085815,4,256,3,0.5,0.001
0.07743,0.92214,0.18799,0.65084,0.25827227155951893,43.90628616511822,0.07345,0.92789,0.20186,0.63441,0.2556008613109589,6.390021532773972,1713386319,,False,5,a4d4bbad,2024-04-17_22-38-39,223.6921422481537,940.3716113567352,3501200,rey,131.130.125.90,940.3716113567352,5,256,3,0.5,0.001
0.07743,0.92292,0.1945,0.66877,0.25254575548803104,42.93277843296528,0.07345,0.92795,0.23779,0.67933,0.23957107961177826,5.9892769902944565,1713386493,,False,6,a4d4bbad,2024-04-17_22-41-33,174.23151516914368,1114.603126525879,3501200,rey,131.130.125.90,1114.603126525879,6,256,3,0.5,0.001
0.07743,0.92346,0.21084,0.68915,0.24560291600577971,41.75249572098255,0.07345,0.92771,0.19138,0.62448,0.34774034142494203,8.69350853562355,1713386690,,False,7,a4d4bbad,2024-04-17_22-44-50,196.30090260505676,1310.9040291309357,3501200,rey,131.130.125.90,1310.9040291309357,7,256,3,0.5,0.001
0.07743,0.92319,0.20784,0.68919,0.24611723944544792,41.83993070572615,0.07345,0.92658,0.22228,0.70427,0.23468225836753845,5.867056459188461,1713386896,,False,8,a4d4bbad,2024-04-17_22-48-16,206.1052851676941,1517.0093142986298,3501200,rey,131.130.125.90,1517.0093142986298,8,256,3,0.5,0.001
0.07743,0.9233,0.21995,0.69225,0.24292195097488514,41.296731665730476,0.07345,0.92741,0.21326,0.67937,0.24289753675460815,6.072438418865204,1713387103,,False,9,a4d4bbad,2024-04-17_22-51-43,207.20072531700134,1724.210039615631,3501200,rey,131.130.125.90,1724.210039615631,9,256,3,0.5,0.001
0.07743,0.92331,0.20336,0.69321,0.24130415618419648,41.0217065513134,0.07345,0.92356,0.226,0.69179,0.256807354092598,6.420183852314949,1713387278,,False,10,a4d4bbad,2024-04-17_22-54-38,175.04193902015686,1899.251978635788,3501200,rey,131.130.125.90,1899.251978635788,10,256,3,0.5,0.001
0.07743,0.92362,0.20751,0.69612,0.24202001357779784,41.14340230822563,0.07345,0.92808,0.22583,0.69173,0.24236896976828576,6.059224244207144,1713387490,,False,11,a4d4bbad,2024-04-17_22-58-10,212.32490944862366,2111.5768880844116,3501200,rey,131.130.125.90,2111.5768880844116,11,256,3,0.5,0.001
