train_accuracy-0_0,train_accuracy-0_5,train_ap,train_auc,train_mean_loss,train_sum_loss,val_accuracy-0_0,val_accuracy-0_5,val_ap,val_auc,val_mean_loss,val_sum_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/model/hidden_dimension,config/model/modules/1/times,config/model/modules/1/parameter/dropout,config/optimizer/base_learning_rate
0.08,0.48,0.09,0.51,0.8354097282185274,142.01965379714966,0.07,0.49,0.11,0.49,0.861174750328064,21.5293687582016,1712457550,,False,1,a7f9641c,2024-04-07_04-39-10,183.42739057540894,183.42739057540894,17676,AT-MB-PC-EOS,127.0.0.1,183.42739057540894,1,256,6,0.5,0.001
0.08,0.82,0.09,0.52,0.43902725708835266,74.63463370501995,0.07,0.9,0.1,0.54,0.3262867891788483,8.157169729471207,1712457716,,False,2,a7f9641c,2024-04-07_04-41-56,166.00775456428528,349.4351451396942,17676,AT-MB-PC-EOS,127.0.0.1,349.4351451396942,2,256,6,0.5,0.001
0.08,0.91,0.13,0.57,0.3151858422686072,53.58159318566322,0.07,0.92,0.15,0.59,0.28899811863899233,7.224952965974808,1712457878,,False,3,a7f9641c,2024-04-07_04-44-38,162.09489393234253,511.53003907203674,17676,AT-MB-PC-EOS,127.0.0.1,511.53003907203674,3,256,6,0.5,0.001
0.08,0.92,0.15,0.63,0.2769164545571103,47.07579727470875,0.07,0.93,0.13,0.57,0.45446234703063965,11.361558675765991,1712458042,,False,4,a7f9641c,2024-04-07_04-47-22,163.81669425964355,675.3467333316803,17676,AT-MB-PC-EOS,127.0.0.1,675.3467333316803,4,256,6,0.5,0.001
0.08,0.92,0.17,0.66,0.2651641725179027,45.07790932804346,0.07,0.92,0.17,0.69,0.26051493883132937,6.512873470783234,1712458206,,False,5,a7f9641c,2024-04-07_04-50-06,164.10130643844604,839.4480397701263,17676,AT-MB-PC-EOS,127.0.0.1,839.4480397701263,5,256,6,0.5,0.001
0.08,0.92,0.17,0.68,0.2551595404744148,43.37712188065052,0.07,0.93,0.13,0.56,0.48703603168949483,12.175900792237371,1712458366,,False,6,a7f9641c,2024-04-07_04-52-46,160.42505407333374,999.8730938434601,17676,AT-MB-PC-EOS,127.0.0.1,999.8730938434601,6,256,6,0.5,0.001
0.08,0.92,0.19,0.69,0.24516587770160506,41.67819920927286,0.07,0.92,0.16,0.63,0.3369880747795105,8.424701869487762,1712458534,,False,7,a7f9641c,2024-04-07_04-55-34,167.54202818870544,1167.4151220321655,17676,AT-MB-PC-EOS,127.0.0.1,1167.4151220321655,7,256,6,0.5,0.001
0.08,0.92,0.2,0.7,0.24305351387490245,41.319097358733416,0.07,0.93,0.2,0.66,0.24814279675483703,6.203569918870926,1712458701,,False,8,a7f9641c,2024-04-07_04-58-21,167.44784879684448,1334.86297082901,17676,AT-MB-PC-EOS,127.0.0.1,1334.86297082901,8,256,6,0.5,0.001
0.08,0.92,0.21,0.7,0.243720323110328,41.43245492875576,0.07,0.93,0.26,0.72,0.23070996820926667,5.767749205231667,1712458869,,False,9,a7f9641c,2024-04-07_05-01-09,167.57338857650757,1502.4363594055176,17676,AT-MB-PC-EOS,127.0.0.1,1502.4363594055176,9,256,6,0.5,0.001
0.08,0.92,0.23,0.72,0.23410882892854074,39.798500917851925,0.07,0.93,0.19,0.65,0.3810611957777292,9.526529894443229,1712459038,,False,10,a7f9641c,2024-04-07_05-03-58,168.70681262016296,1671.1431720256805,17676,AT-MB-PC-EOS,127.0.0.1,1671.1431720256805,10,256,6,0.5,0.001
0.08,0.92,0.23,0.72,0.2349999596090878,39.94999313354492,0.07,0.93,0.2,0.67,0.27404221296310427,6.851055324077606,1712459200,,False,11,a7f9641c,2024-04-07_05-06-40,162.31078958511353,1833.453961610794,17676,AT-MB-PC-EOS,127.0.0.1,1833.453961610794,11,256,6,0.5,0.001
0.08,0.92,0.24,0.72,0.23321892706786884,39.647217601537704,0.07,0.92,0.26,0.75,0.23636687517166138,5.909171879291534,1712459368,,False,12,a7f9641c,2024-04-07_05-09-28,167.92446303367615,2001.3784246444702,17676,AT-MB-PC-EOS,127.0.0.1,2001.3784246444702,12,256,6,0.5,0.001
0.08,0.92,0.24,0.73,0.22997310884735164,39.09542850404978,0.07,0.92,0.2,0.67,0.25433553129434583,6.358388282358646,1712459535,,False,13,a7f9641c,2024-04-07_05-12-15,167.2119436264038,2168.590368270874,17676,AT-MB-PC-EOS,127.0.0.1,2168.590368270874,13,256,6,0.5,0.001
0.08,0.93,0.26,0.75,0.22614462371258176,38.4445860311389,0.07,0.93,0.19,0.67,0.36911263018846513,9.227815754711628,1712459702,,False,14,a7f9641c,2024-04-07_05-15-02,167.2238166332245,2335.8141849040985,17676,AT-MB-PC-EOS,127.0.0.1,2335.8141849040985,14,256,6,0.5,0.001
0.08,0.93,0.25,0.73,0.22855455625583143,38.854274563491344,0.07,0.93,0.27,0.73,0.2361236310005188,5.90309077501297,1712459869,,True,15,a7f9641c,2024-04-07_05-17-49,166.24633955955505,2502.0605244636536,17676,AT-MB-PC-EOS,127.0.0.1,2502.0605244636536,15,256,6,0.5,0.001
